日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2018-07-16,997.19,992.59,998.98,986.57,-0.74,-7.41,5564761,4801632000.0,1.24,0.76
2018-07-17,991.91,1002.97,1003.0,989.52,1.05,10.38,5662306,4692190464.0,1.36,0.78
2018-07-18,1004.91,994.82,1008.39,994.82,-0.81,-8.15,6910284,5482162944.0,1.35,0.95
2018-07-19,992.41,983.64,997.29,979.88,-1.12,-11.18,5768386,4453705216.0,1.75,0.79
2018-07-20,980.89,995.43,996.81,974.67,1.2,11.79,5129682,4083274144.0,2.25,0.7
2018-07-23,992.44,1002.7,1002.72,989.7,0.73,7.27,6264787,4477885184.0,1.31,0.86
2018-07-24,1004.0,1016.61,1018.58,1000.12,1.39,13.91,7340709,5720539648.0,1.84,1.01
2018-07-25,1017.17,1019.92,1025.04,1014.4,0.33,3.31,6560256,5106624512.0,1.05,0.9
2018-07-26,1019.22,1026.83,1027.53,1017.32,0.68,6.91,7902430,5803707136.0,1.0,1.09
2018-07-27,1024.67,1010.56,1024.78,1010.16,-1.58,-16.27,6794290,4676720896.0,1.42,0.93
2018-07-30,1006.7,988.19,1008.76,983.94,-2.21,-22.37,7518712,4821536000.0,2.46,1.03
2018-07-31,983.28,988.5,991.61,981.73,0.03,0.31,5209359,3581584416.0,1.0,0.72
2018-08-01,988.34,966.57,991.6,966.0,-2.22,-21.93,6229299,4560424704.0,2.59,0.86
2018-08-02,961.08,929.81,961.08,908.85,-3.8,-36.76,7288360,5169681664.0,5.4,1.0
2018-08-03,926.37,920.01,932.68,919.68,-1.05,-9.8,5854633,4039660976.0,1.4,0.8
2018-08-06,915.57,897.79,918.15,891.78,-2.42,-22.22,5891646,3744741568.0,2.87,0.81
2018-08-07,896.83,915.61,915.91,890.55,1.98,17.82,5796347,3727012784.0,2.82,0.8
2018-08-08,911.95,899.26,913.38,897.83,-1.79,-16.35,5303446,3511858080.0,1.7,0.73
2018-08-09,894.44,914.59,919.91,891.38,1.7,15.33,5753051,4171243120.0,3.17,0.79
2018-08-10,913.29,920.96,921.87,910.38,0.7,6.37,5286969,3958468576.0,1.26,0.73
2018-08-13,908.74,920.06,920.06,903.54,-0.1,-0.9,5621234,4063271856.0,1.79,0.77
2018-08-14,916.96,917.81,922.94,914.24,-0.24,-2.25,4930372,3623163200.0,0.95,0.68
2018-08-15,915.11,902.58,919.23,901.34,-1.66,-15.23,9069129,5473499136.0,1.95,1.25
2018-08-16,891.72,892.76,901.92,881.44,-1.09,-9.82,7803286,4799540736.0,2.27,1.07
2018-08-17,897.01,875.12,901.15,873.31,-1.98,-17.64,6566820,4178045472.0,3.12,0.9
2018-08-20,871.76,876.79,877.54,859.58,0.19,1.67,5937238,3865884016.0,2.05,0.82
2018-08-21,875.09,883.69,885.94,871.61,0.79,6.9,5269188,3460932896.0,1.63,0.72
2018-08-22,880.11,872.46,881.99,871.49,-1.27,-11.23,7699813,3675053904.0,1.19,1.06
2018-08-23,871.33,876.4,880.18,870.57,0.45,3.94,6362867,3599218000.0,1.1,0.87
2018-08-24,873.28,873.83,879.2,869.37,-0.29,-2.57,6232421,3473417568.0,1.12,0.86
2018-08-27,874.01,889.38,890.65,874.01,1.78,15.55,7676539,4884485632.0,1.9,1.05
2018-08-28,887.47,888.29,890.96,885.13,-0.12,-1.09,6999344,4361415936.0,0.66,0.96
2018-08-29,886.9,885.84,887.43,881.64,-0.28,-2.45,6533324,3846251792.0,0.65,0.9
2018-08-30,883.12,871.56,884.92,870.27,-1.61,-14.28,7372060,4060649344.0,1.65,1.01
2018-08-31,869.45,863.03,871.14,861.21,-0.98,-8.53,7969833,4464329984.0,1.14,1.1
2018-09-03,860.91,862.48,863.38,850.34,-0.06,-0.55,7048588,4372173056.0,1.51,0.97
2018-09-04,863.71,875.02,876.72,862.95,1.45,12.54,6711426,4488880640.0,1.6,0.92
2018-09-05,875.33,874.54,885.06,873.52,-0.05,-0.48,6434812,4630733568.0,1.32,0.88
2018-09-06,869.75,873.43,881.97,869.35,-0.13,-1.11,5658484,4189691456.0,1.44,0.78
2018-09-07,874.49,876.01,886.89,870.91,0.3,2.58,5804493,4207659264.0,1.83,0.8
2018-09-10,877.42,859.11,877.42,858.01,-1.93,-16.9,6275213,4164558256.0,2.22,0.86
2018-09-11,857.22,859.44,863.87,852.74,0.04,0.33,4903506,3276874656.0,1.3,0.67
2018-09-12,858.02,863.25,871.91,856.11,0.44,3.81,5039409,3441355776.0,1.84,0.69
2018-09-13,862.86,859.55,867.77,849.41,-0.43,-3.7,7833964,4409941504.0,2.13,1.08
2018-09-14,855.22,849.7,856.38,846.08,-1.15,-9.85,8789464,4499936256.0,1.2,1.21
2018-09-17,842.05,829.65,842.05,827.96,-2.36,-20.05,8331328,4396089856.0,1.66,1.14
2018-09-18,825.75,846.34,846.34,825.66,2.01,16.69,8555699,4945696256.0,2.49,1.18
2018-09-19,844.38,851.77,857.38,841.24,0.64,5.43,9732112,5708744192.0,1.91,1.34
2018-09-20,849.59,849.01,851.99,845.68,-0.32,-2.76,11271475,5355197440.0,0.74,1.55
2018-09-21,851.05,859.25,859.66,847.27,1.21,10.24,9595282,4963888384.0,1.46,1.32
2018-09-25,854.56,859.48,861.48,852.69,0.03,0.23,7325636,4143395760.0,1.02,1.01
2018-09-26,861.35,865.33,868.8,859.53,0.68,5.85,11638052,6055689728.0,1.08,1.6
2018-09-27,864.85,847.6,864.85,847.44,-2.05,-17.73,12813884,6534189312.0,2.01,1.76
2018-09-28,846.8,853.04,853.04,844.44,0.64,5.44,9642941,5078689792.0,1.01,1.33
2018-10-08,833.26,820.38,833.26,818.2,-3.83,-32.66,9408390,4883502848.0,1.77,1.29
2018-10-09,820.31,818.59,824.01,814.5,-0.22,-1.79,7514706,3765157392.0,1.16,1.03
2018-10-10,818.78,814.83,819.84,806.54,-0.46,-3.76,6271093,3206405392.0,1.62,0.86
2018-10-11,791.6,753.17,791.6,747.74,-7.57,-61.66,10276178,5096625408.0,5.38,1.41
2018-10-12,746.21,742.78,748.65,716.56,-1.38,-10.39,10645842,4869918464.0,4.26,1.46
2018-10-15,741.56,731.61,747.94,730.17,-1.5,-11.17,8426294,3992173056.0,2.39,1.16
2018-10-16,729.57,719.35,736.46,716.02,-1.68,-12.26,8603054,4111820144.0,2.79,1.18
2018-10-17,727.24,733.34,733.87,717.67,1.94,13.99,9066638,4423675904.0,2.25,1.25
2018-10-18,728.22,709.65,728.22,707.98,-3.23,-23.69,8176559,3682926896.0,2.76,1.12
2018-10-19,698.16,722.06,722.43,694.98,1.75,12.41,7888943,3695173840.0,3.87,1.08
2018-10-22,727.53,755.14,762.86,727.53,4.58,33.08,10976253,5463967744.0,4.89,1.51
2018-10-23,752.45,748.12,758.81,744.06,-0.93,-7.02,11408974,5184049152.0,1.95,1.57
2018-10-24,744.0,747.93,756.09,742.88,-0.03,-0.19,10730342,4866004480.0,1.77,1.47
2018-10-25,724.05,744.43,746.45,719.31,-0.47,-3.5,10701669,5155336448.0,3.63,1.47
2018-10-26,749.05,748.32,759.0,745.47,0.52,3.89,9713102,4685325568.0,1.82,1.33
2018-10-29,747.25,739.09,749.68,736.19,-1.23,-9.23,8138149,3877509904.0,1.8,1.12
2018-10-30,736.48,745.07,748.89,727.19,0.81,5.98,7972557,4034313136.0,2.94,1.1
2018-10-31,744.08,750.65,755.62,742.64,0.75,5.58,7654755,3901551584.0,1.74,1.05
2018-11-01,752.0,759.31,771.24,752.0,1.15,8.66,12049085,6303119872.0,2.56,1.66
2018-11-02,766.25,779.87,779.87,766.25,2.71,20.56,14301615,7381180160.0,1.79,1.97
2018-11-05,776.24,784.72,788.41,772.51,0.62,4.85,16830987,8024219136.0,2.04,2.31
2018-11-06,781.14,784.4,784.73,771.35,-0.04,-0.32,12225818,6030916096.0,1.71,1.68
2018-11-07,785.06,783.28,792.84,781.82,-0.14,-1.12,13555447,6905324544.0,1.4,1.86
2018-11-08,785.48,781.91,789.95,781.14,-0.17,-1.37,12134259,6313648640.0,1.12,1.67
2018-11-09,777.68,783.24,788.91,775.71,0.17,1.33,11742388,7379594240.0,1.69,1.61
2018-11-12,785.31,814.79,814.8,784.95,4.03,31.55,13649603,7744620800.0,3.81,1.88
2018-11-13,811.07,850.49,855.9,809.61,4.38,35.7,23070597,13469703936.0,5.68,3.17
2018-11-14,854.62,850.87,863.29,847.34,0.04,0.38,23579699,13060304384.0,1.88,3.24
2018-11-15,850.22,862.37,862.39,848.99,1.35,11.5,16825441,9765726976.0,1.57,2.31
2018-11-16,863.12,871.27,875.05,859.61,1.03,8.9,17208677,10198408448.0,1.79,2.36
2018-11-19,871.39,867.94,873.53,855.52,-0.38,-3.33,18804904,10811395072.0,2.07,2.58
2018-11-20,859.47,845.47,864.8,844.92,-2.59,-22.47,15024686,8896559360.0,2.29,2.06
2018-11-21,837.48,853.3,853.3,835.56,0.93,7.83,12432553,7256649472.0,2.1,1.71
2018-11-22,854.65,854.48,858.75,849.19,0.14,1.18,13505194,7798175744.0,1.12,1.86
2018-11-23,850.32,808.92,850.47,808.1,-5.33,-45.56,14871683,8273478400.0,4.96,2.04
2018-11-26,805.77,807.87,814.96,801.07,-0.13,-1.05,10913067,6185420288.0,1.72,1.5
2018-11-27,813.6,813.98,820.29,807.28,0.76,6.11,10581432,6030001920.0,1.61,1.45
2018-11-28,813.43,833.84,834.82,800.21,2.44,19.86,14423088,7796105472.0,4.25,1.98
2018-11-29,837.9,805.83,840.6,805.83,-3.36,-28.01,14927500,8234151424.0,4.17,2.05
2018-11-30,799.75,802.5,804.16,781.44,-0.41,-3.33,11528815,6170167296.0,2.82,1.58
2018-12-03,818.82,825.34,832.0,815.94,2.85,22.84,13054466,7304348160.0,2.0,1.79
2018-12-04,824.78,834.76,834.99,822.23,1.14,9.42,12045620,6606056192.0,1.55,1.66
2018-12-05,817.33,831.24,835.98,814.6,-0.42,-3.52,12701250,7376739584.0,2.56,1.75
2018-12-06,829.28,818.18,831.5,817.81,-1.57,-13.06,11368588,6560848384.0,1.65,1.56
2018-12-07,819.77,822.58,825.18,817.04,0.54,4.4,10369327,5810458880.0,0.99,1.42
