日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-08-28,985.12,940.44,985.12,938.87,-5.96,-59.56,5766321,4831992740.0,4.63,1.84
2024-08-29,926.13,921.13,927.0,909.31,-2.05,-19.31,4708022,3728543359.0,1.88,1.5
2024-08-30,908.87,935.57,954.16,904.81,1.57,14.44,5031245,3955541254.0,5.36,1.6
2024-09-02,926.09,904.21,929.13,903.04,-3.35,-31.36,4081065,3183602666.0,2.79,1.3
2024-09-03,899.51,904.79,909.26,893.9,0.06,0.58,2522912,1916839920.0,1.7,0.8
2024-09-04,895.95,889.49,903.88,887.5,-1.69,-15.3,2202560,1695437498.0,1.81,0.7
2024-09-05,889.18,898.08,902.68,889.18,0.97,8.59,1933096,1497700523.0,1.52,0.62
2024-09-06,897.25,876.5,897.91,876.2,-2.4,-21.58,2298583,1706096604.0,2.42,0.73
2024-09-09,871.73,877.24,881.53,860.75,0.08,0.74,1768661,1244236573.0,2.37,0.56
2024-09-10,880.36,881.55,883.96,865.21,0.49,4.31,1877628,1310193521.0,2.14,0.6
2024-09-11,879.05,876.19,882.79,872.4,-0.61,-5.36,1758920,1162525478.0,1.18,0.56
2024-09-12,877.86,878.18,891.17,877.86,0.23,1.99,2174179,1532707063.0,1.52,0.69
2024-09-13,879.89,873.61,888.06,873.61,-0.52,-4.57,2767151,1927486224.0,1.65,0.88
2024-09-18,870.38,863.56,871.37,850.25,-1.15,-10.05,2290707,1520252457.0,2.42,0.73
2024-09-19,866.66,888.75,891.14,864.41,2.92,25.19,2847170,1923962302.0,3.1,0.91
2024-09-20,890.14,887.83,890.65,880.28,-0.1,-0.92,2963009,1810091593.0,1.17,0.94
2024-09-23,887.16,885.39,890.11,879.64,-0.27,-2.44,2550241,1645214861.0,1.18,0.81
2024-09-24,889.83,912.67,912.74,885.07,3.08,27.28,4956190,3378904742.0,3.13,1.58
2024-09-25,920.06,922.16,942.75,920.06,1.04,9.49,6275827,4088681344.0,2.49,2.0
2024-09-26,920.93,953.61,953.61,919.96,3.41,31.45,6061177,3875710823.0,3.65,1.93
2024-09-27,972.15,1004.85,1008.74,965.07,5.37,51.24,6771247,5414436730.0,4.58,2.16
2024-09-30,1052.99,1121.7,1130.0,1029.15,11.63,116.85,14990669,10385346037.0,10.04,4.78
2024-10-08,1278.96,1230.19,1278.96,1142.26,9.67,108.49,18331161,14313543317.0,12.19,5.84
2024-10-09,1184.99,1099.31,1184.99,1099.31,-10.64,-130.88,13473685,11472253791.0,6.96,4.29
2024-10-10,1111.08,1131.68,1169.28,1086.28,2.94,32.37,11767982,9052207716.0,7.55,3.75
2024-10-11,1119.0,1069.34,1119.0,1055.42,-5.51,-62.34,7944615,5970387714.0,5.62,2.53
2024-10-14,1088.55,1128.19,1128.58,1077.47,5.5,58.85,8707333,6631709231.0,4.78,2.77
2024-10-15,1123.75,1125.74,1148.99,1111.23,-0.22,-2.45,9942352,9158073330.0,3.35,3.17
2024-10-16,1111.45,1158.25,1173.73,1111.45,2.89,32.51,10211433,9570772613.0,5.53,3.25
2024-10-17,1162.2,1144.1,1182.08,1143.63,-1.22,-14.15,9611285,9610841990.0,3.32,3.06
2024-10-18,1133.26,1170.48,1192.03,1126.07,2.31,26.38,12771805,11591299923.0,5.77,4.07
2024-10-21,1174.42,1210.76,1210.76,1171.54,3.44,40.28,13280761,13258091671.0,3.35,4.23
2024-10-22,1205.12,1190.99,1205.12,1178.23,-1.63,-19.77,11232776,11729360281.0,2.22,3.58
2024-10-23,1188.44,1187.42,1202.9,1183.87,-0.3,-3.57,9493738,8905908952.0,1.6,3.02
2024-10-24,1184.3,1191.04,1195.22,1178.07,0.3,3.62,6459852,5785231099.0,1.44,2.06
2024-10-25,1200.36,1229.96,1239.06,1200.36,3.27,38.92,8721602,10053185603.0,3.25,2.78
2024-10-28,1244.71,1272.32,1272.32,1239.49,3.44,42.36,11286070,12031868679.0,2.67,3.6
2024-10-29,1274.37,1241.64,1279.44,1241.53,-2.41,-30.68,10782788,10276417748.0,2.98,3.43
2024-10-30,1232.22,1241.97,1253.88,1227.37,0.03,0.33,8570383,8618814261.0,2.14,2.73
2024-10-31,1247.59,1259.83,1267.87,1246.29,1.44,17.86,10296593,9953813389.0,1.74,3.28
2024-11-01,1253.25,1210.57,1261.67,1201.86,-3.91,-49.26,10875114,9495728603.0,4.75,3.46
2024-11-04,1207.63,1229.61,1229.61,1200.21,1.57,19.04,7407674,6320049164.0,2.43,2.36
2024-11-05,1235.82,1275.51,1275.54,1235.65,3.73,45.9,10812640,8522607773.0,3.24,3.44
2024-11-06,1289.04,1300.39,1313.31,1274.85,1.95,24.88,13620211,12693101572.0,3.02,4.34
2024-11-07,1295.94,1350.29,1350.29,1287.35,3.84,49.9,15048328,12814115467.0,4.84,4.79
2024-11-08,1354.26,1328.62,1360.74,1323.79,-1.6,-21.67,13323579,11710959251.0,2.74,4.24
2024-11-11,1331.58,1350.9,1350.9,1327.0,1.68,22.28,11303186,9898355641.0,1.8,3.6
2024-11-12,1355.57,1324.65,1356.82,1310.95,-1.94,-26.25,10892446,9564964442.0,3.4,3.47
2024-11-13,1325.68,1337.17,1347.34,1306.63,0.95,12.52,10265179,8279545632.0,3.07,3.27
2024-11-14,1341.47,1310.58,1346.92,1310.26,-1.99,-26.59,9596650,8079419796.0,2.74,3.06
2024-11-15,1300.29,1290.99,1329.8,1290.99,-1.49,-19.59,10748834,9063715275.0,2.96,3.42
2024-11-18,1298.77,1287.57,1310.7,1259.5,-0.26,-3.42,15976209,10675117044.0,3.97,5.09
2024-11-19,1279.35,1290.42,1290.52,1251.07,0.22,2.85,14996832,10077882823.0,3.06,4.78
2024-11-20,1282.49,1321.18,1325.66,1278.79,2.38,30.76,12499089,8864964689.0,3.63,3.98
2024-11-21,1319.45,1321.48,1330.99,1306.91,0.02,0.3,11118215,8651568944.0,1.82,3.54
2024-11-22,1314.9,1273.04,1324.74,1272.78,-3.67,-48.44,10493567,8262651287.0,3.93,3.34
2024-11-25,1275.86,1279.5,1282.06,1251.54,0.51,6.46,8281556,6169864250.0,2.4,2.64
2024-11-26,1278.93,1257.74,1283.03,1256.7,-1.7,-21.76,5855039,4527433627.0,2.06,1.87
2024-11-27,1253.74,1274.65,1274.65,1219.57,1.34,16.91,7104303,5419873754.0,4.38,2.26
