日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-03-08,1025.94,950.83,1025.94,949.95,-4.92,-49.17,13385918,10412071424.0,7.6,45.19
2022-03-09,917.25,921.12,937.74,894.27,-3.12,-29.71,10090175,7424232192.0,4.57,34.06
2022-03-10,936.46,940.44,953.43,927.3,2.1,19.32,9285213,7330416128.0,2.84,31.35
2022-03-11,909.47,911.06,922.56,891.89,-3.12,-29.38,8350725,5789127424.0,3.26,28.19
2022-03-14,903.89,882.21,913.08,882.09,-3.17,-28.85,7147634,4803201792.0,3.4,24.13
2022-03-15,865.76,838.72,880.51,838.21,-4.93,-43.49,6963632,4490426112.0,4.79,23.51
2022-03-16,853.85,868.39,874.02,831.58,3.54,29.67,6899235,4436698880.0,5.06,23.29
2022-03-17,874.58,887.77,901.13,871.59,2.23,19.38,6031155,4122899408.0,3.4,20.36
2022-03-18,884.74,903.68,906.04,884.18,1.79,15.91,6079319,4106848864.0,2.46,20.52
2022-03-21,907.3,914.16,914.16,897.78,1.16,10.48,5107964,3498484384.0,1.81,17.24
2022-03-22,911.86,922.3,928.44,896.76,0.89,8.14,9309916,6330746112.0,3.47,31.43
2022-03-23,910.28,906.32,916.98,904.46,-1.73,-15.98,7508253,5047296000.0,1.36,25.35
2022-03-24,894.54,883.29,894.62,877.57,-2.54,-23.03,6102899,3921964096.0,1.88,20.6
2022-03-25,880.06,884.56,898.05,879.36,0.14,1.27,6982280,4378214656.0,2.12,23.57
2022-03-28,873.64,879.12,893.63,868.64,-0.61,-5.44,6681342,3992500624.0,2.83,22.56
2022-03-29,893.68,880.69,912.37,877.71,0.18,1.57,5810553,3737583456.0,3.94,19.62
2022-03-30,871.68,878.0,879.66,860.3,-0.31,-2.69,6029579,3779404192.0,2.2,20.35
2022-03-31,871.02,869.88,884.1,866.1,-0.92,-8.12,5997393,3571155184.0,2.05,20.25
2022-04-01,865.46,872.75,879.23,861.44,0.33,2.87,6969985,3890399200.0,2.05,23.53
2022-04-06,870.7,891.12,897.35,870.7,2.1,18.37,6501554,3942976528.0,3.05,21.95
2022-04-07,883.45,863.08,883.45,862.75,-3.15,-28.04,6543293,3864323072.0,2.32,22.09
2022-04-08,864.67,843.45,868.27,837.79,-2.27,-19.63,5519348,3224550480.0,3.53,18.63
2022-04-11,837.31,814.27,837.31,806.04,-3.46,-29.18,4161058,2422461280.0,3.71,14.05
2022-04-12,813.28,834.94,835.51,806.82,2.54,20.67,4428573,2500972384.0,3.52,14.95
2022-04-13,826.77,800.54,827.07,800.54,-4.12,-34.4,4737355,2560497216.0,3.18,15.99
2022-04-14,802.38,806.03,812.73,802.38,0.69,5.49,3397207,1897499312.0,1.29,11.47
2022-04-15,800.45,782.17,801.39,780.48,-2.96,-23.86,4261354,2407015472.0,2.59,14.39
2022-04-18,773.32,783.22,785.31,760.35,0.13,1.05,2789772,1550594128.0,3.19,9.42
2022-04-19,776.82,790.24,790.31,773.46,0.9,7.02,3000510,1704198512.0,2.15,10.13
2022-04-20,790.61,777.27,797.31,772.73,-1.64,-12.97,2894533,1627239488.0,3.11,9.77
2022-04-21,776.07,748.13,782.99,743.34,-3.75,-29.14,3668212,1997175456.0,5.1,12.38
2022-04-22,741.5,745.43,752.31,732.13,-0.36,-2.7,3227869,1797486000.0,2.7,10.9
2022-04-25,734.1,681.82,734.1,681.6,-8.53,-63.61,3769653,1924217168.0,7.04,12.73
2022-04-26,680.12,656.77,689.49,653.81,-3.67,-25.05,3399948,1623517248.0,5.23,11.48
2022-04-27,644.46,674.25,674.32,632.5,2.66,17.48,3775472,1717358256.0,6.37,12.75
2022-04-28,670.4,660.22,678.02,648.71,-2.08,-14.03,3282478,1515047232.0,4.35,11.08
2022-04-29,659.99,690.64,696.49,659.99,4.61,30.42,3798025,1771799824.0,5.53,12.82
2022-05-05,690.71,704.27,709.87,683.81,1.97,13.63,3340223,1637422016.0,3.77,11.28
2022-05-06,688.61,695.55,704.73,682.48,-1.24,-8.72,2900021,1433136368.0,3.16,9.79
2022-05-09,695.81,713.43,714.49,695.81,2.57,17.88,2864620,1346185792.0,2.69,9.67
