日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-06-04,1003.76,998.57,1005.62,991.14,-0.14,-1.43,23421153,19456198912.0,1.45,2.75
2020-06-05,996.12,990.39,1001.3,982.06,-0.82,-8.18,21374122,16863444480.0,1.93,2.51
2020-06-08,992.62,1003.93,1007.54,991.93,1.37,13.54,22834646,17528731392.0,1.58,2.69
2020-06-09,1009.48,1045.09,1047.91,1009.48,4.1,41.16,32070715,24931395840.0,3.83,3.77
2020-06-10,1037.95,1025.67,1037.95,1014.87,-1.86,-19.42,30041972,22852356608.0,2.21,3.53
2020-06-11,1028.38,1026.08,1036.36,1018.59,0.04,0.41,24725961,19825391360.0,1.73,2.91
2020-06-12,997.45,1031.04,1035.23,997.35,0.48,4.96,29863738,22667590144.0,3.69,3.51
2020-06-15,1034.82,1055.53,1076.44,1034.82,2.38,24.49,36965126,28648819712.0,4.04,4.35
2020-06-16,1078.96,1076.95,1088.88,1068.29,2.03,21.42,34275662,25140570368.0,1.95,4.03
2020-06-17,1076.9,1100.45,1100.58,1070.76,2.18,23.5,37432384,28491664896.0,2.77,4.4
2020-06-18,1112.17,1100.66,1135.39,1100.6,0.02,0.21,42615730,34400723200.0,3.16,5.01
2020-06-19,1083.9,1093.26,1105.9,1076.61,-0.67,-7.4,34406300,31831263232.0,2.66,4.05
2020-06-22,1090.93,1083.92,1090.93,1078.53,-0.85,-9.34,28676133,27547365632.0,1.13,3.37
2020-06-23,1083.21,1085.2,1096.22,1080.53,0.12,1.28,24947382,25924060672.0,1.45,2.93
2020-06-24,1080.85,1072.49,1086.07,1071.87,-1.17,-12.71,22185469,22346015744.0,1.31,2.61
2020-06-29,1067.48,1059.57,1068.52,1054.07,-1.2,-12.92,26743236,24363589888.0,1.35,3.14
2020-06-30,1064.9,1079.41,1079.41,1064.37,1.87,19.84,22246431,22271390464.0,1.42,2.62
2020-07-01,1080.65,1086.59,1096.63,1074.02,0.67,7.18,30753455,35759537664.0,2.09,3.62
2020-07-02,1079.19,1089.75,1089.89,1075.96,0.29,3.16,35299214,32433710080.0,1.28,4.15
2020-07-03,1089.12,1094.36,1095.52,1083.37,0.42,4.61,31714952,32410919168.0,1.11,3.73
2020-07-06,1095.27,1135.76,1136.01,1095.27,3.78,41.4,38879963,37298407936.0,3.72,4.57
2020-07-07,1145.98,1165.71,1180.27,1133.26,2.64,29.95,43352622,45394135296.0,4.14,5.1
2020-07-08,1164.47,1178.86,1179.44,1144.47,1.13,13.15,41726443,46016923648.0,3.0,4.91
2020-07-09,1175.62,1212.37,1217.06,1173.74,2.84,33.51,45845404,49448485120.0,3.67,5.39
2020-07-10,1202.5,1195.72,1217.63,1191.83,-1.37,-16.65,38902127,42694536448.0,2.13,4.57
2020-07-13,1199.32,1238.93,1238.93,1198.6,3.61,43.21,41540391,40483119872.0,3.37,4.89
2020-07-14,1235.75,1214.51,1239.89,1193.05,-1.97,-24.42,40908088,42639218688.0,3.78,4.81
2020-07-15,1208.22,1153.91,1211.45,1153.27,-4.99,-60.6,35082676,37195501568.0,4.79,4.13
2020-07-16,1149.69,1090.74,1155.04,1089.37,-5.47,-63.17,30482435,30472934912.0,5.69,3.58
2020-07-17,1088.62,1079.97,1101.26,1066.84,-0.99,-10.77,23154497,25191308544.0,3.16,2.72
2020-07-20,1087.43,1111.13,1111.13,1077.64,2.89,31.16,22285802,22894490368.0,3.1,2.62
2020-07-21,1112.72,1116.64,1122.67,1104.1,0.5,5.51,20480280,20663862272.0,1.67,2.41
2020-07-22,1114.65,1123.68,1137.03,1106.49,0.63,7.04,26556076,26903624448.0,2.73,3.12
2020-07-23,1111.45,1105.95,1115.49,1076.61,-1.58,-17.73,24190573,25072782080.0,3.46,2.84
2020-07-24,1098.98,1049.05,1108.38,1045.78,-5.14,-56.9,24853933,23852019712.0,5.66,2.92
2020-07-27,1050.71,1040.7,1055.17,1030.08,-0.8,-8.35,15336796,14924504576.0,2.39,1.8
2020-07-28,1048.49,1059.49,1060.55,1047.11,1.81,18.79,15040378,13902528256.0,1.29,1.77
2020-07-29,1057.21,1093.38,1093.41,1051.99,3.2,33.89,20220129,19466842368.0,3.91,2.38
2020-07-30,1096.23,1087.36,1102.57,1084.93,-0.55,-6.02,24268925,22230193152.0,1.61,2.85
2020-07-31,1088.79,1130.07,1130.07,1088.37,3.93,42.71,29975425,26150290432.0,3.83,3.53
2020-08-03,1147.72,1173.53,1176.11,1147.72,3.85,43.46,31630004,29971446784.0,2.51,3.72
2020-08-04,1177.16,1173.01,1183.71,1163.53,-0.04,-0.52,34681859,35668417280.0,1.72,4.08
2020-08-05,1171.42,1165.71,1175.64,1147.34,-0.62,-7.3,27866730,27463987456.0,2.41,3.28
2020-08-06,1161.8,1153.0,1169.93,1138.74,-1.09,-12.71,25097792,25464119808.0,2.68,2.95
2020-08-07,1148.73,1126.38,1148.73,1110.74,-2.31,-26.62,22881171,21819725824.0,3.29,2.69
2020-08-10,1124.08,1139.19,1145.66,1121.91,1.14,12.81,18051716,17579941632.0,2.11,2.12
2020-08-11,1141.65,1113.06,1143.03,1110.56,-2.29,-26.13,19138738,17480259072.0,2.85,2.25
2020-08-12,1110.41,1109.09,1113.68,1084.25,-0.36,-3.97,17486495,16242452736.0,2.64,2.06
2020-08-13,1114.43,1116.39,1122.01,1110.55,0.66,7.3,14622128,13283669504.0,1.03,1.72
2020-08-14,1116.2,1131.02,1131.26,1111.86,1.31,14.63,14937676,14517402624.0,1.74,1.76
2020-08-17,1132.36,1149.5,1151.43,1130.25,1.63,18.48,19590724,17310059008.0,1.87,2.3
2020-08-18,1144.65,1163.99,1164.34,1142.1,1.26,14.49,21792320,19815695360.0,1.93,2.56
2020-08-19,1158.73,1128.98,1158.73,1127.06,-3.01,-35.01,20004304,17831901440.0,2.72,2.35
2020-08-20,1118.5,1124.34,1134.16,1112.78,-0.41,-4.64,15826847,13840545536.0,1.89,1.86
2020-08-21,1129.21,1136.01,1143.95,1127.65,1.04,11.67,18885546,16845366272.0,1.45,2.22
2020-08-24,1138.36,1139.17,1145.02,1114.77,0.28,3.16,20768606,16746737152.0,2.66,2.44
