日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-08-19,999.59,969.03,1000.32,947.63,-3.1,-30.97,11260011,8888352512.0,5.27,0.94
2021-08-20,946.4,946.13,960.66,930.34,-2.36,-22.9,8714915,8055195136.0,3.13,0.73
2021-08-23,948.16,960.7,961.24,941.13,1.54,14.57,8224775,7211146496.0,2.13,0.69
2021-08-24,958.34,943.15,958.61,938.08,-1.83,-17.55,6895686,6028593152.0,2.14,0.58
2021-08-25,936.84,957.14,957.57,929.3,1.48,13.99,5930774,4955003136.0,3.0,0.5
2021-08-26,955.86,946.07,958.79,945.12,-1.16,-11.07,7126045,5726853632.0,1.43,0.6
2021-08-27,942.2,940.47,950.52,933.4,-0.59,-5.6,5639166,4701818880.0,1.81,0.47
2021-08-30,938.92,961.47,965.28,930.07,2.23,21.0,6148578,5405875712.0,3.74,0.51
2021-08-31,966.0,956.38,966.0,943.4,-0.53,-5.09,6948520,5449805568.0,2.35,0.58
2021-09-01,953.74,943.12,974.09,940.04,-1.39,-13.26,9498367,7126844928.0,3.56,0.79
2021-09-02,934.83,1005.0,1008.97,933.49,6.56,61.88,11239921,9079865600.0,8.0,0.94
2021-09-03,1005.98,1029.17,1048.14,1004.07,2.4,24.17,11624798,10019620096.0,4.39,0.97
2021-09-06,1039.06,1041.82,1063.54,1019.82,1.23,12.65,12890251,10686142720.0,4.25,1.08
2021-09-07,1037.23,1053.44,1054.83,1026.54,1.12,11.62,12285474,10132743168.0,2.72,1.03
2021-09-08,1066.39,1112.07,1118.26,1066.39,5.57,58.63,14950761,13552619264.0,4.92,1.25
2021-09-09,1102.46,1120.76,1153.33,1080.83,0.78,8.69,14634826,12841112576.0,6.52,1.22
2021-09-10,1117.4,1107.69,1155.21,1107.19,-1.17,-13.07,19941440,20428003072.0,4.28,1.67
2021-09-13,1110.45,1113.34,1120.26,1104.05,0.51,5.65,12703944,12439640832.0,1.46,1.06
2021-09-14,1120.78,1084.68,1121.58,1083.36,-2.57,-28.66,11552371,10594565888.0,3.43,0.97
2021-09-15,1092.42,1118.13,1123.11,1086.78,3.08,33.45,12043935,12135861504.0,3.35,1.01
2021-09-16,1118.96,1090.4,1127.72,1088.85,-2.48,-27.73,12162054,12247989504.0,3.48,1.02
2021-09-17,1088.69,1143.74,1148.09,1088.69,4.89,53.34,14424285,14477784576.0,5.45,1.21
2021-09-22,1147.24,1229.17,1237.77,1144.74,7.47,85.43,18753742,18520940288.0,8.13,1.57
2021-09-23,1256.19,1237.42,1274.68,1226.87,0.67,8.25,23280457,24021529600.0,3.89,1.95
2021-09-24,1235.9,1222.09,1244.78,1210.17,-1.24,-15.33,16202407,16401729280.0,2.8,1.35
2021-09-27,1254.43,1164.81,1257.25,1150.09,-4.69,-57.28,16921890,17609518336.0,8.77,1.41
2021-09-28,1142.21,1218.0,1222.09,1141.92,4.57,53.19,17259466,16262057728.0,6.88,1.44
2021-09-29,1190.82,1181.08,1224.3,1178.1,-3.03,-36.92,17009890,15589641728.0,3.79,1.42
2021-09-30,1185.01,1232.22,1239.58,1180.02,4.33,51.14,16358293,15420940288.0,5.04,1.37
2021-10-08,1259.13,1194.32,1264.05,1183.31,-3.08,-37.9,14813013,14854267392.0,6.55,1.24
2021-10-11,1205.87,1138.28,1208.55,1126.9,-4.69,-56.04,17612693,15004655616.0,6.84,1.47
2021-10-12,1115.8,1096.69,1132.86,1068.19,-3.65,-41.59,23494287,19132326400.0,5.68,1.96
2021-10-13,1086.51,1058.05,1086.51,1045.45,-3.52,-38.64,16315182,12700485632.0,3.74,1.36
2021-10-14,1048.15,1068.71,1084.74,1036.33,1.01,10.66,16208190,13498172160.0,4.58,1.35
2021-10-15,1058.17,1063.1,1074.5,1038.74,-0.52,-5.61,14385498,12350141184.0,3.35,1.2
2021-10-18,1064.12,1097.31,1103.76,1063.17,3.22,34.21,17822352,15868812032.0,3.82,1.49
2021-10-19,1094.79,1104.53,1114.84,1086.69,0.66,7.22,14687590,13040932352.0,2.57,1.23
