日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-10-28,998.81,992.91,999.57,983.51,-0.71,-7.09,1047711,1811435440.0,1.61,0.64
2020-10-29,976.59,995.41,996.86,971.22,0.25,2.5,1054474,1653694464.0,2.58,0.64
2020-10-30,997.89,960.66,997.89,960.66,-3.49,-34.75,1375820,1819570528.0,3.74,0.84
2020-11-02,957.78,966.3,966.83,949.2,0.59,5.64,1148675,1541464992.0,1.84,0.7
2020-11-03,964.52,990.93,991.76,963.02,2.55,24.63,1204272,1603402656.0,2.97,0.73
2020-11-04,992.89,974.89,993.54,968.33,-1.62,-16.04,1086631,1477192928.0,2.54,0.66
2020-11-05,989.54,1003.08,1005.45,987.43,2.89,28.19,1791207,2399319504.0,1.85,1.09
2020-11-06,1006.06,991.78,1009.06,987.97,-1.13,-11.3,1297247,1908455328.0,2.1,0.79
2020-11-09,994.87,1017.2,1018.14,993.29,2.56,25.42,1953140,2547345728.0,2.51,1.19
2020-11-10,1015.99,993.49,1016.35,990.83,-2.33,-23.71,1397275,1921527424.0,2.51,0.85
2020-11-11,989.5,960.29,991.01,960.11,-3.34,-33.2,1231325,1613187552.0,3.11,0.75
2020-11-12,962.65,965.01,969.53,955.44,0.49,4.72,896392,1271682944.0,1.47,0.55
2020-11-13,969.12,979.81,984.92,966.61,1.53,14.8,1017458,1425829024.0,1.9,0.62
2020-11-16,980.46,987.06,987.06,976.68,0.74,7.25,1685846,1814502608.0,1.06,1.03
2020-11-17,984.25,983.16,984.25,968.61,-0.4,-3.9,2034706,2126450528.0,1.58,1.24
2020-11-18,980.63,990.94,993.79,979.86,0.79,7.78,1591471,1788265312.0,1.42,0.97
2020-11-19,986.61,992.7,995.09,982.58,0.18,1.76,1309041,1523674352.0,1.26,0.8
2020-11-20,993.34,996.4,996.76,988.91,0.37,3.7,1122710,1414527808.0,0.79,0.68
2020-11-23,992.0,987.25,993.26,981.62,-0.92,-9.15,1270238,1424663872.0,1.17,0.77
2020-11-24,985.45,985.75,988.5,979.9,-0.15,-1.5,908922,1043532240.0,0.87,0.55
2020-11-25,986.98,967.69,987.63,967.69,-1.83,-18.06,1344057,1366912640.0,2.02,0.82
2020-11-26,966.16,961.52,967.42,957.21,-0.64,-6.17,1064488,1154654352.0,1.06,0.65
2020-11-27,962.92,959.53,963.2,951.76,-0.21,-1.99,949812,1130924624.0,1.19,0.58
2020-11-30,961.78,964.7,970.32,957.53,0.54,5.17,1328120,1535465440.0,1.33,0.81
2020-12-01,964.1,985.32,985.69,962.85,2.14,20.62,2393539,2167916224.0,2.37,1.46
2020-12-02,986.29,986.73,989.15,977.75,0.14,1.41,2652488,2319896144.0,1.16,1.61
2020-12-03,983.76,991.76,993.37,980.2,0.51,5.03,1816363,1798567824.0,1.33,1.11
2020-12-04,990.81,993.64,995.86,986.93,0.19,1.88,1262030,1372548752.0,0.9,0.77
2020-12-07,997.73,993.0,997.73,988.23,-0.06,-0.64,1713316,1736833888.0,0.96,1.04
2020-12-08,989.7,976.38,991.8,975.63,-1.67,-16.62,1744199,1625747584.0,1.63,1.06
2020-12-09,972.18,949.11,972.56,948.92,-2.79,-27.27,1555229,1589406496.0,2.42,0.95
2020-12-10,944.22,942.42,949.72,933.73,-0.7,-6.69,1140972,1293513168.0,1.68,0.69
2020-12-11,942.39,924.64,944.34,915.72,-1.89,-17.78,1317457,1396235280.0,3.04,0.8
2020-12-14,922.47,937.34,938.86,917.2,1.37,12.7,1019518,1230525648.0,2.34,0.62
2020-12-15,923.59,921.43,925.07,917.53,-1.7,-15.91,870625,1065120256.0,0.8,0.53
2020-12-16,914.71,895.54,916.69,895.03,-2.81,-25.89,1190468,1510379056.0,2.35,0.72
2020-12-17,892.21,905.29,906.23,883.75,1.09,9.75,1647828,1699184528.0,2.51,1.0
2020-12-18,903.73,884.47,904.37,883.96,-2.3,-20.82,1282746,1361458576.0,2.25,0.78
2020-12-21,884.12,889.68,894.76,878.01,0.59,5.21,1110080,1177766688.0,1.89,0.68
2020-12-22,885.03,862.13,885.1,861.4,-3.1,-27.55,1294217,1488565440.0,2.66,0.79
2020-12-23,860.54,853.65,866.79,851.33,-0.98,-8.48,1027018,1191300528.0,1.79,0.63
2020-12-24,851.79,834.74,851.79,832.29,-2.22,-18.91,1038078,1076502160.0,2.28,0.63
2020-12-25,833.93,834.39,841.1,827.82,-0.04,-0.35,921937,932453088.0,1.59,0.56
2020-12-28,833.38,816.45,834.23,813.96,-2.15,-17.94,955735,1004284336.0,2.43,0.58
2020-12-29,816.84,822.12,830.48,815.59,0.69,5.67,1028322,999037696.0,1.82,0.63
2020-12-30,823.47,825.82,828.88,818.59,0.45,3.7,912328,967388736.0,1.25,0.56
2020-12-31,825.93,843.47,845.95,825.48,2.14,17.65,2201484,1905489216.0,2.48,1.34
2021-01-04,845.52,864.14,864.35,845.1,2.45,20.67,1638007,1689191920.0,2.28,1.0
2021-01-05,862.52,862.24,868.56,854.52,-0.22,-1.9,1683199,1814171312.0,1.62,1.02
2021-01-06,861.67,845.54,863.84,841.3,-1.94,-16.7,1563003,1573784176.0,2.61,0.95
2021-01-07,845.24,807.69,845.24,804.15,-4.48,-37.85,1659477,1628588080.0,4.86,1.01
2021-01-08,806.77,823.11,828.02,792.86,1.91,15.42,2872472,2326366384.0,4.35,1.75
2021-01-11,824.21,796.32,824.21,793.52,-3.25,-26.79,3361495,2684958960.0,3.73,2.05
2021-01-12,794.94,797.59,804.36,791.23,0.16,1.27,2625949,2150253040.0,1.65,1.6
2021-01-13,796.53,774.26,796.82,771.02,-2.93,-23.33,2612698,2129435040.0,3.23,1.59
2021-01-14,774.46,778.96,784.18,762.8,0.61,4.7,2392651,1942706848.0,2.76,1.46
2021-01-15,779.78,800.07,800.98,777.61,2.71,21.11,2174548,1810118112.0,3.0,1.32
2021-01-18,801.76,816.37,818.82,801.76,2.04,16.3,2477390,2225988784.0,2.13,1.51
2021-01-19,814.01,830.92,831.99,811.96,1.78,14.55,2472065,2205090720.0,2.45,1.51
2021-01-20,827.26,828.18,828.23,816.79,-0.33,-2.74,1641855,1524041856.0,1.38,1.0
2021-01-21,824.22,827.2,832.04,820.41,-0.12,-0.98,1716484,1611317680.0,1.4,1.05
2021-01-22,825.75,826.26,828.22,814.84,-0.11,-0.94,2113617,2081117712.0,1.62,1.29
2021-01-25,823.69,819.21,824.37,813.91,-0.85,-7.05,2634701,2453657936.0,1.27,1.6
2021-01-26,815.36,822.22,829.62,810.18,0.37,3.01,2374110,2166128592.0,2.37,1.45
2021-01-27,824.02,829.33,834.82,823.96,0.86,7.11,1963587,1937754800.0,1.32,1.2
2021-01-28,818.43,821.58,834.33,816.48,-0.93,-7.75,1995899,1961521536.0,2.15,1.22
2021-01-29,815.93,801.47,820.82,794.93,-2.45,-20.11,2104809,1972497376.0,3.15,1.28
2021-02-01,798.07,800.68,805.64,795.46,-0.1,-0.79,2386046,2014455392.0,1.27,1.45
2021-02-02,796.55,808.91,811.32,789.37,1.03,8.23,1746931,1678244528.0,2.74,1.06
2021-02-03,808.29,794.91,808.29,793.48,-1.73,-14.0,1600294,1568487680.0,1.83,0.97
2021-02-04,792.13,794.44,795.6,770.11,-0.06,-0.47,1813304,1867012704.0,3.21,1.1
2021-02-05,795.64,782.13,804.17,781.43,-1.55,-12.31,1397169,1475539744.0,2.86,0.85
2021-02-08,777.88,767.92,780.78,764.78,-1.82,-14.21,1254465,1261279968.0,2.05,0.76
2021-02-09,763.8,770.69,774.4,758.36,0.36,2.77,1245208,1321742032.0,2.09,0.76
2021-02-10,772.72,775.21,778.75,767.81,0.59,4.52,1115417,1147774144.0,1.42,0.68
2021-02-18,785.23,804.15,810.17,785.23,3.73,28.94,1664045,1606720688.0,3.22,1.01
2021-02-19,812.6,839.51,839.51,810.12,4.4,35.36,1529808,1498471408.0,3.65,0.93
2021-02-22,846.47,847.91,860.15,845.4,1.0,8.4,2086359,2018778240.0,1.76,1.27
2021-02-23,845.54,830.56,845.66,827.76,-2.05,-17.35,1699332,1566762416.0,2.11,1.03
2021-02-24,826.19,841.79,845.96,823.69,1.35,11.23,1713096,1697637360.0,2.68,1.04
2021-02-25,839.86,830.03,842.48,824.77,-1.4,-11.76,2124095,1728743696.0,2.1,1.29
2021-02-26,819.03,828.22,834.85,813.41,-0.22,-1.81,1604256,1429958400.0,2.58,0.98
2021-03-01,833.34,845.13,846.01,831.14,2.04,16.91,1519962,1431489216.0,1.8,0.93
2021-03-02,844.43,837.04,845.81,831.97,-0.96,-8.09,1483386,1364583088.0,1.64,0.9
2021-03-03,835.43,846.46,846.46,834.11,1.13,9.42,1480092,1398185744.0,1.48,0.9
