日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-04-29,995.67,989.27,1000.62,988.63,-1.07,-10.73,5270042,7024164096.0,1.2,1.06
2021-04-30,984.73,974.38,984.73,969.62,-1.51,-14.89,4193903,6987382528.0,1.53,0.85
2021-05-06,969.4,979.68,981.84,968.57,0.54,5.3,4935729,7738052864.0,1.36,1.0
2021-05-07,976.83,959.54,977.53,959.01,-2.06,-20.14,4429150,6308010752.0,1.89,0.89
2021-05-10,956.06,957.71,960.3,949.25,-0.19,-1.83,4528408,6168672512.0,1.15,0.91
2021-05-11,956.87,967.36,971.72,950.74,1.01,9.65,5162040,7143511808.0,2.19,1.04
2021-05-12,962.38,987.96,988.0,960.23,2.13,20.6,5198264,7166360320.0,2.87,1.05
2021-05-13,983.49,975.67,987.08,974.87,-1.24,-12.29,4666718,6585085952.0,1.24,0.94
2021-05-14,978.46,994.58,996.58,978.46,1.94,18.91,5052097,7098673152.0,1.86,1.02
2021-05-17,995.55,991.93,1002.01,990.23,-0.27,-2.65,5135756,7617687040.0,1.18,1.04
2021-05-18,989.86,997.92,997.97,983.31,0.6,5.99,4821546,7722249216.0,1.48,0.97
2021-05-19,993.99,1002.16,1005.11,989.84,0.42,4.24,4871009,7429787136.0,1.53,0.98
2021-05-20,1006.56,1037.88,1044.91,1004.56,3.56,35.72,6912753,10991442944.0,4.03,1.4
2021-05-21,1045.09,1033.28,1054.49,1031.97,-0.44,-4.6,6792109,10728852992.0,2.17,1.37
2021-05-24,1026.67,1025.63,1031.28,1021.77,-0.74,-7.65,4967948,7808954880.0,0.92,1.0
2021-05-25,1018.82,1020.44,1021.08,1011.48,-0.51,-5.19,5181351,7685314816.0,0.94,1.05
2021-05-26,1018.09,1027.47,1028.53,1017.44,0.69,7.03,4423967,6574880000.0,1.09,0.89
2021-05-27,1027.89,1043.15,1049.67,1027.46,1.53,15.68,4367501,6429274368.0,2.16,0.88
2021-05-28,1051.87,1056.53,1068.65,1051.65,1.28,13.38,4757928,6915489024.0,1.63,0.96
2021-05-31,1054.24,1072.65,1072.78,1051.68,1.53,16.12,5052657,7464318208.0,2.0,1.02
2021-06-01,1067.84,1072.74,1074.38,1060.08,0.01,0.09,5274892,8029239296.0,1.33,1.06
2021-06-02,1069.85,1067.19,1078.7,1063.08,-0.52,-5.55,4921381,7300321280.0,1.46,0.99
2021-06-03,1068.22,1061.4,1072.26,1057.75,-0.54,-5.79,3873705,6196807936.0,1.36,0.78
2021-06-04,1059.82,1066.44,1069.72,1056.93,0.47,5.04,4208585,6306745856.0,1.21,0.85
2021-06-07,1069.51,1068.41,1074.4,1060.99,0.18,1.97,4191958,6152852480.0,1.26,0.85
2021-06-08,1071.03,1079.65,1090.77,1067.57,1.05,11.24,4752979,7207196416.0,2.17,0.96
2021-06-09,1074.92,1082.59,1082.59,1070.84,0.27,2.94,3959643,6053326080.0,1.09,0.8
2021-06-10,1081.82,1085.38,1085.56,1074.14,0.26,2.79,4715648,6969755392.0,1.05,0.95
2021-06-11,1086.4,1078.7,1090.46,1077.45,-0.62,-6.68,5360881,8513168128.0,1.2,1.08
2021-06-15,1085.9,1085.26,1090.29,1080.41,0.61,6.56,5379806,8211560192.0,0.92,1.09
2021-06-16,1079.1,1066.23,1080.71,1064.22,-1.75,-19.03,4902485,7311397120.0,1.52,0.99
2021-06-17,1065.89,1072.55,1079.46,1065.53,0.59,6.32,4475145,6781657600.0,1.31,0.9
2021-06-18,1071.86,1087.77,1089.57,1065.6,1.42,15.22,5001183,7472558848.0,2.23,1.01
2021-06-21,1084.94,1089.22,1093.46,1081.23,0.13,1.45,4556136,7021285632.0,1.12,0.92
2021-06-22,1089.86,1097.83,1098.23,1082.47,0.79,8.61,4651502,7369557760.0,1.45,0.94
2021-06-23,1097.05,1100.65,1105.16,1094.2,0.26,2.82,4873524,7455937536.0,1.0,0.98
2021-06-24,1100.43,1096.69,1101.07,1087.72,-0.36,-3.96,5132873,7242794752.0,1.21,1.04
2021-06-25,1096.95,1095.25,1097.74,1086.47,-0.13,-1.44,4409303,6051443200.0,1.03,0.89
2021-06-28,1094.54,1102.66,1104.82,1093.07,0.68,7.41,4133294,5797985536.0,1.07,0.83
2021-06-29,1103.29,1091.58,1103.97,1087.68,-1.0,-11.08,5375914,7540762112.0,1.48,1.09
2021-06-30,1091.85,1100.15,1100.15,1088.17,0.79,8.57,4594499,6246155008.0,1.1,0.93
2021-07-01,1099.74,1072.73,1101.42,1071.03,-2.49,-27.42,4385542,6092038144.0,2.76,0.89
2021-07-02,1071.8,1093.32,1094.57,1064.28,1.92,20.59,4742628,6400721152.0,2.82,0.96
2021-07-05,1094.95,1112.97,1112.97,1094.19,1.8,19.65,4356756,5950937600.0,1.72,0.88
2021-07-06,1107.14,1112.6,1118.09,1097.98,-0.03,-0.37,4506575,6008191488.0,1.81,0.91
2021-07-07,1104.98,1121.34,1123.88,1102.7,0.79,8.74,4776979,6735464960.0,1.9,0.96
2021-07-08,1118.89,1114.49,1131.36,1113.69,-0.61,-6.85,4582086,7211221248.0,1.58,0.93
2021-07-09,1107.71,1127.11,1131.94,1105.82,1.13,12.62,5063628,7175922944.0,2.34,1.02
2021-07-12,1130.38,1130.88,1135.72,1124.95,0.33,3.77,5584481,8210258432.0,0.96,1.13
2021-07-13,1127.44,1137.06,1137.53,1124.55,0.55,6.18,5768750,7772745984.0,1.15,1.16
2021-07-14,1132.28,1113.94,1132.28,1110.8,-2.03,-23.12,4866316,6324225024.0,1.89,0.98
2021-07-15,1113.7,1114.71,1125.2,1099.93,0.07,0.77,5001954,6173952768.0,2.27,1.01
2021-07-16,1119.86,1129.79,1143.67,1115.8,1.35,15.08,5461920,7534446080.0,2.5,1.1
2021-07-19,1119.56,1111.37,1124.62,1109.89,-1.63,-18.42,5655238,7403936256.0,1.3,1.14
2021-07-20,1099.67,1124.16,1128.24,1098.5,1.15,12.79,5086850,6362876416.0,2.68,1.03
2021-07-21,1128.19,1138.07,1139.62,1126.02,1.24,13.91,8390696,8391574784.0,1.21,1.69
2021-07-22,1135.06,1147.88,1148.34,1129.62,0.86,9.81,9448420,8463276032.0,1.64,1.91
2021-07-23,1146.15,1149.61,1157.0,1142.43,0.15,1.73,9048546,10061357056.0,1.27,1.83
2021-07-26,1150.87,1156.82,1159.69,1130.0,0.63,7.21,8978237,12765572864.0,2.58,1.81
2021-07-27,1152.85,1124.87,1161.8,1124.24,-2.76,-31.95,7399617,10188439040.0,3.25,1.49
2021-07-28,1111.13,1089.56,1114.12,1069.98,-3.14,-35.31,7167278,7779210752.0,3.92,1.45
2021-07-29,1099.53,1128.55,1131.99,1099.53,3.58,38.99,7568172,9131766528.0,2.98,1.53
2021-07-30,1131.08,1157.03,1160.04,1127.12,2.52,28.48,8597899,10742899200.0,2.92,1.74
2021-08-02,1166.54,1176.64,1177.64,1158.1,1.69,19.61,9960120,12455711744.0,1.69,2.01
2021-08-03,1170.34,1158.35,1180.61,1155.47,-1.55,-18.29,8246847,10402213632.0,2.14,1.66
2021-08-04,1157.47,1194.8,1195.12,1157.47,3.15,36.45,8290353,10312031232.0,3.25,1.67
