日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-02-13,995.35,991.34,995.9,973.59,-0.87,-8.66,3676744,3584596290.0,2.23,3.06
2023-02-14,991.0,980.37,1007.63,976.34,-1.11,-10.97,4221951,4174759211.0,3.16,3.52
2023-02-15,971.28,999.4,1001.86,958.18,1.94,19.03,3908957,3999451354.0,4.46,3.25
2023-02-16,988.74,964.84,1003.56,956.97,-3.46,-34.56,5430593,6355281282.0,4.66,4.52
2023-02-17,955.0,924.87,957.86,919.1,-4.14,-39.97,4409840,5177938668.0,4.02,3.67
2023-02-20,927.38,928.74,932.84,909.22,0.42,3.87,2999585,3807913500.0,2.55,2.5
2023-02-21,925.88,940.98,957.24,925.88,1.32,12.24,3407323,4582064288.0,3.38,2.84
2023-02-22,932.75,945.45,950.65,929.03,0.48,4.47,2680844,3696768347.0,2.3,2.23
2023-02-23,949.89,923.73,953.66,916.57,-2.3,-21.72,2565377,3475166974.0,3.92,2.14
2023-02-24,930.04,935.89,939.78,922.61,1.32,12.16,2810999,3857493718.0,1.86,2.34
2023-02-27,938.5,931.22,952.0,930.99,-0.5,-4.67,2643117,3512439171.0,2.24,2.2
2023-02-28,949.65,949.1,960.88,933.66,1.92,17.88,2443283,3381382160.0,2.92,2.03
2023-03-01,960.88,999.02,1001.71,960.88,5.26,49.92,7682084,8133566988.0,4.3,6.4
2023-03-02,996.94,1003.11,1009.3,992.11,0.41,4.09,7329257,7764171473.0,1.72,6.1
2023-03-03,989.26,970.57,993.77,962.2,-3.24,-32.54,5082296,5504318217.0,3.15,4.23
2023-03-06,972.6,960.2,973.95,950.62,-1.07,-10.37,3310101,3678604379.0,2.4,2.76
2023-03-07,955.49,944.29,964.62,943.67,-1.66,-15.91,3421443,4076357464.0,2.18,2.85
2023-03-08,946.28,963.87,963.87,944.88,2.07,19.58,2936299,3689517163.0,2.01,2.44
2023-03-09,959.63,959.2,964.88,942.56,-0.48,-4.67,2869561,3323869440.0,2.32,2.39
2023-03-10,948.7,949.61,961.81,947.54,-1.0,-9.59,4289027,4374190938.0,1.49,3.57
2023-03-13,947.61,969.74,970.62,936.75,2.12,20.13,3494668,3860259522.0,3.57,2.91
2023-03-14,966.89,949.46,969.53,945.09,-2.09,-20.28,3081320,3452939313.0,2.52,2.57
2023-03-15,953.25,938.8,956.74,938.72,-1.12,-10.66,2444550,2687516929.0,1.9,2.04
2023-03-16,930.79,929.86,942.19,918.03,-0.95,-8.94,2671866,2869005872.0,2.57,2.22
2023-03-17,939.45,969.96,974.59,939.45,4.31,40.1,3932862,4540134494.0,3.78,3.27
2023-03-20,973.03,958.74,975.82,955.74,-1.16,-11.22,2929673,3467751590.0,2.07,2.44
2023-03-21,952.05,974.88,974.88,943.38,1.68,16.14,2653214,2997800709.0,3.29,2.21
2023-03-22,984.54,1016.67,1016.67,984.54,4.29,41.79,3702329,4321865792.0,3.3,3.08
