日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-11-06,1013.66,1012.29,1019.0,1006.1,1.23,12.29,1893810,1822718544.0,1.29,1.01
2020-11-09,1023.58,1035.67,1041.13,1021.45,2.31,23.38,1925800,2050728128.0,1.94,1.03
2020-11-10,1046.9,1032.17,1046.9,1027.63,-0.34,-3.5,1866407,2143527440.0,1.86,1.0
2020-11-11,1038.22,1023.23,1039.3,1019.38,-0.87,-8.94,1489661,1480843856.0,1.93,0.8
2020-11-12,1032.36,1032.38,1038.56,1030.42,0.89,9.15,1423079,2639730752.0,0.8,0.76
2020-11-13,1033.08,1036.07,1036.49,1021.9,0.36,3.69,1699063,4017610048.0,1.41,0.91
2020-11-16,1042.53,1052.43,1052.73,1035.58,1.58,16.36,1814313,3677855152.0,1.66,0.97
2020-11-17,1056.44,1040.01,1057.59,1031.54,-1.18,-12.42,2178315,3955297472.0,2.48,1.16
2020-11-18,1038.16,1036.36,1047.69,1034.56,-0.35,-3.65,1375444,2699581280.0,1.26,0.74
2020-11-19,1031.62,1032.48,1034.88,1026.56,-0.37,-3.88,1338491,2405429520.0,0.8,0.72
2020-11-20,1031.22,1035.98,1037.41,1027.0,0.34,3.5,1435516,2533552160.0,1.01,0.77
2020-11-23,1038.44,1041.5,1042.17,1028.92,0.53,5.52,1387945,2107569344.0,1.28,0.74
2020-11-24,1040.54,1031.25,1040.54,1029.7,-0.98,-10.25,1300912,2276000656.0,1.04,0.7
2020-11-25,1033.88,1016.04,1035.05,1015.55,-1.47,-15.21,1030785,1570045312.0,1.89,0.55
2020-11-26,1015.98,1018.41,1022.53,1015.61,0.23,2.37,1453667,1808062592.0,0.68,0.78
2020-11-27,1018.45,1020.71,1022.6,1012.31,0.23,2.3,1650684,1902586368.0,1.01,0.88
2020-11-30,1023.29,1019.12,1031.44,1014.93,-0.16,-1.59,2145337,2137193728.0,1.62,1.15
2020-12-01,1019.58,1039.59,1042.03,1019.58,2.01,20.47,2064014,2018516144.0,2.2,1.1
2020-12-02,1039.42,1043.17,1045.27,1034.18,0.34,3.58,1810361,1816922464.0,1.07,0.97
2020-12-03,1047.12,1050.63,1054.55,1041.03,0.72,7.46,1521864,1657000416.0,1.3,0.81
2020-12-04,1048.72,1053.12,1055.69,1042.99,0.24,2.49,1360273,1609687616.0,1.21,0.73
2020-12-07,1056.69,1034.99,1057.21,1034.59,-1.72,-18.13,1855820,1589761408.0,2.15,0.99
2020-12-08,1034.78,1030.5,1037.03,1030.36,-0.43,-4.49,1327815,1284959168.0,0.64,0.71
2020-12-09,1030.77,1000.33,1030.89,1000.09,-2.93,-30.17,1324276,1377733008.0,2.99,0.71
2020-12-10,1001.74,1006.25,1014.44,997.13,0.59,5.92,895592,1030139344.0,1.73,0.48
2020-12-11,1012.44,1000.49,1017.64,992.52,-0.57,-5.76,1375542,1504780544.0,2.5,0.74
2020-12-14,1001.91,999.67,1002.48,990.25,-0.08,-0.82,1116606,1506788096.0,1.22,0.6
2020-12-15,996.19,988.99,997.37,983.59,-1.07,-10.68,1676569,1956941136.0,1.38,0.9
2020-12-16,986.16,981.22,989.69,979.72,-0.79,-7.77,1126756,1368534496.0,1.01,0.6
2020-12-17,979.95,996.33,997.25,968.81,1.54,15.11,1552185,1878736816.0,2.9,0.83
2020-12-18,992.4,991.89,996.89,983.96,-0.45,-4.44,1175187,1374405232.0,1.3,0.63
