日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-04-21,995.97,1031.67,1040.95,993.76,3.17,31.67,27020320,27953984512.0,4.72,0.72
2020-04-22,1020.64,1038.76,1040.09,1019.82,0.69,7.09,22304208,21752817152.0,1.96,0.59
2020-04-23,1040.61,1013.44,1040.87,1013.44,-2.44,-25.32,21197414,20215464192.0,2.64,0.56
2020-04-24,1009.49,986.98,1016.82,982.31,-2.61,-26.46,20399434,18238811648.0,3.41,0.54
2020-04-27,986.67,970.81,988.48,970.35,-1.64,-16.17,17072846,15820035328.0,1.84,0.45
2020-04-28,963.81,937.83,964.33,904.23,-3.4,-32.98,19027011,18125280000.0,6.19,0.51
2020-04-29,931.35,923.82,939.98,923.24,-1.49,-14.01,14959819,14271752704.0,1.78,0.4
2020-04-30,929.13,961.5,966.54,929.13,4.08,37.68,19773571,21496922880.0,4.05,0.53
2020-05-06,952.33,993.15,993.15,952.33,3.29,31.65,19845782,23374953472.0,4.25,0.53
2020-05-07,997.64,984.38,1001.35,983.88,-0.88,-8.77,19290219,21452569600.0,1.76,0.51
2020-05-08,993.01,1002.41,1011.93,993.01,1.83,18.03,21731931,24411100416.0,1.92,0.58
2020-05-11,1007.47,1002.48,1013.05,993.31,0.01,0.07,21332463,22974865152.0,1.97,0.57
2020-05-12,1001.13,1000.29,1001.95,977.54,-0.22,-2.19,18560967,19976144640.0,2.43,0.49
2020-05-13,994.38,1006.36,1007.22,991.29,0.61,6.07,19187149,20591971072.0,1.59,0.51
2020-05-14,1002.45,999.27,1013.32,998.86,-0.7,-7.09,23514969,24871488000.0,1.44,0.62
2020-05-15,1003.63,1009.34,1018.4,1002.93,1.01,10.07,19471533,22419098880.0,1.55,0.52
2020-05-18,1008.18,983.28,1008.19,980.41,-2.58,-26.06,23441076,26873132288.0,2.75,0.62
2020-05-19,989.23,994.71,994.71,983.87,1.16,11.43,18841696,21052680448.0,1.1,0.5
2020-05-20,991.28,978.18,991.28,974.08,-1.66,-16.53,19626990,22389946368.0,1.73,0.52
2020-05-21,979.71,961.56,981.74,960.08,-1.7,-16.62,18846312,20761171712.0,2.21,0.5
2020-05-22,959.81,943.6,962.58,936.33,-1.87,-17.96,16594801,17971902720.0,2.73,0.44
2020-05-25,942.99,938.94,944.26,932.32,-0.49,-4.66,12913310,14202998016.0,1.27,0.34
2020-05-26,943.67,966.88,967.03,943.67,2.98,27.94,14591974,18372654848.0,2.49,0.39
2020-05-27,970.31,958.64,972.76,955.19,-0.85,-8.24,16240625,19324673024.0,1.82,0.43
2020-05-28,958.11,962.21,964.09,943.43,0.37,3.57,17235856,19822730496.0,2.16,0.46
2020-05-29,958.81,966.4,970.78,955.94,0.44,4.19,17143310,18774442496.0,1.54,0.46
2020-06-01,974.66,1003.99,1005.38,974.66,3.89,37.59,18437785,23334354944.0,3.18,0.49
2020-06-02,1008.68,1007.89,1012.54,1003.02,0.39,3.9,23012706,27012120832.0,0.95,0.61
2020-06-03,1010.73,1008.62,1017.73,1004.16,0.07,0.73,24390910,30865733888.0,1.35,0.65
2020-06-04,1010.03,1005.24,1011.68,998.87,-0.34,-3.38,21871058,25449925888.0,1.27,0.58
2020-06-05,1004.55,1008.6,1012.06,1000.81,0.33,3.36,17844155,21390726400.0,1.12,0.47
2020-06-08,1014.35,1006.18,1018.37,1004.9,-0.24,-2.42,16761064,21285218048.0,1.34,0.45
2020-06-09,1006.56,1010.19,1011.8,1000.78,0.4,4.01,18676804,22375714816.0,1.1,0.5
2020-06-10,1011.27,1007.52,1011.27,998.69,-0.26,-2.67,18653137,21899788800.0,1.25,0.5
2020-06-11,1006.8,1006.28,1020.21,1000.85,-0.12,-1.24,18997477,24000408576.0,1.92,0.5
2020-06-12,982.91,1001.75,1005.56,980.22,-0.45,-4.53,21338897,26546076672.0,2.52,0.57
2020-06-15,999.0,999.44,1015.96,998.4,-0.23,-2.31,21742765,27098668032.0,1.75,0.58
2020-06-16,1011.21,1027.32,1027.32,1010.8,2.79,27.88,20416022,24832629760.0,1.65,0.54
2020-06-17,1027.45,1033.04,1033.04,1018.27,0.56,5.72,23544612,28241190656.0,1.44,0.63
2020-06-18,1031.25,1038.0,1042.77,1030.01,0.48,4.96,24315620,29474751232.0,1.24,0.65
2020-06-19,1036.15,1036.66,1040.14,1031.79,-0.13,-1.34,20708624,25505513728.0,0.8,0.55
2020-06-22,1038.88,1039.79,1045.3,1036.31,0.3,3.13,21399427,28751195136.0,0.87,0.57
2020-06-23,1038.17,1039.79,1041.51,1029.47,0.0,0.0,21308982,28889488128.0,1.16,0.57
2020-06-24,1039.27,1034.95,1041.95,1032.11,-0.47,-4.84,17576901,22951441152.0,0.95,0.47
2020-06-29,1028.41,1021.5,1031.93,1017.93,-1.3,-13.45,21903945,28833382144.0,1.35,0.58
2020-06-30,1025.46,1039.53,1042.13,1025.46,1.77,18.03,21640856,28512858880.0,1.63,0.57
2020-07-01,1041.35,1039.51,1041.79,1027.71,0.0,-0.02,28017949,40547994624.0,1.35,0.74
2020-07-02,1039.48,1055.9,1056.54,1035.8,1.58,16.39,27845263,38387646464.0,2.0,0.74
2020-07-03,1059.83,1071.38,1071.63,1055.95,1.47,15.48,31632585,42192940800.0,1.48,0.84
2020-07-06,1078.6,1117.72,1118.99,1078.6,4.33,46.34,39401877,51984650240.0,3.77,1.05
