日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-04-19,994.8,1000.93,1024.85,994.8,0.09,0.93,18545774,38286552942.0,3.01,1.28
2023-04-20,1003.58,1030.44,1030.44,1002.24,2.95,29.51,19203592,41776252786.0,2.82,1.32
2023-04-21,1025.82,952.33,1025.82,952.33,-7.58,-78.11,25172614,45721538328.0,7.13,1.74
2023-04-24,949.17,945.7,964.27,939.27,-0.7,-6.63,18475600,35666245238.0,2.63,1.27
2023-04-25,944.51,929.14,946.01,914.47,-1.75,-16.56,20178181,37623585993.0,3.34,1.39
2023-04-26,922.41,897.05,933.6,886.44,-3.45,-32.09,21184403,40354123613.0,5.08,1.46
2023-04-27,890.9,878.55,906.95,871.75,-2.06,-18.5,16473598,29475990254.0,3.92,1.14
2023-04-28,875.68,913.29,915.13,875.68,3.95,34.74,16693931,29031061697.0,4.49,1.15
2023-05-04,909.05,903.42,918.88,886.4,-1.08,-9.87,17693563,29174377281.0,3.56,1.22
2023-05-05,903.34,928.71,932.72,897.59,2.8,25.29,19611855,35842770716.0,3.89,1.35
2023-05-08,928.23,959.87,960.24,918.43,3.36,31.16,20881182,39823779047.0,4.5,1.44
2023-05-09,958.87,941.99,968.07,940.0,-1.86,-17.88,20466301,41345579589.0,2.92,1.41
2023-05-10,933.82,941.9,957.83,930.16,-0.01,-0.09,18542473,37472573332.0,2.94,1.28
2023-05-11,942.22,929.35,948.37,926.55,-1.33,-12.55,17750596,34508204361.0,2.32,1.22
2023-05-12,923.3,915.79,937.01,915.76,-1.46,-13.56,14446351,27057902060.0,2.29,1.0
2023-05-15,916.0,907.81,918.6,883.48,-0.87,-7.98,15193437,27209815543.0,3.83,1.05
2023-05-16,908.28,872.48,908.59,870.27,-3.89,-35.33,13913755,24792185363.0,4.22,0.96
2023-05-17,868.99,885.61,887.95,865.07,1.5,13.13,10618130,18900292198.0,2.62,0.73
2023-05-18,884.78,918.29,918.32,881.14,3.69,32.68,16251359,31479063303.0,4.2,1.12
2023-05-19,915.14,908.43,917.42,903.07,-1.07,-9.86,13300608,25401034083.0,1.56,0.92
2023-05-22,906.51,899.17,907.16,892.14,-1.02,-9.26,11045403,21221389755.0,1.65,0.76
2023-05-23,898.29,879.28,898.43,879.28,-2.21,-19.89,10171856,19509007525.0,2.13,0.7
2023-05-24,876.19,881.41,889.53,868.39,0.24,2.13,11829419,21471340279.0,2.4,0.82
2023-05-25,881.14,871.9,892.01,855.08,-1.08,-9.51,12900193,21989752883.0,4.19,0.89
2023-05-26,872.0,895.29,898.2,871.33,2.68,23.39,13555170,24777238442.0,3.08,0.93
2023-05-29,897.3,895.24,905.31,892.47,-0.01,-0.05,13916135,24785429200.0,1.43,0.96
2023-05-30,889.91,919.56,919.59,877.75,2.72,24.32,16936126,29289829490.0,4.67,1.17
2023-05-31,920.51,946.57,947.69,920.51,2.94,27.01,19628631,35464878852.0,2.96,1.35
2023-06-01,941.25,958.97,969.62,938.32,1.31,12.4,22114860,40965762669.0,3.31,1.53
2023-06-02,961.15,964.07,970.04,958.93,0.53,5.1,17553102,32090112725.0,1.16,1.21
2023-06-05,962.52,972.9,976.82,961.71,0.92,8.83,15592085,27963264844.0,1.57,1.08
2023-06-06,972.19,953.08,979.06,949.32,-2.04,-19.82,19302552,33829150122.0,3.06,1.33
2023-06-07,952.49,980.46,982.22,944.85,2.87,27.38,17861425,32750246970.0,3.92,1.23
2023-06-08,979.33,966.85,979.6,954.44,-1.39,-13.61,17802075,31242872041.0,2.57,1.23
2023-06-09,967.04,983.19,983.55,961.83,1.69,16.34,19431682,33319810460.0,2.25,1.34
2023-06-12,981.57,985.8,994.15,981.57,0.27,2.61,18644548,32661950195.0,1.28,1.29
2023-06-13,986.74,1009.33,1011.72,977.97,2.39,23.53,25073313,42344108689.0,3.42,1.73
2023-06-14,1008.94,1019.47,1023.04,1008.31,1.0,10.14,23468574,41439781969.0,1.46,1.62
2023-06-15,1019.84,1000.97,1022.92,999.75,-1.81,-18.5,23324278,38479512682.0,2.27,1.61
2023-06-16,996.44,1033.27,1037.52,987.02,3.23,32.3,23729025,42954381790.0,5.05,1.64
2023-06-19,1036.25,1059.54,1060.6,1035.0,2.54,26.27,25235227,49646030676.0,2.48,1.74
2023-06-20,1055.03,1053.78,1058.76,1042.33,-0.54,-5.76,22608506,44757383232.0,1.55,1.56
2023-06-21,1048.1,1005.66,1048.1,1005.43,-4.57,-48.12,24393041,41772524434.0,4.05,1.68
2023-06-26,993.89,946.36,1001.67,943.92,-5.9,-59.3,21183601,34323097299.0,5.74,1.46
2023-06-27,950.06,961.19,966.23,948.0,1.57,14.83,14682081,23812777219.0,1.93,1.01
2023-06-28,957.37,931.82,957.37,903.3,-3.06,-29.37,18046840,27831338802.0,5.63,1.24
2023-06-29,931.03,943.89,948.63,927.51,1.3,12.07,15554083,23452802767.0,2.27,1.07
2023-06-30,939.82,951.41,954.4,932.06,0.8,7.52,15883348,22670749146.0,2.37,1.1
2023-07-03,953.38,951.27,955.71,926.49,-0.01,-0.14,17556018,26521275215.0,3.07,1.21
2023-07-04,947.1,959.48,959.65,943.71,0.86,8.21,14229616,22140993811.0,1.68,0.98
2023-07-05,965.95,950.48,980.61,950.48,-0.94,-9.0,16609852,25526180121.0,3.14,1.15
2023-07-06,947.79,949.09,966.45,944.35,-0.15,-1.39,14208354,21230309124.0,2.33,0.98
2023-07-07,944.68,928.33,944.68,914.66,-2.19,-20.76,14892323,21207968785.0,3.16,1.03
2023-07-10,930.98,924.9,932.6,921.15,-0.37,-3.43,12898380,17306067640.0,1.23,0.89
2023-07-11,923.47,924.06,929.97,917.62,-0.09,-0.84,12938581,17913611043.0,1.34,0.89
2023-07-12,922.13,894.89,924.8,894.48,-3.16,-29.17,15814604,22043234486.0,3.28,1.09
2023-07-13,896.69,910.74,913.38,888.82,1.77,15.85,13986419,20525616599.0,2.74,0.96
2023-07-14,912.41,944.65,953.0,912.41,3.72,33.91,19214371,30683960114.0,4.46,1.33
2023-07-17,943.12,944.44,957.05,940.35,-0.02,-0.21,15975726,24203080825.0,1.77,1.1
2023-07-18,942.07,923.44,942.45,922.4,-2.22,-21.0,11247815,16341654534.0,2.12,0.78
2023-07-19,927.15,927.56,935.92,924.07,0.45,4.12,12372072,17674212484.0,1.28,0.85
2023-07-20,927.15,901.09,928.19,899.99,-2.85,-26.47,12950871,18113737206.0,3.04,0.89
2023-07-21,895.8,890.1,905.19,887.46,-1.22,-10.99,10221431,13750059822.0,1.97,0.71
2023-07-24,888.35,895.18,908.17,884.56,0.57,5.08,9743286,13321592611.0,2.65,0.67
2023-07-25,905.17,910.22,914.07,898.0,1.68,15.04,12510503,20039349339.0,1.8,0.86
2023-07-26,909.23,886.48,909.23,884.34,-2.61,-23.74,11425186,16326956232.0,2.73,0.79
2023-07-27,885.59,873.81,889.12,872.35,-1.43,-12.67,10115750,13782969216.0,1.89,0.7
2023-07-28,872.75,881.16,885.36,865.85,0.84,7.35,10765063,17465735689.0,2.23,0.74
2023-07-31,880.58,888.86,896.26,873.67,0.87,7.7,12927582,19296642861.0,2.56,0.89
2023-08-01,887.11,884.84,890.39,874.61,-0.45,-4.02,10638904,16015271616.0,1.78,0.73
2023-08-02,880.86,887.64,887.64,876.94,0.32,2.8,8889711,13385009483.0,1.21,0.61
2023-08-03,883.69,882.25,890.69,878.87,-0.61,-5.39,7890974,12797970830.0,1.33,0.54
2023-08-04,883.43,913.61,918.77,883.43,3.55,31.36,16249994,26439797731.0,4.01,1.12
2023-08-07,913.2,924.4,926.82,912.92,1.18,10.79,19384047,24837782037.0,1.52,1.34
2023-08-08,923.69,918.75,931.22,917.28,-0.61,-5.65,17436171,22282833231.0,1.51,1.2
2023-08-09,914.31,905.36,927.62,903.72,-1.46,-13.39,16150228,21100858077.0,2.6,1.11
2023-08-10,901.24,903.34,909.57,895.63,-0.22,-2.02,14096591,17398919565.0,1.54,0.97
2023-08-11,901.77,878.91,902.88,878.91,-2.7,-24.43,15554266,17143953535.0,2.65,1.07
2023-08-14,869.04,908.41,908.41,867.64,3.36,29.5,16592777,20355029790.0,4.64,1.14
2023-08-15,908.7,893.61,909.28,884.17,-1.63,-14.8,14340565,17889997888.0,2.76,0.99
2023-08-16,892.03,879.36,892.7,872.18,-1.59,-14.25,16475336,20552640360.0,2.3,1.14
2023-08-17,872.83,892.62,895.43,863.48,1.51,13.26,16476268,22515609789.0,3.63,1.14
2023-08-18,891.01,865.77,899.84,865.77,-3.01,-26.85,16824777,20721148610.0,3.82,1.16
2023-08-21,861.96,868.66,888.01,861.96,0.33,2.89,14680861,18829615792.0,3.01,1.01
2023-08-22,886.52,929.32,929.33,886.52,6.98,60.66,28736705,36652905168.0,4.93,1.98
2023-08-23,932.91,928.56,948.7,925.64,-0.08,-0.76,24851820,37986920104.0,2.48,1.71
2023-08-24,937.35,920.46,948.29,919.97,-0.87,-8.1,27131930,41796334805.0,3.05,1.87
2023-08-25,905.03,871.97,909.28,868.04,-5.27,-48.49,23183641,32198058239.0,4.48,1.6
2023-08-28,932.24,867.78,932.24,867.32,-0.48,-4.19,27128028,40997224753.0,7.45,1.87
2023-08-29,863.91,916.02,917.83,863.91,5.56,48.24,26624230,40605029128.0,6.21,1.84
2023-08-30,911.29,944.76,951.77,911.28,3.14,28.74,28643582,44771569269.0,4.42,1.98
2023-08-31,934.64,932.46,939.51,926.96,-1.3,-12.3,19716700,31326112979.0,1.33,1.36
2023-09-01,930.75,921.76,937.09,916.59,-1.15,-10.7,17233521,27342486458.0,2.2,1.19
2023-09-04,924.89,941.63,941.63,915.04,2.16,19.87,21391318,32883572215.0,2.88,1.48
2023-09-05,936.45,921.14,936.45,918.36,-2.18,-20.49,19934600,31126777390.0,1.92,1.37
2023-09-06,915.11,920.1,921.28,901.63,-0.11,-1.04,17903005,26672584799.0,2.13,1.23
2023-09-07,915.88,915.14,928.61,914.29,-0.54,-4.96,19693224,27406397053.0,1.56,1.36
2023-09-08,908.32,912.39,915.68,893.82,-0.3,-2.75,19505681,28336889515.0,2.39,1.35
2023-09-11,911.94,920.15,929.57,901.92,0.85,7.76,20772164,28569838325.0,3.03,1.43
