日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-05-11,1075.13,1040.54,1080.32,1027.91,4.05,40.54,11493073,14466573312.0,5.24,1.67
2022-05-12,1043.57,1039.59,1067.02,1013.08,-0.09,-0.95,19288028,19883045376.0,5.18,2.81
2022-05-13,1034.97,989.81,1035.08,979.17,-4.79,-49.78,15699236,14683770880.0,5.38,2.28
2022-05-16,984.92,980.07,989.18,963.06,-0.98,-9.74,12360552,11940416256.0,2.64,1.8
2022-05-17,968.44,940.52,968.44,914.63,-4.04,-39.55,10774220,8095041280.0,5.49,1.57
2022-05-18,921.08,928.43,948.4,920.83,-1.29,-12.09,9393321,9277978112.0,2.93,1.37
2022-05-19,914.64,944.38,944.76,911.82,1.72,15.95,9728791,9116367360.0,3.55,1.42
2022-05-20,939.6,938.08,951.8,933.23,-0.67,-6.3,9798771,8143766784.0,1.97,1.43
2022-05-23,934.95,945.18,945.18,924.56,0.76,7.1,9152535,7325055488.0,2.2,1.33
2022-05-24,959.12,887.19,960.92,887.19,-6.14,-57.99,11028253,9069033728.0,7.8,1.6
2022-05-25,876.27,909.12,909.45,876.27,2.47,21.93,9179176,7408169216.0,3.74,1.34
2022-05-26,912.49,929.81,948.09,912.35,2.28,20.69,11110272,9097119488.0,3.93,1.62
2022-05-27,934.04,947.93,954.95,923.08,1.95,18.12,12540012,12320967680.0,3.43,1.82
2022-05-30,948.25,941.94,949.46,932.27,-0.63,-5.99,11121175,11863173120.0,1.81,1.62
2022-05-31,939.06,914.62,940.41,902.02,-2.9,-27.32,8910790,7996518144.0,4.08,1.3
2022-06-01,905.2,906.35,917.97,897.94,-0.9,-8.27,6892502,5138232832.0,2.19,1.0
2022-06-02,903.64,903.08,906.28,890.67,-0.36,-3.27,7992229,7728655616.0,1.72,1.16
2022-06-06,898.78,907.18,910.16,894.01,0.45,4.1,6980892,6566184960.0,1.79,1.02
2022-06-07,905.85,898.18,908.44,884.48,-0.99,-9.0,6748457,6103774720.0,2.64,0.98
2022-06-08,901.1,891.5,907.74,879.04,-0.74,-6.68,6507286,6115017728.0,3.2,0.95
2022-06-09,886.46,889.25,898.77,879.38,-0.25,-2.25,7836579,7323976960.0,2.17,1.14
2022-06-10,881.1,889.48,893.22,878.45,0.03,0.23,5522041,5132225792.0,1.66,0.8
2022-06-13,881.63,870.24,883.71,860.3,-2.16,-19.24,6135524,5106630912.0,2.63,0.89
2022-06-14,861.39,870.22,874.58,847.92,0.0,-0.02,5227827,4464492032.0,3.06,0.76
2022-06-15,868.91,874.96,889.76,867.32,0.54,4.74,7081047,6231001600.0,2.58,1.03
2022-06-16,874.17,875.76,880.55,867.48,0.09,0.8,4980379,4324168448.0,1.49,0.72
2022-06-17,867.68,867.75,871.87,853.17,-0.91,-8.01,5008206,3994731794.0,2.14,0.73
2022-06-20,870.28,876.77,879.32,868.71,1.04,9.02,4456603,3644284966.0,1.22,0.65
2022-06-21,877.63,884.57,894.51,873.87,0.89,7.8,5846559,5907505471.0,2.35,0.85
2022-06-22,881.99,861.82,881.99,861.82,-2.57,-22.75,4913792,4272571909.0,2.28,0.71
2022-06-23,859.46,872.2,872.2,848.68,1.2,10.38,5242876,3775391136.0,2.73,0.76
2022-06-24,873.36,869.47,874.17,865.61,-0.31,-2.73,4391295,3501526540.0,0.98,0.64
2022-06-27,872.04,871.89,875.9,868.2,0.28,2.42,4410450,3294568398.0,0.89,0.64
2022-06-28,871.24,877.62,877.62,864.45,0.66,5.73,4808504,3517279679.0,1.51,0.7
2022-06-29,877.53,908.0,916.66,876.61,3.46,30.38,9426523,8243530733.0,4.56,1.37
2022-06-30,904.16,900.03,908.37,894.02,-0.88,-7.97,8579978,6978315874.0,1.58,1.25
2022-07-01,900.86,899.68,912.02,895.23,-0.04,-0.35,6022471,4871644838.0,1.87,0.88
2022-07-04,896.39,889.43,896.71,882.02,-1.14,-10.25,4515773,3705844825.0,1.63,0.66
2022-07-05,890.21,886.66,890.21,872.67,-0.31,-2.77,5761540,4351961496.0,1.97,0.84
2022-07-06,881.79,865.32,881.79,859.51,-2.41,-21.34,4046502,3263349633.0,2.51,0.59
2022-07-07,864.99,862.43,871.27,861.6,-0.33,-2.89,3261329,2482741236.0,1.12,0.47
2022-07-08,864.18,873.03,883.31,862.85,1.23,10.6,4115709,3519407193.0,2.37,0.6
2022-07-11,868.89,876.48,881.82,860.99,0.4,3.45,4684619,3991896325.0,2.39,0.68
2022-07-12,874.78,901.81,906.99,870.9,2.89,25.33,9282013,8237594764.0,4.12,1.35
2022-07-13,907.55,919.05,936.98,905.79,1.91,17.24,11156206,11544828995.0,3.46,1.62
2022-07-14,907.34,891.83,907.34,889.06,-2.96,-27.22,7805638,7499519384.0,1.99,1.14
2022-07-15,883.65,864.21,883.93,860.19,-3.1,-27.62,6946690,5585242440.0,2.66,1.01
2022-07-18,865.02,904.84,907.21,865.02,4.7,40.63,6239327,4930718466.0,4.88,0.91
2022-07-19,904.3,898.68,906.39,892.15,-0.68,-6.16,5779600,4196435918.0,1.57,0.84
2022-07-20,901.7,899.12,903.3,894.64,0.05,0.44,4406511,3631587826.0,0.96,0.64
2022-07-21,895.66,887.43,901.2,885.98,-1.3,-11.69,5282722,3890497737.0,1.69,0.77
2022-07-22,886.19,892.46,908.61,884.81,0.57,5.03,5649843,3674191475.0,2.68,0.82
2022-07-25,890.03,877.41,900.2,875.24,-1.69,-15.05,5843830,3238923999.0,2.8,0.85
2022-07-26,874.42,891.69,891.69,865.4,1.63,14.28,5175323,3228585302.0,3.0,0.75
2022-07-27,885.66,882.66,890.17,879.37,-1.01,-9.03,4200986,2564215319.0,1.21,0.61
2022-07-28,885.09,881.84,889.51,881.53,-0.09,-0.82,3905507,2420523380.0,0.9,0.57
2022-07-29,883.87,865.94,883.87,865.76,-1.8,-15.9,3897783,2632010089.0,2.05,0.57
2022-08-01,865.41,864.49,865.66,858.56,-0.17,-1.45,3382205,2142575653.0,0.82,0.49
2022-08-02,856.81,806.61,856.81,797.38,-6.7,-57.88,5622504,3332382765.0,6.87,0.82
2022-08-03,804.2,796.41,822.45,793.94,-1.26,-10.2,3848655,2251476286.0,3.53,0.56
2022-08-04,801.41,815.86,815.86,798.22,2.44,19.45,3093204,1879836703.0,2.21,0.45
2022-08-05,817.53,820.39,820.8,808.91,0.56,4.53,2604005,1601032632.0,1.46,0.38
2022-08-08,819.78,827.83,828.58,817.5,0.91,7.44,2815021,1749512885.0,1.35,0.41
2022-08-09,827.76,827.78,833.05,823.85,-0.01,-0.05,2922202,1869954519.0,1.11,0.43
2022-08-10,826.74,826.16,827.78,821.62,-0.2,-1.62,3183073,1772942869.0,0.74,0.46
2022-08-11,831.63,844.94,853.23,831.63,2.27,18.78,5537343,3589682982.0,2.61,0.81
2022-08-12,842.75,851.45,856.21,837.85,0.77,6.51,5015850,2953511875.0,2.17,0.73
2022-08-15,848.94,846.42,849.06,839.34,-0.59,-5.03,2825931,1746849199.0,1.14,0.41
2022-08-16,847.69,856.2,857.32,847.69,1.16,9.78,3843557,2273696273.0,1.14,0.56
2022-08-17,855.46,856.43,859.99,855.14,0.03,0.23,3420899,2189713319.0,0.57,0.5
2022-08-18,854.0,846.23,854.06,839.86,-1.19,-10.2,4008211,2312704242.0,1.66,0.58
2022-08-19,846.45,845.35,858.46,845.31,-0.1,-0.88,4058331,2110572395.0,1.55,0.59
2022-08-22,843.06,850.38,851.56,839.79,0.6,5.03,4789147,2314200832.0,1.39,0.7
2022-08-23,848.35,846.78,848.91,843.15,-0.42,-3.6,3545650,1833654048.0,0.68,0.52
2022-08-24,848.64,830.23,851.96,828.16,-1.95,-16.55,4125563,2330298617.0,2.81,0.6
2022-08-25,834.81,841.02,847.04,826.11,1.3,10.79,4773936,3165002421.0,2.52,0.69
2022-08-26,838.54,827.29,839.22,825.35,-1.63,-13.73,3367894,2179619875.0,1.65,0.49
2022-08-29,815.86,840.14,840.33,809.0,1.55,12.85,3171174,1879450622.0,3.79,0.46
2022-08-30,840.72,840.13,846.97,834.0,0.0,-0.01,3037732,1708979914.0,1.54,0.44
2022-08-31,840.21,827.26,840.21,822.12,-1.53,-12.87,3899265,2270307101.0,2.15,0.57
