日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-09-27,1005.9,1008.92,1020.08,1002.44,0.89,8.92,21997058,23299867078.0,1.76,2.29
2023-09-28,1012.58,1002.73,1013.89,997.74,-0.61,-6.19,17690958,19731161055.0,1.6,1.84
2023-10-09,992.46,999.43,1001.55,986.92,-0.33,-3.3,19482195,20262042244.0,1.46,2.03
2023-10-10,997.36,1005.03,1010.51,995.11,0.56,5.6,21674953,24112584678.0,1.54,2.26
2023-10-11,996.76,1000.61,1007.02,989.56,-0.44,-4.42,18325064,21485153602.0,1.74,1.91
2023-10-12,1000.66,991.87,1002.39,987.59,-0.87,-8.74,14310714,18388756443.0,1.48,1.49
2023-10-13,985.29,975.73,985.29,974.29,-1.63,-16.14,14503121,18235482354.0,1.11,1.51
2023-10-16,974.77,963.7,974.9,957.01,-1.23,-12.03,14359106,16839673863.0,1.83,1.5
2023-10-17,960.2,952.19,960.76,946.23,-1.19,-11.51,11266994,13462143352.0,1.51,1.17
2023-10-18,949.08,935.66,949.08,929.4,-1.74,-16.53,13165323,16037114330.0,2.07,1.37
2023-10-19,930.83,926.14,945.92,925.59,-1.02,-9.52,12889591,14220630902.0,2.17,1.34
2023-10-20,919.52,905.42,928.43,903.61,-2.24,-20.72,11889879,13447883278.0,2.68,1.24
2023-10-23,896.24,873.39,896.75,868.74,-3.54,-32.03,11532810,11820370304.0,3.09,1.2
2023-10-24,873.23,888.67,892.9,870.11,1.75,15.28,16281632,18683725813.0,2.61,1.7
2023-10-25,890.81,904.41,906.44,889.45,1.77,15.74,15812050,18470826092.0,1.91,1.65
2023-10-26,896.22,906.57,906.63,889.98,0.24,2.16,14203587,16039660856.0,1.84,1.48
2023-10-27,901.76,909.85,914.14,889.18,0.36,3.28,13879885,16718509355.0,2.75,1.45
2023-10-30,905.16,928.27,930.49,904.91,2.02,18.42,13115888,16200304120.0,2.81,1.37
2023-10-31,927.0,916.53,930.0,910.52,-1.26,-11.74,14494286,16244024310.0,2.1,1.51
2023-11-01,916.72,913.52,921.38,912.83,-0.33,-3.01,10873282,12139865880.0,0.93,1.13
2023-11-02,914.87,899.08,919.08,898.81,-1.58,-14.44,11317322,12289400821.0,2.22,1.18
2023-11-03,909.89,930.4,934.48,909.89,3.48,31.32,14558592,16294661088.0,2.74,1.52
2023-11-06,933.78,953.98,954.85,933.78,2.53,23.58,16177870,18060658295.0,2.26,1.69
2023-11-07,953.15,962.12,964.38,948.32,0.85,8.14,15653050,18063342430.0,1.68,1.63
2023-11-08,961.66,965.7,971.33,955.93,0.37,3.58,15625434,18232043725.0,1.6,1.63
2023-11-09,964.94,962.72,970.89,959.43,-0.31,-2.98,15059276,18543866992.0,1.19,1.57
2023-11-10,956.83,955.03,963.75,952.68,-0.8,-7.69,10404146,13464854763.0,1.15,1.08
2023-11-13,958.52,973.22,973.29,958.52,1.9,18.19,11967827,15467150396.0,1.55,1.25
2023-11-14,972.62,983.1,983.26,968.83,1.02,9.88,13001956,15915382097.0,1.48,1.36
2023-11-15,990.09,986.01,991.31,979.27,0.3,2.91,11602215,14316582586.0,1.22,1.21
2023-11-16,984.23,979.65,986.99,979.65,-0.65,-6.36,11102985,14627181392.0,0.74,1.16
2023-11-17,977.65,991.61,991.61,976.6,1.22,11.96,12297792,16352020549.0,1.53,1.28
2023-11-20,993.74,1018.1,1018.11,993.74,2.67,26.49,14875919,18532597469.0,2.46,1.55
2023-11-21,1022.45,1000.91,1022.59,998.41,-1.69,-17.19,16846332,20754384257.0,2.38,1.76
2023-11-22,996.59,984.17,1003.45,984.15,-1.67,-16.74,13370744,16748503005.0,1.93,1.39
2023-11-23,983.17,991.84,992.5,976.41,0.78,7.67,12152444,15071554788.0,1.63,1.27
2023-11-24,990.27,971.18,990.41,969.64,-2.08,-20.66,13643573,17393758090.0,2.09,1.42
2023-11-27,969.53,979.95,983.15,969.17,0.9,8.77,13685449,17646434005.0,1.44,1.43
2023-11-28,977.25,985.81,989.9,974.71,0.6,5.86,12420379,16505922685.0,1.55,1.29
2023-11-29,982.2,975.27,987.97,973.77,-1.07,-10.54,10766068,14080841288.0,1.44,1.12
2023-11-30,975.74,967.25,982.33,957.47,-0.82,-8.02,12313346,15600145643.0,2.55,1.28
2023-12-01,963.74,969.2,971.96,954.37,0.2,1.95,12628949,15802961660.0,1.82,1.32
2023-12-04,968.84,970.55,977.58,968.43,0.14,1.35,12697689,15561521621.0,0.94,1.32
2023-12-05,967.74,943.61,967.87,943.61,-2.78,-26.94,12605642,14762447305.0,2.5,1.31
2023-12-06,940.58,943.22,952.32,940.08,-0.04,-0.39,10845630,13270217588.0,1.3,1.13
2023-12-07,942.23,945.26,949.8,939.08,0.22,2.04,11261183,13738237987.0,1.14,1.17
2023-12-08,947.26,947.13,957.03,945.37,0.2,1.87,14685785,17947599748.0,1.23,1.53
2023-12-11,943.7,960.82,960.82,933.71,1.45,13.69,12840556,16320423857.0,2.86,1.34
2023-12-12,960.47,963.57,967.87,958.04,0.29,2.75,11421060,15212207746.0,1.02,1.19
2023-12-13,966.17,972.76,983.69,961.78,0.95,9.19,14149386,16894717700.0,2.27,1.47
2023-12-14,974.87,971.23,983.62,969.86,-0.16,-1.53,15100223,16548001508.0,1.41,1.57
2023-12-15,970.38,961.64,972.89,957.6,-0.99,-9.59,12206555,13777622378.0,1.57,1.27
2023-12-18,956.83,941.3,956.83,939.23,-2.12,-20.34,11546757,12792827923.0,1.83,1.2
2023-12-19,940.62,949.77,950.17,934.38,0.9,8.47,9811415,10754930650.0,1.68,1.02
2023-12-20,950.39,939.69,954.56,939.12,-1.06,-10.08,10793769,11998038226.0,1.63,1.12
2023-12-21,934.66,940.79,946.43,918.94,0.12,1.1,11352917,13071251157.0,2.93,1.18
2023-12-22,939.84,920.21,941.29,916.88,-2.19,-20.58,13211864,14186407213.0,2.59,1.38
2023-12-25,916.85,919.98,926.11,912.79,-0.02,-0.23,8339485,9259627289.0,1.45,0.87
2023-12-26,919.02,897.07,919.02,893.41,-2.49,-22.91,8498410,9161415092.0,2.78,0.89
2023-12-27,897.46,907.59,909.09,894.04,1.17,10.52,8353498,9745301633.0,1.68,0.87
2023-12-28,908.31,935.43,940.15,904.1,3.07,27.84,11059707,13679161927.0,3.97,1.15
2023-12-29,935.54,955.99,955.99,934.04,2.2,20.56,11248860,13157729309.0,2.35,1.17
2024-01-02,957.13,948.42,960.1,948.4,-0.79,-7.57,10889486,13387355116.0,1.22,1.13
2024-01-03,946.68,940.54,948.78,929.44,-0.83,-7.88,9918685,12515983139.0,2.04,1.03
2024-01-04,938.02,936.05,939.5,932.02,-0.48,-4.49,7966130,10230714606.0,0.8,0.83
