日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-03-21,1031.56,1039.07,1041.36,1024.93,3.91,39.07,4261956,7908932096.0,1.64,0.16
2016-03-22,1040.13,1047.89,1058.51,1035.84,0.85,8.82,6415023,11583929088.0,2.18,0.24
2016-03-23,1038.88,1086.84,1088.85,1034.15,3.72,38.95,6155000,10986229760.0,5.22,0.23
2016-03-24,1092.7,1113.92,1154.44,1081.35,2.49,27.08,8052435,15330260736.0,6.73,0.3
2016-03-25,1116.46,1109.85,1133.89,1092.57,-0.37,-4.07,7474452,11783931136.0,3.71,0.28
2016-03-28,1112.32,1095.13,1123.8,1091.52,-1.33,-14.72,5249793,9042891776.0,2.91,0.2
2016-03-29,1089.05,1088.76,1096.71,1064.34,-0.58,-6.37,4954084,8427677696.0,2.96,0.19
2016-03-30,1101.59,1136.52,1139.96,1098.49,4.39,47.76,7280875,13532139776.0,3.81,0.27
2016-03-31,1136.98,1129.79,1154.76,1127.26,-0.59,-6.73,6620355,12967745536.0,2.42,0.25
2016-04-01,1117.15,1117.37,1122.73,1102.54,-1.1,-12.42,4731406,8968102656.0,1.79,0.18
2016-04-05,1124.42,1158.66,1172.71,1116.16,3.7,41.29,6003976,11742451968.0,5.06,0.22
2016-04-06,1154.28,1153.07,1177.8,1143.51,-0.48,-5.59,5721210,11876775680.0,2.96,0.21
2016-04-07,1151.7,1158.14,1185.46,1135.96,0.44,5.07,6198162,12288285440.0,4.29,0.23
2016-04-08,1139.26,1127.82,1147.73,1109.14,-2.62,-30.32,4535846,8801033216.0,3.33,0.17
2016-04-11,1141.3,1148.53,1170.49,1141.3,1.84,20.71,4639873,9776577280.0,2.59,0.17
2016-04-12,1140.71,1137.37,1145.77,1119.71,-0.97,-11.16,3382936,6732405248.0,2.27,0.13
2016-04-13,1144.81,1144.88,1166.35,1143.63,0.66,7.51,4313389,8454306816.0,2.0,0.16
2016-04-14,1151.89,1159.45,1163.69,1142.98,1.27,14.57,3257808,6812810240.0,1.81,0.12
2016-04-15,1161.95,1171.85,1179.61,1157.79,1.07,12.4,4999368,10161582080.0,1.88,0.19
2016-04-18,1159.37,1191.15,1211.71,1146.78,1.65,19.3,6408625,13192791552.0,5.54,0.24
2016-04-19,1192.16,1189.26,1197.78,1176.81,-0.16,-1.89,4951161,10239605760.0,1.76,0.18
2016-04-20,1196.05,1144.9,1198.49,1112.93,-3.73,-44.36,6699252,13584172288.0,7.19,0.25
