日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-09-08,998.66,995.37,1000.11,990.89,-0.46,-4.63,1864757,3738519488.0,0.92,0.47
2016-09-09,994.61,985.91,998.42,985.63,-0.95,-9.46,2078293,3799381648.0,1.28,0.52
2016-09-12,967.96,969.93,974.38,961.22,-1.62,-15.98,2760906,4918325504.0,1.33,0.7
2016-09-13,971.86,980.52,980.81,971.86,1.09,10.59,2115787,4551828480.0,0.92,0.53
2016-09-14,979.84,975.66,982.99,971.55,-0.5,-4.86,2280481,5610637056.0,1.17,0.57
2016-09-19,982.54,999.39,1002.86,982.27,2.43,23.73,2154984,4765522176.0,2.11,0.54
2016-09-20,994.54,993.54,1001.75,989.49,-0.59,-5.85,1794105,3574132096.0,1.23,0.45
2016-09-21,995.75,993.93,998.75,991.32,0.04,0.39,1681741,3622125392.0,0.75,0.42
2016-09-22,997.48,999.23,1002.34,996.73,0.53,5.3,1811187,3882585328.0,0.56,0.46
2016-09-23,998.95,997.86,1000.7,993.96,-0.14,-1.37,2028240,3848557120.0,0.67,0.51
2016-09-26,994.96,973.81,995.77,973.71,-2.41,-24.05,2219057,4261300528.0,2.21,0.56
2016-09-27,972.01,980.48,981.26,966.46,0.68,6.67,1588653,3068475296.0,1.52,0.4
2016-09-28,983.4,985.59,987.18,979.61,0.52,5.11,1857661,3733140560.0,0.77,0.47
2016-09-29,984.85,987.64,990.89,984.1,0.21,2.05,1577038,3012385040.0,0.69,0.4
2016-09-30,985.69,987.82,991.62,984.64,0.02,0.18,1161132,2258706720.0,0.71,0.29
2016-10-10,993.44,1008.92,1008.92,993.27,2.14,21.1,2057536,4044044432.0,1.58,0.52
2016-10-11,1008.79,1011.2,1013.55,1006.65,0.23,2.28,2038254,4221487904.0,0.68,0.51
2016-10-12,1008.65,1002.02,1008.65,997.93,-0.91,-9.18,2308051,4367456768.0,1.06,0.58
2016-10-13,1001.87,1006.99,1010.62,1000.17,0.5,4.97,2066749,3844171520.0,1.04,0.52
2016-10-14,1005.78,1007.25,1009.76,999.73,0.03,0.26,1625258,3264243392.0,1.0,0.41
2016-10-17,1008.79,997.62,1011.3,995.24,-0.96,-9.63,1802224,3668219520.0,1.59,0.45
2016-10-18,998.2,1009.08,1009.56,995.22,1.15,11.46,1702245,3651376992.0,1.44,0.43
2016-10-19,1010.75,1003.54,1011.83,1001.74,-0.55,-5.54,1490778,3070053872.0,1.0,0.38
