日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2019-11-04,1001.73,1023.65,1033.38,998.48,2.37,23.65,6507361,16195319296.0,3.49,0.93
2019-11-05,1027.67,1051.63,1053.73,1022.79,2.73,27.98,6393199,16730543872.0,3.02,0.92
2019-11-06,1054.59,1053.71,1068.62,1041.01,0.2,2.08,6074379,15705285376.0,2.63,0.87
2019-11-07,1050.5,1053.39,1059.24,1044.79,-0.03,-0.32,4930359,12714739200.0,1.37,0.71
2019-11-08,1055.55,1077.86,1102.13,1055.55,2.32,24.47,7044759,16870095104.0,4.42,1.01
2019-11-11,1076.65,1081.77,1102.79,1070.0,0.36,3.91,6340308,14186484736.0,3.04,0.91
2019-11-12,1070.85,1070.9,1075.76,1029.19,-1.0,-10.87,6666279,15445453056.0,4.3,0.95
2019-11-13,1059.43,1103.14,1104.6,1053.9,3.01,32.24,6586601,16996784128.0,4.73,0.94
2019-11-14,1099.61,1149.45,1157.13,1098.87,4.2,46.31,7271951,18031194880.0,5.28,1.04
2019-11-15,1136.25,1119.05,1149.97,1117.25,-2.64,-30.4,8390055,17137630208.0,2.85,1.2
2019-11-18,1112.03,1119.51,1123.2,1097.85,0.04,0.46,6298881,13127641600.0,2.27,0.9
2019-11-19,1116.1,1139.98,1140.02,1106.04,1.83,20.47,7797317,16344414464.0,3.04,1.12
2019-11-20,1133.71,1129.36,1147.28,1126.98,-0.93,-10.62,8469840,16575948288.0,1.78,1.21
2019-11-21,1110.47,1111.1,1122.7,1103.26,-1.62,-18.26,6230163,12561910016.0,1.72,0.89
2019-11-22,1112.06,1071.27,1123.28,1059.7,-3.58,-39.83,8696456,20616854528.0,5.72,1.24
2019-11-25,1069.46,1038.64,1069.46,1029.93,-3.05,-32.63,6338252,14520279296.0,3.69,0.91
2019-11-26,1045.73,1057.65,1064.9,1045.73,1.83,19.01,6362609,14774017536.0,1.85,0.91
2019-11-27,1049.36,1090.08,1102.93,1041.2,3.07,32.43,7869233,18060730880.0,5.84,1.13
2019-11-28,1092.95,1106.17,1122.5,1092.95,1.48,16.09,7450546,15306938880.0,2.71,1.07
2019-11-29,1096.12,1092.28,1104.82,1078.64,-1.26,-13.89,6765020,13970958080.0,2.37,0.97
2019-12-02,1093.72,1117.77,1131.95,1093.71,2.33,25.49,7557551,15541554176.0,3.5,1.08
2019-12-03,1105.29,1134.47,1134.47,1101.48,1.49,16.7,6660640,15831248896.0,2.95,0.95
2019-12-04,1121.39,1143.72,1145.82,1120.13,0.82,9.25,7140340,15933929728.0,2.26,1.02
2019-12-05,1145.77,1187.99,1210.63,1145.77,3.87,44.27,10814783,25088913152.0,5.67,1.55
2019-12-06,1192.44,1233.62,1234.85,1190.63,3.84,45.63,10872527,23296694016.0,3.72,1.56
2019-12-09,1241.98,1228.82,1257.48,1227.72,-0.39,-4.8,11768400,23602143488.0,2.41,1.68
2019-12-10,1225.35,1285.35,1289.03,1223.11,4.6,56.53,12192338,24554820352.0,5.36,1.74
2019-12-11,1285.12,1249.78,1285.99,1242.72,-2.77,-35.57,13909566,27576402432.0,3.37,1.99
2019-12-12,1241.55,1250.99,1270.85,1239.38,0.1,1.21,10504693,22130703360.0,2.52,1.5
2019-12-13,1259.59,1263.94,1266.66,1244.63,1.04,12.95,10661288,24387820544.0,1.76,1.53
2019-12-16,1264.22,1302.77,1302.77,1264.22,3.07,38.83,12951704,27587518720.0,3.05,1.85
2019-12-17,1306.44,1315.46,1315.83,1292.65,0.97,12.69,12716119,26858028032.0,1.78,1.82
2019-12-18,1309.7,1323.3,1344.95,1306.26,0.6,7.84,13956051,29517033728.0,2.94,2.0
