日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-06-23,95900.0,98390.0,98390.0,95420.0,9739.0,97390.0,21534835,18953100800.0,297.0,4.41
2022-06-24,98180.0,99030.0,99250.0,97990.0,0.65,640.0,24157225,17058465280.0,1.28,4.95
2022-06-27,98580.0,100389.99,100580.0,98350.0,1.37,1359.99,17858830,19312937216.0,2.25,3.66
2022-06-28,99430.0,100510.0,100590.0,99050.0,0.12,120.01,28250519,44692166912.0,1.53,5.79
2022-06-29,100040.0,98170.0,100580.0,98100.01,-2.33,-2340.0,9693266,15879552768.0,2.47,1.99
2022-06-30,95850.0,97210.0,97880.0,95550.0,-0.98,-960.0,19571927,21451065344.0,2.37,4.01
2022-07-01,95880.0,95580.0,96280.0,95150.0,-1.68,-1630.0,26345048,30846826496.0,1.16,5.4
2022-07-04,93700.0,94610.01,94950.0,93570.0,-1.01,-969.99,13889604,11170440960.0,1.44,2.85
2022-07-05,92790.0,92800.0,93340.0,91670.0,-1.91,-1810.01,30407584,25005613312.0,1.77,6.23
2022-07-06,90620.0,90490.0,91140.0,89680.01,-2.49,-2310.0,23998485,19035262208.0,1.57,4.92
2022-07-07,88970.0,90440.0,90909.99,88680.0,-0.06,-50.0,11029798,13687396608.0,2.46,2.26
2022-07-08,89810.0,89510.0,90260.0,89240.0,-1.03,-930.0,19241692,22687620608.0,1.13,3.94
2022-07-11,88990.0,89930.0,90220.0,88390.0,0.47,420.0,15797114,13902432256.0,2.04,3.24
2022-07-12,88409.99,88170.0,89510.0,87930.0,-1.96,-1760.0,20574064,14609842432.0,1.76,4.22
2022-07-13,86920.0,87889.99,88450.0,86680.0,-0.32,-280.01,20253457,16827308800.0,2.01,4.15
2022-07-14,86850.01,87470.0,87970.0,86460.0,-0.48,-419.99,18562659,17284226816.0,1.72,3.8
2022-07-15,86790.0,86370.0,87270.0,86210.0,-1.26,-1100.0,17174432,18974566912.0,1.21,3.52
2022-07-18,85760.0,87520.0,87620.0,85750.0,1.33,1150.0,11942292,17022572032.0,2.17,2.45
2022-07-19,87080.0,87420.0,87790.0,86980.0,-0.11,-100.0,16451820,13187467776.0,0.93,3.37
2022-07-20,86569.99,88930.0,88960.0,86070.0,1.73,1510.0,29519472,24452391936.0,3.31,6.05
2022-07-21,87770.01,88930.0,89700.0,87770.01,0.0,0.0,12478425,14967453184.0,2.17,2.56
2022-07-22,87710.0,87740.0,88140.0,87050.0,-1.34,-1190.0,31902107,28477404928.0,1.23,6.54
2022-07-25,86260.01,85810.0,86730.0,85400.0,-2.2,-1930.0,15268589,15244908800.0,1.52,3.13
2022-07-26,84310.0,86390.0,86390.0,84010.0,0.68,580.0,13449512,12929853696.0,2.77,2.76
2022-07-27,85730.0,86000.0,86110.0,85080.0,-0.45,-390.0,24831762,18247183616.0,1.19,5.09
2022-07-28,85640.0,86880.0,87080.0,85490.0,1.02,880.0,25388794,19443409152.0,1.85,5.2
2022-07-29,85550.0,85350.0,85890.0,85340.01,-1.76,-1530.0,14386117,17362591488.0,0.63,2.95
2022-08-01,84540.01,85250.0,85330.0,84270.0,-0.12,-100.0,19019036,20394491648.0,1.24,3.9
2022-08-02,82790.0,81280.0,82790.0,80600.01,-4.66,-3970.0,11436775,11362825216.0,2.57,2.34
2022-08-03,78750.0,80220.0,81330.0,78750.0,-1.3,-1060.0,15095210,11990818304.0,3.17,3.09
2022-08-04,79470.0,80690.0,80690.0,79180.0,0.59,470.0,39194072,39392117504.0,1.88,8.03
2022-08-05,79090.0,79880.0,80030.0,78990.0,-1.0,-810.0,8326004,6607158528.0,1.29,1.71
