日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-12-05,1.01,1.03,1.03,1.01,-99.9,-998.97,54438606,36139869906.0,0.0,39.23
2024-12-06,1.08,1.06,1.08,1.06,2.91,0.03,110160933,76917867699.0,1.94,79.38
2024-12-09,1.1,1.09,1.1,1.07,2.83,0.03,118160448,61698294634.0,2.83,85.14
2024-12-10,1.15,1.12,1.15,1.11,2.75,0.03,75863579,49959898935.0,3.67,54.67
2024-12-11,1.13,1.15,1.16,1.12,2.68,0.03,72557890,56119108512.0,3.57,52.28
2024-12-12,1.2,1.21,1.22,1.19,5.22,0.06,63208864,51541736029.0,2.61,45.55
2024-12-13,1.25,1.24,1.29,1.24,2.48,0.03,94486417,76609320964.0,4.13,68.08
2024-12-16,1.31,1.28,1.33,1.28,3.23,0.04,39786259,51363952001.0,4.03,28.67
2024-12-17,1.33,1.24,1.33,1.23,-3.13,-0.04,39460788,31251979159.0,7.81,28.43
2024-12-18,1.3,1.33,1.34,1.3,7.26,0.09,8706200,5474387018.0,3.23,6.27
2024-12-19,1.37,1.33,1.38,1.32,0.0,0.0,37075089,29240916379.0,4.51,26.72
2024-12-20,1.35,1.33,1.38,1.33,0.0,0.0,17485860,14725748494.0,3.76,12.6
2024-12-23,1.36,1.34,1.37,1.34,0.75,0.01,27810407,36606976900.0,2.26,20.04
2024-12-24,1.42,1.41,1.43,1.37,5.22,0.07,12256479,13464552252.0,4.48,8.83
2024-12-25,1.49,1.41,1.5,1.41,0.0,0.0,14488305,12102915813.0,6.38,10.44
2024-12-26,1.46,1.48,1.51,1.46,4.96,0.07,12563750,15262246329.0,3.55,9.05
2024-12-27,1.52,1.49,1.52,1.48,0.68,0.01,20784779,18165039764.0,2.7,14.98
2024-12-30,1.55,1.52,1.57,1.52,2.01,0.03,12824415,11692038753.0,3.36,9.24
2024-12-31,1.58,1.58,1.59,1.57,3.95,0.06,11086400,9106639928.0,1.32,7.99
2025-01-02,1.62,1.61,1.64,1.59,1.9,0.03,14311061,8339182674.0,3.16,10.31
2025-01-03,1.67,1.62,1.67,1.6,0.62,0.01,21799730,20830156667.0,4.35,15.71
2025-01-06,1.64,1.61,1.67,1.59,-0.62,-0.01,36721448,18693600869.0,4.94,26.46
2025-01-07,1.65,1.62,1.65,1.59,0.62,0.01,17342160,17411520733.0,3.73,12.5
2025-01-08,1.67,1.7,1.72,1.65,4.94,0.08,11127335,11499837434.0,4.32,8.02
2025-01-09,1.77,1.77,1.8,1.76,4.12,0.07,48977350,35415421044.0,2.35,35.29
2025-01-10,1.77,1.69,1.77,1.68,-4.52,-0.08,48299016,33823309120.0,5.08,34.8
2025-01-13,1.71,1.68,1.71,1.67,-0.59,-0.01,15126203,16256567671.0,2.37,10.9
2025-01-14,1.75,1.81,1.81,1.7,7.74,0.13,5103065,4079376481.0,6.55,3.68
2025-01-15,1.89,1.83,1.89,1.83,1.1,0.02,19146691,11983665325.0,3.31,13.8
2025-01-16,1.92,1.93,1.96,1.91,5.46,0.1,55400732,44705609834.0,2.73,39.92
2025-01-17,1.98,1.95,1.99,1.94,1.04,0.02,28350818,26528453048.0,2.59,20.43
2025-01-20,2.01,1.96,2.01,1.95,0.51,0.01,12665437,9974265189.0,3.08,9.13
2025-01-21,2.05,2.01,2.05,1.98,2.55,0.05,7930835,10503755860.0,3.57,5.71
2025-01-22,2.09,2.08,2.12,2.08,3.48,0.07,17320293,12595114648.0,1.99,12.48
2025-01-23,2.18,2.11,2.21,2.1,1.44,0.03,18782172,14813139061.0,5.29,13.53
2025-01-24,2.12,2.14,2.17,2.11,1.42,0.03,17710758,9421094164.0,2.84,12.76
2025-01-27,2.19,2.15,2.19,2.14,0.47,0.01,10943968,11496935069.0,2.34,7.89
2025-02-05,2.2,2.18,2.24,2.17,1.4,0.03,6124957,6281338346.0,3.26,4.41
2025-02-06,2.29,2.32,2.34,2.28,6.42,0.14,8984785,11727663499.0,2.75,6.47
2025-02-07,2.48,2.51,2.53,2.47,8.19,0.19,35777016,46245663187.0,2.59,25.78
2025-02-10,2.62,2.64,2.66,2.59,5.18,0.13,36057379,36282405758.0,2.79,25.98
2025-02-11,2.77,2.77,2.83,2.74,4.92,0.13,61048615,71743930129.0,3.41,43.99
2025-02-12,2.85,2.88,2.89,2.84,3.97,0.11,39658210,53666462352.0,1.81,28.58
2025-02-13,3.02,2.96,3.04,2.93,2.78,0.08,37398709,68073691624.0,3.82,26.95
2025-02-14,3.04,3.02,3.08,3.0,2.03,0.06,44357066,49108328327.0,2.7,31.96
2025-02-17,3.25,3.11,3.25,3.1,2.98,0.09,31511269,57238014131.0,4.97,22.71
2025-02-18,3.15,3.08,3.18,3.05,-0.96,-0.03,27482642,38285665764.0,4.18,19.8
2025-02-19,3.13,3.14,3.16,3.08,1.95,0.06,22548792,26839023157.0,2.6,16.25
2025-02-20,3.29,3.32,3.33,3.28,5.73,0.18,13502742,17734782985.0,1.59,9.73
2025-02-21,3.46,3.41,3.46,3.37,2.71,0.09,38335156,58967523105.0,2.71,27.62
2025-02-24,3.46,3.42,3.48,3.41,0.29,0.01,15280968,27199063127.0,2.05,11.01
2025-02-25,3.47,3.55,3.64,3.46,3.8,0.13,29217926,44791093748.0,5.26,21.05
2025-02-26,3.8,3.78,3.81,3.73,6.48,0.23,18005864,15412867219.0,2.25,12.97
2025-02-27,3.94,3.89,3.97,3.87,2.91,0.11,24443326,19204457360.0,2.65,17.61
2025-02-28,4.03,3.78,4.03,3.77,-2.83,-0.11,26509652,34867238931.0,6.68,19.1
2025-03-03,3.89,3.77,3.89,3.76,-0.26,-0.01,12871584,18352827909.0,3.44,9.27
2025-03-04,3.86,3.76,3.86,3.73,-0.27,-0.01,11777731,13644231750.0,3.45,8.49
2025-03-05,3.86,3.8,3.96,3.76,1.06,0.04,10553132,12347268939.0,5.32,7.6
2025-03-06,3.94,3.96,4.04,3.93,4.21,0.16,8215705,13016146953.0,2.89,5.92
2025-03-07,4.09,4.0,4.13,3.98,1.01,0.04,48787858,47061698932.0,3.79,35.16
2025-03-10,4.05,4.01,4.09,3.99,0.25,0.01,24099533,26945078527.0,2.5,17.37
2025-03-11,4.07,4.14,4.16,4.07,3.24,0.13,7228334,7225263782.0,2.24,5.21
2025-03-12,4.38,4.31,4.4,4.3,4.11,0.17,14468472,16081419155.0,2.42,10.43
2025-03-13,4.38,4.43,4.46,4.35,2.78,0.12,16476668,19208132461.0,2.55,11.87
2025-03-14,4.43,4.51,4.6,4.34,1.81,0.08,9423408,12782609095.0,5.87,6.79
2025-03-17,4.76,4.7,4.79,4.7,4.21,0.19,9352335,10756939966.0,2.0,6.74
2025-03-18,4.82,4.83,4.89,4.79,2.77,0.13,23599254,16198580379.0,2.13,17.0
2025-03-19,4.94,5.04,5.1,4.94,4.35,0.21,17615080,12423780374.0,3.31,12.69
2025-03-20,5.22,5.25,5.4,5.22,4.17,0.21,16264626,22656271606.0,3.57,11.72
2025-03-21,5.48,5.45,5.52,5.39,3.81,0.2,22482262,24388797279.0,2.48,16.2
2025-03-24,5.53,5.46,5.54,5.38,0.18,0.01,18526093,21346824833.0,2.94,13.35
2025-03-25,5.56,5.46,5.68,5.44,0.0,0.0,23310829,18179526887.0,4.4,16.8
2025-03-26,5.57,5.64,5.72,5.51,3.3,0.18,6860371,8730856763.0,3.85,4.94
2025-03-27,5.78,5.6,5.84,5.57,-0.71,-0.04,9525236,10919193764.0,4.79,6.86
2025-03-28,5.66,5.5,5.72,5.49,-1.79,-0.1,9427939,6173177942.0,4.11,6.79
2025-03-31,5.75,5.71,5.89,5.65,3.82,0.21,3505810,7104786652.0,4.36,2.53
2025-04-01,5.91,5.85,5.96,5.82,2.45,0.14,6450305,7194386868.0,2.45,4.65
2025-04-02,6.04,5.83,6.05,5.76,-0.34,-0.02,10592137,9730548116.0,4.96,7.63
2025-04-03,5.95,6.08,6.18,5.91,4.29,0.25,5280623,5911897153.0,4.63,3.81
2025-04-07,6.05,6.04,6.17,5.97,-0.66,-0.04,7323943,7064883355.0,3.29,5.28
2025-04-08,6.29,6.58,6.6,6.26,8.94,0.54,5385114,5750105692.0,5.63,3.88
2025-04-09,7.06,7.08,7.25,6.91,7.6,0.5,18953560,20487027186.0,5.17,13.66
2025-04-10,7.08,7.44,7.57,7.08,5.08,0.36,31077564,32885984340.0,6.92,22.39
2025-04-11,7.74,7.54,7.86,7.47,1.34,0.1,33891209,31072781138.0,5.24,24.42
2025-04-14,7.74,7.72,7.78,7.7,2.39,0.18,23522544,18498956059.0,1.06,16.95
2025-04-15,8.0,7.79,8.0,7.79,0.91,0.07,14337697,11272873629.0,2.72,10.33
2025-04-16,8.0,8.0,8.02,7.88,2.7,0.21,13171545,8511608774.0,1.8,9.49
2025-04-17,8.29,8.43,8.52,8.26,5.38,0.43,13947779,12243183619.0,3.25,10.05
2025-04-18,8.63,8.56,8.83,8.56,1.54,0.13,19384726,18369751471.0,3.2,13.97
2025-04-21,8.76,8.81,8.94,8.65,2.92,0.25,14754751,14864872195.0,3.39,10.63
2025-04-22,8.91,9.15,9.23,8.91,3.86,0.34,16547034,16462348344.0,3.63,11.92
2025-04-23,9.36,9.09,9.36,9.08,-0.66,-0.06,33215695,23438600585.0,3.06,23.93
2025-04-24,9.64,9.45,9.64,9.39,3.96,0.36,18880443,15975125298.0,2.75,13.6
2025-04-25,9.73,9.43,9.76,9.39,-0.21,-0.02,20337481,19913838219.0,3.92,14.65
2025-04-28,9.9,9.52,9.93,9.44,0.95,0.09,10088979,8595614218.0,5.2,7.27
2025-04-29,9.84,9.7,9.84,9.46,1.89,0.18,19930849,12482200916.0,3.99,14.36
2025-04-30,10.04,9.86,10.16,9.7,1.65,0.16,6204587,5206985152.0,4.74,4.47
2025-05-06,10.26,10.4,10.47,10.17,5.48,0.54,10217693,11863960700.0,3.04,7.36
2025-05-07,10.94,10.87,10.99,10.82,4.52,0.47,17896743,23037488547.0,1.63,12.9
2025-05-08,11.19,11.13,11.26,11.09,2.39,0.26,32256384,24982768192.0,1.56,23.24
2025-05-09,11.6,11.52,11.68,11.51,3.5,0.39,22347823,20830931944.0,1.53,16.1
2025-05-12,11.81,11.89,11.93,11.8,3.21,0.37,15428089,15281446093.0,1.13,11.12
2025-05-13,12.51,12.41,12.57,12.35,4.37,0.52,11497208,10987518237.0,1.85,8.28
2025-05-14,12.91,12.77,12.95,12.73,2.9,0.36,13790533,11216316288.0,1.77,9.94
2025-05-15,13.25,13.34,13.39,13.23,4.46,0.57,20081998,18371664335.0,1.25,14.47
2025-05-16,13.58,13.43,13.71,13.3,0.67,0.09,38413706,26117755915.0,3.07,27.68
2025-05-19,13.67,13.86,14.08,13.64,3.2,0.43,18831750,18182402563.0,3.28,13.57
2025-05-20,14.4,14.21,14.65,14.17,2.53,0.35,32351958,32689086120.0,3.46,23.31
2025-05-21,14.9,14.7,14.95,14.69,3.45,0.49,33168075,29846084562.0,1.83,23.9
2025-05-22,15.22,15.07,15.33,15.06,2.52,0.37,26868343,26700443143.0,1.84,19.36
2025-05-23,15.67,15.03,15.67,14.9,-0.27,-0.04,12383861,17259224385.0,5.11,8.92
2025-05-26,15.52,15.74,15.93,15.44,4.72,0.71,12477594,12778277269.0,3.26,8.99
2025-05-27,16.49,17.0,17.1,16.49,8.01,1.26,12203941,11438735062.0,3.88,8.79
2025-05-28,17.62,17.4,17.62,17.25,2.35,0.4,30869710,28466823283.0,2.18,22.24
2025-05-29,17.82,17.84,18.04,17.74,2.53,0.44,18730038,18687886229.0,1.72,13.5
2025-05-30,18.42,17.65,18.42,17.61,-1.07,-0.19,35191332,30450625065.0,4.54,25.36
2025-06-03,18.31,18.12,18.52,18.05,2.66,0.47,18977108,21346716817.0,2.66,13.67
2025-06-04,18.68,18.66,19.03,18.38,2.98,0.54,25709463,25239539400.0,3.59,18.53
2025-06-05,19.14,18.74,19.21,18.65,0.43,0.08,15674693,20039766742.0,3.0,11.29
2025-06-06,19.64,20.05,20.16,19.51,6.99,1.31,9645025,10461349580.0,3.47,6.95
2025-06-09,20.55,20.84,20.85,20.4,3.94,0.79,11276022,10166912443.0,2.24,8.13
2025-06-10,21.67,22.05,22.15,21.6,5.81,1.21,11731228,12591218719.0,2.64,8.45
2025-06-11,22.8,22.98,23.02,22.76,4.22,0.93,12781291,13147124738.0,1.18,9.21
2025-06-12,23.93,23.8,24.08,23.69,3.57,0.82,8962324,11978544463.0,1.7,6.46
2025-06-13,24.22,23.33,24.28,23.25,-1.97,-0.47,23593070,21757638019.0,4.33,17.0
2025-06-16,23.2,23.99,24.19,23.18,2.83,0.66,10714895,12928272632.0,4.33,7.72
2025-06-17,24.43,24.69,24.91,23.82,2.92,0.7,22873909,17784093843.0,4.54,16.48
2025-06-18,25.31,25.76,25.91,25.31,4.33,1.07,10082826,11895893096.0,2.43,7.27
2025-06-19,26.56,26.08,26.77,26.07,1.24,0.32,16314310,16181401830.0,2.72,11.76
2025-06-20,26.78,26.49,27.39,26.47,1.57,0.41,8476244,9599687330.0,3.53,6.11
2025-06-23,27.6,28.96,29.0,27.3,9.32,2.47,12500015,11309299675.0,6.42,9.01
2025-06-24,29.23,29.71,30.16,29.15,2.59,0.75,25082044,22326754808.0,3.49,18.07
2025-06-25,30.88,31.27,31.55,30.56,5.25,1.56,17297119,19393688445.0,3.33,12.46
2025-06-26,32.4,31.65,32.53,31.65,1.22,0.38,32739305,35540609032.0,2.81,23.59
2025-06-27,32.87,32.11,33.07,32.1,1.45,0.46,38347274,44346040226.0,3.06,27.63
2025-06-30,33.41,35.07,35.07,33.41,9.22,2.96,14087144,10872222542.0,5.17,10.15
2025-07-01,36.62,34.88,36.82,34.87,-0.54,-0.19,21088783,25244027063.0,5.56,15.2
2025-07-02,36.76,36.11,37.17,36.09,3.53,1.23,19784719,19681385237.0,3.1,14.26
2025-07-03,37.16,36.92,37.83,36.3,2.24,0.81,12814578,12360296139.0,4.24,9.23
2025-07-04,38.17,35.87,38.2,35.77,-2.84,-1.05,21916546,14951415487.0,6.58,15.79
2025-07-07,37.34,38.25,38.44,37.34,6.64,2.38,11721149,12122663764.0,3.07,8.45
2025-07-08,39.91,39.96,40.66,39.43,4.47,1.71,25671906,23045573840.0,3.22,18.5
2025-07-09,41.12,42.55,42.93,41.12,6.48,2.59,12312349,15548149369.0,4.53,8.87
2025-07-10,44.26,44.15,44.9,43.95,3.76,1.6,25782331,24198713378.0,2.23,18.58
2025-07-11,46.58,45.41,46.75,44.74,2.85,1.26,29619488,22168861034.0,4.55,21.34
2025-07-14,46.58,45.96,46.72,45.75,1.21,0.55,32066495,32921696269.0,2.14,23.11
2025-07-15,47.25,46.9,47.75,46.46,2.05,0.94,31699184,21742069254.0,2.81,22.84
2025-07-16,49.31,49.4,49.81,48.29,5.33,2.5,6957922,10842749114.0,3.24,5.01
2025-07-17,51.01,50.8,51.6,50.78,2.83,1.4,9094554,15626214717.0,1.66,6.55
2025-07-18,52.21,51.24,52.32,50.75,0.87,0.44,20323488,20919613041.0,3.09,14.64
2025-07-21,52.59,52.76,53.75,52.24,2.97,1.52,14530803,13660167536.0,2.95,10.47
