日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-02,1011.3,1002.58,1013.71,996.47,0.26,2.58,30107344,57363556573.0,1.72,4.95
2026-02-03,1017.44,1042.81,1042.81,1016.11,4.01,40.23,31826958,32728507265.0,2.66,5.23
2026-02-04,1069.07,1080.75,1083.25,1064.84,3.64,37.94,47412164,103458957106.0,1.77,7.8
2026-02-05,1082.09,1080.15,1087.53,1076.17,-0.06,-0.6,74046745,62561503523.0,1.05,12.18
2026-02-06,1086.85,1072.11,1090.33,1068.48,-0.74,-8.04,32228057,33918162260.0,2.02,5.3
2026-02-09,1092.27,1103.03,1106.85,1091.51,2.88,30.92,31335235,54725568581.0,1.43,5.15
2026-02-10,1144.63,1148.04,1150.7,1138.13,4.08,45.01,67407003,94329054644.0,1.14,11.08
2026-02-11,1145.53,1137.07,1147.08,1128.6,-0.96,-10.97,40413936,67099914683.0,1.61,6.65
2026-02-12,1149.76,1170.35,1171.06,1145.3,2.93,33.28,37076036,59115999700.0,2.27,6.1
2026-02-13,1163.52,1151.63,1165.43,1148.58,-1.6,-18.72,45917291,76015234646.0,1.44,7.55
2026-02-24,1170.68,1176.58,1179.49,1161.64,2.17,24.95,24891716,51680365340.0,1.55,4.09
2026-02-25,1194.36,1213.69,1224.06,1194.36,3.15,37.11,106534145,126059483523.0,2.52,17.52
2026-02-26,1230.24,1225.1,1232.81,1218.17,0.94,11.41,89748815,100332715641.0,1.21,14.76
2026-02-27,1226.73,1247.71,1247.94,1224.1,1.85,22.61,46445658,92846495917.0,1.95,7.64
2026-03-02,1263.97,1282.78,1286.73,1263.97,2.81,35.07,48162515,108177610525.0,1.82,7.92
2026-03-03,1341.01,1359.7,1380.1,1336.39,6.0,76.92,87410569,154274411215.0,3.41,14.37
2026-03-04,1349.74,1263.96,1349.74,1233.71,-7.04,-95.74,67571694,49174546940.0,8.53,11.11
2026-03-05,1335.39,1306.0,1337.66,1300.1,3.33,42.04,22223157,52446272970.0,2.97,3.65
2026-03-06,1300.27,1320.41,1322.01,1298.91,1.1,14.41,83108780,102863569645.0,1.77,13.67
2026-03-09,1299.28,1319.41,1320.67,1292.97,-0.08,-1.0,66255038,83900636505.0,2.1,10.9
2026-03-10,1361.24,1366.88,1369.83,1341.4,3.6,47.47,28852820,61157103484.0,2.15,4.74
2026-03-11,1400.55,1401.37,1415.39,1395.57,2.52,34.49,51059738,106134967683.0,1.45,8.4
2026-03-12,1421.93,1414.89,1431.79,1412.62,0.96,13.52,40249513,60449341905.0,1.37,6.62
2026-03-13,1441.72,1421.53,1449.12,1417.01,0.47,6.64,62534058,55632375413.0,2.27,10.28
2026-03-16,1424.84,1391.62,1425.27,1383.78,-2.1,-29.91,84476124,68416245673.0,2.92,13.89
2026-03-17,1407.9,1400.99,1416.46,1397.22,0.67,9.37,60863429,58953325506.0,1.38,10.01
2026-03-18,1412.58,1415.62,1422.21,1392.78,1.04,14.63,29146637,22635580916.0,2.1,4.79
2026-03-19,1425.1,1426.78,1448.31,1420.55,0.79,11.16,28343980,58818645422.0,1.96,4.66
2026-03-20,1430.55,1401.89,1440.06,1401.89,-1.74,-24.89,24648739,24271776087.0,2.68,4.05
2026-03-23,1393.47,1374.41,1408.67,1371.67,-1.96,-27.48,14189992,22110052682.0,2.64,2.33
2026-03-24,1416.04,1425.67,1432.89,1395.77,3.73,51.26,20609452,20962790285.0,2.7,3.39
2026-03-25,1458.41,1487.22,1487.43,1458.0,4.32,61.55,64928632,74660773830.0,2.06,10.68
2026-03-26,1506.18,1490.79,1512.41,1487.44,0.24,3.57,60035673,71802103006.0,1.68,9.87
2026-03-27,1491.55,1522.6,1527.77,1488.59,2.13,31.81,32469714,32235413164.0,2.63,5.34
2026-03-30,1532.81,1549.43,1549.65,1532.81,1.76,26.83,50441350,73381758910.0,1.11,8.29
2026-03-31,1584.93,1572.48,1594.7,1569.99,1.49,23.05,34870447,59243354414.0,1.59,5.73
2026-04-01,1607.29,1579.8,1607.29,1569.04,0.47,7.32,32803747,46321776961.0,2.43,5.39
2026-04-02,1604.0,1583.95,1604.32,1578.05,0.26,4.15,38136215,56946885330.0,1.66,6.27
2026-04-03,1597.1,1571.87,1605.26,1565.44,-0.76,-12.08,16254754,16078522113.0,2.51,2.67
2026-04-07,1577.64,1583.43,1586.57,1563.4,0.74,11.56,17808205,41218945324.0,1.47,2.93
2026-04-08,1596.36,1606.98,1609.58,1589.52,1.49,23.55,63915530,61204961791.0,1.27,10.51
2026-04-09,1616.77,1636.15,1642.76,1616.77,1.82,29.17,104514231,204386108795.0,1.62,17.19
2026-04-10,1664.91,1660.1,1672.43,1651.42,1.46,23.95,25759828,63114386477.0,1.28,4.24
2026-04-13,1674.63,1710.94,1710.94,1673.41,3.06,50.84,40306627,61438351050.0,2.26,6.63
2026-04-14,1746.02,1749.28,1750.87,1734.85,2.24,38.34,45670643,63611836097.0,0.94,7.51
2026-04-15,1794.31,1759.75,1794.31,1753.41,0.6,10.47,49771406,78774827295.0,2.34,8.18
2026-04-16,1780.21,1794.72,1797.37,1771.29,1.99,34.97,45215213,60311633797.0,1.48,7.44
2026-04-17,1826.4,1832.09,1836.22,1815.7,2.08,37.37,53825678,99628261138.0,1.14,8.85
2026-04-20,1870.18,1889.95,1890.11,1867.55,3.16,57.86,40733478,86873253713.0,1.23,6.7
2026-04-21,1912.5,1901.82,1912.5,1890.61,0.63,11.87,52089130,94371772090.0,1.16,8.57
2026-04-22,1928.96,1940.9,1951.83,1928.11,2.05,39.08,40814991,52548174295.0,1.25,6.71
2026-04-23,1965.27,1955.3,1976.42,1933.35,0.74,14.4,36238419,109825503641.0,2.22,5.96
2026-04-24,1977.08,1980.73,1996.72,1970.22,1.3,25.43,57138752,67658596895.0,1.36,9.4
