日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-02-03,1011.63,1029.7,1029.7,1008.85,2.97,29.7,311268949,488429291452.0,2.09,3.75
2026-02-04,1032.11,1034.63,1035.91,1023.13,0.48,4.93,284862184,601069089610.0,1.24,3.43
2026-02-05,1019.07,1018.27,1028.14,1015.18,-1.58,-16.36,323094925,437498416233.0,1.25,3.89
2026-02-06,1001.61,1016.16,1026.0,998.12,-0.21,-2.11,256486303,407493082274.0,2.74,3.09
2026-02-09,1030.78,1034.78,1034.91,1027.15,1.83,18.62,334559108,593499212526.0,0.76,4.03
2026-02-10,1035.38,1035.45,1040.17,1029.37,0.06,0.67,252759350,377350571971.0,1.04,3.05
2026-02-11,1026.82,1022.61,1031.57,1022.18,-1.24,-12.84,225768074,353739913739.0,0.91,2.72
2026-02-12,1018.51,1019.48,1022.64,1011.14,-0.31,-3.13,211940516,358900636928.0,1.12,2.55
2026-02-13,1011.29,997.9,1013.06,997.13,-2.12,-21.58,173993488,332447039746.0,1.56,2.1
2026-02-24,1010.53,1010.36,1013.13,1000.81,1.25,12.46,171514477,280349608668.0,1.23,2.07
2026-02-25,1013.29,1024.28,1025.77,1011.66,1.38,13.92,257793269,431652325889.0,1.4,3.11
2026-02-26,1026.85,1028.9,1031.5,1022.6,0.45,4.62,370453810,526484409012.0,0.87,4.47
2026-02-27,1017.63,1037.26,1037.26,1017.63,0.81,8.36,257087969,507491961898.0,1.91,3.1
2026-03-02,1029.91,1037.69,1041.16,1024.21,0.04,0.43,343542104,545527900537.0,1.63,4.14
2026-03-03,1040.29,1006.81,1041.04,1005.39,-2.98,-30.88,447641446,774776843877.0,3.44,5.4
2026-03-04,987.68,1001.13,1012.82,987.68,-0.56,-5.68,601791459,999319591705.0,2.5,7.25
2026-03-05,1010.47,1002.97,1012.03,996.61,0.18,1.84,468137855,717970431009.0,1.54,5.64
2026-03-06,991.67,1006.59,1007.93,990.03,0.36,3.62,305984131,489098103589.0,1.78,3.69
2026-03-09,1002.44,1002.73,1005.39,988.24,-0.38,-3.86,326137519,514451411773.0,1.7,3.93
2026-03-10,997.44,1011.18,1011.35,997.44,0.84,8.45,375742781,676661819257.0,1.39,4.53
2026-03-11,1015.43,1020.47,1023.58,1013.93,0.92,9.29,259861139,468332275176.0,0.95,3.13
2026-03-12,1023.02,1020.7,1025.97,1014.35,0.02,0.23,408192792,572880654624.0,1.14,4.92
2026-03-13,1017.65,1004.73,1023.12,1002.43,-1.56,-15.97,421727617,551809492820.0,2.03,5.08
2026-03-16,1003.27,996.42,1005.51,987.68,-0.83,-8.31,407221185,527635380317.0,1.77,4.91
2026-03-17,993.97,977.21,998.55,976.64,-1.93,-19.21,436716893,581743853102.0,2.2,5.26
2026-03-18,977.07,981.37,981.57,966.84,0.43,4.16,367462407,458229841509.0,1.51,4.43
2026-03-19,972.4,965.1,978.45,960.44,-1.66,-16.27,247824937,346401636278.0,1.84,2.99
2026-03-20,965.34,936.11,969.56,936.1,-3.0,-28.99,235186423,323357903044.0,3.47,2.83
2026-03-23,916.23,897.76,933.17,891.89,-4.1,-38.35,414540974,541442520025.0,4.41,5.0
2026-03-24,914.85,931.63,931.63,899.35,3.77,33.87,550525630,627557064877.0,3.6,6.64
2026-03-25,935.69,955.01,955.18,935.68,2.51,23.38,376106880,515448292043.0,2.09,4.53
2026-03-26,952.91,940.29,955.65,937.65,-1.54,-14.72,336574596,356218861332.0,1.88,4.06
2026-03-27,925.18,951.56,954.5,923.92,1.2,11.27,269934601,321094911168.0,3.25,3.25
2026-03-30,944.31,956.73,956.82,939.93,0.54,5.17,319117553,506173091891.0,1.77,3.85
2026-03-31,952.77,940.59,960.04,940.59,-1.69,-16.14,330356101,434544697079.0,2.03,3.98
2026-04-01,951.52,943.26,952.56,937.5,0.28,2.67,279430187,373349134251.0,1.6,3.37
2026-04-02,939.04,934.45,943.11,929.23,-0.93,-8.81,255622760,357125518440.0,1.47,3.08
2026-04-03,934.22,911.27,935.12,908.58,-2.48,-23.18,246408454,317335704301.0,2.84,2.97
2026-04-07,910.27,930.67,931.98,908.14,2.13,19.4,286777978,345463574949.0,2.62,3.46
2026-04-08,934.3,946.11,946.15,930.85,1.66,15.44,299744556,394841698268.0,1.64,3.61
2026-04-09,940.33,950.2,953.1,940.14,0.43,4.09,194905411,383431166326.0,1.37,2.35
2026-04-10,952.73,947.64,954.11,943.8,-0.27,-2.56,212542088,447362295522.0,1.09,2.56
2026-04-13,939.64,953.09,953.09,939.64,0.58,5.45,196840750,385714186828.0,1.42,2.37
2026-04-14,956.17,958.67,958.8,949.14,0.59,5.58,272063925,432113098320.0,1.01,3.28
2026-04-15,962.63,954.02,963.57,951.37,-0.49,-4.65,208088494,348154957395.0,1.27,2.51
2026-04-16,952.3,968.65,969.42,946.51,1.53,14.63,227757167,374856812063.0,2.4,2.75
2026-04-17,967.66,975.09,976.59,966.56,0.66,6.44,228669007,433752792583.0,1.04,2.76
2026-04-20,978.03,982.93,983.18,975.95,0.8,7.84,222830644,431552751492.0,0.74,2.69
2026-04-21,980.07,984.08,984.16,975.45,0.12,1.15,248765134,494739192418.0,0.89,3.0
2026-04-22,979.63,992.16,992.51,979.63,0.82,8.08,255503001,441519995041.0,1.31,3.08
2026-04-23,990.06,982.51,991.82,973.53,-0.97,-9.65,288533751,628072980823.0,1.84,3.48
2026-04-24,974.64,973.06,980.04,966.36,-0.96,-9.45,310485182,600384008148.0,1.39,3.74
2026-04-27,969.02,975.71,976.61,964.1,0.27,2.65,285713451,578185439711.0,1.29,3.44
2026-04-28,969.68,969.51,973.07,965.82,-0.64,-6.2,272055508,505248035718.0,0.74,3.28
2026-04-29,959.87,978.78,981.79,959.27,0.96,9.27,236995428,400168715096.0,2.32,2.86
2026-04-30,980.12,983.42,986.01,978.54,0.47,4.64,299466417,618228653687.0,0.76,3.61
2026-05-06,994.14,1007.65,1009.42,993.12,2.46,24.23,262805992,591368062826.0,1.66,3.17
2026-05-07,1011.76,1031.92,1032.01,1009.49,2.41,24.27,268706334,638859116942.0,2.23,3.24
2026-05-08,1028.4,1046.24,1047.68,1027.81,1.39,14.32,309163087,665639660321.0,1.93,3.73
2026-05-11,1056.05,1061.02,1062.86,1051.32,1.41,14.78,337255006,765917574382.0,1.1,4.07
2026-05-12,1063.83,1055.27,1064.15,1046.58,-0.54,-5.75,307197848,685653492027.0,1.66,3.7
2026-05-13,1048.72,1070.13,1070.18,1048.72,1.41,14.86,338532776,668100529358.0,2.03,4.08
2026-05-14,1076.61,1047.56,1076.98,1047.56,-2.11,-22.57,409237908,981360863422.0,2.75,4.93
2026-05-15,1043.9,1033.72,1048.89,1026.4,-1.32,-13.84,458977970,880036227669.0,2.15,5.53
2026-05-18,1026.53,1035.66,1040.8,1024.6,0.19,1.94,392479870,959593857999.0,1.57,4.73
2026-05-19,1031.43,1044.57,1045.01,1027.18,0.86,8.91,286461416,669371303482.0,1.72,3.45
2026-05-20,1040.34,1040.92,1043.18,1032.62,-0.35,-3.65,322358378,789879576097.0,1.01,3.89
