日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2014-01-16,1002.11,1004.26,1016.74,991.28,0.43,4.26,5761990,4490598656.0,2.55,0.39
2014-01-17,1039.48,1029.84,1039.52,1018.58,2.55,25.58,4808901,4028950224.0,2.09,0.33
2014-01-20,1018.85,1025.19,1036.51,1009.73,-0.45,-4.65,5146034,3634826480.0,2.6,0.35
2014-01-21,1021.12,1023.63,1032.46,1017.51,-0.15,-1.56,3904020,3230697472.0,1.46,0.27
2014-01-22,1023.57,1055.15,1061.8,1021.27,3.08,31.52,7056893,4806862080.0,3.96,0.48
2014-01-23,1050.13,1055.52,1062.78,1045.73,0.04,0.37,4641193,4606111488.0,1.62,0.32
2014-01-24,1048.73,1058.53,1070.21,1045.01,0.29,3.01,4580280,3956122944.0,2.39,0.31
2014-01-27,1065.01,1108.29,1121.39,1063.22,4.7,49.76,13106006,6506888192.0,5.5,0.9
2014-01-28,1118.45,1100.46,1126.08,1093.78,-0.71,-7.83,9324076,4419517696.0,2.91,0.64
2014-01-29,1102.18,1110.02,1117.96,1089.15,0.87,9.56,6175948,3540375856.0,2.62,0.42
2014-01-30,1106.25,1074.32,1109.45,1071.1,-3.22,-35.7,5311134,3223829888.0,3.45,0.36
2014-02-07,1067.1,1129.77,1134.66,1062.8,5.16,55.45,7303676,3557650352.0,6.69,0.5
2014-02-10,1140.09,1148.44,1157.77,1136.8,1.65,18.67,8767887,4946381312.0,1.86,0.6
2014-02-11,1145.44,1153.85,1164.05,1131.92,0.47,5.41,7804923,4750205440.0,2.8,0.53
2014-02-12,1149.93,1144.94,1154.39,1133.34,-0.77,-8.91,5311625,3747454432.0,1.82,0.36
2014-02-13,1147.91,1128.97,1159.08,1125.19,-1.39,-15.97,6474393,4278290080.0,2.96,0.44
2014-02-14,1126.44,1135.7,1141.23,1122.42,0.6,6.73,4000971,2842828976.0,1.67,0.27
2014-02-17,1139.28,1165.04,1179.14,1129.93,2.58,29.34,7514723,4657578496.0,4.33,0.51
