日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-09-27,1007.6,1006.7,1015.19,1001.96,0.67,6.7,3336044,4479832576.0,1.32,1.17
2013-09-30,1030.91,1048.08,1050.78,1030.5,4.11,41.38,3048424,4744704768.0,2.01,1.07
2013-10-08,1044.4,1058.58,1060.36,1041.54,1.0,10.5,3741803,4985934848.0,1.8,1.32
2013-10-09,1057.92,1060.03,1062.3,1049.06,0.14,1.45,3306184,4445965824.0,1.25,1.16
2013-10-10,1060.64,1069.99,1076.56,1047.85,0.94,9.96,6058359,7298742784.0,2.71,2.13
2013-10-11,1071.2,1064.58,1074.34,1049.95,-0.51,-5.41,4367988,4315353600.0,2.28,1.54
2013-10-14,1061.67,1063.0,1069.86,1056.42,-0.15,-1.58,3676441,4756059392.0,1.26,1.29
2013-10-15,1062.11,1057.47,1065.21,1051.86,-0.52,-5.53,3209143,4507920896.0,1.26,1.13
2013-10-16,1056.18,1055.23,1083.16,1029.3,-0.21,-2.24,5940725,5359320832.0,5.09,2.09
2013-10-17,1052.66,1054.73,1071.6,1042.93,-0.05,-0.5,4178108,3744978224.0,2.72,1.47
2013-10-18,1051.37,1053.17,1064.32,1049.14,-0.15,-1.56,2994584,3303572608.0,1.44,1.05
2013-10-21,1060.46,1108.66,1116.16,1058.96,5.27,55.49,8651705,5508238080.0,5.43,3.05
2013-10-22,1099.69,1148.79,1163.15,1089.82,3.62,40.13,10865511,6196844032.0,6.61,3.83
2013-10-23,1141.9,1114.8,1160.44,1105.78,-2.96,-33.99,8440228,5529262336.0,4.76,2.97
2013-10-24,1107.26,1117.7,1142.23,1100.04,0.26,2.9,4422416,2935971760.0,3.78,1.56
2013-10-25,1127.53,1136.56,1162.69,1107.6,1.69,18.86,8090701,5215864832.0,4.93,2.85
2013-10-28,1137.27,1185.19,1187.71,1122.05,4.28,48.63,10011712,5054310912.0,5.78,3.53
2013-10-29,1181.43,1152.76,1188.37,1110.5,-2.74,-32.43,8647455,4744628992.0,6.57,3.04
2013-10-30,1144.42,1174.34,1181.02,1129.79,1.87,21.58,7468542,4318408960.0,4.44,2.63
2013-10-31,1160.53,1134.68,1178.87,1130.73,-3.38,-39.66,7112962,3827932720.0,4.1,2.5
2013-11-01,1120.78,1107.84,1128.61,1091.86,-2.37,-26.84,5271394,3111613664.0,3.24,1.86
2013-11-04,1102.99,1106.66,1120.4,1101.06,-0.11,-1.18,3271697,2124369024.0,1.75,1.15
2013-11-05,1099.79,1119.46,1120.01,1079.82,1.16,12.8,3864065,2915644064.0,3.63,1.36
2013-11-06,1111.53,1107.61,1139.81,1106.29,-1.06,-11.85,4739732,2949573216.0,2.99,1.67
2013-11-07,1100.75,1081.14,1109.07,1079.27,-2.39,-26.47,3670576,2494444784.0,2.69,1.29
2013-11-08,1075.47,1077.82,1093.65,1070.35,-0.31,-3.32,3512315,2820910016.0,2.16,1.24
2013-11-11,1074.11,1089.72,1098.42,1069.83,1.1,11.9,2882821,2090097952.0,2.65,1.02
2013-11-12,1089.95,1121.86,1134.09,1084.54,2.95,32.14,5609443,2986319776.0,4.55,1.98
2013-11-13,1111.23,1091.07,1118.21,1089.16,-2.74,-30.79,3622925,2661260224.0,2.59,1.28
2013-11-14,1089.88,1128.6,1140.27,1086.74,3.44,37.53,5851560,3694436464.0,4.91,2.06
2013-11-15,1128.96,1138.19,1154.63,1123.24,0.85,9.59,5510655,3992993424.0,2.78,1.94
2013-11-18,1143.23,1153.77,1161.04,1136.49,1.37,15.58,5354500,3555889696.0,2.16,1.89
2013-11-19,1148.27,1142.24,1153.45,1132.23,-1.0,-11.53,3948016,3177145072.0,1.84,1.39
2013-11-20,1146.06,1184.36,1184.47,1144.44,3.69,42.12,7546728,3709796752.0,3.5,2.66
2013-11-21,1182.55,1185.51,1220.35,1168.96,0.1,1.15,8274909,4161347440.0,4.34,2.91
2013-11-22,1181.99,1177.71,1199.47,1170.87,-0.66,-7.8,5742865,3504870720.0,2.41,2.02
2013-11-25,1176.29,1185.97,1197.56,1159.34,0.7,8.26,4542088,2823575440.0,3.25,1.6
2013-11-26,1179.99,1190.15,1202.01,1178.91,0.35,4.18,5017306,3515824832.0,1.95,1.77
2013-11-27,1183.81,1197.78,1206.55,1176.79,0.64,7.63,5053940,4910287616.0,2.5,1.78
2013-11-28,1196.88,1203.07,1223.37,1196.14,0.44,5.29,5003419,3581607840.0,2.27,1.76
2013-11-29,1202.02,1204.24,1207.69,1192.36,0.1,1.17,3671032,3483586592.0,1.27,1.29
2013-12-02,1180.86,1147.68,1194.75,1131.23,-4.7,-56.56,5898760,4529936896.0,5.27,2.08
2013-12-03,1135.44,1157.69,1160.66,1131.29,0.87,10.01,3570326,3225060720.0,2.56,1.26
2013-12-04,1157.01,1165.76,1183.48,1152.98,0.7,8.07,3942445,3005499456.0,2.63,1.39
2013-12-05,1167.07,1183.75,1186.45,1164.06,1.54,17.99,6107260,3811016976.0,1.92,2.15
2013-12-06,1180.23,1173.72,1188.41,1167.14,-0.85,-10.03,3486770,2381949056.0,1.8,1.23
2013-12-09,1176.85,1181.66,1188.37,1173.11,0.68,7.94,3121442,2464542832.0,1.3,1.1
2013-12-10,1184.79,1222.51,1238.6,1178.48,3.46,40.85,8247871,4029947664.0,5.09,2.9
2013-12-11,1210.25,1215.96,1217.22,1194.55,-0.54,-6.55,4868151,3489156480.0,1.85,1.71
2013-12-12,1210.67,1207.49,1229.03,1204.42,-0.7,-8.47,4074999,3533338368.0,2.02,1.43
2013-12-13,1193.97,1205.88,1210.3,1192.61,-0.13,-1.61,2799269,2361348496.0,1.47,0.99
2013-12-16,1202.4,1173.15,1211.99,1171.98,-2.71,-32.73,3606049,2437808416.0,3.32,1.27
2013-12-17,1170.33,1151.1,1177.23,1145.3,-1.88,-22.05,2632678,2104674064.0,2.72,0.93
2013-12-18,1149.92,1140.4,1157.25,1133.96,-0.93,-10.7,2360580,1761617488.0,2.02,0.83
2013-12-19,1143.56,1134.58,1151.78,1131.29,-0.51,-5.82,2176335,1433306768.0,1.8,0.77
2013-12-20,1135.01,1111.67,1138.81,1102.62,-2.02,-22.91,2536903,1372753200.0,3.19,0.89
2013-12-23,1107.67,1109.79,1113.27,1086.45,-0.17,-1.88,2246595,1368854048.0,2.41,0.79
2013-12-24,1110.84,1112.73,1126.59,1101.55,0.26,2.94,2170001,1504164144.0,2.26,0.76
2013-12-25,1112.58,1139.72,1143.29,1105.66,2.43,26.99,2922363,1531553296.0,3.38,1.03
2013-12-26,1137.94,1124.05,1141.01,1122.98,-1.37,-15.67,2443736,2192305664.0,1.58,0.86
2013-12-27,1125.81,1138.24,1145.65,1125.53,1.26,14.19,2603381,1919241392.0,1.79,0.92
2013-12-30,1144.58,1135.14,1148.28,1129.16,-0.27,-3.1,2587604,2363909168.0,1.68,0.91
2013-12-31,1133.15,1135.31,1143.95,1125.02,0.01,0.17,2226806,2146309488.0,1.67,0.78
2014-01-02,1135.54,1142.85,1147.88,1130.79,0.66,7.54,2241546,3037482304.0,1.51,0.79
2014-01-03,1139.34,1121.44,1144.26,1115.88,-1.87,-21.41,4108593,3686998272.0,2.48,1.45
2014-01-06,1118.26,1097.06,1118.26,1093.92,-2.17,-24.38,3470436,3143363856.0,2.17,1.22
2014-01-07,1094.88,1111.34,1114.59,1091.74,1.3,14.28,2366189,3044942304.0,2.08,0.83
2014-01-08,1114.63,1120.75,1125.86,1104.76,0.85,9.41,2983651,4498458880.0,1.9,1.05
2014-01-09,1120.07,1147.9,1162.75,1119.74,2.42,27.15,5011978,4659589888.0,3.84,1.76
2014-01-10,1156.8,1165.05,1184.87,1151.12,1.49,17.15,6291234,4413780992.0,2.94,2.22
2014-01-13,1161.07,1155.61,1163.95,1141.47,-0.81,-9.44,3870566,3586059760.0,1.93,1.36
2014-01-14,1152.24,1209.74,1214.95,1149.66,4.68,54.13,8044165,4537306368.0,5.65,2.83
