日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1001.83,1029.57,1037.71,988.84,2.96,29.57,5125622,6423287000.0,4.89,0.02
2000-01-05,1031.6,1031.03,1060.67,1015.25,0.14,1.46,7687254,9440827000.0,4.41,0.03
2000-01-06,1027.85,1070.58,1077.68,1016.35,3.84,39.55,9292792,11465366000.0,5.95,0.03
2000-01-07,1079.44,1109.48,1123.43,1067.27,3.63,38.9,18487165,23414684000.0,5.25,0.06
2000-01-10,1126.42,1139.63,1157.86,1099.81,2.72,30.15,17620334,22750537000.0,5.23,0.06
2000-01-11,1141.72,1089.27,1152.79,1074.96,-4.42,-50.36,13763880,17039850000.0,6.83,0.05
2000-01-12,1084.18,1062.03,1107.91,1047.76,-2.5,-27.24,11071085,14017206000.0,5.52,0.04
2000-01-13,1060.1,1054.87,1080.48,1040.13,-0.67,-7.16,7049458,8313887000.0,3.8,0.02
2000-01-14,1056.75,1041.26,1071.5,1030.1,-1.29,-13.61,5855057,7087562000.0,3.92,0.02
2000-01-17,1039.33,1061.94,1069.96,1025.06,1.99,20.68,5954550,6910148000.0,4.31,0.02
2000-01-18,1064.17,1060.5,1088.28,1044.25,-0.14,-1.44,6978117,8483982000.0,4.15,0.02
2000-01-19,1059.59,1073.5,1088.41,1048.56,1.23,13.0,6585129,8036164000.0,3.76,0.02
2000-01-20,1075.17,1090.48,1102.35,1061.8,1.58,16.98,9082565,12421431000.0,3.78,0.03
2000-01-21,1092.68,1086.07,1116.91,1067.53,-0.4,-4.41,12514533,16829314000.0,4.53,0.04
2000-01-24,1086.93,1097.41,1117.09,1059.59,1.04,11.34,13574398,18162870000.0,5.29,0.04
2000-01-25,1102.88,1101.51,1134.13,1075.55,0.37,4.1,12291847,15445592000.0,5.34,0.04
2000-01-26,1105.57,1106.4,1130.23,1083.56,0.44,4.89,9389039,11954103000.0,4.24,0.03
2000-01-27,1114.64,1117.9,1141.73,1090.67,1.04,11.5,13713739,18856701000.0,4.61,0.05
2000-01-28,1122.81,1137.97,1158.06,1099.71,1.8,20.07,17458275,24279536000.0,5.22,0.06
2000-02-14,1176.54,1241.82,1245.86,1160.02,9.13,103.85,20736979,27458424000.0,7.54,0.07
2000-02-15,1269.81,1234.1,1311.61,1208.92,-0.62,-7.72,29649109,41510669000.0,8.27,0.1
2000-02-16,1235.76,1246.62,1277.61,1191.49,1.01,12.52,28796503,39846623000.0,6.98,0.09
2000-02-17,1268.04,1221.04,1326.65,1182.3,-2.05,-25.58,39086049,55151698000.0,11.58,0.13
2000-02-18,1213.17,1233.38,1260.16,1164.35,1.01,12.34,21923993,30618823000.0,7.85,0.07
2000-02-21,1243.02,1255.57,1294.32,1201.22,1.8,22.19,26741441,37981643000.0,7.55,0.09
2000-02-22,1263.43,1219.25,1298.99,1202.25,-2.89,-36.32,21396211,29151021000.0,7.7,0.07
2000-02-23,1211.99,1195.67,1239.88,1173.07,-1.93,-23.58,16734365,22652263000.0,5.48,0.05
2000-02-24,1195.07,1221.66,1235.95,1181.5,2.17,25.99,13318320,18553599000.0,4.55,0.04
2000-02-25,1222.94,1219.2,1249.01,1192.35,-0.2,-2.46,15639925,21975451000.0,4.64,0.05
2000-02-28,1227.57,1272.78,1288.25,1210.04,4.39,53.58,20344844,28854209000.0,6.41,0.07
2000-02-29,1289.59,1279.53,1323.82,1238.28,0.53,6.75,24099940,34620439000.0,6.72,0.08
2000-03-01,1284.66,1279.38,1322.42,1249.68,-0.01,-0.15,21527490,28646916000.0,5.68,0.07
2000-03-02,1279.94,1284.74,1317.17,1251.09,0.42,5.36,18105790,24579065000.0,5.17,0.06
2000-03-03,1297.06,1304.53,1336.38,1274.63,1.54,19.79,22634887,30590046000.0,4.81,0.07
2000-03-06,1318.97,1266.61,1350.22,1254.75,-2.91,-37.92,24061963,32115913000.0,7.32,0.08
2000-03-07,1252.91,1282.25,1299.06,1232.49,1.23,15.64,16997983,21214687000.0,5.26,0.06
2000-03-08,1288.66,1299.9,1321.91,1261.82,1.38,17.65,15761191,21089471000.0,4.69,0.05
2000-03-09,1308.15,1304.47,1336.87,1274.96,0.35,4.57,17694626,25470296000.0,4.76,0.06
2000-03-10,1306.2,1283.56,1330.51,1266.5,-1.6,-20.91,15818956,21404966000.0,4.91,0.05
2000-03-13,1284.02,1306.77,1325.09,1268.92,1.81,23.21,14194870,17913373000.0,4.38,0.05
2000-03-14,1279.88,1281.57,1308.66,1232.14,-1.93,-25.2,18487207,22971302000.0,5.86,0.06
2000-03-15,1280.81,1285.35,1318.18,1258.99,0.29,3.78,15593633,18653114000.0,4.62,0.05
2000-03-16,1277.24,1227.43,1287.14,1211.73,-4.51,-57.92,14937125,17082420000.0,5.87,0.05
2000-03-17,1223.9,1265.87,1278.86,1217.38,3.13,38.44,13354071,17101918000.0,5.01,0.04
2000-03-20,1253.54,1300.49,1315.8,1234.78,2.73,34.62,17462855,21305131000.0,6.4,0.06
2000-03-21,1306.02,1312.15,1339.36,1279.07,0.9,11.66,18289878,22707712000.0,4.64,0.06
2000-03-22,1313.84,1318.95,1348.48,1289.81,0.52,6.8,16429417,21970513000.0,4.47,0.05
2000-03-23,1322.73,1343.18,1359.01,1301.44,1.84,24.23,18458593,23321742000.0,4.36,0.06
2000-03-24,1353.85,1332.33,1386.81,1317.77,-0.81,-10.85,21849717,28299131000.0,5.14,0.07
2000-03-27,1336.64,1375.67,1393.4,1323.04,3.25,43.34,20424085,25641183000.0,5.28,0.07
2000-03-28,1387.94,1386.67,1422.2,1353.57,0.8,11.0,24485438,28390544000.0,4.99,0.08
2000-03-29,1391.05,1376.55,1413.6,1345.32,-0.73,-10.12,19252028,23160269000.0,4.92,0.06
2000-03-30,1380.42,1395.47,1414.36,1360.72,1.37,18.92,17123781,21627029000.0,3.9,0.06
2000-03-31,1393.37,1387.08,1419.18,1359.77,-0.6,-8.39,18308496,22661830000.0,4.26,0.06
2000-04-03,1388.96,1387.12,1424.72,1365.35,0.0,0.04,16714316,21770262000.0,4.28,0.05
2000-04-04,1382.68,1357.68,1397.7,1339.84,-2.12,-29.44,14019691,17760839000.0,4.17,0.05
2000-04-05,1354.12,1368.36,1390.19,1337.26,0.79,10.68,11644252,14780769000.0,3.9,0.04
2000-04-06,1373.69,1399.49,1412.31,1360.54,2.27,31.13,14882767,18321736000.0,3.78,0.05
2000-04-07,1405.06,1409.78,1434.83,1381.06,0.74,10.29,17124833,20568544000.0,3.84,0.06
2000-04-10,1416.31,1422.89,1447.99,1394.14,0.93,13.11,17550594,20693838000.0,3.82,0.06
2000-04-11,1426.75,1415.58,1452.01,1391.17,-0.51,-7.31,15165406,19448308000.0,4.28,0.05
2000-04-12,1416.95,1407.71,1440.07,1381.23,-0.56,-7.87,13838302,17232075000.0,4.16,0.05
2000-04-13,1410.05,1426.25,1446.55,1393.9,1.32,18.54,17260767,19886970000.0,3.74,0.06
2000-04-14,1429.74,1427.35,1456.54,1401.89,0.08,1.1,19903551,22633541000.0,3.83,0.07
2000-04-17,1421.79,1396.83,1441.23,1370.08,-2.14,-30.52,18840877,22198664000.0,4.98,0.06
2000-04-18,1397.02,1412.57,1432.11,1375.35,1.13,15.74,13207249,15939165000.0,4.06,0.04
2000-04-19,1416.72,1423.74,1447.51,1398.3,0.79,11.17,13328462,16546279000.0,3.48,0.04
2000-04-20,1425.19,1435.27,1459.15,1406.51,0.81,11.53,15930113,20135968000.0,3.7,0.05
2000-04-21,1440.88,1431.28,1469.22,1413.4,-0.28,-3.99,15405050,19545065000.0,3.89,0.05
2000-04-24,1433.38,1429.49,1461.94,1405.04,-0.13,-1.79,13515415,16778353000.0,3.98,0.04
2000-04-25,1431.17,1430.04,1456.22,1405.17,0.04,0.55,10326683,12706613000.0,3.57,0.03
2000-04-26,1433.87,1430.14,1462.56,1413.15,0.01,0.1,10384641,12865356000.0,3.46,0.03
2000-04-27,1433.3,1411.32,1454.28,1396.47,-1.32,-18.82,12395845,15824810000.0,4.04,0.04
2000-04-28,1411.54,1433.92,1445.51,1395.35,1.6,22.6,10758789,15164849000.0,3.55,0.04
2000-05-08,1443.8,1439.2,1469.14,1413.16,0.37,5.28,9271512,12806835000.0,3.9,0.03
2000-05-09,1440.61,1416.25,1456.45,1400.92,-1.59,-22.95,9345512,12562218000.0,3.86,0.03
2000-05-10,1410.9,1371.0,1421.15,1360.18,-3.2,-45.25,8846028,10854777000.0,4.31,0.03
2000-05-11,1366.93,1345.2,1390.05,1331.99,-1.88,-25.8,8202667,10060206000.0,4.23,0.03
2000-05-12,1347.02,1342.14,1371.55,1326.89,-0.23,-3.06,7206582,8660054000.0,3.32,0.02
2000-05-15,1344.27,1326.48,1359.86,1306.66,-1.17,-15.66,6409585,7753110000.0,3.96,0.02
2000-05-16,1330.07,1346.1,1360.25,1321.26,1.48,19.62,5412273,6581989000.0,2.94,0.02
2000-05-17,1350.61,1347.1,1372.53,1331.7,0.07,1.0,5877722,7151022000.0,3.03,0.02
2000-05-18,1347.9,1377.6,1386.02,1333.32,2.26,30.5,8701726,10794570000.0,3.91,0.03
2000-05-19,1383.78,1396.04,1410.65,1365.25,1.34,18.44,11603235,14294708000.0,3.3,0.04
2000-05-22,1404.29,1432.48,1450.19,1389.44,2.61,36.44,15307361,19279517000.0,4.35,0.05
2000-05-23,1440.98,1434.37,1462.85,1406.05,0.13,1.89,13011657,15680194000.0,3.97,0.04
2000-05-24,1437.16,1450.19,1476.14,1417.89,1.1,15.82,15793474,19797930000.0,4.06,0.05
2000-05-25,1458.16,1472.93,1493.64,1439.59,1.57,22.74,17409720,21745938000.0,3.73,0.06
2000-05-26,1480.21,1475.75,1510.01,1448.6,0.19,2.82,18178480,22346834000.0,4.17,0.06
2000-05-29,1481.48,1489.92,1515.97,1457.94,0.96,14.17,17952930,23760621000.0,3.93,0.06
2000-05-30,1496.12,1475.24,1523.73,1455.2,-0.99,-14.68,16360864,20324592000.0,4.6,0.05
2000-05-31,1473.84,1487.33,1511.98,1452.57,0.82,12.09,15489691,18728794000.0,4.03,0.05
2000-06-01,1492.15,1498.62,1524.96,1470.8,0.76,11.29,15650648,18768393000.0,3.64,0.05
2000-06-02,1501.98,1507.94,1532.88,1476.95,0.62,9.32,19599643,22313424000.0,3.73,0.06
2000-06-05,1514.55,1493.37,1551.09,1470.62,-0.97,-14.57,24558296,26753951000.0,5.34,0.08
2000-06-06,1493.34,1514.62,1530.78,1472.4,1.42,21.25,17883097,21714083000.0,3.91,0.06
