日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-02-26,1007.03,1025.29,1042.49,1003.33,2.53,25.29,18895029,13173242334.0,3.92,1.76
2024-02-27,1016.88,1057.42,1057.42,1011.46,3.13,32.13,16861724,12728301854.0,4.48,1.57
2024-02-28,1057.57,972.51,1064.42,972.48,-8.03,-84.91,21766329,15908059731.0,8.69,2.03
2024-02-29,958.46,1022.17,1022.17,958.46,5.11,49.66,19744610,14313351897.0,6.55,1.84
2024-03-01,1028.73,1052.0,1052.7,1024.72,2.92,29.83,27294199,20797392851.0,2.74,2.55
2024-03-04,1059.3,1059.28,1067.26,1032.02,0.69,7.28,21081002,18584748332.0,3.35,1.97
2024-03-05,1054.1,1055.59,1069.64,1041.56,-0.35,-3.69,22812042,19950987446.0,2.65,2.13
2024-03-06,1056.48,1070.97,1079.78,1044.16,1.46,15.38,24444725,18638828387.0,3.37,2.28
2024-03-07,1071.85,1053.52,1081.53,1053.45,-1.63,-17.45,20399554,16952654523.0,2.62,1.9
2024-03-08,1056.55,1083.84,1086.22,1049.59,2.88,30.32,19598563,15190508804.0,3.48,1.83
2024-03-11,1077.86,1112.07,1112.07,1074.16,2.6,28.23,21148945,17927356472.0,3.5,1.97
2024-03-12,1112.85,1109.66,1116.38,1095.78,-0.22,-2.41,20364368,17336756380.0,1.85,1.9
2024-03-13,1108.33,1109.56,1121.81,1101.83,-0.01,-0.1,17108927,15396152316.0,1.8,1.6
2024-03-14,1103.07,1091.67,1107.1,1076.48,-1.61,-17.89,17247435,14080939004.0,2.76,1.61
2024-03-15,1088.0,1106.53,1106.56,1078.45,1.36,14.86,16431483,13983568194.0,2.57,1.53
2024-03-18,1110.92,1134.06,1134.13,1108.09,2.49,27.53,20705246,17880310397.0,2.35,1.93
2024-03-19,1128.78,1130.87,1144.69,1127.24,-0.28,-3.19,18218659,16503446556.0,1.54,1.7
2024-03-20,1128.15,1140.07,1140.28,1128.11,0.81,9.2,17438490,16215806763.0,1.08,1.63
2024-03-21,1140.81,1135.11,1143.03,1124.49,-0.44,-4.96,16942683,14422472225.0,1.63,1.58
2024-03-22,1130.38,1125.93,1136.39,1115.44,-0.81,-9.18,17727621,14432160826.0,1.85,1.65
2024-03-25,1121.13,1092.46,1126.18,1091.49,-2.97,-33.47,16665720,14158485566.0,3.08,1.56
2024-03-26,1088.13,1092.79,1103.26,1076.1,0.03,0.33,16434396,13918752590.0,2.49,1.53
2024-03-27,1092.4,1041.42,1094.09,1040.84,-4.7,-51.37,18392614,13375698682.0,4.87,1.72
2024-03-28,1039.64,1079.87,1092.92,1039.64,3.69,38.45,21499702,16579584222.0,5.12,2.01
2024-03-29,1078.87,1095.08,1095.35,1066.85,1.41,15.21,17074080,15113750575.0,2.64,1.59
2024-04-01,1098.53,1134.07,1134.18,1098.53,3.56,38.99,35243628,26751605481.0,3.26,3.29
2024-04-02,1129.88,1122.52,1129.88,1112.5,-1.02,-11.55,25659550,20140691309.0,1.53,2.39
2024-04-03,1118.58,1103.54,1118.58,1090.08,-1.69,-18.98,23806027,17702829797.0,2.54,2.22
2024-04-08,1093.72,1057.08,1093.72,1057.08,-4.21,-46.46,18633360,13525922061.0,3.32,1.74
2024-04-09,1058.47,1074.44,1074.48,1054.26,1.64,17.36,16416069,12251577500.0,1.91,1.53
2024-04-10,1071.74,1035.27,1071.74,1026.69,-3.65,-39.17,15331978,11307680350.0,4.19,1.43
2024-04-11,1026.4,1030.63,1048.79,1024.22,-0.45,-4.64,13323549,9919028486.0,2.37,1.24
2024-04-12,1033.97,1020.5,1044.36,1018.1,-0.98,-10.13,16075833,11955202376.0,2.55,1.5
2024-04-15,1011.12,975.18,1018.79,960.01,-4.44,-45.32,17964540,12670926637.0,5.76,1.68
2024-04-16,959.3,897.92,960.36,897.92,-7.92,-77.26,16216401,11327636345.0,6.4,1.51
2024-04-17,908.3,965.57,965.57,908.3,7.53,67.65,16511022,11563964358.0,6.38,1.54
2024-04-18,966.42,962.75,982.02,947.68,-0.29,-2.82,18276691,13017027412.0,3.56,1.71
2024-04-19,956.11,940.28,958.69,933.25,-2.33,-22.47,14549445,10496552095.0,2.64,1.36
2024-04-22,930.48,925.53,939.68,906.22,-1.57,-14.75,11810874,8585052123.0,3.56,1.1
2024-04-23,932.31,935.7,943.32,929.74,1.1,10.17,13395730,8779908052.0,1.47,1.25
2024-04-24,935.78,959.86,959.86,933.62,2.58,24.16,12983993,9379459659.0,2.8,1.21
2024-04-25,955.08,966.82,976.32,949.72,0.73,6.96,13769724,9522838888.0,2.77,1.28
2024-04-26,963.62,991.28,996.44,963.62,2.53,24.46,16182252,12880818453.0,3.39,1.51
2024-04-29,989.66,1022.04,1022.98,989.66,3.1,30.76,18162330,13275541164.0,3.36,1.69
2024-04-30,1022.27,1012.59,1026.4,1005.14,-0.92,-9.45,14993788,11492015519.0,2.08,1.4
2024-05-06,1021.97,1024.6,1028.27,1019.72,1.19,12.01,18712991,13174474529.0,0.84,1.75
2024-05-07,1021.44,1020.8,1026.5,1013.8,-0.37,-3.8,22597580,13439198483.0,1.24,2.11
2024-05-08,1016.95,996.83,1016.95,995.63,-2.35,-23.97,16472634,10299037522.0,2.09,1.54
2024-05-09,995.49,1006.67,1012.64,995.49,0.99,9.84,13673137,9232812450.0,1.72,1.28
2024-05-10,1003.36,984.93,1005.75,982.24,-2.16,-21.74,12779788,8825068084.0,2.34,1.19
2024-05-13,979.38,967.63,980.29,962.79,-1.76,-17.3,12537561,8773030643.0,1.78,1.17
2024-05-14,969.68,973.51,984.84,969.48,0.61,5.88,11206563,8360991540.0,1.59,1.05
2024-05-15,971.81,967.25,982.66,964.76,-0.64,-6.26,10167553,7602867503.0,1.84,0.95
2024-05-16,971.06,975.84,983.43,971.06,0.89,8.59,10169398,7947503106.0,1.28,0.95
2024-05-17,974.79,996.43,996.76,969.64,2.11,20.59,14596436,9274148467.0,2.78,1.36
