日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-02-22,1003.38,982.15,1025.53,972.17,-1.79,-17.85,11158509,23309889334.0,5.34,1.31
2021-02-23,975.76,969.27,992.85,951.17,-1.31,-12.88,8427686,21064224037.0,4.24,0.99
2021-02-24,972.76,967.84,1003.53,948.92,-0.15,-1.43,9607481,25832571390.0,5.63,1.13
2021-02-25,973.02,952.69,983.66,944.18,-1.57,-15.15,6828037,15968762249.0,4.08,0.8
2021-02-26,938.98,956.55,973.37,919.17,0.41,3.86,9807159,20835192766.0,5.69,1.15
2021-03-01,955.38,978.88,985.94,940.84,2.33,22.33,8440204,18470335114.0,4.71,0.99
2021-03-02,983.97,978.35,1001.14,956.98,-0.05,-0.53,8037050,16682037781.0,4.51,0.95
2021-03-03,975.26,998.17,1006.25,966.6,2.03,19.82,6980305,12770283289.0,4.05,0.82
2021-03-04,995.33,991.87,1018.85,977.02,-0.63,-6.3,8879021,15302137235.0,4.19,1.05
2021-03-05,983.16,1017.84,1033.27,971.1,2.62,25.97,8563482,15346751203.0,6.27,1.01
2021-03-08,1023.12,993.58,1044.25,983.89,-2.38,-24.26,11400037,21457102247.0,5.93,1.34
2021-03-09,995.71,957.43,1009.6,933.68,-3.64,-36.15,11890675,21247538613.0,7.64,1.4
2021-03-10,975.1,953.48,987.05,943.41,-0.41,-3.95,7204748,15552523489.0,4.56,0.85
2021-03-11,953.55,971.85,982.31,938.66,1.93,18.37,6662643,14058503820.0,4.58,0.78
2021-03-12,974.07,988.57,1003.98,959.25,1.72,16.72,9127098,14236152599.0,4.6,1.07
2021-03-15,976.62,976.73,997.16,956.49,-1.2,-11.84,9313098,12831713114.0,4.11,1.1
2021-03-16,977.43,983.75,996.1,963.92,0.72,7.02,7469317,10261948671.0,3.29,0.88
2021-03-17,981.3,986.37,999.11,966.96,0.27,2.62,5791036,9765787833.0,3.27,0.68
2021-03-18,991.0,983.49,1006.83,972.99,-0.29,-2.88,6479592,9730516944.0,3.43,0.76
2021-03-19,973.24,971.39,989.57,959.11,-1.23,-12.1,5067958,9692002097.0,3.1,0.6
2021-03-22,974.71,996.88,1005.57,965.5,2.62,25.49,7695959,10038050209.0,4.13,0.91
2021-03-23,1001.72,985.97,1010.31,971.11,-1.09,-10.91,6283938,10020375606.0,3.93,0.74
2021-03-24,982.26,960.73,993.73,950.69,-2.56,-25.24,7151712,10565691430.0,4.37,0.84
2021-03-25,952.17,953.37,974.9,938.07,-0.77,-7.36,4823229,8923341957.0,3.83,0.57
2021-03-26,955.01,978.03,986.21,949.83,2.59,24.66,7156775,13230403315.0,3.82,0.84
2021-03-29,973.56,970.47,987.96,955.28,-0.77,-7.56,6300801,11040528253.0,3.34,0.74
2021-03-30,970.88,974.83,985.6,954.95,0.45,4.36,4988898,11051072820.0,3.16,0.59
2021-03-31,981.57,974.8,1005.01,964.83,0.0,-0.03,5645318,11635934691.0,4.12,0.66
2021-04-01,973.73,990.79,1005.05,966.27,1.64,15.99,7343181,12858479259.0,3.98,0.86
2021-04-02,991.82,993.52,1011.98,974.59,0.28,2.73,7963321,14451817599.0,3.77,0.94
2021-04-06,996.82,1009.85,1024.04,987.06,1.64,16.33,7620272,12966239757.0,3.72,0.9
2021-04-07,1008.27,1002.62,1025.56,987.14,-0.72,-7.23,8084172,13257437351.0,3.8,0.95
2021-04-08,996.94,1003.2,1019.86,984.23,0.06,0.58,7105250,10753732269.0,3.55,0.84
2021-04-09,1001.41,999.14,1017.46,985.29,-0.4,-4.06,5737423,9874682306.0,3.21,0.68
2021-04-12,1001.05,990.34,1017.67,977.75,-0.88,-8.8,6734691,10157772641.0,4.0,0.79
2021-04-13,995.87,996.82,1016.25,979.69,0.65,6.48,6129481,9051629232.0,3.69,0.72
2021-04-14,997.3,1013.37,1022.86,987.99,1.66,16.55,7421575,12080766661.0,3.5,0.87
2021-04-15,1005.76,1015.53,1026.04,988.59,0.21,2.16,7481014,11321699282.0,3.7,0.88
