日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-11-27,1000.99,1007.8,1012.01,996.5,0.78,7.8,4127245,4199317872.0,1.55,0.45
2013-11-28,1022.23,1025.88,1033.81,1021.49,1.79,18.08,4322457,4494710784.0,1.22,0.47
2013-11-29,1027.7,1024.68,1028.07,1017.68,-0.12,-1.2,3379355,3528835744.0,1.01,0.37
2013-12-02,1011.07,1001.13,1025.63,990.34,-2.3,-23.55,6052377,5561257984.0,3.44,0.66
2013-12-03,998.47,1027.0,1027.63,996.75,2.58,25.87,5265497,4675556608.0,3.08,0.57
2013-12-04,1027.71,1063.53,1075.04,1024.78,3.56,36.53,8306732,8203595008.0,4.89,0.9
2013-12-05,1063.29,1060.27,1065.92,1052.76,-0.31,-3.26,5455317,5190199552.0,1.24,0.59
2013-12-06,1055.02,1053.71,1064.85,1049.68,-0.62,-6.56,4548906,4170347728.0,1.43,0.49
2013-12-09,1060.2,1068.86,1069.67,1059.31,1.44,15.15,4793513,4561317120.0,0.98,0.52
2013-12-10,1072.46,1089.46,1114.27,1072.46,1.93,20.6,8084756,7734273280.0,3.91,0.88
2013-12-11,1081.71,1063.36,1081.71,1053.89,-2.4,-26.1,6118785,5686767872.0,2.55,0.66
2013-12-12,1061.8,1065.72,1084.6,1061.5,0.22,2.36,5507671,5546447360.0,2.17,0.6
2013-12-13,1058.0,1069.81,1072.94,1056.11,0.38,4.09,4338840,4680892672.0,1.58,0.47
2013-12-16,1072.46,1023.73,1075.87,1021.31,-4.31,-46.08,6439853,6601233152.0,5.1,0.7
2013-12-17,1022.34,1012.19,1025.17,1008.74,-1.13,-11.54,4313678,4106137344.0,1.6,0.47
2013-12-18,1015.57,1002.95,1017.69,999.3,-0.91,-9.24,3038387,2868686896.0,1.82,0.33
2013-12-19,1006.98,988.95,1018.67,986.91,-1.4,-14.0,2874189,2783601328.0,3.17,0.31
2013-12-20,990.53,971.67,1003.27,967.39,-1.75,-17.28,3606251,3392637792.0,3.63,0.39
2013-12-23,973.44,963.4,976.87,954.96,-0.85,-8.27,3192927,2864393856.0,2.25,0.35
2013-12-24,965.87,964.2,978.09,956.33,0.08,0.8,2617948,2474439504.0,2.26,0.28
2013-12-25,964.4,972.13,973.62,957.54,0.82,7.93,2677186,2492430704.0,1.67,0.29
2013-12-26,970.37,953.79,972.55,951.42,-1.89,-18.34,3335148,3062522112.0,2.17,0.36
2013-12-27,954.54,968.67,973.47,950.41,1.56,14.88,3050534,2952645936.0,2.42,0.33
2013-12-30,972.52,976.24,980.72,970.86,0.78,7.57,2768312,2629516144.0,1.02,0.3
2013-12-31,969.92,987.08,988.32,969.06,1.11,10.84,3262801,3075761376.0,1.97,0.35
2014-01-02,983.42,975.94,984.69,974.08,-1.13,-11.14,2731959,2663107952.0,1.07,0.3
2014-01-03,972.18,950.32,972.18,946.3,-2.63,-25.62,3584042,3424792160.0,2.65,0.39
2014-01-06,943.97,915.49,943.97,913.32,-3.67,-34.83,3434545,3234666896.0,3.23,0.37
2014-01-07,911.12,914.28,928.18,906.68,-0.13,-1.21,2522869,2322083632.0,2.35,0.27
2014-01-08,915.27,915.96,927.95,912.41,0.18,1.68,2961500,2865728016.0,1.7,0.32
2014-01-09,913.6,903.19,925.15,902.77,-1.39,-12.77,2866691,2708755120.0,2.44,0.31
2014-01-10,902.53,898.56,903.55,892.48,-0.51,-4.63,2554943,2325123536.0,1.23,0.28
2014-01-13,897.39,897.23,909.28,891.67,-0.15,-1.33,2033083,1886279952.0,1.96,0.22
2014-01-14,899.48,912.07,912.2,896.63,1.65,14.84,2057851,1962894208.0,1.74,0.22
2014-01-15,910.12,911.62,912.58,905.13,-0.05,-0.45,2151213,2148701104.0,0.82,0.23
2014-01-16,911.29,913.47,919.83,908.42,0.2,1.85,2757559,2712623296.0,1.25,0.3
2014-01-17,910.4,890.58,910.92,889.86,-2.51,-22.89,2417106,2346124960.0,2.31,0.26
2014-01-20,889.12,886.88,893.04,881.22,-0.42,-3.7,1966863,1980423456.0,1.33,0.21
2014-01-21,888.0,899.1,899.77,888.0,1.38,12.22,2045870,1948408256.0,1.33,0.22
2014-01-22,901.74,930.07,930.24,901.63,3.44,30.97,3414016,3268741120.0,3.18,0.37
2014-01-23,931.02,931.7,938.26,929.6,0.18,1.63,3144917,3142126608.0,0.93,0.34
2014-01-24,929.69,939.66,945.34,926.69,0.85,7.96,3616071,3481626688.0,2.0,0.39
2014-01-27,934.83,934.61,940.11,929.45,-0.54,-5.05,3810227,3868615120.0,1.13,0.41
2014-01-28,937.74,932.99,942.27,929.19,-0.17,-1.62,2804265,2987899360.0,1.4,0.3
2014-01-29,936.6,936.59,938.62,930.83,0.39,3.6,2400430,2519347456.0,0.83,0.26
2014-01-30,934.54,936.86,945.21,930.58,0.03,0.27,2943082,2974465104.0,1.56,0.32
2014-02-07,930.69,946.47,946.66,924.23,1.03,9.61,2921367,2913793120.0,2.39,0.32
2014-02-10,949.84,973.54,974.01,949.84,2.86,27.07,4569428,4837672448.0,2.55,0.49
2014-02-11,974.9,979.02,982.45,972.28,0.56,5.48,4793430,5018257152.0,1.04,0.52
2014-02-12,979.12,976.02,980.98,970.53,-0.31,-3.0,4223345,4442447616.0,1.07,0.46
2014-02-13,975.62,981.08,994.29,972.06,0.52,5.06,6196252,6511966976.0,2.28,0.67
2014-02-14,982.98,994.5,994.5,979.54,1.37,13.42,4596135,4960572672.0,1.52,0.5
2014-02-17,998.74,1007.49,1008.3,992.66,1.31,12.99,4600208,4914175232.0,1.57,0.5
2014-02-18,1006.84,1014.93,1019.07,1000.88,0.74,7.44,6495200,6779603200.0,1.81,0.7
2014-02-19,1013.99,1017.19,1022.04,1009.7,0.22,2.26,6113358,6491565312.0,1.22,0.66
2014-02-20,1023.95,1010.29,1037.59,1009.57,-0.68,-6.9,5998444,6449592064.0,2.75,0.65
2014-02-21,1008.79,999.74,1016.91,991.73,-1.04,-10.55,4188961,4387134720.0,2.49,0.45
2014-02-24,992.91,981.19,992.91,970.56,-1.86,-18.55,4609639,4710535424.0,2.24,0.5
2014-02-25,981.79,946.06,988.41,939.89,-3.58,-35.13,6043542,6312138752.0,4.95,0.65
2014-02-26,940.8,949.11,950.88,933.77,0.32,3.05,4619517,4515443712.0,1.81,0.5
2014-02-27,952.0,947.54,970.25,944.29,-0.17,-1.57,4498465,4377419008.0,2.74,0.49
2014-02-28,947.24,952.68,954.06,930.14,0.54,5.14,4017838,3907095536.0,2.52,0.44
2014-03-03,953.38,988.39,995.13,950.78,3.75,35.71,6597152,6275849216.0,4.66,0.71
2014-03-04,983.45,985.54,988.93,972.1,-0.29,-2.85,4380122,4302276352.0,1.7,0.47
2014-03-05,988.94,971.23,992.19,969.48,-1.45,-14.31,3089234,3083956016.0,2.3,0.33
2014-03-06,970.86,974.07,977.19,956.87,0.29,2.84,3930788,3841890496.0,2.09,0.43
2014-03-07,976.8,977.78,989.54,971.42,0.38,3.71,3791147,3646191840.0,1.86,0.41
2014-03-10,971.31,956.53,980.14,954.47,-2.17,-21.25,4428766,4285818032.0,2.63,0.48
2014-03-11,956.96,961.54,969.21,947.98,0.52,5.01,4472842,4500984576.0,2.22,0.48
2014-03-12,958.0,962.16,966.92,947.42,0.06,0.62,3761319,3263643680.0,2.03,0.41
2014-03-13,959.55,964.78,968.88,955.35,0.27,2.62,3306707,2941312272.0,1.41,0.36
2014-03-14,958.13,955.19,963.71,946.75,-0.99,-9.59,3717662,3382685776.0,1.76,0.4
2014-03-17,955.64,967.04,967.04,948.79,1.24,11.85,3321245,3221160384.0,1.91,0.36
2014-03-18,967.94,978.86,987.4,966.12,1.22,11.82,4289567,4144803024.0,2.2,0.46
2014-03-19,974.84,971.47,974.86,960.29,-0.75,-7.39,4241576,4233825568.0,1.49,0.46
2014-03-20,970.85,943.14,977.89,942.11,-2.92,-28.33,4165030,4096198496.0,3.68,0.45
2014-03-21,939.93,979.41,980.35,935.59,3.85,36.27,5170454,4929888000.0,4.75,0.56
2014-03-24,983.83,988.64,991.68,979.88,0.94,9.23,4289305,3842819744.0,1.2,0.46
2014-03-25,990.12,1017.38,1019.42,987.08,2.91,28.74,7056362,6389246464.0,3.27,0.76
2014-03-26,1014.21,1007.01,1019.3,1002.67,-1.02,-10.37,4288465,4027899856.0,1.63,0.46
2014-03-27,1003.88,998.72,1012.5,995.87,-0.82,-8.29,4992049,4549139456.0,1.65,0.54
2014-03-28,1011.03,1022.63,1038.81,1011.03,2.39,23.91,7020333,6737674240.0,2.78,0.76
2014-03-31,1023.16,992.61,1023.59,987.39,-2.94,-30.02,5583661,5286607872.0,3.54,0.6
2014-04-01,986.89,996.54,997.94,984.63,0.4,3.93,3283308,3349666976.0,1.34,0.36
2014-04-02,998.03,994.55,999.41,988.85,-0.2,-1.99,3821679,3741100880.0,1.06,0.41
2014-04-03,994.55,983.44,996.9,978.49,-1.12,-11.11,2874413,2842828752.0,1.85,0.31
2014-04-04,982.49,995.12,996.63,982.42,1.19,11.68,2675327,2598119888.0,1.44,0.29
2014-04-08,991.89,1018.86,1020.3,991.74,2.39,23.74,3523353,3697436352.0,2.87,0.38
2014-04-09,1021.13,1025.18,1029.24,1018.08,0.62,6.32,3566932,3600395632.0,1.1,0.39
2014-04-10,1026.71,1038.15,1039.36,1021.77,1.27,12.97,4387267,4378723328.0,1.72,0.48
2014-04-11,1034.93,1037.01,1041.29,1029.96,-0.11,-1.14,3989313,4126668496.0,1.09,0.43
2014-04-14,1035.97,1035.4,1041.41,1027.18,-0.16,-1.61,3022222,3146327088.0,1.37,0.33
2014-04-15,1032.87,1015.93,1032.87,1013.91,-1.88,-19.47,3693753,3700741568.0,1.83,0.4
2014-04-16,1013.01,1017.56,1022.09,1009.89,0.16,1.63,2808198,2771993104.0,1.2,0.3
2014-04-17,1019.77,1016.34,1022.95,1015.97,-0.12,-1.22,2800349,2699250224.0,0.69,0.3
2014-04-18,1014.26,1019.67,1020.98,1008.88,0.33,3.33,2937489,2892025760.0,1.19,0.32
2014-04-21,1014.68,1004.13,1026.95,1003.38,-1.52,-15.54,4118362,3848090576.0,2.31,0.45
2014-04-22,1001.95,1011.5,1015.17,994.04,0.73,7.37,3460825,3250553968.0,2.1,0.37
2014-04-23,1010.38,1005.49,1016.72,1001.18,-0.59,-6.01,3068728,2817678592.0,1.54,0.33
2014-04-24,1002.34,987.7,1002.62,987.19,-1.77,-17.79,2767618,2618822944.0,1.53,0.3
2014-04-25,986.66,969.69,994.26,968.97,-1.82,-18.01,2913281,2822559328.0,2.56,0.32
2014-04-28,964.78,937.64,967.64,936.86,-3.31,-32.05,2951380,2808832384.0,3.17,0.32
2014-04-29,939.82,957.62,957.99,939.82,2.13,19.98,2433122,2399821152.0,1.94,0.26
2014-04-30,957.03,968.95,969.88,956.07,1.18,11.33,2591018,2680124176.0,1.44,0.28
2014-05-05,967.44,974.83,975.14,960.25,0.61,5.88,2349062,2487592048.0,1.54,0.25
2014-05-06,973.96,976.15,981.01,972.0,0.14,1.32,2371380,2335826960.0,0.92,0.26
2014-05-07,971.93,965.46,976.2,965.03,-1.1,-10.69,2674000,2640716496.0,1.14,0.29
2014-05-08,962.77,971.22,979.11,961.81,0.6,5.76,2461602,2420895504.0,1.79,0.27
2014-05-09,973.25,970.74,974.81,963.69,-0.05,-0.48,2821296,2759790880.0,1.14,0.31
2014-05-12,984.69,994.45,995.57,977.03,2.44,23.71,3576515,3778125920.0,1.91,0.39
2014-05-13,995.3,988.6,995.33,984.19,-0.59,-5.85,2634226,2954874576.0,1.12,0.29
2014-05-14,988.14,988.51,991.16,984.94,-0.01,-0.09,1922079,1986353296.0,0.63,0.21
2014-05-15,986.61,971.86,988.5,971.57,-1.68,-16.65,2304258,2286671728.0,1.71,0.25
2014-05-16,970.18,976.31,976.75,965.21,0.46,4.45,1899746,1861474112.0,1.19,0.21
2014-05-19,974.81,965.91,975.1,962.0,-1.07,-10.4,1779892,1706256416.0,1.34,0.19
2014-05-20,973.35,964.83,977.36,962.82,-0.11,-1.08,1799081,1794199984.0,1.51,0.19
