日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2014-09-04,1000.88,1007.47,1008.36,997.74,0.75,7.47,139109512,123627884544.0,1.06,0.31
2014-09-05,1009.3,1015.7,1016.56,1007.89,0.82,8.23,152197061,130107330560.0,0.86,0.33
2014-09-09,1016.7,1014.7,1018.51,1011.67,-0.1,-1.0,140102039,120500875264.0,0.67,0.31
2014-09-10,1012.15,1010.15,1012.15,1005.7,-0.45,-4.55,133700780,112124256256.0,0.64,0.29
2014-09-11,1008.8,1007.26,1021.04,1005.43,-0.29,-2.89,157673748,137540857856.0,1.55,0.35
2014-09-12,1006.07,1016.82,1016.82,1002.95,0.95,9.56,137234985,111386787840.0,1.38,0.3
2014-09-15,1015.44,1018.17,1019.14,1011.22,0.13,1.35,153774574,128221822976.0,0.78,0.34
2014-09-16,1019.0,1010.44,1030.14,1008.98,-0.76,-7.73,220811418,168257073152.0,2.08,0.48
2014-09-17,1010.42,1013.55,1015.05,1004.59,0.31,3.11,152188058,110287474688.0,1.04,0.33
2014-09-18,1011.37,1016.4,1019.32,1008.65,0.28,2.85,138427717,103589019648.0,1.05,0.3
2014-09-19,1016.46,1020.5,1021.48,1010.95,0.4,4.1,127367020,101783359488.0,1.04,0.28
2014-09-22,1016.57,1000.17,1016.9,997.99,-1.99,-20.33,125484708,101596057600.0,1.85,0.28
2014-09-23,999.71,1007.02,1008.23,999.41,0.68,6.85,111196918,92473421824.0,0.88,0.24
2014-09-24,1004.26,1021.81,1024.05,1002.27,1.47,14.79,165671252,134176051200.0,2.16,0.36
2014-09-25,1026.64,1023.56,1031.38,1019.84,0.17,1.75,164564168,133277958144.0,1.13,0.36
2014-09-26,1020.54,1024.49,1026.1,1017.17,0.09,0.93,126743286,104211267584.0,0.87,0.28
2014-09-29,1025.97,1026.4,1030.87,1022.29,0.19,1.91,145044488,120292077568.0,0.84,0.32
2014-09-30,1028.37,1028.68,1029.5,1023.83,0.22,2.28,138920655,116761927680.0,0.55,0.3
2014-10-08,1030.44,1034.36,1034.36,1024.11,0.55,5.68,146063465,126972731392.0,1.0,0.32
2014-10-09,1034.3,1038.01,1038.37,1029.73,0.35,3.65,170038643,141353254912.0,0.84,0.37
2014-10-10,1034.1,1032.61,1036.15,1028.2,-0.52,-5.4,160920435,133986156544.0,0.77,0.35
2014-10-13,1029.07,1027.1,1030.09,1019.25,-0.53,-5.51,146633915,125964849152.0,1.05,0.32
2014-10-14,1025.45,1025.62,1034.18,1022.36,-0.14,-1.48,140579461,118831673344.0,1.15,0.31
2014-10-15,1025.29,1032.06,1033.33,1020.71,0.63,6.44,151480492,125615607808.0,1.23,0.33
2014-10-16,1027.42,1030.05,1042.48,1024.77,-0.19,-2.01,188519537,149770391552.0,1.72,0.41
2014-10-17,1028.17,1022.48,1030.85,1013.47,-0.73,-7.57,154058066,124700307456.0,1.69,0.34
2014-10-20,1024.57,1027.87,1028.95,1021.18,0.53,5.39,112439424,97040379904.0,0.76,0.25
2014-10-21,1027.1,1020.67,1029.18,1018.73,-0.7,-7.2,118992292,101350359040.0,1.02,0.26
