日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-01-02,997.95,999.57,1005.85,987.43,-0.04,-0.43,7366370,8724701952.0,1.84,0.71
2020-01-03,996.11,992.09,998.01,989.28,-0.75,-7.48,4776011,7007213568.0,0.87,0.46
2020-01-06,987.19,986.25,998.38,981.27,-0.59,-5.84,5028899,7642223104.0,1.72,0.49
2020-01-07,984.8,994.79,994.79,984.64,0.87,8.54,4091848,5735456256.0,1.03,0.4
2020-01-08,989.26,979.67,990.2,977.76,-1.52,-15.12,3754848,4671587328.0,1.25,0.36
2020-01-09,987.04,995.75,997.05,987.04,1.64,16.08,3330452,4747949312.0,1.02,0.32
2020-01-10,999.03,997.12,1000.51,993.84,0.14,1.37,3517014,4872180992.0,0.67,0.34
2020-01-13,1000.01,1006.59,1006.99,991.04,0.95,9.47,3163101,4725267456.0,1.6,0.31
2020-01-14,1008.06,1013.0,1015.19,1008.04,0.64,6.41,4077977,6410030080.0,0.71,0.4
2020-01-15,1013.04,1010.08,1016.22,1006.77,-0.29,-2.92,3853760,5253316864.0,0.93,0.37
2020-01-16,1012.1,1005.72,1012.1,1004.35,-0.43,-4.36,3630124,4637774592.0,0.77,0.35
2020-01-17,1007.43,1010.38,1014.87,1004.32,0.46,4.66,4280304,5449094656.0,1.05,0.41
2020-01-20,1059.13,1070.11,1070.36,1045.4,5.91,59.73,8366232,11767611648.0,2.47,0.81
2020-01-21,1114.51,1136.81,1141.71,1114.51,6.23,66.7,11691232,15771007232.0,2.54,1.13
2020-01-22,1172.29,1103.13,1172.29,1102.78,-2.96,-33.68,13887069,17479578112.0,6.11,1.35
2020-01-23,1114.13,1123.68,1133.19,1101.9,1.86,20.55,12725836,16677472000.0,2.84,1.23
2020-02-03,1172.32,1153.67,1173.15,1140.68,2.67,29.99,10033037,16689628160.0,2.89,0.97
2020-02-04,1179.33,1190.59,1204.04,1143.26,3.2,36.92,16161364,21529255680.0,5.27,1.57
2020-02-05,1196.89,1262.24,1268.86,1183.31,6.02,71.65,16699207,25161841920.0,7.19,1.62
2020-02-06,1269.29,1311.75,1340.65,1263.82,3.92,49.51,17967765,29040549376.0,6.09,1.74
2020-02-07,1329.52,1262.47,1346.79,1254.0,-3.76,-49.28,22772989,29570526976.0,7.07,2.21
2020-02-10,1247.79,1198.21,1247.86,1186.05,-5.09,-64.26,10548291,15241769984.0,4.9,1.02
2020-02-11,1174.56,1184.27,1184.35,1156.32,-1.16,-13.94,7440665,10887619584.0,2.34,0.72
2020-02-12,1166.87,1182.08,1197.5,1162.98,-0.18,-2.19,12011092,14036497664.0,2.91,1.16
2020-02-13,1180.15,1145.15,1180.27,1132.26,-3.12,-36.93,11283165,14247856384.0,4.06,1.09
