日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-06-08,984.27,980.42,998.08,971.17,-1.96,-19.58,33221641,65811495185.0,2.69,1.64
2026-06-09,982.74,980.13,983.33,970.91,-0.03,-0.29,32527766,58271667593.0,1.27,1.61
2026-06-10,976.23,980.27,981.68,973.25,0.01,0.14,29503102,60060583475.0,0.86,1.46
2026-06-11,974.78,976.15,978.18,969.87,-0.42,-4.12,28494499,58617067984.0,0.85,1.41
2026-06-12,979.88,991.97,994.35,975.97,1.62,15.82,33427417,74457669227.0,1.88,1.65
2026-06-15,992.98,998.54,1000.62,989.51,0.66,6.57,30476141,65604255426.0,1.12,1.51
2026-06-16,997.87,992.02,997.87,988.0,-0.65,-6.52,32737963,62100965388.0,0.99,1.62
2026-06-17,989.3,980.98,989.53,977.56,-1.11,-11.04,28519049,58431048494.0,1.21,1.41
2026-06-18,978.93,969.28,979.45,967.75,-1.19,-11.7,30369317,67146352017.0,1.19,1.5
2026-06-22,965.34,969.12,969.34,949.27,-0.02,-0.16,32718807,72563207413.0,2.07,1.62
2026-06-23,965.73,955.61,975.91,953.17,-1.39,-13.51,28380104,66855403615.0,2.35,1.4
2026-06-24,956.01,943.35,956.01,940.76,-1.28,-12.26,27673824,58142357049.0,1.6,1.37
2026-06-25,941.45,939.32,948.87,932.1,-0.43,-4.03,29780124,66758166957.0,1.78,1.47
2026-06-26,937.39,922.12,937.95,922.12,-1.83,-17.2,32955932,67056390240.0,1.69,1.63
2026-06-30,934.55,937.93,940.46,930.04,-0.03,0,29552794.0,66071284328.0,0,0
2026-07-01,940.60,958.10,962.56,937.11,2.15,0,37146512.0,74331841930.0,0,0
2026-07-02,952.88,952.98,964.10,950.89,-0.53,0,34624404.0,74181067802.0,0,0
2026-07-03,0.00,956.17,0.00,0.00,0.33,0,0,0,0,0
