日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-05-26,999.76,1028.07,1029.92,999.33,2.81,28.07,4066466,6645199660.0,3.06,0.58
2023-05-29,1030.1,1042.87,1051.66,1029.91,1.44,14.8,6198003,10284880579.0,2.12,0.88
2023-05-30,1035.33,1056.81,1056.94,1027.3,1.34,13.94,4669095,8565664350.0,2.84,0.66
2023-05-31,1056.98,1089.49,1100.9,1056.51,3.09,32.68,5883275,11889774886.0,4.2,0.84
2023-06-01,1086.99,1130.87,1131.86,1086.28,3.8,41.38,7020868,14919326067.0,4.18,1.0
2023-06-02,1150.43,1124.05,1156.78,1123.86,-0.6,-6.82,6639389,14886083838.0,2.91,0.94
2023-06-05,1118.91,1135.45,1140.44,1118.91,1.01,11.4,7551487,11759521622.0,1.92,1.07
2023-06-06,1124.19,1073.89,1124.92,1072.92,-5.42,-61.56,8397633,15799766299.0,4.58,1.19
2023-06-07,1076.87,1096.01,1101.19,1074.34,2.06,22.12,6964655,12457420375.0,2.5,0.99
2023-06-08,1095.46,1064.47,1096.84,1060.32,-2.88,-31.54,5750680,10687662071.0,3.33,0.82
2023-06-09,1065.39,1069.17,1070.03,1049.51,0.44,4.7,6803874,10830775486.0,1.93,0.97
2023-06-12,1067.2,1073.75,1078.95,1067.2,0.43,4.58,6125477,11805318639.0,1.1,0.87
2023-06-13,1069.9,1085.89,1087.98,1064.69,1.13,12.14,6872152,11846328117.0,2.17,0.98
2023-06-14,1084.32,1084.33,1086.84,1073.18,-0.14,-1.56,6646210,10131361272.0,1.26,0.94
2023-06-15,1081.52,1076.65,1089.06,1075.52,-0.71,-7.68,5013363,8815968095.0,1.25,0.71
2023-06-16,1076.35,1092.66,1093.05,1068.77,1.49,16.01,6248331,12115128311.0,2.26,0.89
2023-06-19,1091.12,1109.41,1110.44,1091.0,1.53,16.75,6186809,12728935344.0,1.78,0.88
2023-06-20,1112.59,1124.1,1130.62,1110.35,1.32,14.69,7316024,16307975600.0,1.83,1.04
