日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-09-23,1029.81,998.6,1037.83,996.77,-0.14,-1.4,6581503,12866910976.0,4.11,1.87
2021-09-24,992.49,934.82,994.35,934.82,-6.39,-63.78,6809677,12365026560.0,5.96,1.94
2021-09-27,929.94,879.49,937.96,868.68,-5.92,-55.33,5129718,10898392320.0,7.41,1.46
2021-09-28,876.54,872.43,886.07,865.17,-0.8,-7.06,3700652,7114483968.0,2.38,1.05
2021-09-29,861.56,825.47,864.65,824.57,-5.38,-46.96,4100149,7807013632.0,4.59,1.17
2021-09-30,833.61,847.45,851.99,832.48,2.66,21.98,3015085,5753130240.0,2.36,0.86
2021-10-08,857.65,834.58,861.98,826.27,-1.52,-12.87,3428509,6691882496.0,4.21,0.98
2021-10-11,836.81,826.0,837.38,809.14,-1.03,-8.58,2979010,5729246464.0,3.38,0.85
2021-10-12,828.13,797.7,829.42,786.88,-3.43,-28.3,2987219,5693163520.0,5.15,0.85
2021-10-13,801.45,797.29,801.45,781.17,-0.05,-0.41,2423104,4948602880.0,2.54,0.69
2021-10-14,796.03,798.27,805.73,786.32,0.12,0.98,2393557,4404089344.0,2.43,0.68
2021-10-15,791.45,789.47,792.29,780.06,-1.1,-8.8,2257366,5489207296.0,1.53,0.64
2021-10-18,792.14,810.16,810.78,787.99,2.62,20.69,2782831,6308641024.0,2.89,0.79
2021-10-19,811.04,832.83,833.13,804.91,2.8,22.67,3164753,8489472256.0,3.48,0.9
2021-10-20,820.23,837.25,844.54,814.51,0.53,4.42,3108490,8336917760.0,3.61,0.88
2021-10-21,839.58,870.47,881.32,835.47,3.97,33.22,4240577,9670505216.0,5.48,1.21
2021-10-22,868.74,860.7,883.71,859.97,-1.12,-9.77,4365694,7491343360.0,2.73,1.24
2021-10-25,847.96,867.74,869.36,847.96,0.82,7.04,3135249,6523696384.0,2.49,0.89
2021-10-26,868.19,858.45,875.02,855.94,-1.07,-9.29,3352237,6558557696.0,2.2,0.95
2021-10-27,856.58,872.07,878.99,851.82,1.59,13.62,3753924,7507377408.0,3.17,1.07
2021-10-28,870.53,836.28,870.53,831.44,-4.1,-35.79,4830655,8541483776.0,4.48,1.37
2021-10-29,839.45,824.74,846.02,817.66,-1.38,-11.54,3446104,8062258176.0,3.39,0.98
2021-11-01,819.77,819.12,828.53,809.16,-0.68,-5.62,3253625,6969828096.0,2.35,0.93
2021-11-02,822.69,782.85,823.8,773.66,-4.43,-36.27,4037766,8498278912.0,6.12,1.15
2021-11-03,778.52,766.23,778.52,758.05,-2.12,-16.62,2516641,5542611968.0,2.61,0.72
2021-11-04,770.1,765.55,772.46,760.98,-0.09,-0.68,2814988,6877765120.0,1.5,0.8
2021-11-05,763.85,732.25,763.85,731.92,-4.35,-33.3,3971272,9108027904.0,4.17,1.13
2021-11-08,735.65,747.06,747.72,730.75,2.02,14.81,2869167,5773232640.0,2.32,0.82
2021-11-09,755.38,758.78,759.3,745.56,1.57,11.72,3017170,8078588160.0,1.84,0.86
2021-11-10,761.19,754.93,761.19,739.45,-0.51,-3.85,3097192,7777052672.0,2.87,0.88
2021-11-11,753.71,760.32,762.23,749.38,0.71,5.39,2905704,5860291840.0,1.7,0.83
