日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-11-25,995.62,989.76,1003.62,985.23,-1.02,-10.24,3325595,2880549472.0,1.84,0.85
2013-11-26,1017.3,1021.11,1031.89,1012.77,3.17,31.35,2270043,1915146224.0,1.93,0.58
2013-11-27,1019.23,1019.42,1025.97,1011.62,-0.17,-1.69,1812412,1634758288.0,1.41,0.47
2013-11-28,1023.13,1039.46,1055.47,1022.71,1.97,20.04,2666140,2289204032.0,3.21,0.68
2013-11-29,1038.18,1048.45,1048.85,1036.98,0.86,8.99,1994698,1827972432.0,1.14,0.51
2013-12-02,1023.42,1001.54,1040.26,986.54,-4.47,-46.91,2358479,2018035968.0,5.12,0.61
2013-12-03,996.78,1051.17,1056.8,996.21,4.96,49.63,2532182,2195490560.0,6.05,0.65
2013-12-04,1052.07,1063.44,1083.92,1051.73,1.17,12.27,3284064,3156236960.0,3.06,0.84
2013-12-05,1061.57,1064.22,1072.98,1058.27,0.07,0.78,2398651,2128410000.0,1.38,0.62
2013-12-06,1061.7,1068.01,1068.62,1049.02,0.36,3.79,2109186,1900100576.0,1.84,0.54
2013-12-09,1067.87,1081.06,1085.75,1063.85,1.22,13.05,2327015,2261880704.0,2.05,0.6
2013-12-10,1080.69,1081.84,1089.37,1069.92,0.07,0.78,1776122,1653237824.0,1.8,0.46
2013-12-11,1078.1,1064.37,1078.14,1057.45,-1.61,-17.47,1512768,1428816656.0,1.91,0.39
2013-12-12,1067.97,1058.84,1074.33,1055.7,-0.52,-5.53,1723380,1758733952.0,1.75,0.44
2013-12-13,1054.17,1064.39,1065.06,1049.15,0.52,5.55,1804461,1661444544.0,1.5,0.46
2013-12-16,1068.08,1041.29,1068.96,1041.29,-2.17,-23.1,1950220,1784185632.0,2.6,0.5
2013-12-17,1044.77,1032.29,1048.06,1029.38,-0.86,-9.0,1328090,1155664256.0,1.79,0.34
2013-12-18,1031.83,1035.11,1045.41,1029.5,0.27,2.82,1310800,1065141200.0,1.54,0.34
2013-12-19,1037.62,1027.92,1045.95,1026.66,-0.69,-7.19,1191439,973116912.0,1.86,0.31
2013-12-20,1028.95,1034.14,1041.25,1028.39,0.61,6.22,1252613,1034540288.0,1.25,0.32
2013-12-23,1036.14,1030.64,1037.59,1017.63,-0.34,-3.5,1060727,884641744.0,1.93,0.27
2013-12-24,1029.67,1042.32,1046.48,1027.11,1.13,11.68,1558727,1341271440.0,1.88,0.4
2013-12-25,1042.12,1042.06,1044.96,1034.12,-0.02,-0.26,1454880,1350139920.0,1.04,0.37
2013-12-26,1040.32,1012.07,1041.28,1010.09,-2.88,-29.99,1241627,1072839168.0,2.99,0.32
2013-12-27,1010.72,1030.39,1030.73,1009.77,1.81,18.32,1325499,1031336688.0,2.07,0.34
2013-12-30,1038.09,1060.84,1066.69,1038.09,2.96,30.45,2157237,1677709520.0,2.78,0.55
2013-12-31,1064.38,1057.5,1070.74,1052.83,-0.31,-3.34,2498452,1796572576.0,1.69,0.64
2014-01-02,1056.4,1070.08,1071.58,1053.52,1.19,12.58,1771594,1375161088.0,1.71,0.45
2014-01-03,1065.69,1073.51,1077.43,1057.04,0.32,3.43,2028121,1626969376.0,1.91,0.52
2014-01-06,1069.48,1032.87,1069.55,1031.01,-3.79,-40.64,1921109,1421586128.0,3.59,0.49
2014-01-07,1021.53,1032.6,1036.27,1017.55,-0.03,-0.27,1539585,1130817248.0,1.81,0.4
2014-01-08,1035.47,1032.76,1047.95,1023.22,0.02,0.16,1332505,1104138192.0,2.39,0.34
2014-01-09,1032.31,1017.32,1041.2,1016.15,-1.5,-15.44,1113419,955720688.0,2.43,0.29
2014-01-10,1017.31,1005.65,1018.25,1001.06,-1.15,-11.67,1579357,1267294352.0,1.69,0.41
