日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1000.18,1035.24,1046.55,990.08,3.52,35.24,78895,103618000.0,5.65,0.01
2000-01-05,1036.05,1037.81,1063.29,1020.37,0.25,2.57,106084,117814000.0,4.15,0.02
2000-01-06,1064.61,1081.24,1099.09,1031.62,4.18,43.43,139382,151873000.0,6.5,0.02
2000-01-07,1094.63,1140.55,1151.23,1076.38,5.49,59.31,269605,354800000.0,6.92,0.04
2000-01-10,1150.47,1159.14,1187.05,1122.51,1.63,18.59,241662,347734000.0,5.66,0.03
2000-01-11,1159.16,1107.04,1177.64,1089.55,-4.49,-52.1,192503,259659000.0,7.6,0.03
2000-01-12,1102.84,1075.97,1128.14,1068.09,-2.81,-31.07,131338,191921000.0,5.42,0.02
2000-01-13,1074.13,1071.34,1101.53,1053.28,-0.43,-4.63,100639,124604000.0,4.48,0.01
2000-01-14,1080.26,1069.22,1092.62,1053.81,-0.2,-2.12,201114,148441000.0,3.62,0.03
2000-01-17,1072.44,1090.01,1102.31,1055.87,1.94,20.79,169948,161364000.0,4.34,0.02
2000-01-18,1093.37,1075.81,1104.61,1062.83,-1.3,-14.2,135881,148189000.0,3.83,0.02
2000-01-19,1078.14,1097.79,1111.55,1065.04,2.04,21.98,177532,153382000.0,4.32,0.03
2000-01-20,1090.53,1115.69,1131.25,1082.06,1.63,17.9,194425,250256000.0,4.48,0.03
2000-01-21,1118.53,1103.37,1142.41,1088.42,-1.1,-12.32,277900,380060000.0,4.84,0.04
2000-01-24,1098.01,1155.1,1170.29,1077.7,4.69,51.73,225936,277072000.0,8.39,0.03
2000-01-25,1166.79,1130.38,1189.99,1111.41,-2.14,-24.72,200926,263552000.0,6.8,0.03
2000-01-26,1125.17,1127.3,1152.15,1109.12,-0.27,-3.08,134513,159003000.0,3.81,0.02
2000-01-27,1164.43,1156.11,1192.19,1127.51,2.56,28.81,249271,301409000.0,5.74,0.04
2000-01-28,1182.35,1168.67,1196.13,1147.76,1.09,12.56,291913,340736000.0,4.18,0.04
2000-02-14,1211.87,1278.07,1278.36,1201.69,9.36,109.4,264440,389741000.0,6.56,0.04
2000-02-15,1319.16,1298.25,1379.84,1267.22,1.58,20.18,423858,717826000.0,8.81,0.06
2000-02-16,1312.25,1307.34,1366.48,1255.72,0.7,9.09,592518,950290000.0,8.53,0.09
2000-02-17,1313.7,1211.89,1355.09,1197.27,-7.3,-95.45,512381,820762000.0,12.07,0.07
2000-02-18,1177.95,1251.24,1272.96,1133.67,3.25,39.35,322928,488224000.0,11.49,0.05
2000-02-21,1247.29,1218.9,1277.93,1189.63,-2.58,-32.34,300813,437691000.0,7.06,0.04
2000-02-22,1218.43,1270.7,1311.05,1206.76,4.25,51.8,441058,760022000.0,8.56,0.06
2000-02-23,1255.37,1253.55,1294.03,1208.49,-1.35,-17.15,446658,552634000.0,6.73,0.06
2000-02-24,1264.02,1330.18,1350.14,1248.83,6.11,76.63,478555,773194000.0,8.08,0.07
2000-02-25,1340.14,1333.97,1383.98,1294.83,0.28,3.79,461428,809274000.0,6.7,0.07
2000-02-28,1347.58,1407.49,1431.43,1330.41,5.51,73.52,493063,834988000.0,7.57,0.07
2000-02-29,1420.57,1344.6,1438.9,1313.29,-4.47,-62.89,362905,623829000.0,8.92,0.05
2000-03-01,1338.99,1308.34,1350.14,1285.03,-2.7,-36.26,218333,322081000.0,4.84,0.03
2000-03-02,1300.16,1324.29,1349.81,1276.86,1.22,15.95,241475,300334000.0,5.58,0.03
2000-03-03,1337.38,1332.04,1351.35,1315.72,0.59,7.75,180527,246392000.0,2.69,0.03
2000-03-06,1345.27,1266.72,1356.35,1264.35,-4.9,-65.32,177356,283197000.0,6.91,0.03
2000-03-07,1264.08,1290.31,1316.05,1242.57,1.86,23.59,414952,387479000.0,5.8,0.06
2000-03-08,1292.64,1327.75,1338.2,1267.77,2.9,37.44,171176,225110000.0,5.46,0.02
2000-03-09,1329.02,1315.02,1352.13,1297.81,-0.96,-12.73,219738,276714000.0,4.09,0.03
2000-03-10,1314.59,1297.74,1340.65,1284.71,-1.31,-17.28,170829,220732000.0,4.25,0.02
2000-03-13,1295.18,1324.55,1345.68,1282.97,2.07,26.81,137801,180312000.0,4.83,0.02
2000-03-14,1292.82,1284.79,1314.64,1248.3,-3.0,-39.76,181220,227390000.0,5.01,0.03
2000-03-15,1278.12,1290.66,1322.99,1270.45,0.46,5.87,108802,132141000.0,4.09,0.02
2000-03-16,1278.59,1228.65,1282.32,1215.05,-4.8,-62.01,119717,149905000.0,5.21,0.02
2000-03-17,1224.24,1259.76,1273.38,1218.21,2.53,31.11,126904,152411000.0,4.49,0.02
2000-03-20,1243.26,1298.39,1305.0,1228.3,3.07,38.63,117759,152331000.0,6.09,0.02
2000-03-21,1300.81,1338.76,1362.93,1283.65,3.11,40.37,211498,367467000.0,6.11,0.03
2000-03-22,1331.78,1322.04,1358.99,1308.89,-1.25,-16.72,124469,186912000.0,3.74,0.02
2000-03-23,1331.21,1340.65,1351.84,1303.5,1.41,18.61,132384,158166000.0,3.66,0.02
2000-03-24,1366.08,1318.54,1374.8,1310.23,-1.65,-22.11,195854,245826000.0,4.82,0.03
