日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-01-16,999.16,1002.76,1014.02,994.36,0.28,2.76,5139769,7562650308.0,1.97,3.01
2023-01-17,1002.66,1007.36,1016.85,1001.29,0.46,4.6,3845871,5084143079.0,1.55,2.25
2023-01-18,1002.75,994.36,1003.45,992.18,-1.29,-13.0,3791315,3718523413.0,1.12,2.22
2023-01-19,996.31,1005.77,1007.13,995.78,1.15,11.41,3151911,4313099157.0,1.14,1.84
2023-01-20,1005.18,1003.47,1009.22,998.24,-0.23,-2.3,2404463,3227922165.0,1.09,1.41
2023-01-30,1022.49,1026.04,1034.24,1018.58,2.25,22.57,3415823,4473999718.0,1.56,2.0
2023-01-31,1020.58,1025.36,1025.36,1015.9,-0.07,-0.68,2596564,3360920185.0,0.92,1.52
2023-02-01,1024.07,1046.46,1046.46,1023.81,2.06,21.1,2554109,3256949603.0,2.21,1.5
2023-02-02,1045.7,1043.66,1053.89,1040.56,-0.27,-2.8,2278426,3313507192.0,1.27,1.33
2023-02-03,1043.25,1044.69,1048.1,1028.23,0.1,1.03,2091067,3079734427.0,1.9,1.22
2023-02-06,1049.98,1052.83,1059.22,1047.33,0.78,8.14,2746414,3519896715.0,1.14,1.61
2023-02-07,1058.84,1070.05,1070.05,1054.86,1.64,17.22,2279983,3123682981.0,1.44,1.33
2023-02-08,1078.13,1061.23,1078.13,1059.37,-0.82,-8.82,1851251,3526557744.0,1.75,1.08
2023-02-09,1062.06,1089.92,1089.92,1058.13,2.7,28.69,2586515,4836575747.0,3.0,1.51
2023-02-10,1083.68,1072.9,1086.68,1066.03,-1.56,-17.02,2073082,3877545312.0,1.89,1.21
2023-02-13,1071.86,1073.91,1078.95,1067.84,0.09,1.01,1462732,2714939115.0,1.04,0.86
2023-02-14,1076.0,1067.1,1076.98,1063.35,-0.63,-6.81,1499569,2608808338.0,1.27,0.88
2023-02-15,1065.66,1080.53,1081.08,1065.56,1.26,13.43,1823844,2814820562.0,1.45,1.07
2023-02-16,1080.68,1051.79,1091.33,1044.41,-2.66,-28.74,2151330,3909286821.0,4.34,1.26
2023-02-17,1052.18,1036.94,1055.45,1036.38,-1.41,-14.85,1840068,3312483080.0,1.81,1.08
2023-02-20,1036.9,1045.73,1046.68,1026.26,0.85,8.79,1480696,2278065223.0,1.97,0.87
2023-02-21,1047.08,1048.74,1056.74,1039.62,0.29,3.01,1511534,2451781929.0,1.64,0.88
2023-02-22,1046.86,1059.47,1059.6,1046.23,1.02,10.73,2054181,2590610668.0,1.27,1.2
2023-02-23,1058.61,1060.52,1067.36,1054.45,0.1,1.05,2397909,2972899667.0,1.22,1.4
2023-02-24,1061.33,1048.35,1061.39,1043.98,-1.15,-12.17,1429239,2099278396.0,1.64,0.84
2023-02-27,1044.19,1025.92,1045.56,1025.55,-2.14,-22.43,1239323,2064755907.0,1.91,0.73
2023-02-28,1031.15,1038.76,1041.7,1022.34,1.25,12.84,2024491,1999637760.0,1.89,1.19
2023-03-01,1038.78,1055.89,1055.89,1037.05,1.65,17.13,1821166,2630854891.0,1.81,1.07
2023-03-02,1057.43,1052.6,1066.72,1051.07,-0.31,-3.29,1510651,2739140614.0,1.48,0.88
2023-03-03,1054.0,1049.07,1059.08,1038.39,-0.34,-3.53,1288807,2535348124.0,1.97,0.75
2023-03-06,1048.77,1044.17,1050.59,1038.55,-0.47,-4.9,1164484,2086999442.0,1.15,0.68
2023-03-07,1043.81,1012.05,1044.81,1012.05,-3.08,-32.12,1646196,2362437038.0,3.14,0.96
2023-03-08,1010.23,1029.49,1029.49,1010.11,1.72,17.44,1231982,1797975342.0,1.91,0.72
