日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-01-11,999.72,1004.65,1030.33,997.59,0.47,4.65,10338214,6459204096.0,3.27,1.4
2022-01-12,1003.96,1011.92,1016.99,1003.96,0.72,7.27,7564759,4614838528.0,1.3,1.02
2022-01-13,1017.93,1018.31,1030.42,1004.19,0.63,6.39,8875675,5732624128.0,2.59,1.2
2022-01-14,1006.67,993.93,1014.32,992.79,-2.39,-24.38,7510274,4726782720.0,2.11,1.02
2022-01-17,989.52,1017.15,1017.28,989.52,2.34,23.22,6473518,4054743424.0,2.79,0.88
2022-01-18,1013.03,1003.19,1017.19,999.1,-1.37,-13.96,6389622,4099433472.0,1.78,0.86
2022-01-19,996.26,992.95,1000.19,984.01,-1.02,-10.24,5913364,3665062144.0,1.61,0.8
2022-01-20,988.99,966.34,990.53,961.33,-2.68,-26.61,6487795,3887360912.0,2.94,0.88
2022-01-21,963.82,947.67,970.4,943.71,-1.93,-18.67,8274233,4686762496.0,2.76,1.12
2022-01-24,937.15,934.58,941.77,932.17,-1.38,-13.09,4993576,2936621984.0,1.01,0.67
2022-01-25,931.92,881.25,932.01,879.94,-5.71,-53.33,7782807,4370894080.0,5.57,1.05
2022-01-26,883.8,893.08,896.3,883.26,1.34,11.83,4533880,2494482688.0,1.48,0.61
2022-01-27,896.48,863.99,896.48,863.84,-3.26,-29.09,5949295,3223711808.0,3.65,0.8
2022-01-28,869.75,879.78,889.04,864.45,1.83,15.79,5198461,2797266736.0,2.85,0.7
2022-02-07,895.21,892.87,898.88,884.94,1.49,13.09,4825179,2624710048.0,1.58,0.65
2022-02-08,893.44,908.28,908.42,887.26,1.73,15.41,4912129,2668027616.0,2.37,0.66
2022-02-09,906.05,918.64,920.32,903.9,1.14,10.36,5279796,2913090992.0,1.81,0.71
2022-02-10,918.63,910.84,918.63,903.48,-0.85,-7.8,4250005,2393922064.0,1.65,0.57
2022-02-11,907.91,889.11,908.01,887.05,-2.39,-21.73,5148317,2804162784.0,2.3,0.7
2022-02-14,885.95,886.11,895.07,878.76,-0.34,-3.0,4467853,2325301520.0,1.83,0.6
2022-02-15,886.08,884.59,892.46,879.42,-0.17,-1.52,3343580,1739618464.0,1.47,0.45
2022-02-16,889.96,895.35,898.41,889.96,1.22,10.76,3343690,1739630000.0,0.96,0.45
2022-02-17,893.24,891.08,899.4,888.89,-0.48,-4.27,3747970,2009263504.0,1.17,0.51
2022-02-18,886.2,893.67,894.34,880.83,0.29,2.59,3484264,1867106816.0,1.52,0.47
2022-02-21,891.99,907.11,907.73,891.18,1.5,13.44,7345986,3819843040.0,1.85,0.99
2022-02-22,901.8,891.34,901.8,887.72,-1.74,-15.77,5751206,3038012080.0,1.55,0.78
2022-02-23,893.59,902.83,903.48,891.48,1.29,11.49,5340127,2882204496.0,1.35,0.72
2022-02-24,900.55,874.19,905.7,863.64,-3.17,-28.64,10610285,5463813632.0,4.66,1.43
2022-02-25,879.2,879.41,889.9,877.33,0.6,5.22,5475825,2846450496.0,1.44,0.74
2022-02-28,879.13,872.95,879.13,859.71,-0.73,-6.46,6779918,3413782592.0,2.21,0.92
2022-03-01,873.5,875.85,880.31,871.31,0.33,2.9,4576722,2318231968.0,1.03,0.62
2022-03-02,871.06,873.56,874.66,868.89,-0.26,-2.29,3532247,1858528080.0,0.66,0.48
2022-03-03,876.22,868.76,877.2,866.91,-0.55,-4.8,3724569,1931076352.0,1.18,0.5
2022-03-04,866.78,857.59,868.95,854.88,-1.29,-11.17,5337241,2712318064.0,1.62,0.72
2022-03-07,855.78,841.27,855.78,838.12,-1.9,-16.32,7824456,3820013488.0,2.06,1.06
2022-03-08,841.61,815.66,844.43,812.67,-3.04,-25.61,8653084,4067117264.0,3.78,1.17
2022-03-09,816.39,798.63,822.81,767.26,-2.09,-17.03,9360692,4297346816.0,6.81,1.27
2022-03-10,813.75,812.01,820.35,808.99,1.68,13.38,7653405,3625107472.0,1.42,1.03
2022-03-11,803.0,819.34,820.6,787.7,0.9,7.33,6198454,2909601520.0,4.05,0.84
2022-03-14,813.31,800.93,819.02,800.93,-2.25,-18.41,4969489,2369557632.0,2.21,0.67
2022-03-15,797.12,758.1,797.12,757.84,-5.35,-42.83,8076530,3692821872.0,4.9,1.09
2022-03-16,766.69,777.5,780.12,742.85,2.56,19.4,7673373,3475035136.0,4.92,1.04
2022-03-17,784.95,791.85,802.51,784.95,1.85,14.35,6286082,2978316432.0,2.26,0.85
2022-03-18,789.22,799.76,801.9,787.82,1.0,7.91,4744781,2287622528.0,1.78,0.64
2022-03-21,800.73,805.08,808.31,795.45,0.67,5.32,6863550,3317429840.0,1.61,0.93
2022-03-22,803.01,809.53,815.89,800.63,0.55,4.45,4441230,2170296032.0,1.9,0.6
2022-03-23,807.45,816.36,821.32,804.82,0.84,6.83,3833278,2016884240.0,2.04,0.52
2022-03-24,810.53,799.27,810.53,796.22,-2.09,-17.09,3673040,1827040944.0,1.75,0.5
2022-03-25,798.1,792.57,803.74,792.38,-0.84,-6.7,3688523,1768710880.0,1.42,0.5
2022-03-28,788.4,795.5,801.61,776.04,0.37,2.93,5041899,2365464288.0,3.23,0.68
2022-03-29,793.35,782.25,795.92,779.36,-1.67,-13.25,4029528,1872380192.0,2.08,0.54
2022-03-30,785.21,791.71,792.39,783.41,1.21,9.46,6117717,2834985616.0,1.15,0.83
2022-03-31,788.57,792.42,798.91,787.47,0.09,0.71,4856753,2327540240.0,1.44,0.66
2022-04-01,790.13,782.54,790.13,778.88,-1.25,-9.88,5083582,2497180544.0,1.42,0.69
2022-04-06,780.8,787.13,789.72,779.24,0.59,4.59,4749669,2265098528.0,1.34,0.64
2022-04-07,786.8,768.41,786.8,766.54,-2.38,-18.72,6007721,2775096528.0,2.57,0.81
2022-04-08,768.07,759.67,770.54,750.74,-1.14,-8.74,5442945,2469279600.0,2.58,0.74
2022-04-11,756.81,741.48,756.81,736.7,-2.39,-18.19,5464930,2475633792.0,2.65,0.74
2022-04-12,740.45,755.48,755.79,735.33,1.89,14.0,4948716,2222480256.0,2.76,0.67
2022-04-13,753.62,742.6,753.77,741.72,-1.7,-12.88,3608822,1663294048.0,1.6,0.49
2022-04-14,745.36,753.62,756.32,745.36,1.48,11.02,3528111,1605920736.0,1.48,0.48
2022-04-15,753.25,743.21,753.25,741.5,-1.38,-10.41,3257450,1493727600.0,1.56,0.44
2022-04-18,741.55,747.25,749.15,729.42,0.54,4.04,2780349,1265963296.0,2.65,0.38
2022-04-19,746.13,748.26,754.05,744.55,0.14,1.01,3672192,1635213120.0,1.27,0.5
2022-04-20,750.1,745.18,753.9,742.93,-0.41,-3.08,3554192,1635272384.0,1.47,0.48
2022-04-21,740.95,727.05,747.29,724.01,-2.43,-18.13,6647586,2887085408.0,3.12,0.9
