日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-03-15,1005.9,1022.02,1068.26,1005.9,2.2,22.02,7629632,10698026240.0,6.24,3.9
2022-03-16,1036.05,1068.63,1072.71,1010.83,4.56,46.61,8206895,11435605504.0,6.05,4.19
2022-03-17,1082.04,1097.67,1111.6,1068.79,2.72,29.04,8376251,12060763136.0,4.01,4.28
2022-03-18,1074.82,1074.45,1088.65,1070.26,-2.12,-23.22,9452117,11265347840.0,1.68,4.83
2022-03-21,1061.95,1080.9,1087.24,1057.37,0.6,6.45,9125388,11069076992.0,2.78,4.66
2022-03-22,1068.0,1084.2,1104.32,1062.85,0.31,3.3,8515650,12023636224.0,3.84,4.35
2022-03-23,1069.63,1051.32,1074.42,1047.57,-3.03,-32.88,7129269,9457440000.0,2.48,3.64
2022-03-24,1041.48,1017.45,1042.0,1011.42,-3.22,-33.87,6077555,7865811200.0,2.91,3.1
2022-03-25,1032.4,1005.37,1046.19,1005.37,-1.19,-12.08,6331249,7703064320.0,4.01,3.23
2022-03-28,988.11,1000.82,1016.06,983.13,-0.45,-4.55,4947605,6030555136.0,3.28,2.53
2022-03-29,1000.53,983.68,1002.62,977.52,-1.71,-17.14,5359568,5967629568.0,2.51,2.74
2022-03-30,987.1,1003.57,1003.57,979.72,2.02,19.89,4713038,5881425920.0,2.42,2.41
2022-03-31,994.73,1040.17,1044.62,992.37,3.65,36.6,7134675,10523652608.0,5.21,3.64
2022-04-01,1026.0,1005.21,1029.83,1004.63,-3.36,-34.96,5795678,7834931712.0,2.42,2.96
2022-04-06,1010.23,1026.83,1031.93,1009.29,2.15,21.62,5593775,7523918080.0,2.25,2.86
2022-04-07,1015.34,979.22,1018.8,979.22,-4.64,-47.61,4901209,6453052160.0,3.85,2.5
2022-04-08,977.89,965.69,979.38,950.7,-1.38,-13.53,4250824,5490897408.0,2.93,2.17
2022-04-11,959.04,927.72,960.42,919.73,-3.93,-37.97,4365663,4884412928.0,4.21,2.23
2022-04-12,931.78,948.26,948.26,915.86,2.21,20.54,4119319,4546224128.0,3.49,2.1
2022-04-13,937.83,906.12,937.83,905.44,-4.44,-42.14,4166517,4591678720.0,3.42,2.13
2022-04-14,914.23,912.8,921.08,909.79,0.74,6.68,3579519,3906883520.0,1.25,1.83
2022-04-15,904.98,879.43,904.98,877.84,-3.66,-33.37,4437106,4850616576.0,2.97,2.27
2022-04-18,868.61,885.67,892.3,854.8,0.71,6.24,3491365,3855970544.0,4.26,1.78
2022-04-19,884.68,888.91,895.62,879.95,0.37,3.24,3726439,3520778560.0,1.77,1.9
2022-04-20,911.29,879.58,913.53,878.19,-1.05,-9.33,4718763,4738353152.0,3.98,2.41
2022-04-21,866.67,833.88,874.53,829.37,-5.2,-45.7,5338440,4445805056.0,5.13,2.73
2022-04-22,826.4,807.11,830.31,807.11,-3.21,-26.77,3822358,3312245200.0,2.78,1.95
2022-04-25,794.41,732.89,794.41,732.49,-9.2,-74.22,5269449,4497399552.0,7.67,2.69
2022-04-26,735.44,703.79,743.29,701.36,-3.97,-29.1,4495853,3644698064.0,5.72,2.3
2022-04-27,691.34,730.5,730.5,683.07,3.8,26.71,4980079,4103704720.0,6.74,2.54
2022-04-28,718.93,704.85,722.95,695.62,-3.51,-25.65,3609871,3095608944.0,3.74,1.84
2022-04-29,715.49,740.51,743.03,714.24,5.06,35.66,3972586,3357322752.0,4.08,2.03
2022-05-05,736.88,748.67,757.74,731.13,1.1,8.16,3518277,3237484960.0,3.59,1.8
2022-05-06,730.86,752.5,769.59,725.3,0.51,3.83,5285056,4894415360.0,5.92,2.7
2022-05-09,748.36,763.96,771.7,748.36,1.52,11.46,4335544,4021022160.0,3.1,2.21
2022-05-10,751.35,782.22,785.22,749.28,2.39,18.26,4848126,4574981376.0,4.7,2.48
2022-05-11,782.72,773.16,797.29,772.77,-1.16,-9.06,5907899,5715328000.0,3.13,3.02
2022-05-12,768.75,784.66,791.17,768.75,1.49,11.5,4298299,4232607392.0,2.9,2.19
2022-05-13,789.72,785.08,791.95,777.59,0.05,0.42,3554801,3592312016.0,1.83,1.82
2022-05-16,789.01,785.4,793.5,777.2,0.04,0.32,4089857,3675168816.0,2.08,2.09
2022-05-17,785.34,781.69,785.34,765.73,-0.47,-3.71,3476244,3192620384.0,2.5,1.78
2022-05-18,800.88,791.21,814.01,790.46,1.22,9.52,5112367,5092459520.0,3.01,2.61
2022-05-19,775.98,790.64,791.0,774.1,-0.07,-0.57,4279919,3544724864.0,2.14,2.19
2022-05-20,792.05,797.49,798.94,788.55,0.87,6.85,3820040,3381490032.0,1.31,1.95
2022-05-23,800.54,810.15,810.38,798.42,1.59,12.66,3830714,3537985568.0,1.5,1.96
2022-05-24,810.54,757.72,810.54,757.72,-6.47,-52.43,4619451,4267075872.0,6.52,2.36
2022-05-25,758.71,778.2,778.76,758.71,2.7,20.48,3167033,2951684768.0,2.65,1.62
2022-05-26,779.94,780.6,784.57,761.59,0.31,2.4,3223538,3003338208.0,2.95,1.65
2022-05-27,785.25,776.51,787.75,767.75,-0.52,-4.09,3351456,3147380352.0,2.56,1.71
2022-05-30,779.67,781.51,784.19,770.64,0.64,5.0,3190432,2806484080.0,1.74,1.63
2022-05-31,781.34,789.4,790.34,769.33,1.01,7.89,3841558,3413692240.0,2.69,1.96
