日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-03-16,998.92,996.16,1001.47,983.7,-0.38,-3.84,229038078,395794260750.0,1.78,3.53
2026-03-17,998.12,969.62,1000.99,969.43,-2.66,-26.54,210580278,346931697066.0,3.17,3.25
2026-03-18,971.32,975.18,975.46,959.78,0.57,5.56,187121770,302943328878.0,1.62,2.89
2026-03-19,964.24,944.49,964.24,940.62,-3.15,-30.69,192192338,321741493881.0,2.42,2.96
2026-03-20,947.99,929.48,956.49,929.48,-1.59,-15.01,200998534,368382839050.0,2.86,3.1
2026-03-23,912.3,889.52,929.2,883.94,-4.3,-39.96,237062453,397867315719.0,4.87,3.66
2026-03-24,907.54,917.17,917.17,883.91,3.11,27.65,209891668,346185252948.0,3.74,3.24
2026-03-25,921.87,935.15,937.05,921.87,1.96,17.98,219903370,349375665575.0,1.66,3.39
2026-03-26,933.79,927.03,946.06,923.74,-0.87,-8.12,193737838,339274459117.0,2.39,2.99
2026-03-27,914.52,945.63,950.21,914.25,2.01,18.6,189688347,359199445163.0,3.88,2.92
2026-03-30,938.3,946.02,946.15,930.65,0.04,0.39,201853387,354766254702.0,1.64,3.11
2026-03-31,944.53,924.48,949.11,924.45,-2.28,-21.54,190573816,333570692042.0,2.61,2.94
2026-04-01,940.4,938.29,941.61,931.57,1.49,13.81,164821435,307796927507.0,1.09,2.54
2026-04-02,935.33,921.22,939.42,915.23,-1.82,-17.07,160781774,282838293355.0,2.58,2.48
2026-04-03,923.68,901.64,924.63,899.84,-2.13,-19.58,147671786,250541252423.0,2.69,2.28
2026-04-07,905.21,917.67,920.77,905.21,1.78,16.03,143861330,251870119994.0,1.73,2.22
2026-04-08,933.76,953.48,953.48,932.81,3.9,35.81,189140305,367513261383.0,2.25,2.92
2026-04-09,946.95,948.68,952.9,941.33,-0.5,-4.8,164813630,327293437778.0,1.21,2.54
2026-04-10,954.73,964.23,973.14,954.73,1.64,15.55,187734099,407447954450.0,1.94,2.89
2026-04-13,959.39,973.28,973.43,959.27,0.94,9.05,175584742,383682977848.0,1.47,2.71
2026-04-14,980.03,988.34,988.37,974.15,1.55,15.06,189697983,420067155423.0,1.46,2.93
2026-04-15,991.55,976.36,991.55,974.0,-1.21,-11.98,188824594,406551745902.0,1.78,2.91
2026-04-16,979.73,994.8,995.59,976.18,1.89,18.44,185546238,418541530775.0,1.99,2.86
2026-04-17,993.85,1006.09,1007.55,993.62,1.13,11.29,185736007,416349452075.0,1.4,2.86
2026-04-20,1005.67,1009.87,1012.69,1003.52,0.38,3.78,188010344,412154614900.0,0.91,2.9
2026-04-21,1008.26,1010.61,1010.95,999.87,0.07,0.74,196517789,441640128330.0,1.1,3.03
2026-04-22,1008.43,1020.33,1020.36,1008.42,0.96,9.72,201876461,440897156495.0,1.18,3.11
2026-04-23,1020.09,1004.35,1020.41,998.89,-1.57,-15.98,219111999,463744612233.0,2.11,3.38
2026-04-24,999.61,1008.58,1014.54,996.38,0.42,4.23,201792060,451999078979.0,1.81,3.11
2026-04-27,1004.91,1017.82,1019.26,1000.85,0.92,9.24,202457987,456855521624.0,1.83,3.12
2026-04-28,1012.62,1005.98,1014.27,1002.02,-1.16,-11.84,199437490,433334418695.0,1.2,3.08
2026-04-29,1000.94,1030.35,1033.19,1000.5,2.42,24.37,220356796,515452677786.0,3.25,3.4
2026-04-30,1029.98,1031.09,1034.15,1026.73,0.07,0.74,220169070,531197495820.0,0.72,3.39
2026-05-06,1038.34,1052.61,1054.22,1038.34,2.09,21.52,225449601,557472457831.0,1.54,3.48
2026-05-07,1053.97,1061.78,1061.78,1050.62,0.87,9.17,232178240,561955833430.0,1.06,3.58
2026-05-08,1057.41,1064.65,1067.27,1056.68,0.27,2.87,231236626,552750955407.0,1.0,3.57
2026-05-11,1070.12,1076.83,1079.45,1066.33,1.14,12.18,242152374,573901941060.0,1.23,3.73
2026-05-12,1078.16,1068.18,1078.2,1060.08,-0.8,-8.65,227198611,530768819511.0,1.68,3.5
2026-05-13,1065.0,1081.07,1081.45,1061.55,1.21,12.89,221353583,510096569753.0,1.86,3.41
2026-05-14,1083.79,1061.25,1084.18,1061.25,-1.83,-19.82,235707478,531296215905.0,2.12,3.63
2026-05-15,1062.98,1054.89,1070.71,1047.63,-0.6,-6.36,237653086,535021625405.0,2.17,3.66
2026-05-18,1048.65,1055.46,1058.92,1040.19,0.05,0.57,200395047,465099312642.0,1.78,3.09
2026-05-19,1053.39,1062.03,1062.06,1041.52,0.62,6.57,197459005,444614581237.0,1.95,3.04
2026-05-20,1056.73,1063.28,1066.16,1046.81,0.12,1.25,198216005,481549292587.0,1.82,3.06
2026-05-21,1067.39,1028.33,1074.77,1027.05,-3.29,-34.95,222215043,543996700626.0,4.49,3.43
2026-05-22,1035.23,1056.45,1058.91,1029.21,2.73,28.12,184886460,458731088597.0,2.89,2.85
2026-05-25,1062.51,1051.76,1063.78,1042.15,-0.44,-4.69,198182231,496334695037.0,2.05,3.06
2026-05-26,1047.66,1040.2,1047.66,1026.64,-1.1,-11.56,207876752,501504275514.0,2.0,3.21
2026-05-27,1039.31,1020.63,1047.04,1013.8,-1.88,-19.57,203481137,493978556079.0,3.2,3.14
2026-05-28,1018.18,1034.37,1037.82,1013.23,1.35,13.74,191688821,464257433672.0,2.41,2.96
2026-05-29,1037.54,1001.97,1038.26,997.1,-3.13,-32.4,218333710,509805784501.0,3.98,3.37
2026-06-01,1001.76,1007.73,1023.75,1001.76,0.57,5.76,194733829,446191205395.0,2.19,3.0
2026-06-02,1007.91,1005.75,1009.64,983.36,-0.2,-1.98,191638247,449441674705.0,2.61,2.95
2026-06-03,1003.42,1004.33,1015.05,994.54,-0.14,-1.42,198715626,474673106709.0,2.04,3.06
2026-06-04,995.51,995.53,998.77,989.71,-0.88,-8.8,187568137,454704258765.0,0.9,2.89
2026-06-05,993.25,998.64,1013.24,977.87,0.31,3.11,204921631,483014340417.0,3.55,3.16
2026-06-08,969.7,967.24,994.12,954.1,-3.14,-31.4,198578357,460587986808.0,4.01,3.06
2026-06-09,977.96,991.11,991.11,965.03,2.47,23.87,181400955,442230886654.0,2.7,2.8
2026-06-10,983.17,975.8,988.69,964.4,-1.54,-15.31,183004628,428926128806.0,2.45,2.82
2026-06-11,971.02,970.97,977.74,961.26,-0.49,-4.83,186721179,459886047285.0,1.69,2.88
2026-06-12,982.96,984.52,997.95,975.86,1.4,13.55,239583594,586968800118.0,2.28,3.69
2026-06-15,993.29,1017.16,1017.16,993.29,3.32,32.64,224378267,549955317585.0,2.42,3.46
2026-06-16,1019.5,1037.67,1040.43,1014.52,2.02,20.51,220898063,584199830187.0,2.55,3.41
2026-06-17,1032.61,1037.96,1041.73,1029.1,0.03,0.29,215181169,578970115076.0,1.22,3.32
2026-06-18,1034.21,1036.06,1042.8,1029.2,-0.18,-1.9,222041770,597307365756.0,1.31,3.42
