日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-12-17,997.19,1003.47,1007.03,994.07,0.35,3.47,2318938,3928126608.0,1.3,0.26
2013-12-18,983.88,996.56,1000.76,982.63,-0.69,-6.91,3027619,4698124032.0,1.81,0.34
2013-12-19,995.68,989.95,1006.79,989.26,-0.66,-6.61,3119259,4993264128.0,1.76,0.35
2013-12-20,990.11,980.16,1005.69,974.95,-0.99,-9.79,3022832,4852668416.0,3.11,0.34
2013-12-23,986.06,1009.32,1010.98,982.93,2.98,29.16,3545040,5730238976.0,2.86,0.4
2013-12-24,1008.67,994.66,1008.69,983.61,-1.45,-14.66,3012180,5304614400.0,2.48,0.34
2013-12-25,988.94,991.0,991.95,979.04,-0.37,-3.66,2580887,4265602448.0,1.3,0.29
2013-12-26,988.56,983.18,1001.61,982.89,-0.79,-7.82,2458886,4360174592.0,1.89,0.28
2013-12-27,982.51,996.47,997.83,979.86,1.35,13.29,1990781,3362470992.0,1.83,0.22
2013-12-30,1000.85,996.99,1003.18,992.66,0.05,0.52,1734867,3203967088.0,1.06,0.19
2013-12-31,991.35,1001.9,1004.06,988.84,0.49,4.91,1671218,3206621680.0,1.53,0.19
2014-01-02,1002.09,1008.3,1009.8,999.18,0.64,6.4,2190127,4912927488.0,1.06,0.25
2014-01-03,1005.36,1000.21,1005.47,994.8,-0.8,-8.09,1960117,3934472512.0,1.06,0.22
2014-01-06,997.15,965.84,997.15,965.58,-3.44,-34.37,2022392,3601336976.0,3.16,0.23
2014-01-07,960.59,974.93,978.42,957.26,0.94,9.09,1738706,3436999952.0,2.19,0.2
2014-01-08,977.9,979.92,989.74,976.42,0.51,4.99,1946769,3504699504.0,1.37,0.22
2014-01-09,979.17,970.64,988.49,970.22,-0.95,-9.28,2189200,4153172896.0,1.86,0.25
2014-01-10,967.15,954.03,972.6,951.48,-1.71,-16.61,1880763,3119200528.0,2.18,0.21
2014-01-13,953.23,938.36,962.63,933.15,-1.64,-15.67,1928908,3241183488.0,3.09,0.22
2014-01-14,939.0,953.78,954.09,934.35,1.64,15.42,1567856,2675935104.0,2.1,0.18
2014-01-15,953.87,965.21,965.92,952.46,1.2,11.43,1540598,3142320496.0,1.41,0.17
2014-01-16,965.79,960.63,968.81,960.46,-0.47,-4.58,1481570,2890214304.0,0.87,0.17
2014-01-17,957.97,939.89,958.21,938.86,-2.16,-20.74,1442501,2619139280.0,2.01,0.16
2014-01-20,936.87,951.54,954.03,933.48,1.24,11.65,2083067,3604386096.0,2.19,0.23
2014-01-21,952.64,958.94,960.75,951.34,0.78,7.4,2008867,3294152512.0,0.99,0.23
2014-01-22,959.99,982.78,982.86,958.51,2.49,23.84,2276344,4088446736.0,2.54,0.26
2014-01-23,984.59,985.63,990.43,977.42,0.29,2.85,2159486,3893043344.0,1.32,0.24
2014-01-24,989.01,997.72,1003.15,988.92,1.23,12.09,2626100,4779787776.0,1.44,0.29
2014-01-27,999.08,983.17,1000.53,982.54,-1.46,-14.55,2173640,3829444080.0,1.8,0.24
2014-01-28,989.5,1004.77,1008.21,989.5,2.2,21.6,3276600,5517076480.0,1.9,0.37
2014-01-29,1007.08,1008.11,1009.46,1000.52,0.33,3.34,2627409,4650708736.0,0.89,0.29
2014-01-30,1005.21,1002.59,1008.17,1000.2,-0.55,-5.52,1825698,3442062640.0,0.79,0.2
2014-02-07,995.12,1002.38,1002.47,985.64,-0.02,-0.21,2012046,3734329280.0,1.68,0.23
2014-02-10,1009.56,1035.56,1037.2,1009.56,3.31,33.18,3343208,6282615808.0,2.76,0.38
2014-02-11,1035.13,1036.27,1047.62,1025.94,0.07,0.71,2972238,5597016832.0,2.09,0.33
2014-02-12,1036.99,1038.42,1039.79,1022.89,0.21,2.15,2554838,4739478272.0,1.63,0.29
2014-02-13,1035.43,1015.87,1038.02,1015.41,-2.17,-22.55,2787803,5315691520.0,2.18,0.31
2014-02-14,1017.02,1040.06,1040.1,1017.02,2.38,24.19,2296970,4376719360.0,2.27,0.26
2014-02-17,1043.12,1048.73,1048.99,1035.17,0.83,8.67,2707751,4863499776.0,1.33,0.3
2014-02-18,1052.53,1060.98,1062.18,1047.02,1.17,12.25,3280995,5858706176.0,1.45,0.37
2014-02-19,1058.14,1080.22,1085.32,1056.61,1.81,19.24,3765780,6706637312.0,2.71,0.42
2014-02-20,1086.2,1067.0,1088.6,1066.33,-1.22,-13.22,3611988,5834328320.0,2.06,0.41
2014-02-21,1064.78,1056.98,1067.85,1048.97,-0.94,-10.02,2485106,4303040256.0,1.77,0.28
2014-02-24,1050.24,1074.28,1075.9,1042.11,1.64,17.3,3539066,6260724736.0,3.2,0.4
2014-02-25,1075.26,1037.82,1088.31,1033.88,-3.39,-36.46,3869600,7234637824.0,5.07,0.43
2014-02-26,1032.99,1045.84,1046.82,1012.73,0.77,8.02,2646958,5122770176.0,3.28,0.3
2014-02-27,1047.71,1021.59,1056.85,1019.1,-2.32,-24.25,2647765,4935992064.0,3.61,0.3
2014-02-28,1018.46,1017.67,1022.06,992.6,-0.38,-3.92,2392811,4662637568.0,2.88,0.27
2014-03-03,1016.21,1034.85,1038.81,1014.39,1.69,17.18,2204214,4388134912.0,2.4,0.25
2014-03-04,1031.46,1038.44,1038.65,1018.81,0.35,3.59,2035948,4114386272.0,1.92,0.23
2014-03-05,1041.29,1030.95,1044.03,1028.26,-0.72,-7.49,1783311,3147982144.0,1.52,0.2
2014-03-06,1028.78,1023.29,1034.62,1013.01,-0.74,-7.66,1941968,4309386496.0,2.1,0.22
2014-03-07,1024.17,1024.9,1033.9,1018.96,0.16,1.61,1949187,3601220016.0,1.46,0.22
2014-03-10,1021.03,995.96,1021.03,994.64,-2.82,-28.94,2833978,4267232320.0,2.57,0.32
2014-03-11,992.69,996.91,1002.55,985.58,0.1,0.95,1825384,3083301952.0,1.7,0.2
2014-03-12,997.56,995.93,1011.88,985.35,-0.1,-0.98,2146431,3390933360.0,2.66,0.24
2014-03-13,995.76,1007.29,1010.08,994.57,1.14,11.36,1590133,2691170448.0,1.56,0.18
2014-03-14,1001.57,995.89,1006.07,987.91,-1.13,-11.4,1573251,2948569104.0,1.8,0.18
2014-03-17,997.86,1019.86,1019.93,995.58,2.41,23.97,1804804,3545900320.0,2.45,0.2
2014-03-18,1019.71,1031.87,1037.02,1019.71,1.18,12.01,2485708,4290547424.0,1.7,0.28
2014-03-19,1029.36,1021.16,1030.96,1013.58,-1.04,-10.71,1934837,3267681248.0,1.68,0.22
2014-03-20,1019.39,990.83,1024.43,990.39,-2.97,-30.33,1875587,3286303216.0,3.33,0.21
2014-03-21,985.31,1005.45,1005.77,973.87,1.48,14.62,1928738,3367520288.0,3.22,0.22
2014-03-24,1004.88,1005.85,1011.93,1002.29,0.04,0.4,1781819,3141799440.0,0.96,0.2
2014-03-25,1003.76,1007.96,1016.15,1002.85,0.21,2.11,1949863,3116350480.0,1.32,0.22
2014-03-26,1013.75,1014.44,1021.22,1011.21,0.64,6.48,1785134,3011887184.0,0.99,0.2
2014-03-27,1010.69,992.57,1010.77,992.27,-2.16,-21.87,1809948,2905752576.0,1.82,0.2
2014-03-28,988.92,972.64,994.77,969.59,-2.01,-19.93,2032620,3282838704.0,2.54,0.23
2014-03-31,972.23,968.06,976.87,962.35,-0.47,-4.58,1596300,2324812224.0,1.49,0.18
2014-04-01,967.95,981.53,981.65,966.23,1.39,13.47,1541468,2710858992.0,1.59,0.17
2014-04-02,982.76,971.04,984.68,968.74,-1.07,-10.49,1771577,3077640624.0,1.62,0.2
2014-04-03,971.54,963.71,974.03,960.29,-0.75,-7.33,1520770,2523435344.0,1.41,0.17
2014-04-04,962.01,977.56,977.95,960.14,1.44,13.85,1746877,2675156304.0,1.85,0.2
2014-04-08,970.62,992.51,992.58,968.88,1.53,14.95,2550310,3923636816.0,2.42,0.29
2014-04-09,992.1,1002.42,1002.81,990.22,1.0,9.91,2257706,3495978992.0,1.27,0.25
2014-04-10,1002.88,1005.04,1009.38,997.07,0.26,2.62,2588219,4210361120.0,1.23,0.29
2014-04-11,1001.73,1006.67,1010.93,999.8,0.16,1.63,2220271,3587715296.0,1.11,0.25
2014-04-14,1006.47,1011.93,1012.01,1002.62,0.52,5.26,2277082,3722733056.0,0.93,0.26
2014-04-15,1008.88,1002.18,1009.26,999.34,-0.96,-9.75,2145283,3639946000.0,0.98,0.24
2014-04-16,1000.41,1006.17,1006.97,995.96,0.4,3.99,1971529,3062684880.0,1.1,0.22
2014-04-17,1006.1,999.39,1009.42,999.18,-0.67,-6.78,1936731,2748144080.0,1.02,0.22
2014-04-18,997.76,1004.69,1006.78,993.13,0.53,5.3,1731415,2801592736.0,1.37,0.19
2014-04-21,998.36,986.9,1008.28,986.58,-1.77,-17.79,1989095,3119494736.0,2.16,0.22
2014-04-22,983.14,984.37,989.22,969.73,-0.26,-2.53,1996518,3407703040.0,1.97,0.22
2014-04-23,984.65,981.11,990.08,977.2,-0.33,-3.26,1500224,2709982192.0,1.31,0.17
2014-04-24,980.12,969.58,981.79,968.32,-1.18,-11.53,1269912,2158188352.0,1.37,0.14
2014-04-25,970.13,949.29,971.42,948.03,-2.09,-20.29,1670984,2814690128.0,2.41,0.19
2014-04-28,944.93,912.07,945.3,910.24,-3.92,-37.22,1940869,3369939376.0,3.69,0.22
2014-04-29,910.58,925.42,925.67,910.52,1.46,13.35,1372808,2403619648.0,1.66,0.15
2014-04-30,924.0,935.54,936.36,922.79,1.09,10.12,1126036,2019908400.0,1.47,0.13
2014-05-05,934.8,940.09,940.2,931.1,0.49,4.55,1046080,1830060976.0,0.97,0.12
2014-05-06,938.97,946.49,951.88,937.54,0.68,6.4,1177430,2048500688.0,1.53,0.13
2014-05-07,944.49,931.01,944.49,930.76,-1.64,-15.48,1075823,1775948560.0,1.45,0.12
2014-05-08,929.26,929.49,942.81,927.48,-0.16,-1.52,911231,1532853616.0,1.65,0.1
2014-05-09,930.83,920.4,934.91,916.85,-0.98,-9.09,1095433,1884034528.0,1.94,0.12
2014-05-12,929.25,941.38,941.67,923.65,2.28,20.98,1383724,2352340160.0,1.96,0.16
2014-05-13,941.82,944.66,946.11,939.15,0.35,3.28,1303761,2107292640.0,0.74,0.15
2014-05-14,946.0,948.27,951.82,944.66,0.38,3.61,1234403,1828699424.0,0.76,0.14
2014-05-15,947.63,933.67,950.76,932.53,-1.54,-14.6,1255012,1927552064.0,1.92,0.14
2014-05-16,932.25,928.68,934.81,920.09,-0.53,-4.99,928470,1548772656.0,1.58,0.1
