日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-12-01,996.65,1003.33,1003.63,990.08,0.33,3.33,2469507,2612908928.0,1.36,0.07
2020-12-02,1000.07,995.98,1001.84,993.64,-0.73,-7.35,2469036,2803953072.0,0.82,0.07
2020-12-03,997.87,1000.84,1004.32,992.65,0.49,4.86,2124758,2599552432.0,1.17,0.06
2020-12-04,1000.35,1000.96,1002.21,995.35,0.01,0.12,1432186,1931377360.0,0.69,0.04
2020-12-07,1000.65,996.69,1002.82,994.83,-0.43,-4.27,1324589,2448303088.0,0.8,0.04
2020-12-08,998.19,991.96,998.19,990.13,-0.47,-4.73,1371228,2386275456.0,0.81,0.04
2020-12-09,995.39,991.28,1007.55,990.58,-0.07,-0.68,1687871,4381045760.0,1.71,0.05
2020-12-10,996.24,1006.37,1008.03,994.47,1.52,15.09,1609732,2665882272.0,1.37,0.05
2020-12-11,1008.45,994.93,1012.01,986.02,-1.14,-11.44,2206488,3300042928.0,2.58,0.07
2020-12-14,996.03,993.87,996.03,984.67,-0.11,-1.06,1552437,2203690176.0,1.14,0.05
2020-12-15,992.54,987.84,995.79,986.38,-0.61,-6.03,1598964,2239954192.0,0.95,0.05
2020-12-16,987.41,972.79,988.08,970.89,-1.52,-15.05,1914340,2342182912.0,1.74,0.06
2020-12-17,974.88,981.3,983.87,963.51,0.87,8.51,2182946,2543709264.0,2.09,0.06
2020-12-18,986.33,983.88,993.66,981.4,0.26,2.58,2546871,2386945632.0,1.25,0.08
2020-12-21,998.03,1014.12,1017.36,993.06,3.07,30.24,3153443,3060873024.0,2.47,0.09
2020-12-22,1016.15,995.37,1027.79,994.97,-1.85,-18.75,3860075,3765992416.0,3.24,0.11
2020-12-23,995.88,1026.75,1026.75,995.88,3.15,31.38,3206173,2915320240.0,3.1,0.1
2020-12-24,1030.8,1018.84,1031.72,1012.72,-0.77,-7.91,2617705,3366921520.0,1.85,0.08
2020-12-25,1025.32,1060.44,1060.99,1019.47,4.08,41.6,5086237,4448228608.0,4.08,0.15
2020-12-28,1067.76,1052.79,1075.68,1044.67,-0.72,-7.65,6408964,5311040768.0,2.92,0.19
