日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,1004.04,1030.67,1040.75,989.83,3.07,30.67,863842,1193349000.0,5.09,1.52
2000-01-05,1033.43,1033.69,1066.37,1017.22,0.29,3.02,1368349,1895315000.0,4.77,2.41
2000-01-06,1029.03,1076.51,1083.83,1016.47,4.14,42.82,1528602,2067351000.0,6.52,2.69
2000-01-07,1086.49,1115.9,1131.34,1071.5,3.66,39.39,2967789,3787273000.0,5.56,5.23
2000-01-10,1124.04,1133.58,1152.69,1095.8,1.58,17.68,2772667,3411682000.0,5.1,4.89
2000-01-11,1136.01,1079.45,1145.92,1066.47,-4.78,-54.13,2197821,2708845000.0,7.01,3.87
2000-01-12,1076.53,1051.22,1097.07,1037.66,-2.62,-28.23,1758597,2169940000.0,5.5,3.1
2000-01-13,1044.46,1038.68,1064.15,1025.28,-1.19,-12.54,925257,1131976000.0,3.7,1.63
2000-01-14,1043.32,1024.95,1055.7,1016.04,-1.32,-13.73,946525,1068190000.0,3.82,1.67
2000-01-17,1024.18,1041.3,1051.27,1008.24,1.6,16.35,942856,1093842000.0,4.2,1.66
2000-01-18,1043.11,1045.6,1071.26,1025.78,0.41,4.3,1181543,1401617000.0,4.37,2.08
2000-01-19,1045.3,1059.95,1076.23,1034.21,1.37,14.35,1372605,1628226000.0,4.02,2.42
2000-01-20,1063.14,1077.93,1090.06,1049.18,1.7,17.98,2156523,3570748000.0,3.86,3.8
2000-01-21,1083.17,1070.99,1107.23,1055.8,-0.64,-6.94,2541753,3648451000.0,4.77,4.48
2000-01-24,1074.15,1087.11,1105.45,1042.45,1.51,16.12,2600583,3757067000.0,5.88,4.58
2000-01-25,1091.91,1092.81,1124.03,1063.31,0.52,5.7,2177074,3008553000.0,5.59,3.84
2000-01-26,1102.06,1104.83,1129.47,1079.88,1.1,12.02,1628759,2150337000.0,4.54,2.87
2000-01-27,1112.53,1116.46,1142.74,1089.09,1.05,11.63,2636947,3909947000.0,4.86,4.65
2000-01-28,1121.65,1137.65,1158.96,1096.11,1.9,21.19,3281082,4629839000.0,5.63,5.78
2000-02-14,1181.15,1243.92,1246.71,1161.17,9.34,106.27,3452224,4530867000.0,7.52,6.08
2000-02-15,1273.51,1233.5,1314.63,1209.66,-0.84,-10.42,4992343,6890537000.0,8.44,8.8
2000-02-16,1236.52,1252.11,1280.73,1196.45,1.51,18.61,5352185,7448195000.0,6.83,9.43
