日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-11-30,1014.75,1019.34,1023.7,1011.59,1.93,19.34,5644541,4129923104.0,1.21,1.15
2020-12-01,1017.02,1024.86,1032.61,1017.02,0.54,5.52,4992966,4780526080.0,1.53,1.02
2020-12-02,1017.76,1020.68,1022.89,1009.06,-0.41,-4.18,4554141,4137310816.0,1.35,0.93
2020-12-03,1009.58,1033.73,1039.91,1003.33,1.28,13.05,5009030,4227888096.0,3.58,1.02
2020-12-04,1032.52,1032.7,1039.5,1028.0,-0.1,-1.03,4183531,4343044864.0,1.11,0.85
2020-12-07,1032.53,1050.28,1058.82,1030.64,1.7,17.58,5158976,4699634944.0,2.73,1.05
2020-12-08,1046.68,1030.14,1050.13,1029.12,-1.92,-20.14,4280225,3707959568.0,2.0,0.87
2020-12-09,1026.2,1002.69,1033.1,1002.69,-2.66,-27.45,4638300,4104949104.0,2.95,0.94
2020-12-10,995.41,988.12,1000.64,987.24,-1.45,-14.57,4152485,3716836016.0,1.34,0.85
2020-12-11,987.24,972.31,991.08,967.64,-1.6,-15.81,4382333,3730004704.0,2.37,0.89
2020-12-14,964.58,987.22,987.35,963.93,1.53,14.91,4923827,4504773120.0,2.41,1.0
2020-12-15,985.68,979.82,986.67,975.07,-0.75,-7.4,3427996,3650990544.0,1.18,0.7
2020-12-16,980.3,989.19,992.95,978.99,0.96,9.37,3737375,3882462752.0,1.42,0.76
2020-12-17,981.66,994.37,995.45,980.27,0.52,5.18,3739474,3651946400.0,1.53,0.76
2020-12-18,986.73,978.34,987.79,975.71,-1.61,-16.03,3181472,3067523936.0,1.21,0.65
2020-12-21,976.01,978.22,979.41,966.01,-0.01,-0.12,3006616,2777233904.0,1.37,0.61
2020-12-22,974.43,968.38,980.91,966.45,-1.01,-9.84,4063029,3672574592.0,1.48,0.83
2020-12-23,965.97,962.51,969.77,956.03,-0.61,-5.87,3708908,3474890144.0,1.42,0.76
2020-12-24,956.58,935.33,956.65,933.55,-2.82,-27.18,3725260,3194514752.0,2.4,0.76
2020-12-25,929.54,925.76,932.7,920.89,-1.02,-9.57,2892693,2433655440.0,1.26,0.59
2020-12-28,922.75,913.88,925.66,912.26,-1.28,-11.88,2989633,2476910832.0,1.45,0.61
2020-12-29,915.04,908.89,915.47,907.2,-0.55,-4.99,2838561,2283428192.0,0.9,0.58
2020-12-30,910.64,917.42,919.99,905.41,0.94,8.53,2614708,2186089280.0,1.6,0.53
2020-12-31,915.77,921.16,924.68,913.84,0.41,3.74,2792208,2336515408.0,1.18,0.57
2021-01-04,921.78,931.41,932.95,919.79,1.11,10.25,3452511,3018283392.0,1.43,0.7
2021-01-05,931.02,940.97,945.66,928.14,1.03,9.56,3945774,3783979440.0,1.88,0.8
2021-01-06,941.42,923.41,944.46,919.96,-1.87,-17.56,3392902,3158664368.0,2.6,0.69
2021-01-07,929.16,909.96,929.44,905.38,-1.46,-13.45,4011917,3322132240.0,2.61,0.82
2021-01-08,901.48,907.33,910.2,884.55,-0.29,-2.63,4735549,11644930816.0,2.82,0.96
2021-01-11,903.25,878.46,903.93,873.25,-3.18,-28.87,4011875,14378581504.0,3.38,0.82
2021-01-12,874.92,887.97,892.68,874.35,1.08,9.51,3320064,11050621696.0,2.09,0.68
2021-01-13,884.78,877.78,884.78,869.48,-1.15,-10.19,4128125,11883905024.0,1.72,0.84
2021-01-14,871.46,874.36,878.68,863.85,-0.39,-3.42,3294142,8729012992.0,1.69,0.67
2021-01-15,873.34,882.97,886.52,871.4,0.98,8.61,3133484,7333027840.0,1.73,0.64
2021-01-18,880.28,885.69,888.38,879.55,0.31,2.72,2747458,5808088832.0,1.0,0.56
2021-01-19,883.7,892.39,898.46,880.81,0.76,6.7,3577222,9509651968.0,1.99,0.73
2021-01-20,890.39,890.19,890.95,883.04,-0.25,-2.2,3411265,9738497536.0,0.89,0.69
2021-01-21,889.97,897.02,901.86,887.93,0.77,6.83,3310198,9584142848.0,1.56,0.67
2021-01-22,896.57,885.48,896.57,885.41,-1.29,-11.54,3097410,8659062272.0,1.24,0.63
2021-01-25,879.58,884.11,884.78,870.44,-0.15,-1.37,3660222,10907716096.0,1.62,0.75
2021-01-26,881.3,872.67,885.94,872.67,-1.29,-11.44,3022398,9014942720.0,1.5,0.62
2021-01-27,870.88,876.35,877.55,869.42,0.42,3.68,2549098,6595669760.0,0.93,0.52
2021-01-28,867.18,872.24,886.31,865.87,-0.47,-4.11,2981985,8277155328.0,2.33,0.61
2021-01-29,874.06,854.85,875.58,849.31,-1.99,-17.39,3726353,6642532864.0,3.01,0.76
2021-02-01,848.28,852.3,854.27,843.04,-0.3,-2.55,2360917,4466271488.0,1.31,0.48
2021-02-02,846.02,860.69,862.98,843.15,0.98,8.39,4666557,8443483136.0,2.33,0.95
2021-02-03,858.42,855.39,860.4,849.74,-0.62,-5.3,3410087,7121515264.0,1.24,0.69
2021-02-04,852.53,842.86,852.84,836.3,-1.46,-12.53,3045340,6635845632.0,1.93,0.62
2021-02-05,845.0,827.89,854.15,827.41,-1.78,-14.97,2878714,5882674432.0,3.17,0.59
2021-02-08,829.08,825.4,830.86,816.26,-0.3,-2.49,2637056,6311357184.0,1.76,0.54
2021-02-09,831.17,840.79,844.38,825.27,1.86,15.39,3100416,7213731328.0,2.32,0.63
2021-02-10,841.21,840.82,845.64,837.12,0.0,0.03,3045703,6550083328.0,1.01,0.62
2021-02-18,845.47,850.68,853.47,844.97,1.17,9.86,3477161,7350959104.0,1.01,0.71
2021-02-19,845.07,864.95,864.95,842.52,1.68,14.27,3454463,5860905472.0,2.64,0.7
2021-02-22,864.95,872.71,882.81,864.12,0.9,7.76,5451037,6608544256.0,2.16,1.11
2021-02-23,862.46,852.98,864.01,851.22,-2.26,-19.73,3598141,6891372800.0,1.47,0.73
2021-02-24,854.03,849.05,857.25,840.71,-0.46,-3.93,3349411,6098076160.0,1.94,0.68
2021-02-25,853.31,842.21,854.31,839.09,-0.81,-6.84,3374780,4544294656.0,1.79,0.69
2021-02-26,831.55,838.53,840.18,829.54,-0.44,-3.68,3235830,5034242816.0,1.26,0.66
2021-03-01,837.2,848.83,848.83,837.2,1.23,10.3,3048306,4778377472.0,1.39,0.62
2021-03-02,851.45,849.31,854.76,846.06,0.06,0.48,2680425,4100662000.0,1.02,0.55
2021-03-03,849.45,864.94,865.03,849.12,1.84,15.63,2555249,4424675584.0,1.87,0.52
2021-03-04,860.79,855.79,861.87,853.38,-1.06,-9.15,3823284,5045562880.0,0.98,0.78
2021-03-05,848.76,860.5,864.19,847.64,0.55,4.71,3195885,4116314768.0,1.93,0.65
2021-03-08,864.76,838.13,864.76,837.22,-2.6,-22.37,3325214,5163769600.0,3.2,0.68
2021-03-09,836.34,815.57,836.38,802.51,-2.69,-22.56,3059648,4498240768.0,4.04,0.62
