日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-11-01,1001.88,1029.06,1029.2,1001.81,2.91,29.06,6688462,6620467594.0,2.74,0.56
2022-11-02,1023.67,1028.52,1034.18,1020.44,-0.05,-0.54,4708654,4827956485.0,1.34,0.39
2022-11-03,1022.15,1023.99,1026.48,1018.52,-0.44,-4.53,3133811,3199042600.0,0.77,0.26
2022-11-04,1022.42,1044.94,1052.2,1022.42,2.05,20.95,6713879,6903495940.0,2.91,0.56
2022-11-07,1037.98,1043.16,1048.28,1037.53,-0.17,-1.78,4281503,4381615344.0,1.03,0.36
2022-11-08,1043.62,1039.08,1046.09,1034.26,-0.39,-4.08,2985627,2993266205.0,1.13,0.25
2022-11-09,1038.95,1031.28,1041.28,1031.25,-0.75,-7.8,2599584,2628354456.0,0.97,0.22
2022-11-10,1027.45,1041.45,1048.51,1025.55,0.99,10.17,4297559,4446693767.0,2.23,0.36
2022-11-11,1068.13,1067.38,1081.34,1054.47,2.49,25.93,12148421,12174012011.0,2.58,1.01
2022-11-14,1071.18,1072.06,1093.09,1070.15,0.44,4.68,10029391,10827957485.0,2.15,0.83
2022-11-15,1068.03,1106.81,1120.67,1068.03,3.24,34.75,13091140,13935886518.0,4.91,1.09
2022-11-16,1100.82,1088.24,1105.23,1086.69,-1.68,-18.57,6613199,6958576133.0,1.68,0.55
2022-11-17,1086.03,1093.16,1093.52,1081.6,0.45,4.92,4746353,4903437975.0,1.1,0.39
2022-11-18,1092.91,1077.92,1093.53,1077.9,-1.39,-15.24,4519933,4802588622.0,1.43,0.38
2022-11-21,1071.35,1059.9,1071.64,1055.88,-1.67,-18.02,3895938,4266968837.0,1.46,0.32
2022-11-22,1059.21,1064.34,1072.39,1054.7,0.42,4.44,4027372,4336348299.0,1.67,0.33
2022-11-23,1062.4,1064.23,1072.37,1059.23,-0.01,-0.11,3435145,3624961018.0,1.23,0.29
2022-11-24,1072.84,1058.17,1075.74,1056.9,-0.57,-6.06,3143188,3250521159.0,1.77,0.26
2022-11-25,1056.72,1071.8,1078.44,1056.37,1.29,13.63,4708223,4899087103.0,2.09,0.39
2022-11-28,1050.87,1055.6,1057.34,1040.99,-1.51,-16.2,4931473,5126343789.0,1.53,0.41
2022-11-29,1057.64,1090.84,1094.97,1057.64,3.34,35.24,8918062,9584040968.0,3.54,0.74
2022-11-30,1089.25,1087.31,1103.4,1086.62,-0.32,-3.53,6724731,7390053336.0,1.54,0.56
2022-12-01,1105.11,1093.62,1126.52,1093.06,0.58,6.31,9605247,11501763070.0,3.08,0.8
2022-12-02,1091.98,1087.06,1101.18,1084.58,-0.6,-6.56,4423262,4750430290.0,1.52,0.37
2022-12-05,1098.72,1120.04,1124.05,1098.27,3.03,32.98,9776696,11414194635.0,2.37,0.81
2022-12-06,1113.57,1114.98,1128.04,1111.21,-0.45,-5.06,6328643,7631275987.0,1.5,0.53
2022-12-07,1110.93,1103.48,1118.06,1098.55,-1.03,-11.5,5463858,6149070942.0,1.75,0.45
2022-12-08,1102.72,1101.51,1107.77,1097.24,-0.18,-1.97,3784885,4364013615.0,0.95,0.31
2022-12-09,1101.34,1105.17,1109.8,1091.27,0.33,3.66,6775580,7700306099.0,1.68,0.56
2022-12-12,1097.64,1081.42,1097.64,1080.16,-2.15,-23.75,5216609,5592737724.0,1.58,0.43
2022-12-13,1084.03,1083.07,1089.26,1079.81,0.15,1.65,3160202,3652267188.0,0.87,0.26
2022-12-14,1083.09,1090.99,1097.11,1080.34,0.73,7.92,3923427,4226523688.0,1.55,0.33
2022-12-15,1088.55,1083.29,1094.58,1081.39,-0.71,-7.7,2994708,3255770385.0,1.21,0.25
2022-12-16,1078.78,1085.04,1089.59,1077.39,0.16,1.75,3091916,3499994944.0,1.13,0.26
2022-12-19,1084.51,1053.32,1089.4,1048.38,-2.92,-31.72,4568849,4868412955.0,3.78,0.38
2022-12-20,1051.09,1049.4,1057.62,1044.65,-0.37,-3.92,2877797,3119121558.0,1.23,0.24
2022-12-21,1050.86,1046.0,1054.49,1041.84,-0.32,-3.4,2136452,2248985914.0,1.21,0.18
2022-12-22,1053.71,1044.06,1059.6,1040.08,-0.19,-1.94,2870311,3128625520.0,1.87,0.24
2022-12-23,1038.72,1044.59,1052.2,1038.55,0.05,0.53,2122982,2308488470.0,1.31,0.18
2022-12-26,1046.12,1041.23,1048.39,1039.1,-0.32,-3.36,2544054,2633638263.0,0.89,0.21
2022-12-27,1048.56,1054.49,1058.42,1045.64,1.27,13.26,3369902,3746470580.0,1.23,0.28
2022-12-28,1050.86,1050.44,1056.62,1045.37,-0.38,-4.05,2520693,2655936499.0,1.07,0.21
2022-12-29,1045.94,1045.59,1048.75,1038.68,-0.46,-4.85,2653344,2897157090.0,0.96,0.22
2022-12-30,1048.7,1050.76,1055.85,1048.48,0.49,5.17,2732801,2933472539.0,0.7,0.23
2023-01-03,1039.39,1043.48,1045.27,1020.82,-0.69,-7.28,6555900,6985484167.0,2.33,0.55
2023-01-04,1042.66,1046.18,1050.9,1040.85,0.26,2.7,4126839,4378216964.0,0.96,0.34
2023-01-05,1052.12,1063.68,1068.47,1051.85,1.67,17.5,6276177,6800511829.0,1.59,0.52
2023-01-06,1060.71,1063.89,1072.76,1059.3,0.02,0.21,4492917,4791811442.0,1.27,0.37
2023-01-09,1070.57,1084.98,1095.05,1070.16,1.98,21.09,9762365,9887346932.0,2.34,0.81
2023-01-10,1085.61,1086.15,1104.93,1082.99,0.11,1.17,9625110,9329255622.0,2.02,0.8
2023-01-11,1087.12,1081.26,1091.13,1079.65,-0.45,-4.89,6382794,6587850711.0,1.06,0.53
2023-01-12,1083.94,1095.68,1095.68,1079.42,1.33,14.42,6522457,6258398735.0,1.5,0.54
2023-01-13,1098.75,1113.61,1113.61,1090.69,1.64,17.93,7881883,8869900961.0,2.09,0.66
2023-01-16,1115.64,1143.3,1166.97,1111.54,2.67,29.69,17778915,20451492357.0,4.98,1.48
2023-01-17,1137.31,1156.2,1157.72,1136.67,1.13,12.9,8788320,9660959889.0,1.84,0.73
2023-01-18,1149.53,1151.63,1159.14,1147.04,-0.4,-4.57,5646092,6302399802.0,1.05,0.47
2023-01-19,1145.55,1170.56,1170.56,1144.98,1.64,18.93,7668003,8342122016.0,2.22,0.64
2023-01-20,1169.78,1165.1,1169.96,1154.85,-0.47,-5.46,6430124,7264628867.0,1.29,0.53
2023-01-30,1182.66,1156.26,1184.24,1155.2,-0.76,-8.84,8378656,9974230576.0,2.49,0.7
2023-01-31,1156.2,1148.39,1165.0,1144.61,-0.68,-7.87,5903377,6843268809.0,1.76,0.49
2023-02-01,1152.35,1179.72,1180.48,1150.43,2.73,31.33,8192102,9550639298.0,2.62,0.68
2023-02-02,1197.37,1154.19,1197.37,1153.48,-2.16,-25.53,13137475,15433880080.0,3.72,1.09
2023-02-03,1146.93,1145.73,1153.73,1134.61,-0.73,-8.46,6728294,7407563411.0,1.66,0.56
2023-02-06,1137.95,1128.8,1139.06,1126.35,-1.48,-16.93,6157008,7010203494.0,1.11,0.51
2023-02-07,1136.34,1131.67,1137.55,1125.67,0.25,2.87,4248439,4607642921.0,1.05,0.35
2023-02-08,1132.76,1119.64,1134.42,1118.6,-1.06,-12.03,3742002,3961010201.0,1.4,0.31
2023-02-09,1118.86,1137.13,1137.87,1118.71,1.56,17.49,4986138,5436578894.0,1.71,0.41
2023-02-10,1133.0,1128.06,1136.2,1124.78,-0.8,-9.07,3521824,3802621145.0,1.0,0.29
2023-02-13,1126.38,1134.27,1135.21,1121.3,0.55,6.21,4301110,4756688497.0,1.23,0.36
2023-02-14,1135.77,1131.46,1136.28,1125.24,-0.25,-2.81,3414619,3766800505.0,0.97,0.28
2023-02-15,1131.07,1121.96,1132.11,1120.92,-0.84,-9.5,3409778,3789223252.0,0.99,0.28
2023-02-16,1122.36,1111.3,1142.6,1104.41,-0.95,-10.66,7782938,8408811967.0,3.4,0.65
2023-02-17,1109.45,1097.74,1116.06,1097.73,-1.22,-13.56,4540280,4807198855.0,1.65,0.38
2023-02-20,1113.18,1138.16,1139.97,1109.02,3.68,40.42,8590596,9513658506.0,2.82,0.71
2023-02-21,1136.1,1141.81,1143.87,1131.59,0.32,3.65,5664757,6541106736.0,1.08,0.47
2023-02-22,1136.21,1132.81,1144.86,1131.01,-0.79,-9.0,4572166,5298265792.0,1.21,0.38
2023-02-23,1133.53,1139.53,1149.5,1133.53,0.59,6.72,4976186,5765614201.0,1.41,0.41
2023-02-24,1140.38,1124.94,1140.96,1122.8,-1.28,-14.59,4108304,4945950672.0,1.59,0.34
2023-02-27,1117.5,1112.97,1121.89,1110.36,-1.06,-11.97,3493471,3775757151.0,1.02,0.29
2023-02-28,1116.45,1124.72,1125.01,1111.27,1.06,11.75,3196855,3512203167.0,1.23,0.27
2023-03-01,1122.65,1137.12,1141.3,1120.02,1.1,12.4,5379550,5807953640.0,1.89,0.45
2023-03-02,1136.49,1137.06,1141.71,1134.38,-0.01,-0.06,4207956,4480311021.0,0.64,0.35
2023-03-03,1139.03,1146.16,1147.7,1133.36,0.8,9.1,4937475,5641950816.0,1.26,0.41
2023-03-06,1147.17,1129.26,1147.53,1128.27,-1.47,-16.9,5425121,6187914963.0,1.68,0.45
2023-03-07,1128.41,1115.28,1142.94,1114.04,-1.24,-13.98,6559512,7732659485.0,2.56,0.55
2023-03-08,1110.93,1113.75,1113.98,1106.96,-0.14,-1.53,3848481,4356755483.0,0.63,0.32
2023-03-09,1114.18,1106.96,1114.86,1105.34,-0.61,-6.79,3137140,3414025273.0,0.85,0.26
2023-03-10,1100.32,1089.44,1102.7,1089.28,-1.58,-17.52,4339583,4673454030.0,1.21,0.36
2023-03-13,1088.41,1096.74,1097.41,1085.16,0.67,7.3,3628448,3792125320.0,1.12,0.3
2023-03-14,1093.33,1083.39,1093.33,1075.41,-1.22,-13.35,3998068,4267657465.0,1.63,0.33
2023-03-15,1092.35,1091.75,1098.02,1091.38,0.77,8.36,3456187,3718866474.0,0.61,0.29
2023-03-16,1083.77,1080.76,1091.17,1080.54,-1.01,-10.99,3229980,3521962617.0,0.97,0.27
2023-03-17,1090.4,1101.88,1112.27,1090.4,1.95,21.12,6085492,6774391598.0,2.02,0.51
2023-03-20,1102.9,1096.26,1115.05,1094.89,-0.51,-5.62,4996557,5399866121.0,1.83,0.42
2023-03-21,1101.5,1102.82,1106.46,1095.43,0.6,6.56,3669521,4008862376.0,1.01,0.31
2023-03-22,1104.33,1105.29,1108.87,1099.69,0.22,2.47,3867720,4239246314.0,0.83,0.32
2023-03-23,1101.4,1121.68,1121.68,1099.88,1.48,16.39,5393519,5821766499.0,1.97,0.45
2023-03-24,1120.77,1116.85,1124.79,1112.41,-0.43,-4.83,4143290,4515272972.0,1.1,0.34
