日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2017-08-01,986.88,972.78,989.95,962.26,-2.72,-27.22,2413407,2714710464.0,2.77,0.48
2017-08-02,972.1,965.87,975.21,958.73,-0.71,-6.91,2080072,2290870320.0,1.69,0.42
2017-08-03,956.63,951.48,964.18,945.21,-1.49,-14.39,1615727,1760770800.0,1.96,0.32
2017-08-04,954.79,920.66,957.46,920.64,-3.24,-30.82,1991474,2117776944.0,3.87,0.4
2017-08-07,915.63,922.87,924.51,911.92,0.24,2.21,1494186,1537142960.0,1.37,0.3
2017-08-08,925.4,928.0,931.21,917.89,0.56,5.13,1563810,1713348912.0,1.44,0.31
2017-08-09,925.89,920.03,929.98,917.98,-0.86,-7.97,1111019,1176756944.0,1.29,0.22
2017-08-10,922.27,933.29,950.45,922.27,1.44,13.26,2084661,2246708720.0,3.06,0.42
2017-08-11,922.82,897.91,931.15,892.69,-3.79,-35.38,1745890,1839316192.0,4.12,0.35
2017-08-14,900.61,911.45,918.07,894.29,1.51,13.54,1170857,1221235744.0,2.65,0.23
2017-08-15,914.18,925.54,927.44,906.18,1.55,14.09,1239743,1324427440.0,2.33,0.25
2017-08-16,926.47,947.34,957.7,926.47,2.36,21.8,2093225,2377722000.0,3.37,0.42
2017-08-17,931.87,940.54,942.81,921.3,-0.72,-6.8,2234615,2400618256.0,2.27,0.45
2017-08-18,930.6,935.38,941.71,928.39,-0.55,-5.16,1532762,1729267024.0,1.42,0.31
2017-08-21,935.26,946.55,964.58,935.26,1.19,11.17,1994009,2281714176.0,3.13,0.4
2017-08-22,943.61,935.49,944.14,928.64,-1.17,-11.06,1733471,1881927616.0,1.64,0.35
2017-08-23,930.78,926.7,933.35,917.2,-0.94,-8.79,1432173,1612628624.0,1.73,0.29
2017-08-24,932.9,937.51,956.75,927.29,1.17,10.81,2119583,2428791072.0,3.18,0.42
2017-08-25,935.17,940.7,941.4,924.97,0.34,3.19,1711768,1863709504.0,1.75,0.34
2017-08-28,939.06,949.14,968.39,934.62,0.9,8.44,2169533,2437763616.0,3.59,0.43
2017-08-29,951.88,1002.74,1004.75,948.47,5.65,53.6,3854899,4471813376.0,5.93,0.77
2017-08-30,1011.66,1010.54,1033.89,1004.39,0.78,7.8,4074078,4874885120.0,2.94,0.82
2017-08-31,1006.59,1015.41,1042.66,1006.59,0.48,4.87,3814328,4643640320.0,3.57,0.76
2017-09-01,1005.03,1015.1,1015.63,997.94,-0.03,-0.31,3106574,3656304496.0,1.74,0.62
2017-09-04,1012.19,1028.26,1039.27,1001.45,1.3,13.16,3413167,3943668880.0,3.73,0.68
2017-09-05,1024.44,1005.83,1025.98,1002.02,-2.18,-22.43,2232162,2526658880.0,2.33,0.45
2017-09-06,996.4,998.94,1003.87,992.21,-0.69,-6.89,1944188,2211634976.0,1.16,0.39
2017-09-07,1000.3,989.65,1014.7,989.58,-0.93,-9.29,2345007,2743943712.0,2.51,0.47
2017-09-08,984.06,971.7,986.35,963.67,-1.81,-17.95,1936971,2149675632.0,2.29,0.39
2017-09-11,974.11,978.74,982.43,972.32,0.72,7.04,1203482,1359422784.0,1.04,0.24
2017-09-12,978.96,985.44,992.26,969.14,0.68,6.7,2144620,2448143440.0,2.36,0.43
2017-09-13,979.46,984.02,993.38,976.4,-0.14,-1.42,1359028,1546828656.0,1.72,0.27
2017-09-14,982.18,976.58,991.13,974.6,-0.76,-7.44,1274129,1485867072.0,1.68,0.26
2017-09-15,973.72,980.82,989.61,970.43,0.43,4.24,1495374,1723422320.0,1.96,0.3
2017-09-18,982.3,979.23,988.89,970.4,-0.16,-1.59,1501545,1697751040.0,1.89,0.3
2017-09-19,975.32,962.42,985.65,961.08,-1.72,-16.81,1439881,1651155328.0,2.51,0.29
2017-09-20,958.13,961.77,962.77,947.42,-0.07,-0.65,1539460,1650839296.0,1.59,0.31
2017-09-21,958.83,968.65,985.99,953.38,0.72,6.88,1621471,1798873040.0,3.39,0.32
2017-09-22,967.71,952.62,967.71,950.5,-1.65,-16.03,1103708,1212566656.0,1.78,0.22
2017-09-25,950.17,924.2,952.24,923.13,-2.98,-28.42,1317926,1414708640.0,3.06,0.26
2017-09-26,925.06,925.55,932.0,917.11,0.15,1.35,712477,746839504.0,1.61,0.14
2017-09-27,928.16,936.82,940.28,928.16,1.22,11.27,733373,812729808.0,1.31,0.15
2017-09-28,936.71,925.56,940.33,925.31,-1.2,-11.26,770186,829379872.0,1.6,0.15
2017-09-29,929.0,948.81,965.77,928.71,2.51,23.25,1027259,1158854352.0,4.0,0.21
2017-10-09,955.31,961.84,964.87,955.23,1.37,13.03,576999,612858960.0,1.02,0.12
2017-10-10,963.45,983.88,984.55,961.42,2.29,22.04,779743,876875296.0,2.4,0.16
2017-10-11,987.05,996.09,1005.84,986.7,1.24,12.21,950997,1091326544.0,1.95,0.19
2017-10-12,995.73,993.31,1000.73,985.96,-0.28,-2.78,748109,897228016.0,1.48,0.15
2017-10-13,1012.41,1011.32,1020.35,1004.04,1.81,18.01,1273039,1439202368.0,1.64,0.26
2017-10-16,1009.14,957.48,1009.14,957.29,-5.32,-53.84,1873634,2109391984.0,5.13,0.38
2017-10-17,956.48,1028.64,1037.86,954.7,7.43,71.16,3390578,3792405504.0,8.69,0.68
2017-10-18,1036.16,1053.49,1087.51,1023.43,2.42,24.85,5327834,6663869184.0,6.23,1.07
2017-10-19,1053.51,1027.72,1058.8,1017.71,-2.45,-25.77,3760915,4765715200.0,3.9,0.75
2017-10-20,1037.36,1040.36,1056.94,1033.03,1.23,12.64,3795155,4864269824.0,2.33,0.76
2017-10-23,1023.07,1039.76,1049.38,1019.39,-0.06,-0.6,2894953,3775236240.0,2.88,0.58
2017-10-24,1029.43,1065.54,1071.65,1016.03,2.48,25.78,4080678,5042615808.0,5.35,0.82
2017-10-25,1056.03,1052.52,1064.86,1045.69,-1.22,-13.02,2881066,3579293504.0,1.8,0.58
2017-10-26,1048.29,1039.73,1064.42,1038.51,-1.22,-12.79,3603401,4304722688.0,2.46,0.72
2017-10-27,1036.56,1013.23,1040.77,1009.84,-2.55,-26.5,3686782,4175576464.0,2.97,0.74
2017-10-30,1013.14,998.58,1018.2,991.24,-1.45,-14.65,3409112,3853182144.0,2.66,0.68
2017-10-31,995.1,1009.53,1009.53,985.76,1.1,10.95,2685710,3101717760.0,2.38,0.54
2017-11-01,1006.17,998.82,1013.24,996.71,-1.06,-10.71,3077492,3510372032.0,1.64,0.62
2017-11-02,998.82,1003.05,1015.78,996.58,0.42,4.23,2341826,2743866048.0,1.92,0.47
2017-11-03,995.04,971.97,995.04,958.46,-3.1,-31.08,2832528,3182584592.0,3.65,0.57
2017-11-06,968.99,975.38,977.22,959.94,0.35,3.41,1892386,2088951216.0,1.78,0.38
2017-11-07,975.27,974.31,975.27,966.98,-0.11,-1.07,1900762,2072035712.0,0.85,0.38
2017-11-08,976.44,982.65,990.02,975.38,0.86,8.34,2112147,2360381856.0,1.5,0.42
2017-11-09,979.55,1024.72,1033.96,973.88,4.28,42.07,3045853,3434693200.0,6.11,0.61
2017-11-10,1016.63,1018.2,1030.61,1012.42,-0.64,-6.52,3597437,4207731280.0,1.78,0.72
2017-11-13,1020.5,1013.83,1027.03,1012.93,-0.43,-4.37,3228305,3705279984.0,1.38,0.65
2017-11-14,1011.25,1011.68,1012.65,997.72,-0.21,-2.15,2807360,3202187440.0,1.47,0.56
2017-11-15,1008.58,1001.64,1009.77,995.99,-0.99,-10.04,2495008,2823819952.0,1.36,0.5
