日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-09-10,998.53,993.42,1030.21,971.65,-0.66,-6.58,4918924,12872250148.0,5.86,0.56
2010-09-13,995.28,1025.28,1039.54,981.37,3.21,31.86,4540955,11909037393.0,5.86,0.52
2010-09-14,1019.88,1011.04,1038.88,998.44,-1.39,-14.24,3952319,10006345121.0,3.94,0.45
2010-09-15,1011.41,978.29,1027.66,968.27,-3.24,-32.75,3873997,8889422495.0,5.87,0.44
2010-09-16,973.67,976.02,1005.08,941.23,-0.23,-2.27,3563942,9030592654.0,6.53,0.41
2010-09-17,976.02,953.22,985.45,937.01,-2.34,-22.8,2588360,6715675025.0,4.96,0.3
2010-09-20,950.01,939.07,968.29,918.73,-1.48,-14.15,2303334,6167880071.0,5.2,0.26
2010-09-21,941.52,943.04,963.6,924.08,0.42,3.97,2289138,5626842393.0,4.21,0.26
2010-09-27,954.27,997.61,1007.72,945.25,5.79,54.57,3160995,8403868247.0,6.62,0.36
2010-09-28,983.63,996.44,1039.49,974.37,-0.12,-1.17,6125624,16562049746.0,6.53,0.7
2010-09-29,1003.26,1019.03,1051.49,984.41,2.27,22.59,6198391,14036793069.0,6.73,0.71
2010-09-30,1011.97,1069.85,1075.99,1003.42,4.99,50.82,4675896,13510241148.0,7.12,0.54
2010-10-08,1094.76,1129.74,1158.85,1082.18,5.6,59.89,6284726,17695700714.0,7.17,0.72
2010-10-11,1139.63,1142.81,1186.97,1121.92,1.16,13.07,6971079,20682676236.0,5.76,0.8
2010-10-12,1130.87,1183.07,1203.88,1121.37,3.52,40.26,5155203,16522304045.0,7.22,0.59
2010-10-13,1196.05,1192.15,1227.57,1148.18,0.77,9.08,5751712,17445808017.0,6.71,0.66
2010-10-14,1195.95,1194.52,1240.67,1160.42,0.2,2.37,5555021,17694289223.0,6.73,0.64
2010-10-15,1177.0,1223.87,1256.81,1147.52,2.46,29.35,6037501,21360828322.0,9.15,0.69
2010-10-18,1235.05,1163.84,1267.11,1143.37,-4.9,-60.03,6519534,22754051393.0,10.11,0.75
2010-10-19,1163.32,1221.69,1238.83,1155.31,4.97,57.85,4304068,11633092043.0,7.18,0.49
2010-10-20,1178.51,1205.49,1239.27,1160.34,-1.33,-16.2,5117198,15245379269.0,6.46,0.59
2010-10-21,1214.52,1271.91,1289.59,1198.67,5.51,66.42,6351171,18231926973.0,7.54,0.73
2010-10-22,1260.96,1331.67,1359.29,1240.11,4.7,59.76,6999910,19814531566.0,9.37,0.8
2010-10-25,1354.47,1392.8,1419.1,1329.78,4.59,61.13,6395442,19236213370.0,6.71,0.73
2010-10-26,1396.8,1394.04,1443.92,1345.82,0.09,1.24,6745950,22049191652.0,7.04,0.77
2010-10-27,1374.6,1400.45,1457.25,1342.98,0.46,6.41,6772330,23295902353.0,8.2,0.78
2010-10-28,1390.09,1446.85,1491.22,1370.71,3.31,46.4,6957366,22380586603.0,8.61,0.8
2010-10-29,1473.26,1522.05,1538.89,1440.43,5.2,75.2,9127109,22998704046.0,6.81,1.05
2010-11-01,1546.04,1619.88,1650.85,1508.01,6.43,97.83,9517623,27253486039.0,9.38,1.09
2010-11-02,1624.97,1572.68,1700.34,1554.83,-2.91,-47.2,10452312,33238912447.0,8.98,1.2
2010-11-03,1570.9,1459.43,1609.0,1443.56,-7.2,-113.25,7301921,23468890498.0,10.52,0.84
2010-11-04,1455.6,1536.2,1565.34,1419.35,5.26,76.77,8446235,25960093474.0,10.0,0.97
2010-11-05,1584.9,1529.08,1603.4,1506.54,-0.46,-7.12,6865131,21716021126.0,6.31,0.79
2010-11-08,1522.91,1515.14,1544.02,1468.22,-0.91,-13.94,4707689,14702167082.0,4.96,0.54
2010-11-09,1506.04,1529.48,1571.36,1489.05,0.95,14.34,4744477,13781755076.0,5.43,0.54
2010-11-10,1524.65,1597.04,1617.44,1501.83,4.42,67.56,6980692,21407841063.0,7.56,0.8
2010-11-11,1585.64,1563.35,1664.23,1544.33,-2.11,-33.69,8057676,25861745647.0,7.51,0.93
2010-11-12,1537.94,1466.99,1589.18,1437.3,-6.16,-96.36,7004134,21366528925.0,9.72,0.8
2010-11-15,1466.05,1470.41,1509.4,1404.03,0.23,3.42,4504103,15652291485.0,7.18,0.52
2010-11-16,1458.65,1338.38,1464.44,1330.22,-8.98,-132.03,4814582,14919957124.0,9.13,0.55
2010-11-17,1288.63,1274.17,1352.91,1255.43,-4.8,-64.21,3790302,11466907410.0,7.28,0.44
2010-11-18,1298.27,1335.47,1351.84,1258.99,4.81,61.3,4250308,12288127416.0,7.29,0.49
2010-11-19,1346.27,1361.25,1385.61,1296.34,1.93,25.78,5284811,15006317095.0,6.68,0.61
2010-11-22,1338.58,1371.37,1400.74,1314.11,0.74,10.12,4850605,15528901762.0,6.36,0.56
2010-11-23,1346.27,1298.54,1358.9,1266.58,-5.31,-72.83,3475809,10467762710.0,6.73,0.4
2010-11-24,1294.8,1356.8,1379.4,1291.58,4.49,58.26,4484723,12951192912.0,6.76,0.51
2010-11-25,1363.61,1367.63,1385.46,1331.58,0.8,10.83,4860961,12618626883.0,3.97,0.56
2010-11-26,1356.24,1337.52,1373.84,1319.22,-2.2,-30.11,3065473,9150811641.0,3.99,0.35
