日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-08-15,994.15,1037.59,1039.24,990.73,3.76,37.59,4721047,7927011716.0,4.85,1.15
2022-08-16,1030.61,1041.76,1057.69,1030.36,0.4,4.17,5218416,8252798378.0,2.63,1.27
2022-08-17,1039.23,1034.61,1047.14,1031.46,-0.69,-7.15,5108480,8620482701.0,1.51,1.24
2022-08-18,1030.58,1069.85,1083.02,1030.58,3.41,35.24,6860053,9990412518.0,5.07,1.66
2022-08-19,1072.62,1035.92,1073.79,1035.05,-3.17,-33.93,5642749,8560606366.0,3.62,1.37
2022-08-22,1034.25,1035.1,1044.77,1026.9,-0.08,-0.82,4707921,7281843415.0,1.73,1.14
2022-08-23,1038.13,1062.98,1063.02,1037.09,2.69,27.88,4890270,7524558235.0,2.51,1.19
2022-08-24,1064.6,1027.98,1066.75,1025.39,-3.29,-35.0,5956123,9500316369.0,3.89,1.45
2022-08-25,1036.39,1016.55,1041.01,995.92,-1.11,-11.43,4640174,7687609668.0,4.39,1.13
2022-08-26,1023.99,1014.02,1036.23,1011.85,-0.25,-2.53,5377969,7351307493.0,2.4,1.31
2022-08-29,1004.89,1056.28,1057.0,1004.89,4.17,42.26,6903163,8865518833.0,5.14,1.68
2022-08-30,1070.69,1046.72,1075.32,1042.17,-0.91,-9.56,6946540,8846614367.0,3.14,1.69
2022-08-31,1041.1,990.25,1045.61,988.58,-5.39,-56.47,9572211,16059309025.0,5.45,2.32
2022-09-01,984.75,986.62,994.75,973.0,-0.37,-3.63,8283768,15194621605.0,2.2,2.01
2022-09-02,978.59,989.16,994.57,965.41,0.26,2.54,5935553,10170545455.0,2.96,1.44
2022-09-05,991.91,1016.87,1020.97,988.83,2.8,27.71,5403083,8563784050.0,3.25,1.31
2022-09-06,1020.39,1034.46,1035.46,1010.42,1.73,17.59,6393453,9841800382.0,2.46,1.55
2022-09-07,1027.08,1055.8,1058.84,1026.76,2.06,21.34,6371046,9928279865.0,3.1,1.55
2022-09-08,1048.55,1030.27,1050.46,1028.45,-2.42,-25.53,5034872,7613402735.0,2.08,1.22
2022-09-09,1028.82,1016.49,1029.32,1006.43,-1.34,-13.78,5477596,11158369762.0,2.22,1.33
2022-09-13,1015.15,1012.91,1022.71,1004.72,-0.35,-3.58,4505583,8924840845.0,1.77,1.09
2022-09-14,995.77,998.9,1008.81,986.21,-1.38,-14.01,4314657,6716594629.0,2.23,1.05
2022-09-15,1000.77,957.94,1002.9,946.35,-4.1,-40.96,5875455,9891062066.0,5.66,1.43
2022-09-16,956.83,945.92,969.17,945.92,-1.25,-12.02,4893875,7612061447.0,2.43,1.19
2022-09-19,943.6,926.6,947.83,919.53,-2.04,-19.32,4165664,6096352404.0,2.99,1.01
2022-09-20,932.4,946.18,951.18,932.4,2.11,19.58,4182777,7403876951.0,2.03,1.02
2022-09-21,946.45,951.25,954.35,937.04,0.54,5.07,4424979,7030799991.0,1.83,1.07
2022-09-22,940.4,945.49,958.95,938.7,-0.61,-5.76,4362368,7932053857.0,2.13,1.06
