日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-06-13,993.11,997.89,1002.11,987.73,-0.21,-2.11,5078423,6715305243.0,1.44,4.35
2023-06-14,993.85,991.9,1006.84,989.24,-0.6,-5.99,4508962,5955267551.0,1.76,3.86
2023-06-15,992.56,979.72,995.17,978.01,-1.23,-12.18,4148146,5452778256.0,1.73,3.55
2023-06-16,975.0,986.72,993.61,967.9,0.71,7.0,4259007,5240245704.0,2.62,3.65
2023-06-19,987.33,1001.5,1002.05,987.33,1.5,14.78,4267073,5480852142.0,1.49,3.65
2023-06-20,997.05,984.64,997.05,981.29,-1.68,-16.86,3878228,5069285528.0,1.57,3.32
2023-06-21,983.0,950.94,983.19,950.52,-3.42,-33.7,3348443,4241035223.0,3.32,2.87
2023-06-26,943.28,914.41,952.55,912.5,-3.84,-36.53,2877893,3441820330.0,4.21,2.46
2023-06-27,918.81,933.44,934.42,918.63,2.08,19.03,2251061,2880344354.0,1.73,1.93
2023-06-28,934.39,925.03,934.92,898.87,-0.9,-8.41,3191070,4123507790.0,3.86,2.73
2023-06-29,923.05,934.28,938.73,921.63,1.0,9.25,2777366,3415971393.0,1.85,2.38
2023-06-30,932.38,943.64,948.45,929.45,1.0,9.36,2710518,3400856837.0,2.03,2.32
2023-07-03,946.67,939.81,948.14,929.24,-0.41,-3.83,2694309,3316022734.0,2.0,2.31
2023-07-04,938.55,944.33,944.38,935.91,0.48,4.52,2112391,2643225749.0,0.9,1.81
2023-07-05,942.53,934.18,952.28,932.67,-1.07,-10.15,2136537,2564825777.0,2.08,1.83
2023-07-06,932.71,931.22,942.2,929.38,-0.32,-2.96,1715333,2020814614.0,1.37,1.47
2023-07-07,929.73,920.36,930.88,914.27,-1.17,-10.86,1839249,2215330421.0,1.78,1.57
2023-07-10,921.69,918.08,924.66,916.27,-0.25,-2.28,1536815,1766967590.0,0.91,1.32
2023-07-11,918.82,925.05,925.08,914.88,0.76,6.97,1512869,1780192605.0,1.11,1.29
2023-07-12,923.56,903.62,929.04,903.11,-2.32,-21.43,2308019,2550214225.0,2.8,1.98
2023-07-13,906.73,929.64,930.61,906.73,2.88,26.02,1993714,2487075841.0,2.64,1.71
2023-07-14,931.66,957.4,962.63,931.54,2.99,27.76,2752160,3617156802.0,3.34,2.36
2023-07-17,953.51,952.31,959.93,946.46,-0.53,-5.09,2298758,3337016973.0,1.41,1.97
