日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-09-11,965.58,1012.15,1020.37,965.58,1.22,12.15,11461675,17838682112.0,5.48,1.52
2020-09-14,1031.41,1106.29,1106.29,1030.71,9.3,94.14,13426174,23605135616.0,7.47,1.78
2020-09-15,1108.63,1072.88,1108.63,1068.74,-3.02,-33.41,11817957,21058855936.0,3.61,1.57
2020-09-16,1071.55,1089.22,1118.7,1071.55,1.52,16.34,10922267,19032681984.0,4.39,1.45
2020-09-17,1076.95,1124.76,1144.89,1067.08,3.26,35.54,15001341,24372133120.0,7.14,1.99
2020-09-18,1118.12,1124.29,1137.38,1110.1,-0.04,-0.47,13455606,21209113600.0,2.43,1.78
2020-09-21,1122.76,1127.5,1145.55,1122.62,0.29,3.21,10328840,17432384768.0,2.04,1.37
2020-09-22,1103.11,1106.26,1113.89,1091.23,-1.88,-21.24,13888550,18569830912.0,2.01,1.84
2020-09-23,1110.08,1125.96,1135.65,1110.08,1.78,19.7,12150176,20673251840.0,2.31,1.61
2020-09-24,1105.18,1074.59,1112.48,1073.98,-4.56,-51.37,13185919,19205918464.0,3.42,1.75
2020-09-25,1080.29,1052.21,1083.29,1049.44,-2.08,-22.38,9360129,14390025984.0,3.15,1.24
2020-09-28,1052.88,1044.94,1059.73,1043.95,-0.69,-7.27,9642768,14852249088.0,1.5,1.28
2020-09-29,1051.39,1058.02,1068.4,1047.59,1.25,13.08,9461848,14994573568.0,1.99,1.26
2020-09-30,1061.7,1053.67,1062.65,1045.44,-0.41,-4.35,9628445,13882263040.0,1.63,1.28
2020-10-09,1080.92,1103.86,1104.34,1077.4,4.76,50.19,11778573,18494883584.0,2.56,1.56
2020-10-12,1109.5,1174.73,1175.27,1102.98,6.42,70.87,16909162,27920036864.0,6.55,2.24
2020-10-13,1160.2,1175.66,1195.45,1153.94,0.08,0.93,15768945,27305282816.0,3.53,2.09
2020-10-14,1167.3,1157.09,1169.59,1145.55,-1.58,-18.57,13844042,23520824320.0,2.04,1.84
2020-10-15,1149.03,1128.99,1161.74,1128.99,-2.43,-28.1,11686052,20305985536.0,2.83,1.55
2020-10-16,1123.92,1116.6,1137.0,1108.75,-1.1,-12.39,9384740,18809760256.0,2.5,1.24
2020-10-19,1117.54,1114.58,1129.06,1108.83,-0.18,-2.02,10004735,17413449472.0,1.81,1.33
2020-10-20,1107.24,1123.38,1123.38,1091.99,0.79,8.8,10870401,18334387712.0,2.82,1.44
2020-10-21,1121.22,1080.62,1121.22,1077.76,-3.81,-42.76,10133994,18119045120.0,3.87,1.34
2020-10-22,1070.4,1088.83,1108.85,1059.84,0.76,8.21,9709420,16399303936.0,4.54,1.29
2020-10-23,1091.49,1060.6,1099.95,1057.6,-2.59,-28.23,11716272,17333688064.0,3.89,1.55
2020-10-26,1056.77,1074.69,1077.99,1048.83,1.33,14.09,9240686,14793226496.0,2.75,1.23
2020-10-27,1072.17,1076.08,1084.63,1066.14,0.13,1.39,9649883,16128983040.0,1.72,1.28
2020-10-28,1068.96,1067.79,1073.64,1049.67,-0.77,-8.29,10717770,20192183040.0,2.23,1.42
2020-10-29,1042.29,1052.03,1063.26,1041.81,-1.48,-15.76,9670800,17191874304.0,2.01,1.28
2020-10-30,1057.15,1035.95,1070.39,1035.64,-1.53,-16.08,12555154,24086230528.0,3.3,1.67
2020-11-02,1033.96,1041.1,1045.23,1026.51,0.5,5.15,9447395,19987972864.0,1.81,1.25
2020-11-03,1049.17,1094.26,1095.6,1046.89,5.11,53.16,12470964,25948133120.0,4.68,1.65
2020-11-04,1087.57,1082.6,1097.07,1077.06,-1.07,-11.66,11514189,22250193664.0,1.83,1.53
2020-11-05,1095.26,1098.9,1102.15,1088.24,1.51,16.3,11079600,20885641728.0,1.28,1.47
2020-11-06,1099.04,1093.1,1102.25,1084.34,-0.53,-5.8,11034260,22442521344.0,1.63,1.46
2020-11-09,1108.67,1168.88,1176.72,1108.67,6.93,75.78,16094148,36619800320.0,6.23,2.13
2020-11-10,1166.52,1157.35,1180.04,1148.64,-0.99,-11.53,14294883,34515055360.0,2.69,1.9
2020-11-11,1148.78,1119.29,1156.07,1118.03,-3.29,-38.06,9877914,26327325696.0,3.29,1.31
2020-11-12,1128.94,1118.82,1132.54,1109.87,-0.04,-0.47,7905881,19410227200.0,2.03,1.05
2020-11-13,1113.73,1120.17,1132.42,1102.73,0.12,1.35,7999555,20215362816.0,2.65,1.06
2020-11-16,1118.67,1119.17,1121.64,1106.42,-0.09,-1.0,7777824,17782930688.0,1.36,1.03
2020-11-17,1117.59,1107.88,1118.76,1081.96,-1.01,-11.29,11303704,23965750016.0,3.29,1.5
2020-11-18,1102.66,1108.76,1113.98,1095.75,0.08,0.88,10180624,21446058496.0,1.65,1.35
2020-11-19,1098.73,1114.59,1122.34,1094.56,0.53,5.83,9856320,20436060416.0,2.51,1.31
2020-11-20,1109.21,1107.66,1115.18,1100.86,-0.62,-6.93,7742173,15986125824.0,1.28,1.03
2020-11-23,1104.71,1110.07,1116.91,1094.4,0.22,2.41,8816914,18247260928.0,2.03,1.17
2020-11-24,1109.12,1120.17,1132.84,1107.64,0.91,10.1,8998865,20352403712.0,2.27,1.19
2020-11-25,1118.64,1109.0,1131.35,1109.0,-1.0,-11.17,9146921,20210142208.0,2.0,1.21
2020-11-26,1106.98,1103.09,1116.51,1099.26,-0.53,-5.91,8008199,18672596992.0,1.56,1.06
