日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-12-15,997.56,1010.31,1012.71,997.56,1.03,10.31,1338779,1411972669.0,1.52,1.4
2022-12-16,1008.53,1007.21,1011.22,998.5,-0.31,-3.1,1402210,1186459919.0,1.26,1.46
2022-12-19,1008.39,985.02,1011.09,981.19,-2.2,-22.19,1401303,1031435823.0,2.97,1.46
2022-12-20,984.88,981.76,991.19,976.51,-0.33,-3.26,1137461,856232355.0,1.49,1.19
2022-12-21,982.4,968.29,984.08,959.19,-1.37,-13.47,797562,612770719.0,2.54,0.83
2022-12-22,977.56,946.82,977.62,939.38,-2.22,-21.47,1582266,1264409330.0,3.95,1.65
2022-12-23,934.29,957.74,957.92,934.29,1.15,10.92,1281524,983938254.0,2.5,1.34
2022-12-26,955.97,959.6,962.52,952.99,0.19,1.86,1436856,1018071051.0,1.0,1.5
2022-12-27,960.79,956.9,963.63,951.18,-0.28,-2.7,1103574,832182038.0,1.3,1.15
2022-12-28,955.93,950.67,958.24,946.99,-0.65,-6.23,1200327,849923899.0,1.18,1.25
2022-12-29,946.45,944.9,956.58,944.28,-0.61,-5.77,972296,816830780.0,1.29,1.01
2022-12-30,948.78,943.66,952.47,942.51,-0.13,-1.24,744008,641073559.0,1.05,0.78
2023-01-03,945.17,963.8,966.1,940.45,2.13,20.14,1202033,993115761.0,2.72,1.25
2023-01-04,962.75,962.52,971.04,956.71,-0.13,-1.28,1258332,928598624.0,1.49,1.31
2023-01-05,963.43,979.6,979.87,958.07,1.77,17.08,1206793,1151659260.0,2.26,1.26
2023-01-06,978.54,979.26,984.43,975.61,-0.03,-0.34,1034265,934241098.0,0.9,1.08
2023-01-09,981.14,982.7,990.73,979.48,0.35,3.44,1246053,1056170248.0,1.15,1.3
2023-01-10,982.73,981.93,983.11,976.72,-0.08,-0.77,1006680,1002756974.0,0.65,1.05
2023-01-11,982.14,981.3,994.11,980.32,-0.06,-0.63,989056,1205297645.0,1.4,1.03
2023-01-12,982.4,980.38,986.86,977.16,-0.09,-0.92,920778,974095990.0,0.99,0.96
2023-01-13,982.94,980.62,982.96,974.66,0.02,0.24,772934,775013439.0,0.85,0.81
2023-01-16,980.69,998.39,1004.01,979.3,1.81,17.77,1699433,1541557150.0,2.52,1.77
2023-01-17,1000.45,992.86,1003.99,990.1,-0.55,-5.53,1247509,1227532311.0,1.39,1.3
2023-01-18,993.66,993.31,999.86,991.23,0.05,0.45,922775,898559442.0,0.87,0.96
2023-01-19,992.86,1002.28,1003.94,990.59,0.9,8.97,883684,970325809.0,1.34,0.92
2023-01-20,1011.22,1021.38,1023.69,1008.07,1.91,19.1,1111575,1301330446.0,1.56,1.16
2023-01-30,1037.13,1025.84,1040.27,1025.26,0.44,4.46,1950836,1935151842.0,1.47,2.03
2023-01-31,1026.71,1040.66,1041.74,1024.98,1.44,14.82,1980080,2019518458.0,1.63,2.06
2023-02-01,1042.33,1060.51,1062.52,1040.25,1.91,19.85,2157781,2129304549.0,2.14,2.25
2023-02-02,1066.69,1067.29,1072.65,1061.05,0.64,6.78,2418343,2518996147.0,1.09,2.52
2023-02-03,1064.26,1064.2,1066.81,1044.54,-0.29,-3.09,1998961,2024014936.0,2.09,2.08
2023-02-06,1061.92,1054.12,1062.68,1052.36,-0.95,-10.08,1777745,1725021618.0,0.97,1.85
2023-02-07,1056.35,1057.63,1061.52,1051.29,0.33,3.51,2402111,2315528227.0,0.97,2.5
2023-02-08,1055.48,1052.62,1061.48,1052.62,-0.47,-5.01,965470,816874525.0,0.84,1.01
2023-02-09,1052.1,1070.61,1072.39,1048.54,1.71,17.99,1162969,1329040681.0,2.27,1.21
2023-02-10,1067.39,1086.81,1092.16,1067.39,1.51,16.2,1349836,1374360643.0,2.31,1.41
2023-02-13,1091.69,1131.05,1138.14,1091.54,4.07,44.24,1621801,2301410724.0,4.29,1.69
2023-02-14,1133.1,1128.57,1133.97,1123.2,-0.22,-2.48,1574545,1603103113.0,0.95,1.64
2023-02-15,1126.28,1122.93,1129.71,1116.34,-0.5,-5.64,1159909,1370506961.0,1.18,1.21
2023-02-16,1123.41,1093.61,1130.63,1088.35,-2.61,-29.32,1527508,1566702147.0,3.77,1.59
2023-02-17,1096.68,1082.0,1100.08,1080.77,-1.06,-11.61,977746,1106269244.0,1.77,1.02
2023-02-20,1088.64,1100.52,1100.72,1081.94,1.71,18.52,1058410,1066155392.0,1.74,1.1
2023-02-21,1101.65,1095.9,1102.19,1082.83,-0.42,-4.62,1238224,942002229.0,1.76,1.29
2023-02-22,1093.55,1089.93,1100.62,1089.42,-0.54,-5.97,1361935,820589431.0,1.02,1.42
2023-02-23,1091.12,1088.97,1101.82,1083.55,-0.09,-0.96,1452321,854687410.0,1.68,1.51
2023-02-24,1092.41,1082.22,1094.25,1076.34,-0.62,-6.75,918811,667643068.0,1.64,0.96
2023-02-27,1080.35,1080.14,1088.69,1075.68,-0.19,-2.08,985621,844248194.0,1.2,1.03
2023-02-28,1081.39,1090.81,1090.97,1076.77,0.99,10.67,943338,823595076.0,1.31,0.98
2023-03-01,1090.64,1107.15,1107.89,1086.71,1.5,16.34,1653049,1273715996.0,1.94,1.72
2023-03-02,1109.89,1123.26,1133.44,1109.08,1.46,16.11,1922802,1546909491.0,2.2,2.0
2023-03-03,1121.14,1137.01,1142.06,1121.14,1.22,13.75,2187149,1861352209.0,1.86,2.28
2023-03-06,1135.25,1140.91,1144.62,1124.41,0.34,3.9,1782838,1777008551.0,1.78,1.86
2023-03-07,1134.03,1123.41,1147.63,1122.76,-1.53,-17.5,2013022,1612663629.0,2.18,2.1
2023-03-08,1121.68,1144.47,1148.12,1114.62,1.87,21.06,1648860,2146512350.0,2.98,1.72
2023-03-09,1148.28,1147.75,1158.72,1138.67,0.29,3.28,1545583,2837453347.0,1.75,1.61
2023-03-10,1141.55,1123.84,1144.77,1120.95,-2.08,-23.91,1489827,2195109462.0,2.08,1.55
2023-03-13,1135.57,1142.33,1154.34,1132.25,1.65,18.49,1793185,2615636960.0,1.97,1.87
2023-03-14,1140.52,1148.89,1152.2,1132.39,0.57,6.56,1691802,2730849579.0,1.73,1.76
2023-03-15,1161.76,1188.24,1199.15,1150.51,3.43,39.35,3922175,3446747318.0,4.23,4.09
2023-03-16,1186.41,1177.42,1203.37,1173.83,-0.91,-10.82,5290004,4014366900.0,2.49,5.51
2023-03-17,1184.76,1209.22,1224.86,1176.12,2.7,31.8,4779262,4214837565.0,4.14,4.98
2023-03-20,1208.26,1188.87,1222.3,1185.27,-1.68,-20.35,4034903,3616847381.0,3.06,4.21
2023-03-21,1186.5,1176.58,1191.66,1165.3,-1.03,-12.29,2849652,2542672316.0,2.22,2.97
2023-03-22,1178.5,1174.74,1179.17,1167.59,-0.16,-1.84,2006989,1810957166.0,0.98,2.09
2023-03-23,1172.32,1184.55,1185.58,1163.18,0.84,9.81,2348742,2817973116.0,1.91,2.45
2023-03-24,1181.01,1168.71,1187.65,1165.97,-1.34,-15.84,2387687,2666012073.0,1.83,2.49
