日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2023-03-24,1003.52,1021.04,1023.73,984.47,2.1,21.04,30145770,75169620357.0,3.93,1.0
2023-03-27,1021.46,1029.87,1033.44,995.89,0.86,8.83,32790594,76875808029.0,3.68,1.09
2023-03-28,1017.14,999.1,1021.21,994.18,-2.99,-30.77,25686965,58833849504.0,2.62,0.85
2023-03-29,998.64,1033.73,1058.4,996.02,3.47,34.63,27249577,68982764406.0,6.24,0.91
2023-03-30,1025.87,1011.67,1034.1,996.57,-2.13,-22.06,27169583,68633051110.0,3.63,0.9
2023-03-31,1007.76,1040.57,1041.55,990.74,2.86,28.9,23381099,57020959699.0,5.02,0.78
2023-04-03,1044.81,1117.67,1119.37,1044.81,7.41,77.1,34174886,88608655281.0,7.17,1.14
2023-04-04,1112.33,1130.17,1148.55,1110.92,1.12,12.5,36450156,87721666187.0,3.37,1.21
2023-04-06,1106.0,1130.18,1161.29,1106.0,0.0,0.01,27332229,77908427159.0,4.89,0.91
2023-04-07,1131.6,1144.35,1145.67,1118.99,1.25,14.17,21677379,62626617271.0,2.36,0.72
2023-04-10,1137.97,1084.58,1145.66,1075.81,-5.22,-59.77,25606386,73334296668.0,6.1,0.85
2023-04-11,1082.82,1093.71,1102.74,1064.91,0.84,9.13,22398270,62327649112.0,3.49,0.74
2023-04-12,1089.76,1135.82,1143.44,1083.12,3.85,42.11,30687710,75728719755.0,5.52,1.02
2023-04-13,1123.26,1083.03,1123.94,1077.12,-4.65,-52.79,24421853,67657947106.0,4.12,0.81
2023-04-14,1088.76,1091.57,1097.2,1056.69,0.79,8.54,19800809,54068090699.0,3.74,0.66
2023-04-17,1084.82,1091.54,1098.66,1071.2,0.0,-0.03,20216521,49358027280.0,2.52,0.67
2023-04-18,1087.92,1121.75,1130.92,1071.95,2.77,30.21,25454493,67748276063.0,5.4,0.85
2023-04-19,1116.56,1128.13,1163.34,1116.56,0.57,6.38,31369173,83795682646.0,4.17,1.04
2023-04-20,1137.27,1186.2,1186.2,1137.27,5.15,58.07,25407044,77820520994.0,4.34,0.84
2023-04-21,1179.34,1121.86,1179.34,1115.47,-5.42,-64.34,25777154,75311719001.0,5.38,0.86
2023-04-24,1116.4,1139.91,1151.07,1110.52,1.61,18.05,21072919,66307431282.0,3.61,0.7
