日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-03-16,1002.32,1007.87,1007.87,999.64,0.79,7.87,6270954,13302488024.0,0.82,1.73
2026-03-17,1009.52,996.68,1017.7,996.68,-1.11,-11.19,9784685,14069771316.0,2.09,2.7
2026-03-18,999.13,1009.75,1009.84,995.25,1.31,13.07,7539119,12587237725.0,1.46,2.08
2026-03-19,1002.71,985.78,1005.66,982.77,-2.37,-23.97,8112358,15617418736.0,2.27,2.24
2026-03-20,986.36,959.55,993.3,959.55,-2.66,-26.23,7621023,14839906785.0,3.42,2.11
2026-03-23,944.71,902.38,944.71,898.56,-5.96,-57.17,9004276,15447464203.0,4.81,2.49
2026-03-24,918.79,934.69,934.93,908.76,3.58,32.31,7059409,11790989646.0,2.9,1.95
2026-03-25,941.55,942.48,947.71,936.82,0.83,7.79,5986480,11438283543.0,1.17,1.65
2026-03-26,941.89,924.48,949.47,922.03,-1.91,-18.0,5135596,9294199562.0,2.91,1.42
2026-03-27,916.54,953.64,954.37,916.26,3.15,29.16,6100297,12450409579.0,4.12,1.69
2026-03-30,947.53,964.18,964.46,946.63,1.11,10.54,7135394,14377430809.0,1.87,1.97
2026-03-31,964.31,951.26,973.39,950.77,-1.34,-12.92,7644374,16616748416.0,2.35,2.11
2026-04-01,963.77,984.58,984.75,958.46,3.5,33.32,8577441,15729537080.0,2.76,2.37
2026-04-02,981.89,982.06,990.92,976.44,-0.26,-2.52,10103282,19423549434.0,1.47,2.79
2026-04-03,976.4,957.25,977.94,956.14,-2.53,-24.81,9716917,16300459053.0,2.22,2.69
2026-04-07,958.64,974.36,978.84,951.84,1.79,17.11,9915135,15092195309.0,2.82,2.74
2026-04-08,988.64,997.74,997.74,982.81,2.4,23.38,10252516,18269523113.0,1.53,2.83
2026-04-09,991.78,975.38,996.25,974.59,-2.24,-22.36,9614497,16170893249.0,2.17,2.66
2026-04-10,979.28,983.06,992.76,974.38,0.79,7.68,8532159,14905744499.0,1.88,2.36
2026-04-13,979.59,974.14,979.59,969.93,-0.91,-8.92,6578039,12460729008.0,0.98,1.82
2026-04-14,979.4,982.67,983.02,969.08,0.88,8.53,6958724,15646784191.0,1.43,1.92
2026-04-15,989.58,994.46,998.82,984.97,1.2,11.79,8890882,16654504468.0,1.41,2.46
2026-04-16,993.41,993.71,994.36,983.01,-0.08,-0.75,10243865,15320668564.0,1.14,2.83
2026-04-17,990.87,987.08,990.87,981.41,-0.67,-6.63,8373093,14327482237.0,0.95,2.31
2026-04-20,983.94,994.37,995.03,981.25,0.74,7.29,7505558,16065758956.0,1.4,2.07
2026-04-21,992.18,984.13,997.35,981.12,-1.03,-10.24,6615453,12453593202.0,1.63,1.83
2026-04-22,982.47,993.02,993.05,979.46,0.9,8.89,6483255,13722805015.0,1.38,1.79
2026-04-23,991.31,975.79,991.31,973.05,-1.74,-17.23,7482944,16000932193.0,1.84,2.07
2026-04-24,974.03,973.19,977.21,963.77,-0.27,-2.6,6192389,13557370594.0,1.38,1.71
2026-04-27,972.86,979.6,980.87,963.59,0.66,6.41,6194246,12763518446.0,1.78,1.71
2026-04-28,977.14,972.2,986.55,969.21,-0.76,-7.4,6912595,14464602361.0,1.77,1.91
2026-04-29,970.18,981.23,985.62,970.13,0.93,9.03,7361953,15723266362.0,1.59,2.03
2026-04-30,980.31,983.58,989.15,979.86,0.24,2.35,6217898,12125996832.0,0.95,1.72
2026-05-06,978.04,983.37,986.5,978.04,-0.02,-0.21,7137138,15381661706.0,0.86,1.97
2026-05-07,982.13,992.87,993.07,981.42,0.97,9.5,7894669,16593993897.0,1.18,2.18
2026-05-08,993.1,1007.75,1012.01,993.04,1.5,14.88,9225042,17293276499.0,1.91,2.55
2026-05-11,1011.33,1026.13,1027.81,999.95,1.82,18.38,12605447,23057151542.0,2.76,3.48
2026-05-12,1020.74,999.63,1020.74,998.67,-2.58,-26.5,10621762,17320718802.0,2.15,2.94
