日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-04-12,1020.77,1047.97,1051.07,989.8,4.8,47.97,14137998,8974689280.0,6.13,1.94
2022-04-13,1081.27,1124.62,1159.54,1081.27,7.31,76.65,17144450,11289277440.0,7.47,2.35
2022-04-14,1131.79,1109.49,1158.26,1104.33,-1.35,-15.13,25591397,15481289216.0,4.8,3.51
2022-04-15,1055.06,1035.0,1067.68,1016.49,-6.71,-74.49,17110107,10853545472.0,4.61,2.35
2022-04-18,996.37,1031.05,1060.08,984.33,-0.38,-3.95,17083617,10327120896.0,7.32,2.34
2022-04-19,1003.3,1002.65,1021.88,995.11,-2.75,-28.4,12817825,7504343296.0,2.6,1.76
2022-04-20,991.96,1036.73,1049.72,982.29,3.4,34.08,16025655,10333484032.0,6.73,2.2
2022-04-21,1006.36,980.46,1023.13,977.61,-5.43,-56.27,13737281,8977698048.0,4.39,1.88
2022-04-22,961.62,943.06,971.48,942.77,-3.81,-37.4,10280326,6707903488.0,2.93,1.41
2022-04-25,917.91,877.45,922.56,876.71,-6.96,-65.61,9717650,5152976128.0,4.86,1.33
2022-04-26,874.3,879.65,915.47,872.8,0.25,2.2,10795102,6395272704.0,4.86,1.48
2022-04-27,852.32,881.66,881.89,834.48,0.23,2.01,10286616,5715305984.0,5.39,1.41
2022-04-28,901.2,874.01,923.98,863.67,-0.87,-7.65,11455882,6694690048.0,6.84,1.57
2022-04-29,860.68,904.64,910.12,860.48,3.5,30.63,10217865,6092519680.0,5.68,1.4
2022-05-05,896.15,919.53,927.48,895.55,1.65,14.89,10221079,6286798848.0,3.53,1.4
2022-05-06,895.99,917.48,927.86,889.97,-0.22,-2.05,9419144,5990227200.0,4.12,1.29
2022-05-09,921.17,935.45,941.31,919.14,1.96,17.97,8741998,6339122688.0,2.42,1.2
2022-05-10,919.84,951.73,952.68,916.48,1.74,16.28,10337895,7313706752.0,3.87,1.42
2022-05-11,952.26,962.61,969.44,944.49,1.14,10.88,12419548,9044333056.0,2.62,1.7
2022-05-12,947.43,969.31,986.5,946.55,0.7,6.7,12788407,9019819520.0,4.15,1.75
2022-05-13,964.93,959.48,967.91,951.52,-1.01,-9.83,9758719,6432569856.0,1.69,1.34
2022-05-16,959.42,950.89,959.98,944.45,-0.9,-8.59,12686877,8953196032.0,1.62,1.74
2022-05-17,948.96,947.47,949.5,921.92,-0.36,-3.42,9669195,6794558976.0,2.9,1.33
2022-05-18,943.05,948.67,961.19,939.51,0.13,1.2,10489303,7557237760.0,2.29,1.44
2022-05-19,934.86,950.85,950.85,932.2,0.23,2.18,9123363,6341830656.0,1.97,1.25
2022-05-20,950.42,977.04,988.19,950.42,2.75,26.19,12629895,9443418368.0,3.97,1.73
2022-05-23,979.66,994.75,1003.41,978.91,1.81,17.71,13439077,10559624448.0,2.51,1.84
2022-05-24,994.01,937.49,994.01,937.4,-5.76,-57.26,10382139,7250161664.0,5.69,1.42
2022-05-25,935.54,966.97,966.97,935.54,3.14,29.48,10571147,7221411840.0,3.35,1.45
2022-05-26,968.5,968.15,976.66,956.37,0.12,1.18,9866418,6556655104.0,2.1,1.35
2022-05-27,970.75,973.08,981.11,963.08,0.51,4.93,9391820,6452910848.0,1.86,1.29
2022-05-30,975.06,973.27,980.98,963.88,0.02,0.19,8810783,5841182720.0,1.76,1.21
2022-05-31,967.44,970.89,972.71,951.43,-0.24,-2.38,9966867,6590505216.0,2.19,1.37
2022-06-01,968.47,977.24,986.85,964.91,0.65,6.35,9854823,6903639808.0,2.26,1.35
2022-06-02,974.65,971.71,974.86,961.1,-0.57,-5.53,10344778,7591309056.0,1.41,1.42
2022-06-06,969.41,976.99,977.06,965.24,0.54,5.28,10090160,7072026624.0,1.22,1.38
2022-06-07,976.88,980.16,981.57,965.53,0.32,3.17,10128187,6848343296.0,1.64,1.39
2022-06-08,983.23,981.52,993.72,964.99,0.14,1.36,9434837,6431855360.0,2.93,1.29
2022-06-09,978.56,956.78,978.87,954.37,-2.52,-24.74,8344078,5721914368.0,2.5,1.14
2022-06-10,949.86,966.46,968.93,946.33,1.01,9.68,6568530,4345116672.0,2.36,0.9
2022-06-13,957.29,963.72,964.09,950.05,-0.28,-2.74,6955771,4434780160.0,1.45,0.95
2022-06-14,955.3,960.18,960.18,934.07,-0.37,-3.54,7520060,4818369280.0,2.71,1.03
2022-06-15,964.18,953.92,970.39,953.92,-0.65,-6.26,8417825,5332960000.0,1.72,1.15
