日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-09-24,995.55,1014.6,1017.18,991.62,1.46,14.6,1762083,3078990320.0,2.56,0.1
2013-09-25,1091.81,1095.78,1105.22,1077.71,8.0,81.18,1222423,2185860656.0,2.71,0.07
2013-09-26,1090.66,1081.03,1111.69,1076.73,-1.35,-14.75,1076002,1900703840.0,3.19,0.06
2013-09-27,1085.78,1074.52,1098.5,1071.78,-0.6,-6.51,891464,1551833136.0,2.47,0.05
2013-09-30,1096.49,1106.5,1109.58,1082.07,2.98,31.98,1416476,2319172944.0,2.56,0.08
2013-10-08,1125.26,1182.26,1188.82,1123.3,6.85,75.76,1984705,3781622016.0,5.92,0.11
2013-10-09,1195.0,1192.7,1204.99,1180.69,0.88,10.44,2044526,3716215216.0,2.06,0.11
2013-10-10,1191.81,1184.46,1220.84,1174.72,-0.69,-8.24,1749678,3269622272.0,3.87,0.09
2013-10-11,1190.39,1188.61,1202.07,1175.1,0.35,4.15,1441832,2790335824.0,2.28,0.08
2013-10-14,1190.84,1196.94,1197.48,1183.84,0.7,8.33,1471705,2796720208.0,1.15,0.08
2013-10-15,1195.54,1215.12,1224.61,1186.42,1.52,18.18,1587891,2880288352.0,3.19,0.09
2013-10-16,1212.81,1168.5,1212.81,1159.26,-3.84,-46.62,1420772,2632686880.0,4.41,0.08
2013-10-17,1170.49,1154.11,1189.23,1149.39,-1.23,-14.39,972203,1765125728.0,3.41,0.05
2013-10-18,1151.7,1190.88,1191.22,1146.11,3.19,36.77,1247080,2345287952.0,3.91,0.07
2013-10-21,1206.73,1233.23,1234.43,1204.96,3.56,42.35,1538751,3133788928.0,2.47,0.08
2013-10-22,1233.58,1199.56,1233.99,1191.32,-2.73,-33.67,1418793,2801073904.0,3.46,0.08
2013-10-23,1193.63,1128.3,1199.79,1121.98,-5.94,-71.26,1633613,2980028960.0,6.49,0.09
2013-10-24,1117.77,1118.75,1132.96,1105.2,-0.85,-9.55,1064138,1854656240.0,2.46,0.06
2013-10-25,1118.41,1080.51,1122.12,1071.95,-3.42,-38.24,1178137,2041022752.0,4.48,0.06
2013-10-28,1077.97,1072.96,1088.41,1067.44,-0.7,-7.55,725412,1325219792.0,1.94,0.04
2013-10-29,1074.68,1044.69,1083.63,1007.71,-2.63,-28.27,1018157,1736767376.0,7.08,0.06
2013-10-30,1043.31,1066.23,1066.45,1043.01,2.06,21.54,785897,1392246176.0,2.24,0.04
2013-10-31,1070.16,1061.92,1070.79,1052.9,-0.4,-4.31,770708,1281868752.0,1.68,0.04
2013-11-01,1066.18,1048.19,1066.18,1034.02,-1.29,-13.73,670794,1084971008.0,3.03,0.04
2013-11-04,1046.91,1071.5,1081.3,1045.09,2.22,23.31,694308,1117131232.0,3.45,0.04
2013-11-05,1071.32,1101.84,1102.88,1063.09,2.83,30.34,733368,1228310240.0,3.71,0.04
2013-11-06,1103.11,1082.41,1120.19,1081.81,-1.76,-19.43,965058,1632136096.0,3.48,0.05
2013-11-07,1079.44,1062.46,1084.8,1061.0,-1.84,-19.95,873462,1633369840.0,2.2,0.05
2013-11-08,1058.95,1037.64,1062.94,1034.22,-2.34,-24.82,730953,1315366288.0,2.7,0.04
2013-11-11,1035.05,1040.98,1045.93,1025.11,0.32,3.34,548922,969476112.0,2.01,0.03
2013-11-12,1040.66,1044.74,1056.76,1031.38,0.36,3.76,781107,1259756368.0,2.44,0.04
2013-11-13,1060.04,1036.47,1061.61,1033.2,-0.79,-8.27,1231874,2173766560.0,2.72,0.07
2013-11-14,1028.37,1086.66,1086.81,1027.16,4.84,50.19,1490429,2726599568.0,5.76,0.08
2013-11-15,1103.01,1146.21,1164.1,1101.82,5.48,59.55,1807692,3686238464.0,5.73,0.1
