日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-08-07,1050.3,1003.95,1055.17,986.59,0.4,3.95,7115660,9163759872.0,6.86,4.62
2020-08-10,983.58,961.73,985.4,953.17,-4.21,-42.22,6741759,16028393216.0,3.21,4.38
2020-08-11,957.17,922.36,967.33,920.93,-4.09,-39.37,5327837,13484585984.0,4.82,3.46
2020-08-12,920.38,915.55,927.6,891.41,-0.74,-6.81,4837533,12703482624.0,3.92,3.14
2020-08-13,918.09,907.86,921.02,902.6,-0.84,-7.69,3726909,10794633984.0,2.01,2.42
2020-08-14,901.02,901.41,908.01,883.6,-0.71,-6.45,3188483,8534625280.0,2.69,2.07
2020-08-17,901.19,908.47,914.06,895.54,0.78,7.06,3300416,8478090752.0,2.05,2.14
2020-08-18,909.54,914.66,925.0,906.4,0.68,6.19,3530721,8319017472.0,2.05,2.29
2020-08-19,911.33,874.89,911.36,874.34,-4.35,-39.77,4274005,9860107008.0,4.05,2.77
2020-08-20,869.89,864.0,876.47,858.75,-1.24,-10.89,3811248,6972490496.0,2.03,2.47
2020-08-21,867.38,859.04,872.35,853.16,-0.57,-4.96,2649413,5704923648.0,2.22,1.72
2020-08-24,861.74,864.15,866.97,840.73,0.59,5.11,2430235,4853541888.0,3.05,1.58
2020-08-25,863.65,855.84,868.08,853.17,-0.96,-8.31,3004370,5036595200.0,1.73,1.95
2020-08-26,855.43,839.51,864.24,835.99,-1.91,-16.33,3257822,6778400512.0,3.3,2.12
2020-08-27,840.64,848.03,850.94,829.72,1.01,8.52,3504274,6059621120.0,2.53,2.28
2020-08-28,847.6,873.28,873.94,846.15,2.98,25.25,4539320,9619210496.0,3.28,2.95
2020-08-31,876.0,860.87,876.97,860.79,-1.42,-12.41,3677682,6797283840.0,1.85,2.39
2020-09-01,859.24,855.72,862.5,850.07,-0.6,-5.15,2181445,4449971712.0,1.44,1.42
2020-09-02,857.78,862.87,866.89,851.31,0.84,7.15,3820180,4743160320.0,1.82,2.48
2020-09-03,862.5,863.1,884.51,857.35,0.03,0.23,5110996,6348158208.0,3.15,3.32
2020-09-04,845.42,855.42,856.61,841.08,-0.89,-7.68,3953808,5149070848.0,1.8,2.57
2020-09-07,854.15,842.22,861.83,837.12,-1.54,-13.2,4559421,6256092416.0,2.89,2.96
2020-09-08,844.85,852.81,853.79,832.33,1.26,10.59,3920594,4888144640.0,2.55,2.55
2020-09-09,846.08,818.61,848.67,818.2,-4.01,-34.2,4446722,5843752960.0,3.57,2.89
2020-09-10,822.83,795.12,829.65,793.86,-2.87,-23.49,3598648,4574822144.0,4.37,2.34
2020-09-11,791.48,813.73,815.01,790.99,2.34,18.61,2602768,3660850320.0,3.02,1.69
2020-09-14,815.61,814.07,823.69,806.5,0.04,0.34,2806768,4043454080.0,2.11,1.82
2020-09-15,812.83,818.03,818.32,805.64,0.49,3.96,2767612,4791617280.0,1.56,1.8
2020-09-16,817.35,806.34,818.3,800.53,-1.43,-11.69,2469733,4465545472.0,2.17,1.6
2020-09-17,802.32,804.28,811.39,794.04,-0.26,-2.06,2159812,3504683328.0,2.15,1.4
2020-09-18,803.48,818.05,819.05,801.19,1.71,13.77,2447370,3529782928.0,2.22,1.59
2020-09-21,818.51,816.7,824.89,813.52,-0.17,-1.35,2183648,3333664816.0,1.39,1.42
2020-09-22,812.25,813.64,828.76,808.57,-0.37,-3.06,3134430,4653981440.0,2.47,2.03
2020-09-23,812.46,829.79,837.04,806.8,1.98,16.15,3766708,7571344640.0,3.72,2.45
2020-09-24,823.26,809.47,824.84,807.62,-2.45,-20.32,2806602,5414832384.0,2.08,1.82
2020-09-25,811.96,810.74,823.65,806.24,0.16,1.27,2490342,5290853632.0,2.15,1.62
2020-09-28,811.61,784.8,813.82,784.8,-3.2,-25.94,2209098,4029836544.0,3.58,1.43
2020-09-29,787.92,792.78,797.24,779.39,1.02,7.98,1944468,3512868928.0,2.27,1.26
2020-09-30,795.24,786.39,801.32,783.03,-0.81,-6.39,1567390,2712646128.0,2.31,1.02
2020-10-09,799.37,811.02,811.69,798.88,3.13,24.63,2403955,5826267904.0,1.63,1.56
2020-10-12,813.42,828.62,828.84,810.57,2.17,17.6,2798558,6471629824.0,2.25,1.82
2020-10-13,828.44,835.58,838.0,823.51,0.84,6.96,2895208,7590298368.0,1.75,1.88
2020-10-14,833.87,824.46,836.14,822.09,-1.33,-11.12,2799974,8139396352.0,1.68,1.82
2020-10-15,824.97,814.85,825.76,811.91,-1.17,-9.61,2345468,6311210752.0,1.68,1.52
2020-10-16,814.87,826.11,826.26,807.25,1.38,11.26,3371448,6459932928.0,2.33,2.19
2020-10-19,829.01,811.59,831.25,810.72,-1.76,-14.52,3132514,6483286784.0,2.49,2.03
2020-10-20,810.46,816.57,816.62,801.31,0.61,4.98,1937232,4032717920.0,1.89,1.26
2020-10-21,816.71,807.3,821.74,803.9,-1.14,-9.27,2086218,5073543680.0,2.18,1.35
2020-10-22,803.44,794.92,803.44,791.56,-1.53,-12.38,1699323,4618626304.0,1.47,1.1
2020-10-23,794.55,776.13,801.22,774.28,-2.36,-18.79,2122002,5212400384.0,3.39,1.38
2020-10-26,775.81,778.33,781.75,765.66,0.28,2.2,1284560,3012217760.0,2.07,0.83
2020-10-27,775.26,789.85,790.61,773.58,1.48,11.52,1612052,3022859488.0,2.19,1.05
2020-10-28,790.24,777.9,790.48,773.36,-1.51,-11.95,1583897,2884689776.0,2.17,1.03
2020-10-29,768.2,785.35,787.5,766.65,0.96,7.45,2012004,5079069440.0,2.68,1.31
2020-10-30,783.45,753.84,786.11,752.88,-4.01,-31.51,2428674,4489066240.0,4.23,1.58
2020-11-02,756.45,741.5,759.18,735.34,-1.64,-12.34,1827245,3399423648.0,3.16,1.19
2020-11-03,744.82,765.84,767.03,740.9,3.28,24.34,1674967,2813081328.0,3.52,1.09
2020-11-04,766.02,762.49,771.82,757.32,-0.44,-3.35,1489472,2463752272.0,1.89,0.97
2020-11-05,766.5,769.23,770.84,761.78,0.88,6.74,1433039,2724755360.0,1.19,0.93
2020-11-06,769.26,757.54,769.5,752.11,-1.52,-11.69,1753504,4699169024.0,2.26,1.14
2020-11-09,759.36,773.0,775.59,759.36,2.04,15.46,1857073,4230691168.0,2.14,1.21
2020-11-10,782.9,777.65,789.39,774.04,0.6,4.65,2486490,7505204992.0,1.99,1.61
2020-11-11,777.09,767.18,777.09,762.14,-1.35,-10.47,2526437,9320418560.0,1.92,1.64
2020-11-12,766.37,767.68,776.6,765.25,0.07,0.5,2180389,8146842368.0,1.48,1.42
2020-11-13,764.7,767.24,767.24,757.47,-0.06,-0.44,1632480,5267508992.0,1.27,1.06
2020-11-16,769.26,780.15,783.54,769.26,1.68,12.91,2285247,4958935296.0,1.86,1.48
2020-11-17,776.38,776.01,776.94,767.53,-0.53,-4.14,2674898,6174126336.0,1.21,1.74
2020-11-18,776.13,767.18,778.4,765.16,-1.14,-8.83,1762955,4166400944.0,1.71,1.14
2020-11-19,765.04,768.76,769.42,760.3,0.21,1.58,1387465,2860008160.0,1.19,0.9
2020-11-20,768.24,766.94,769.26,764.98,-0.24,-1.82,1154685,2357273968.0,0.56,0.75
2020-11-23,768.9,774.29,774.34,764.79,0.96,7.35,1791363,4145651152.0,1.25,1.16
2020-11-24,772.73,761.99,772.73,761.34,-1.59,-12.3,1327604,2909193968.0,1.47,0.86
2020-11-25,761.58,751.02,761.95,751.02,-1.44,-10.97,1395414,3368141920.0,1.43,0.91
2020-11-26,749.82,744.06,752.28,742.66,-0.93,-6.96,1130479,2697854576.0,1.28,0.73
2020-11-27,744.08,744.28,744.91,737.68,0.03,0.22,1142905,2171284496.0,0.97,0.74
2020-11-30,744.74,745.95,752.56,740.53,0.22,1.67,1261063,2466402032.0,1.62,0.82
2020-12-01,745.26,755.42,756.63,744.83,1.27,9.47,1584786,3317386272.0,1.58,1.03
2020-12-02,756.0,756.45,760.14,752.68,0.14,1.03,1342050,2689118800.0,0.99,0.87
2020-12-03,758.61,769.67,772.75,756.63,1.75,13.22,2142106,5970730496.0,2.13,1.39
2020-12-04,768.84,776.32,776.58,765.07,0.86,6.65,1687172,4602603264.0,1.5,1.1
2020-12-07,775.03,764.8,777.22,764.52,-1.48,-11.52,1532261,3111941280.0,1.64,0.99
2020-12-08,764.97,761.0,768.87,759.91,-0.5,-3.8,1342669,2411804240.0,1.17,0.87
2020-12-09,763.95,749.88,763.95,749.61,-1.46,-11.12,1701509,4282336128.0,1.88,1.1
2020-12-10,747.6,750.96,753.98,743.93,0.14,1.08,1377747,3408741248.0,1.34,0.89
2020-12-11,750.1,741.59,752.51,729.63,-1.25,-9.37,2280743,6017136896.0,3.05,1.48
2020-12-14,742.08,742.22,743.85,732.65,0.08,0.63,2072294,4701122304.0,1.51,1.35
2020-12-15,740.36,751.43,758.46,737.39,1.24,9.21,2151011,4263297680.0,2.84,1.4
2020-12-16,753.09,748.75,753.32,741.0,-0.36,-2.68,2357917,5439430656.0,1.64,1.53
2020-12-17,746.87,756.23,757.21,746.75,1.0,7.48,2625429,6813383936.0,1.4,1.7
2020-12-18,752.01,742.99,752.47,739.5,-1.75,-13.24,2032146,4531588352.0,1.72,1.32
2020-12-21,742.11,747.06,747.94,733.74,0.55,4.07,1690145,4172520752.0,1.91,1.1
2020-12-22,744.3,747.75,761.45,742.58,0.09,0.69,2965042,6931737600.0,2.53,1.93
2020-12-23,746.06,735.87,746.23,731.8,-1.59,-11.88,2141280,4868685056.0,1.93,1.39
2020-12-24,734.41,718.7,734.41,718.61,-2.33,-17.17,1852539,4114088800.0,2.15,1.2
2020-12-25,715.35,715.93,719.58,711.77,-0.39,-2.77,1384492,3679237952.0,1.09,0.9
2020-12-28,715.7,707.6,718.61,704.16,-1.16,-8.33,1848521,4394421248.0,2.02,1.2
2020-12-29,708.63,700.72,709.32,699.38,-0.97,-6.88,1436357,3272518672.0,1.4,0.93
2020-12-30,695.08,694.54,696.86,691.52,-0.88,-6.18,1261356,2644749968.0,0.76,0.82
2020-12-31,692.08,698.91,703.29,690.43,0.63,4.37,1674850,4599573504.0,1.85,1.09
2021-01-04,697.05,699.85,700.74,690.0,0.13,0.94,1779112,3740110000.0,1.54,1.16
2021-01-05,697.41,702.99,703.28,693.09,0.45,3.14,2015609,3789722096.0,1.46,1.31
2021-01-06,701.88,704.52,705.79,695.96,0.22,1.53,2785520,4719886592.0,1.4,1.81
2021-01-07,702.79,680.92,702.79,677.05,-3.35,-23.6,2307852,3873731104.0,3.65,1.5
2021-01-08,678.34,677.75,684.34,670.54,-0.47,-3.17,1597908,2595117184.0,2.03,1.04
2021-01-11,678.26,660.49,678.33,659.74,-2.55,-17.26,1780699,3878601200.0,2.74,1.16
2021-01-12,661.45,662.09,670.41,658.58,0.24,1.6,1441724,2576744032.0,1.79,0.94
2021-01-13,659.99,643.4,660.34,640.35,-2.82,-18.69,2099304,3226604112.0,3.02,1.36
2021-01-14,642.73,651.48,653.21,642.66,1.26,8.08,1471348,2683147152.0,1.64,0.96
2021-01-15,650.65,656.75,658.59,649.81,0.81,5.27,1244025,2105686656.0,1.35,0.81
2021-01-18,657.12,660.36,662.21,656.45,0.55,3.61,1185688,2033138864.0,0.88,0.77
2021-01-19,659.78,664.04,666.38,655.41,0.56,3.68,1105129,1996584192.0,1.66,0.72
2021-01-20,664.47,666.85,668.74,659.52,0.42,2.81,1128155,2151161488.0,1.39,0.73
2021-01-21,667.44,670.26,674.92,667.44,0.51,3.41,1392581,2592780752.0,1.12,0.9
2021-01-22,671.69,673.18,680.03,668.18,0.44,2.92,1972444,3902476992.0,1.77,1.28
2021-01-25,672.95,656.67,673.47,655.3,-2.45,-16.51,1715386,3359282992.0,2.7,1.11
2021-01-26,656.11,643.17,656.55,642.78,-2.06,-13.5,1313708,2397420400.0,2.1,0.85
2021-01-27,644.95,635.41,645.95,634.47,-1.21,-7.76,1278678,2524613344.0,1.78,0.83
2021-01-28,630.85,627.06,634.63,625.66,-1.31,-8.35,1376093,2678698784.0,1.41,0.89
2021-01-29,628.2,616.25,630.78,611.06,-1.72,-10.81,1475875,2560155696.0,3.14,0.96
2021-02-01,609.72,620.61,621.25,604.82,0.71,4.36,1473189,2215513344.0,2.67,0.96
2021-02-02,619.74,624.71,628.25,616.66,0.66,4.1,1231463,2324278912.0,1.87,0.8
2021-02-03,623.7,617.59,624.31,611.87,-1.14,-7.12,1637306,2587521648.0,1.99,1.06
2021-02-04,617.23,613.56,622.81,609.6,-0.65,-4.03,1484767,2035086704.0,2.14,0.96
2021-02-05,618.64,624.25,632.93,618.63,1.74,10.69,1991446,3073855152.0,2.33,1.29
2021-02-08,629.95,629.86,632.52,624.3,0.9,5.61,2380358,2921327056.0,1.32,1.55
2021-02-09,623.77,638.43,642.43,617.95,1.36,8.57,2496523,2653743504.0,3.89,1.62
2021-02-10,636.28,647.33,649.29,634.46,1.39,8.9,2470707,4411586560.0,2.32,1.6
2021-02-18,652.06,653.85,656.76,646.86,1.01,6.52,2297277,3788589424.0,1.53,1.49
2021-02-19,651.31,667.43,667.69,647.8,2.08,13.58,1968720,2792105152.0,3.04,1.28
2021-02-22,670.02,670.93,683.68,667.96,0.52,3.5,2299609,3163450640.0,2.36,1.49
2021-02-23,668.87,677.76,678.22,665.13,1.02,6.83,1928981,2968109760.0,1.95,1.25
2021-02-24,680.01,679.26,687.55,673.93,0.22,1.5,2138555,3014310448.0,2.01,1.39
2021-02-25,679.12,671.89,680.49,671.23,-1.09,-7.37,1518829,2102410176.0,1.36,0.99
2021-02-26,663.93,661.95,667.67,660.91,-1.48,-9.94,1391421,1892803552.0,1.01,0.9
2021-03-01,663.98,672.48,672.92,663.17,1.59,10.53,1154908,1611268912.0,1.47,0.75
