日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2010-08-09,998.22,1007.34,1016.85,989.24,0.73,7.34,23298876,29475036719.0,2.76,1.23
2010-08-10,1007.38,976.56,1019.8,972.74,-3.06,-30.78,23705801,28653720715.0,4.67,1.25
2010-08-11,970.58,986.86,995.23,964.53,1.05,10.3,18274096,21830571306.0,3.14,0.96
2010-08-12,975.51,974.02,996.87,962.28,-1.3,-12.84,20243800,24343904832.0,3.51,1.06
2010-08-13,973.46,991.79,995.75,962.33,1.82,17.77,17259915,20701427911.0,3.43,0.91
2010-08-16,988.93,1014.31,1021.15,981.97,2.27,22.52,21099285,26018936531.0,3.95,1.11
2010-08-17,1017.87,1023.26,1034.47,1005.77,0.88,8.95,23092938,28486848320.0,2.83,1.21
2010-08-18,1023.58,1017.4,1035.85,1005.86,-0.57,-5.86,21213958,26161612685.0,2.93,1.12
2010-08-19,1017.82,1019.24,1033.85,1004.49,0.18,1.84,20519363,26021307899.0,2.89,1.08
2010-08-20,1014.39,995.94,1023.7,989.44,-2.29,-23.3,19704604,24059675537.0,3.36,1.04
2010-08-23,994.55,996.3,1012.51,985.37,0.04,0.36,15219743,18803298424.0,2.73,0.8
2010-08-24,995.07,1007.63,1020.43,982.1,1.14,11.33,18644194,23240521864.0,3.85,0.98
2010-08-25,1000.35,980.15,1010.12,974.91,-2.73,-27.48,17908056,21918752572.0,3.49,0.94
2010-08-26,980.98,983.13,996.71,971.53,0.3,2.98,15325770,19478322981.0,2.57,0.81
2010-08-27,982.3,984.82,993.28,972.1,0.17,1.69,12934198,17062300351.0,2.15,0.68
2010-08-30,991.27,1006.68,1015.38,983.6,2.22,21.86,20703856,27580078568.0,3.23,1.09
2010-08-31,1002.66,1003.8,1017.07,990.17,-0.29,-2.88,21644490,29526195204.0,2.67,1.14
2010-09-01,1005.96,997.2,1023.33,981.6,-0.66,-6.6,23889410,31212729895.0,4.16,1.26
2010-09-02,1007.49,1007.09,1020.62,993.94,0.99,9.89,21680474,27615214933.0,2.68,1.14
2010-09-03,1009.46,1008.28,1023.42,990.55,0.12,1.19,23362972,30359182439.0,3.26,1.23
2010-09-06,1013.53,1026.92,1040.64,1003.03,1.85,18.64,23851136,30610575120.0,3.73,1.25
2010-09-07,1028.49,1031.99,1045.25,1014.88,0.49,5.07,20102623,25574181316.0,2.96,1.06
2010-09-08,1027.59,1026.51,1037.49,1009.61,-0.53,-5.48,19645660,25524739378.0,2.7,1.03
2010-09-09,1028.19,1002.83,1035.97,996.94,-2.31,-23.68,23290900,30546975501.0,3.8,1.23
2010-09-10,1003.79,1003.48,1017.1,983.82,0.06,0.65,19276825,25769234860.0,3.32,1.01
2010-09-13,1005.06,1020.47,1031.24,995.22,1.69,16.99,21659263,29689140394.0,3.59,1.14
2010-09-14,1022.11,1024.67,1038.06,1008.9,0.41,4.2,22785592,32435824389.0,2.86,1.2
2010-09-15,1024.99,1009.69,1034.38,997.98,-1.46,-14.98,23145946,30273267651.0,3.55,1.22
2010-09-16,1008.1,988.61,1019.15,973.99,-2.09,-21.08,21048918,26819359825.0,4.47,1.11
2010-09-17,989.9,987.26,1002.46,976.29,-0.14,-1.35,14006482,18194297983.0,2.65,0.74
2010-09-20,988.11,979.57,1000.41,968.58,-0.78,-7.69,12865130,16477479861.0,3.22,0.68
2010-09-21,981.78,980.24,994.17,968.99,0.07,0.67,10861711,14106716768.0,2.57,0.57
2010-09-27,983.0,994.11,1002.08,971.55,1.41,13.87,13543939,16959155682.0,3.11,0.71
2010-09-28,991.9,979.83,1002.15,970.54,-1.44,-14.28,14812403,19250923451.0,3.18,0.78
2010-09-29,978.35,976.39,995.66,967.17,-0.35,-3.44,12883670,16988346116.0,2.91,0.68
2010-09-30,969.76,999.27,1005.74,963.38,2.34,22.88,15956631,19181179202.0,4.34,0.84
2010-10-08,1004.39,1026.67,1038.58,995.84,2.74,27.4,21755823,27756424516.0,4.28,1.14
2010-10-11,1030.49,1055.19,1074.54,1018.11,2.78,28.52,32565551,43081430980.0,5.5,1.71
2010-10-12,1053.63,1059.63,1076.7,1036.17,0.42,4.44,27420687,36542177108.0,3.84,1.44
2010-10-13,1063.16,1086.53,1102.92,1048.75,2.54,26.9,35534701,46427734369.0,5.11,1.87
2010-10-14,1090.56,1072.62,1113.5,1060.31,-1.28,-13.91,34502072,47958612028.0,4.9,1.81
2010-10-15,1067.76,1101.65,1115.6,1054.99,2.71,29.03,35314585,49162577894.0,5.65,1.86
2010-10-18,1109.33,1109.12,1148.95,1079.16,0.68,7.47,43066468,57201045801.0,6.34,2.27
2010-10-19,1107.55,1126.1,1135.0,1083.11,1.53,16.98,28081967,38458074833.0,4.68,1.48
2010-10-20,1100.07,1122.16,1146.88,1082.33,-0.35,-3.94,37877802,52915323308.0,5.73,1.99
2010-10-21,1120.85,1114.27,1139.85,1093.06,-0.7,-7.89,28354770,39709687322.0,4.17,1.49
2010-10-22,1113.38,1112.41,1131.6,1092.48,-0.17,-1.86,25295142,36039650797.0,3.51,1.33
2010-10-25,1116.32,1145.59,1156.95,1103.19,2.98,33.18,34459229,50449092666.0,4.83,1.81
2010-10-26,1149.22,1151.7,1178.19,1127.15,0.53,6.11,36066795,52683915708.0,4.46,1.9
2010-10-27,1148.55,1135.93,1180.01,1124.15,-1.37,-15.77,31388597,45276886878.0,4.85,1.65
2010-10-28,1133.07,1138.92,1160.83,1118.66,0.26,2.99,25405082,35889133950.0,3.71,1.34
2010-10-29,1137.83,1131.15,1154.89,1111.67,-0.68,-7.77,25883379,38782672644.0,3.79,1.36
2010-11-01,1133.53,1154.75,1165.91,1125.0,2.09,23.6,30176167,45644305790.0,3.62,1.59
2010-11-02,1156.77,1152.34,1182.85,1132.8,-0.21,-2.41,34167131,51753277067.0,4.33,1.8
2010-11-03,1151.95,1144.96,1176.82,1128.73,-0.64,-7.38,27638859,40852872657.0,4.17,1.45
2010-11-04,1144.82,1163.89,1175.2,1134.88,1.65,18.93,27250120,40955676073.0,3.52,1.43
2010-11-05,1178.01,1175.4,1197.88,1155.65,0.99,11.51,31090169,46783636457.0,3.63,1.64
2010-11-08,1181.57,1196.31,1211.2,1168.26,1.78,20.91,31197501,46872408063.0,3.65,1.64
2010-11-09,1196.19,1181.75,1208.76,1163.77,-1.22,-14.56,31627291,45957476736.0,3.76,1.66
2010-11-10,1174.58,1164.43,1189.97,1145.81,-1.47,-17.32,31571671,47016856963.0,3.74,1.66
2010-11-11,1161.62,1165.03,1192.98,1148.88,0.05,0.6,34885755,50722524482.0,3.79,1.84
2010-11-12,1157.91,1087.02,1168.02,1076.44,-6.7,-78.01,37737123,54286209644.0,7.86,1.99
2010-11-15,1090.98,1101.81,1115.37,1070.72,1.36,14.79,23973174,37182765525.0,4.11,1.26
2010-11-16,1101.83,1060.55,1114.06,1047.95,-3.74,-41.26,26794281,40615408817.0,6.0,1.41
2010-11-17,1050.59,1039.37,1074.3,1027.8,-2.0,-21.18,20720596,30208692123.0,4.38,1.09
2010-11-18,1047.82,1052.3,1064.75,1032.86,1.24,12.93,15006193,21710008906.0,3.07,0.79
2010-11-19,1057.99,1067.46,1075.33,1026.58,1.44,15.16,23368175,34752412011.0,4.63,1.23
2010-11-22,1058.9,1067.19,1086.13,1046.32,-0.03,-0.27,25401426,39499202388.0,3.73,1.34
2010-11-23,1062.96,1044.61,1070.21,1024.81,-2.12,-22.58,21876409,33591537433.0,4.25,1.15
2010-11-24,1040.02,1068.68,1076.4,1036.32,2.3,24.07,19721004,31535568915.0,3.84,1.04
2010-11-25,1074.93,1087.61,1101.21,1061.24,1.77,18.93,22551661,33527038377.0,3.74,1.19
2010-11-26,1084.82,1075.69,1093.83,1061.86,-1.1,-11.92,17929751,28062702788.0,2.94,0.94
2010-11-29,1073.59,1073.69,1087.43,1057.45,-0.19,-2.0,16181727,25888744686.0,2.79,0.85
2010-11-30,1073.34,1050.19,1084.45,1024.66,-2.19,-23.5,23588604,35192327956.0,5.57,1.24
2010-12-01,1046.69,1053.93,1064.89,1036.93,0.36,3.74,13847646,20957327999.0,2.66,0.73
2010-12-02,1068.5,1060.99,1080.27,1054.44,0.67,7.06,16490049,25496666660.0,2.45,0.87
2010-12-03,1065.22,1066.66,1081.85,1050.45,0.53,5.67,16244606,22584758515.0,2.96,0.85
2010-12-06,1067.75,1064.35,1086.95,1048.88,-0.22,-2.31,15610263,22624106649.0,3.57,0.82
2010-12-07,1059.72,1075.63,1081.14,1042.1,1.06,11.28,15345825,21897920099.0,3.67,0.81
2010-12-08,1073.84,1065.56,1088.27,1056.68,-0.94,-10.07,15437887,22230983184.0,2.94,0.81
2010-12-09,1060.27,1044.29,1071.57,1037.12,-2.0,-21.27,15165789,21401688244.0,3.23,0.8
2010-12-10,1039.67,1054.99,1063.59,1031.97,1.02,10.7,12990771,19513047379.0,3.03,0.68
2010-12-13,1061.84,1092.12,1097.45,1056.27,3.52,37.13,20996367,30541355490.0,3.9,1.1
2010-12-14,1095.42,1098.94,1113.36,1082.47,0.62,6.82,20847280,30830735609.0,2.83,1.1
2010-12-15,1099.23,1091.73,1113.05,1082.5,-0.66,-7.21,17809947,27513450049.0,2.78,0.94
2010-12-16,1090.04,1088.89,1105.51,1079.42,-0.26,-2.84,14012369,20810408465.0,2.39,0.74
2010-12-17,1088.48,1089.31,1099.13,1075.69,0.04,0.42,11356848,17004746685.0,2.15,0.6
2010-12-20,1094.3,1075.87,1105.57,1052.03,-1.23,-13.44,18351240,27311045095.0,4.92,0.97
2010-12-21,1077.69,1109.27,1119.15,1067.72,3.1,33.4,24796671,31436483380.0,4.78,1.3
2010-12-22,1108.87,1095.0,1126.18,1085.42,-1.29,-14.27,20047262,26977295752.0,3.67,1.05
2010-12-23,1093.48,1080.91,1106.82,1073.08,-1.29,-14.09,14941663,21052565046.0,3.08,0.79
2010-12-24,1075.02,1077.37,1095.77,1059.61,-0.33,-3.54,14974267,19296986263.0,3.35,0.79
2010-12-27,1078.86,1049.86,1099.02,1043.62,-2.55,-27.51,18084890,24273862258.0,5.14,0.95
2010-12-28,1045.66,1024.19,1058.45,1014.67,-2.45,-25.67,14413921,19428176830.0,4.17,0.76
2010-12-29,1025.87,1033.92,1042.64,1013.52,0.95,9.73,11592792,15807575122.0,2.84,0.61
2010-12-30,1033.36,1030.71,1046.14,1012.11,-0.31,-3.21,13097813,17635000300.0,3.29,0.69
2010-12-31,1032.73,1047.45,1053.9,1024.33,1.62,16.74,13515105,19465390756.0,2.87,0.71
