日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2016-11-01,1009.08,1035.63,1038.18,1008.72,3.56,35.63,8159286,11466369024.0,2.95,2.74
2016-11-02,1044.57,1067.42,1076.31,1042.31,3.07,31.79,13129376,19313916160.0,3.28,4.4
2016-11-03,1079.05,1087.85,1109.28,1078.23,1.91,20.43,17528434,25514232832.0,2.91,5.88
2016-11-04,1083.06,1069.67,1086.97,1064.2,-1.67,-18.18,15131643,20813266432.0,2.09,5.08
2016-11-07,1064.8,1078.05,1082.61,1057.35,0.78,8.38,14867081,19818423040.0,2.36,4.99
2016-11-08,1077.97,1081.64,1090.19,1076.48,0.33,3.59,14119713,20044674816.0,1.27,4.74
2016-11-09,1079.72,1093.66,1098.36,1077.84,1.11,12.02,14385182,21199143168.0,1.9,4.83
2016-11-10,1105.87,1106.69,1109.55,1095.26,1.19,13.03,17080589,26223167744.0,1.31,5.73
2016-11-11,1103.48,1099.65,1110.13,1097.64,-0.64,-7.04,14443067,21786454272.0,1.13,4.85
2016-11-14,1103.56,1096.37,1105.52,1082.5,-0.3,-3.28,13515629,19213998336.0,2.09,4.53
2016-11-15,1101.71,1115.04,1116.07,1100.34,1.7,18.67,11913362,16910798336.0,1.43,4.0
2016-11-16,1119.9,1107.0,1120.75,1106.58,-0.72,-8.04,10872285,16251384576.0,1.27,3.65
2016-11-17,1113.34,1112.44,1118.74,1106.41,0.49,5.44,10087260,15286383360.0,1.11,3.38
2016-11-18,1114.41,1106.52,1115.69,1103.41,-0.53,-5.92,12167029,16976385024.0,1.1,4.08
2016-11-21,1104.99,1103.57,1106.32,1096.64,-0.27,-2.95,10345603,14475164416.0,0.87,3.47
2016-11-22,1101.82,1113.29,1113.51,1100.27,0.88,9.72,10071586,14756091648.0,1.2,3.38
2016-11-23,1115.07,1113.01,1124.82,1110.37,-0.03,-0.28,12519925,19042167040.0,1.3,4.2
2016-11-24,1107.1,1096.83,1109.06,1092.07,-1.45,-16.18,10370680,14883336448.0,1.53,3.48
2016-11-25,1095.34,1101.42,1101.53,1080.54,0.42,4.59,9897075,13580551680.0,1.91,3.32
2016-11-28,1101.34,1101.51,1107.52,1099.28,0.01,0.09,8183285,10635483392.0,0.75,2.75
2016-11-29,1100.72,1084.23,1101.44,1083.96,-1.57,-17.28,8935910,12868194560.0,1.59,3.0
2016-11-30,1082.85,1082.52,1087.28,1079.81,-0.16,-1.71,8074470,11741827840.0,0.69,2.71
2016-12-01,1085.49,1095.72,1095.84,1085.04,1.22,13.2,8686413,13518642176.0,1.0,2.91
2016-12-02,1098.81,1086.96,1109.48,1085.43,-0.8,-8.76,11112798,16953442304.0,2.19,3.73
2016-12-05,1070.91,1079.88,1082.98,1067.34,-0.65,-7.08,8474702,12432605952.0,1.44,2.84
2016-12-06,1080.38,1093.95,1096.47,1080.38,1.3,14.07,9540498,14186544384.0,1.49,3.2
2016-12-07,1092.13,1101.43,1101.65,1084.9,0.68,7.48,8910849,14258416640.0,1.53,2.99
2016-12-08,1099.99,1102.93,1112.23,1098.08,0.14,1.5,9696511,16203802624.0,1.28,3.25
2016-12-09,1098.9,1098.4,1103.4,1094.27,-0.41,-4.53,8233836,12873965824.0,0.83,2.76
2016-12-12,1098.02,1040.84,1100.45,1040.73,-5.24,-57.56,10849179,15846135296.0,5.44,3.64
2016-12-13,1035.69,1055.32,1057.8,1027.97,1.39,14.48,8590814,12894925568.0,2.87,2.88
2016-12-14,1055.18,1060.85,1077.17,1052.73,0.52,5.53,8636295,13624884480.0,2.32,2.9
2016-12-15,1055.43,1081.75,1081.76,1054.17,1.97,20.9,9491518,15339634688.0,2.6,3.18
2016-12-16,1081.1,1102.22,1109.47,1080.78,1.89,20.47,11032051,16639167744.0,2.65,3.7
2016-12-19,1099.75,1092.83,1100.14,1088.33,-0.85,-9.39,8737265,14301007872.0,1.07,2.93
2016-12-20,1090.93,1093.97,1101.46,1089.72,0.1,1.14,9483389,14767686400.0,1.07,3.18
2016-12-21,1095.4,1096.44,1099.13,1086.66,0.23,2.47,9925813,15930183424.0,1.14,3.33
