日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2000-01-04,993.98,1004.11,1010.21,967.68,0.41,4.11,27657,33456000.0,4.25,0.01
2000-01-05,1005.2,1001.64,1020.61,984.35,-0.25,-2.47,28467,33033000.0,3.61,0.01
2000-01-06,992.49,1013.44,1018.38,975.35,1.18,11.8,30333,35819000.0,4.3,0.01
2000-01-07,1020.96,1051.54,1069.85,1015.18,3.76,38.1,91611,112263000.0,5.39,0.02
2000-01-10,1065.25,1077.66,1089.1,1032.87,2.48,26.12,93757,117997000.0,5.35,0.02
2000-01-11,1081.84,1071.3,1118.33,1043.32,-0.59,-6.36,109098,140078000.0,6.96,0.03
2000-01-12,1067.45,1045.24,1086.79,1030.24,-2.43,-26.06,49509,58960000.0,5.28,0.01
2000-01-13,1030.55,1034.75,1064.66,1010.45,-1.0,-10.49,68056,87358000.0,5.19,0.02
2000-01-14,1035.94,1002.39,1052.24,987.68,-3.13,-32.36,40676,52075000.0,6.24,0.01
2000-01-17,1000.48,999.02,1009.16,969.16,-0.34,-3.37,35767,41867000.0,3.99,0.01
2000-01-18,992.05,997.66,1023.75,980.86,-0.14,-1.36,52679,59992000.0,4.29,0.01
2000-01-19,1000.26,1049.45,1062.13,995.51,5.19,51.79,118367,158234000.0,6.68,0.03
2000-01-20,1043.49,1044.79,1065.66,1027.67,-0.44,-4.66,94999,126615000.0,3.62,0.02
2000-01-21,1052.73,1078.4,1106.13,1038.23,3.22,33.61,172961,279682000.0,6.5,0.04
2000-01-24,1084.94,1116.93,1134.46,1061.34,3.57,38.53,175446,294415000.0,6.78,0.04
2000-01-25,1121.87,1106.27,1155.62,1077.86,-0.95,-10.66,115935,181812000.0,6.96,0.03
2000-01-26,1118.02,1090.03,1130.37,1072.79,-1.47,-16.24,63540,106784000.0,5.2,0.02
2000-01-27,1095.14,1112.45,1137.21,1075.1,2.06,22.42,111682,170464000.0,5.7,0.03
2000-01-28,1120.74,1149.39,1185.76,1097.9,3.32,36.94,249213,392969000.0,7.9,0.06
2000-02-14,1184.95,1260.27,1262.41,1175.47,9.65,110.88,198965,308669000.0,7.56,0.05
2000-02-15,1289.92,1255.75,1345.07,1237.98,-0.36,-4.52,263713,460309000.0,8.5,0.07
2000-02-16,1257.22,1221.52,1286.15,1184.46,-2.73,-34.23,228159,415817000.0,8.1,0.06
2000-02-17,1234.75,1131.31,1309.61,1111.68,-7.39,-90.21,253844,394528000.0,16.2,0.06
2000-02-18,1118.42,1119.74,1145.86,1087.96,-1.02,-11.57,119922,175879000.0,5.12,0.03
2000-02-21,1121.7,1154.12,1189.0,1093.55,3.07,34.38,187807,275486000.0,8.52,0.05
