日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2013-11-15,999.55,1015.21,1024.33,998.33,1.52,15.21,1731843,2867202768.0,2.6,0.11
2013-11-18,1030.63,1046.6,1047.6,1029.3,3.09,31.39,1501572,2485976112.0,1.8,0.1
2013-11-19,1052.62,1057.63,1060.5,1049.65,1.05,11.03,1914479,3317220880.0,1.04,0.12
2013-11-20,1062.69,1065.2,1065.42,1054.54,0.72,7.57,1542375,2633807504.0,1.03,0.1
2013-11-21,1061.07,1055.21,1061.13,1049.29,-0.94,-9.99,1388713,2381778896.0,1.11,0.09
2013-11-22,1055.3,1046.83,1057.19,1044.73,-0.79,-8.38,1202477,2173301104.0,1.18,0.08
2013-11-25,1044.08,1055.96,1063.51,1039.52,0.87,9.13,1452177,2585260688.0,2.29,0.09
2013-11-26,1056.96,1071.53,1077.57,1052.63,1.47,15.57,2336601,3838836208.0,2.36,0.15
2013-11-27,1073.8,1100.01,1101.18,1071.37,2.66,28.48,2732429,5403876352.0,2.78,0.17
2013-11-28,1104.32,1113.96,1122.44,1104.24,1.27,13.95,2695198,4931711488.0,1.65,0.17
2013-11-29,1114.13,1119.42,1121.07,1111.82,0.49,5.46,2015766,3693270384.0,0.83,0.13
2013-12-02,1092.72,1046.98,1095.98,1044.82,-6.47,-72.44,2598914,4524779008.0,4.57,0.17
2013-12-03,1036.43,1076.1,1076.56,1034.3,2.78,29.12,2086374,3471599488.0,4.04,0.13
2013-12-04,1080.02,1097.31,1109.75,1079.42,1.97,21.21,2658584,4562935296.0,2.82,0.17
2013-12-05,1093.57,1084.99,1101.04,1084.83,-1.12,-12.32,2095919,3809162608.0,1.48,0.13
2013-12-06,1082.48,1073.37,1087.0,1070.62,-1.07,-11.62,1405266,2586028224.0,1.51,0.09
2013-12-09,1076.24,1084.73,1086.57,1076.22,1.06,11.36,1218240,2211856688.0,0.96,0.08
2013-12-10,1087.03,1087.8,1094.71,1083.49,0.28,3.07,1619846,2604574496.0,1.03,0.1
2013-12-11,1083.68,1073.12,1083.68,1065.3,-1.35,-14.68,1305050,2216128160.0,1.69,0.08
2013-12-12,1071.55,1085.58,1089.05,1069.41,1.16,12.46,1105522,2074684048.0,1.83,0.07
2013-12-13,1077.09,1088.07,1092.71,1072.7,0.23,2.49,1270638,2216640416.0,1.84,0.08
2013-12-16,1089.84,1075.07,1090.53,1071.22,-1.19,-13.0,1297091,2310609824.0,1.77,0.08
2013-12-17,1076.97,1065.74,1079.84,1059.11,-0.87,-9.33,1286231,2258542352.0,1.93,0.08
2013-12-18,1069.4,1070.32,1078.42,1064.37,0.43,4.58,1161487,1795857712.0,1.32,0.07
2013-12-19,1070.76,1057.93,1077.01,1056.34,-1.16,-12.39,1048315,1884958176.0,1.93,0.07
2013-12-20,1061.55,1038.38,1061.68,1033.58,-1.85,-19.55,1003197,1787271600.0,2.66,0.06
2013-12-23,1038.44,1024.85,1039.85,1014.22,-1.3,-13.53,1077010,1733932016.0,2.47,0.07
2013-12-24,1026.68,1042.21,1055.58,1026.64,1.69,17.36,1036168,1881377136.0,2.82,0.07
2013-12-25,1043.1,1066.84,1067.2,1039.15,2.36,24.63,1087194,1948140656.0,2.69,0.07
2013-12-26,1065.89,1048.76,1065.89,1048.11,-1.69,-18.08,1542207,2445222896.0,1.67,0.1
2013-12-27,1046.03,1074.55,1076.07,1042.94,2.46,25.79,1912794,3062086976.0,3.16,0.12
2013-12-30,1074.86,1071.8,1078.36,1068.01,-0.26,-2.75,1557509,2637648432.0,0.96,0.1
