日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2024-08-06,1016.41,1012.14,1022.48,999.59,1.21,12.14,8020381,7947024439.0,2.29,1.14
2024-08-07,1011.03,1013.95,1023.04,1008.32,0.18,1.81,6576605,6725734725.0,1.45,0.93
2024-08-08,1007.63,1009.06,1021.57,990.58,-0.48,-4.89,6888814,7120737231.0,3.06,0.97
2024-08-09,1016.59,1013.53,1023.09,1011.09,0.44,4.47,7093118,7000260575.0,1.19,1.0
2024-08-12,1010.53,1000.28,1015.68,996.03,-1.31,-13.25,8176658,6190445991.0,1.94,1.16
2024-08-13,998.92,1012.81,1014.02,997.57,1.25,12.53,7221057,5716772131.0,1.64,1.02
2024-08-14,1016.81,1022.74,1027.84,1010.3,0.98,9.93,7052246,7033601293.0,1.73,1.0
2024-08-15,1019.01,1033.79,1047.08,1017.41,1.08,11.05,12406672,10734247271.0,2.9,1.76
2024-08-16,1036.71,1057.47,1066.7,1036.71,2.29,23.68,12624237,11763791114.0,2.9,1.79
2024-08-19,1055.93,1038.48,1059.0,1036.5,-1.8,-18.99,11777003,10244597733.0,2.13,1.67
2024-08-20,1034.58,1026.7,1042.96,1024.24,-1.13,-11.78,10891526,9035882104.0,1.8,1.54
2024-08-21,1019.47,1028.98,1044.71,1018.44,0.22,2.28,9951746,9309024723.0,2.56,1.41
2024-08-22,1028.87,1012.72,1034.2,1010.81,-1.58,-16.26,9028243,8940544664.0,2.27,1.28
2024-08-23,1005.94,1023.76,1030.95,998.75,1.09,11.04,10967438,9835380677.0,3.18,1.55
2024-08-26,1021.09,1042.82,1046.69,1019.48,1.86,19.06,11658098,11185962075.0,2.66,1.65
2024-08-27,1037.26,1007.05,1037.26,1005.67,-3.43,-35.77,10686236,9989745575.0,3.03,1.51
2024-08-28,1003.15,1012.16,1017.23,1000.61,0.51,5.11,8586921,8462574677.0,1.65,1.22
2024-08-29,1008.67,1044.66,1052.98,1008.07,3.21,32.5,14185162,13084390707.0,4.44,2.01
2024-08-30,1052.1,1079.39,1098.26,1052.1,3.32,34.73,20480873,19557910742.0,4.42,2.9
2024-09-02,1080.52,1056.44,1087.64,1056.04,-2.13,-22.95,15554477,14356009435.0,2.93,2.2
2024-09-03,1055.2,1067.1,1072.46,1055.2,1.01,10.66,11757379,10947114279.0,1.63,1.66
2024-09-04,1057.57,1054.75,1059.34,1037.36,-1.16,-12.35,10604529,10148536843.0,2.06,1.5
