日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-12-27,999.29,957.53,999.57,953.22,-4.25,-42.47,11547073,11758916352.0,4.64,1.32
2021-12-28,959.11,962.24,975.84,956.69,0.49,4.71,9981422,10126337536.0,2.0,1.14
2021-12-29,963.26,966.99,974.31,950.91,0.49,4.75,8961854,9463870720.0,2.43,1.02
2021-12-30,973.01,1028.17,1028.17,970.97,6.33,61.18,12682918,14203533056.0,5.92,1.45
2021-12-31,1042.25,1030.52,1046.7,1024.43,0.23,2.35,12341218,14041249536.0,2.17,1.41
2022-01-04,1048.48,1095.03,1104.85,1037.62,6.26,64.51,25729524,25871537408.0,6.52,2.94
2022-01-05,1089.38,1112.14,1130.82,1079.2,1.56,17.11,25059153,26143929344.0,4.71,2.86
2022-01-06,1091.14,1078.64,1091.14,1059.97,-3.01,-33.5,20731563,21466821632.0,2.8,2.36
2022-01-07,1076.94,1029.56,1096.82,1028.72,-4.55,-49.08,19424868,21232183552.0,6.31,2.22
2022-01-10,1019.38,1040.05,1044.86,998.33,1.02,10.49,13976902,15319006464.0,4.52,1.59
2022-01-11,1036.75,1001.57,1040.88,997.92,-3.7,-38.48,14464952,15395210240.0,4.13,1.65
2022-01-12,1001.88,1021.79,1032.81,998.5,2.02,20.22,13079570,13979262976.0,3.43,1.49
2022-01-13,1025.91,1004.42,1033.94,1004.42,-1.7,-17.37,14922606,16505401856.0,2.89,1.7
2022-01-14,996.1,1025.42,1040.46,994.74,2.09,21.0,18842976,19402358784.0,4.55,2.15
2022-01-17,1044.32,1083.84,1085.61,1044.26,5.7,58.42,20788509,22045915136.0,4.03,2.37
2022-01-18,1093.68,1045.85,1094.79,1035.78,-3.51,-37.99,22948212,25380327936.0,5.44,2.62
2022-01-19,1038.61,1055.54,1063.83,1038.61,0.93,9.69,18168940,19591458816.0,2.41,2.07
2022-01-20,1046.44,1006.07,1047.84,999.73,-4.69,-49.47,17141304,18317980672.0,4.56,1.96
2022-01-21,999.55,970.81,1016.1,970.81,-3.5,-35.26,14678104,15656203776.0,4.5,1.67
2022-01-24,958.57,967.52,976.21,955.03,-0.34,-3.29,10613052,10545840384.0,2.18,1.21
2022-01-25,953.95,908.04,955.91,907.96,-6.15,-59.48,13201312,12116283136.0,4.96,1.51
2022-01-26,909.33,901.02,922.97,891.48,-0.77,-7.02,10070204,10058855680.0,3.47,1.15
2022-01-27,898.48,863.18,898.78,862.16,-4.2,-37.84,9961273,9741858304.0,4.06,1.14
2022-01-28,873.56,868.52,882.84,860.11,0.62,5.34,9832529,9482353920.0,2.63,1.12
2022-02-07,875.18,860.66,875.84,848.68,-0.9,-7.86,9679841,9096970496.0,3.13,1.1
2022-02-08,859.98,874.66,877.92,850.61,1.63,14.0,8823491,7998840832.0,3.17,1.01
2022-02-09,875.85,900.75,900.82,872.19,2.98,26.09,11244005,10507886848.0,3.27,1.28
2022-02-10,902.89,908.82,913.21,897.14,0.9,8.07,11140269,11048185856.0,1.78,1.27
2022-02-11,909.32,878.97,910.54,877.02,-3.28,-29.85,13547908,13571878912.0,3.69,1.55
2022-02-14,868.24,879.02,889.18,864.18,0.01,0.05,11177809,11370338048.0,2.84,1.28
2022-02-15,877.54,873.74,886.62,864.97,-0.6,-5.28,9459407,8903962112.0,2.46,1.08
2022-02-16,877.5,888.3,895.71,872.55,1.67,14.56,9992728,9746820608.0,2.65,1.14
2022-02-17,878.82,865.51,881.73,864.03,-2.57,-22.79,9866548,9099156992.0,1.99,1.13
2022-02-18,858.96,868.92,871.31,858.45,0.39,3.41,7422088,7857003264.0,1.49,0.85
2022-02-21,867.84,884.61,887.25,866.73,1.81,15.69,8409500,8379982336.0,2.36,0.96
2022-02-22,874.91,846.13,874.91,841.83,-4.35,-38.48,9634990,9574214400.0,3.74,1.1
2022-02-23,849.12,863.85,866.88,848.91,2.09,17.72,6785990,6857147136.0,2.12,0.77
2022-02-24,860.22,830.74,864.62,815.35,-3.83,-33.11,12537746,10922595072.0,5.7,1.43
2022-02-25,837.01,834.65,848.47,832.48,0.47,3.91,7566995,6777561088.0,1.92,0.86
2022-02-28,833.81,834.12,834.72,814.76,-0.06,-0.53,6403164,6006444544.0,2.39,0.73
2022-03-01,833.46,846.16,846.37,833.08,1.44,12.04,7307490,6835060480.0,1.59,0.83
2022-03-02,838.84,849.99,851.46,836.62,0.45,3.83,6046588,5817369856.0,1.75,0.69
2022-03-03,851.37,839.58,852.53,837.03,-1.22,-10.41,6798431,6182285568.0,1.82,0.78
2022-03-04,834.6,856.14,867.13,831.52,1.97,16.56,11731726,10692287232.0,4.24,1.34
2022-03-07,845.99,844.09,851.21,834.73,-1.41,-12.05,9384361,9166691584.0,1.92,1.07
2022-03-08,838.96,809.33,844.05,809.33,-4.12,-34.76,9521560,8539844864.0,4.11,1.09
2022-03-09,806.91,797.55,810.58,756.53,-1.46,-11.78,10329124,9008191488.0,6.68,1.18
2022-03-10,813.96,810.17,831.19,806.88,1.58,12.62,8706833,8292503296.0,3.05,0.99
2022-03-11,793.54,817.92,821.52,788.75,0.96,7.75,7630072,7079771136.0,4.04,0.87
2022-03-14,815.33,810.44,827.35,810.44,-0.91,-7.48,7740149,7770762496.0,2.07,0.88
2022-03-15,803.2,772.1,811.29,772.1,-4.73,-38.34,9540000,9243666432.0,4.84,1.09
2022-03-16,785.9,807.02,808.45,765.2,4.52,34.92,10591468,9974713344.0,5.6,1.21
2022-03-17,818.58,824.47,839.09,813.83,2.16,17.45,11909889,11447874816.0,3.13,1.36
2022-03-18,817.72,825.44,828.21,815.64,0.12,0.97,7464241,7186311168.0,1.52,0.85
2022-03-21,826.19,835.26,835.57,822.13,1.19,9.82,8299184,7998756352.0,1.63,0.95
2022-03-22,831.18,849.73,857.71,824.66,1.73,14.47,9724532,9640738048.0,3.96,1.11
2022-03-23,846.48,846.19,854.68,839.89,-0.42,-3.54,7607866,7835500544.0,1.74,0.87
2022-03-24,836.71,820.26,836.71,818.5,-3.06,-25.93,6425673,6206327040.0,2.15,0.73
2022-03-25,822.49,834.86,845.47,822.49,1.78,14.6,8006010,7786063104.0,2.8,0.91
2022-03-28,835.79,852.98,862.01,834.38,2.17,18.12,10475355,9957855232.0,3.31,1.19
2022-03-29,851.82,846.17,855.47,840.76,-0.8,-6.81,8462230,8257284352.0,1.72,0.97
2022-03-30,846.75,851.12,851.12,834.7,0.58,4.95,8104897,7780256768.0,1.94,0.92
2022-03-31,845.34,846.89,861.1,842.99,-0.5,-4.23,9137415,8221062400.0,2.13,1.04
2022-04-01,839.37,878.52,881.29,833.6,3.73,31.63,13959503,12680540928.0,5.63,1.59
2022-04-06,876.69,886.52,898.33,875.37,0.91,8.0,12504106,11914903296.0,2.61,1.43
2022-04-07,879.43,870.1,891.59,869.93,-1.85,-16.42,10870114,10323110912.0,2.44,1.24
2022-04-08,863.14,831.91,864.78,831.31,-4.39,-38.19,10509249,9731980288.0,3.85,1.2
2022-04-11,823.66,798.67,827.23,790.84,-4.0,-33.24,8563204,7758711040.0,4.37,0.98
2022-04-12,803.58,815.69,818.11,791.19,2.13,17.02,8892267,7729644032.0,3.37,1.01
2022-04-13,810.88,784.73,810.88,784.46,-3.8,-30.96,8912500,7703636992.0,3.24,1.02
2022-04-14,783.11,786.26,794.51,781.57,0.19,1.53,6528878,5499566336.0,1.65,0.74
2022-04-15,780.46,755.35,780.54,751.62,-3.93,-30.91,7466892,5849672704.0,3.68,0.85
2022-04-18,748.49,753.55,757.45,732.08,-0.24,-1.8,5204478,4500866560.0,3.36,0.59
2022-04-19,750.75,767.42,767.44,748.87,1.84,13.87,6252331,5479760640.0,2.46,0.71
2022-04-20,769.21,759.73,778.7,755.81,-1.0,-7.69,6218399,5383385088.0,2.98,0.71
2022-04-21,751.07,724.29,758.47,721.94,-4.66,-35.44,6263933,4999700736.0,4.81,0.71
