日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2020-11-02,999.13,1023.15,1028.82,999.13,2.32,23.15,1170656,1873645808.0,2.97,0.11
2020-11-03,1025.48,1032.01,1032.96,1015.48,0.87,8.86,1274629,2029694624.0,1.71,0.12
2020-11-04,1035.97,1025.3,1042.49,1020.52,-0.65,-6.71,1231006,2195526832.0,2.13,0.12
2020-11-05,1035.01,1050.54,1050.81,1031.31,2.46,25.24,1303775,2204212896.0,1.9,0.12
2020-11-06,1052.82,1033.78,1054.69,1024.72,-1.6,-16.76,1381982,2075379792.0,2.85,0.13
2020-11-09,1034.85,1057.79,1059.51,1034.66,2.32,24.01,1492921,2279102832.0,2.4,0.14
2020-11-10,1053.4,1039.7,1053.4,1031.71,-1.71,-18.09,1189706,1833258512.0,2.05,0.11
2020-11-11,1032.59,1010.51,1036.24,1009.99,-2.81,-29.19,886414,1589664640.0,2.52,0.08
2020-11-12,1012.42,1007.27,1015.45,1001.12,-0.32,-3.24,749907,1261499392.0,1.42,0.07
2020-11-13,1008.78,1013.82,1014.05,998.94,0.65,6.55,726937,1188700992.0,1.5,0.07
2020-11-16,1011.79,1013.85,1014.03,1002.64,0.0,0.03,610303,969455504.0,1.12,0.06
2020-11-17,1014.05,994.44,1014.05,989.13,-1.91,-19.41,829969,1236476080.0,2.46,0.08
2020-11-18,991.55,984.73,1000.74,979.67,-0.98,-9.71,649556,1031307664.0,2.12,0.06
2020-11-19,983.6,991.91,994.63,977.91,0.73,7.18,488135,749874992.0,1.7,0.05
2020-11-20,992.55,999.0,1002.29,989.5,0.71,7.09,730152,1041408560.0,1.29,0.07
2020-11-23,1006.56,1028.77,1030.51,1001.66,2.98,29.77,1285306,2283696112.0,2.89,0.12
2020-11-24,1027.39,1027.56,1034.08,1017.3,-0.12,-1.21,1217430,2378937424.0,1.63,0.12
2020-11-25,1026.04,1009.92,1028.97,1009.92,-1.72,-17.64,1012337,1650178880.0,1.85,0.1
2020-11-26,1007.28,1010.11,1011.65,998.92,0.02,0.19,976687,1490289616.0,1.26,0.09
2020-11-27,1011.57,1012.56,1013.16,997.02,0.24,2.45,808419,1282856032.0,1.6,0.08
2020-11-30,1012.27,999.21,1012.27,998.07,-1.32,-13.35,776578,1258739952.0,1.4,0.07
2020-12-01,999.62,1012.65,1016.61,995.06,1.35,13.44,906060,1561610096.0,2.16,0.09
2020-12-02,1012.05,1006.53,1015.69,1004.37,-0.6,-6.12,729769,1322797136.0,1.12,0.07
2020-12-03,1007.27,992.56,1007.27,991.89,-1.39,-13.97,767391,1221965232.0,1.53,0.07
2020-12-04,993.76,999.13,1001.8,988.75,0.66,6.57,624643,955768320.0,1.31,0.06
2020-12-07,1009.15,1003.46,1010.73,1001.46,0.43,4.33,667080,1049188208.0,0.93,0.06
2020-12-08,1014.39,1000.33,1016.32,1000.27,-0.31,-3.13,1202299,1678217152.0,1.6,0.11
2020-12-09,995.08,979.67,999.81,979.08,-2.07,-20.66,1070213,1537027664.0,2.07,0.1
2020-12-10,977.35,997.72,1008.03,975.4,1.84,18.05,1127555,1880939680.0,3.33,0.11
