日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2021-10-11,995.07,986.12,996.08,968.1,-1.39,-13.88,7890451,7350384896.0,2.8,1.79
2021-10-12,982.85,969.04,1008.03,957.27,-1.73,-17.08,7870615,8293056512.0,5.15,1.79
2021-10-13,958.99,915.61,958.99,905.45,-5.51,-53.43,7827862,7057571072.0,5.53,1.78
2021-10-14,904.52,910.69,917.19,894.05,-0.54,-4.92,4635516,5013366784.0,2.53,1.05
2021-10-15,913.85,917.36,925.34,894.92,0.73,6.67,5124445,5606731264.0,3.34,1.17
2021-10-18,918.84,959.36,959.53,911.66,4.58,42.0,8433900,8682552064.0,5.22,1.92
2021-10-19,952.54,986.81,990.73,946.24,2.86,27.45,10675693,8957045248.0,4.64,2.43
2021-10-20,972.54,967.06,977.69,963.0,-2.0,-19.75,7610817,8951024128.0,1.49,1.73
2021-10-21,979.77,965.71,983.81,963.94,-0.14,-1.35,6284347,7388176896.0,2.05,1.43
2021-10-22,961.21,938.58,961.43,933.59,-2.81,-27.13,6708672,7516438784.0,2.88,1.53
2021-10-25,942.51,968.27,976.04,937.38,3.16,29.69,7229884,7223856640.0,4.12,1.64
2021-10-26,970.05,960.82,981.94,957.77,-0.77,-7.45,5782641,7764635136.0,2.5,1.32
2021-10-27,955.07,938.29,959.49,931.97,-2.34,-22.53,5534455,6384504576.0,2.86,1.26
2021-10-28,928.44,883.1,929.68,879.83,-5.88,-55.19,6059921,6706448896.0,5.31,1.38
2021-10-29,882.49,885.78,887.89,870.7,0.3,2.68,5091989,6124305152.0,1.95,1.16
2021-11-01,880.25,896.26,897.64,877.0,1.18,10.48,4340742,5098520576.0,2.33,0.99
2021-11-02,899.51,878.77,910.14,865.56,-1.95,-17.49,5900991,6135065088.0,4.97,1.34
2021-11-03,874.07,880.19,884.71,868.12,0.16,1.42,3632777,4300473600.0,1.89,0.83
2021-11-04,873.41,874.48,876.1,865.72,-0.65,-5.71,3730631,4317674496.0,1.18,0.85
2021-11-05,873.99,846.16,874.01,845.57,-3.24,-28.32,4761058,5151358464.0,3.25,1.08
2021-11-08,847.09,862.47,865.69,844.74,1.93,16.31,4103208,5978597632.0,2.48,0.93
2021-11-09,860.55,864.97,865.85,853.25,0.29,2.5,3346966,4279439856.0,1.46,0.76
2021-11-10,870.87,861.03,872.65,846.18,-0.46,-3.94,3809292,4700255488.0,3.06,0.87
2021-11-11,852.07,852.3,855.81,849.65,-1.01,-8.73,3228366,3520683536.0,0.72,0.73
2021-11-12,851.35,859.3,861.26,847.69,0.82,7.0,3097843,2982055760.0,1.59,0.7
2021-11-15,858.3,856.83,858.33,846.71,-0.29,-2.47,3325598,3470262624.0,1.35,0.76
2021-11-16,855.16,852.13,860.74,847.77,-0.55,-4.7,3799172,3652902464.0,1.51,0.86
2021-11-17,850.98,865.32,867.3,848.43,1.55,13.19,3548224,5048480256.0,2.21,0.81
2021-11-18,860.72,859.69,871.11,859.17,-0.65,-5.63,4166805,6605715456.0,1.38,0.95
2021-11-19,859.24,878.96,881.57,857.33,2.24,19.27,4573620,7730831872.0,2.82,1.04
2021-11-22,872.94,880.74,881.75,867.88,0.2,1.78,3733633,5899843584.0,1.58,0.85
2021-11-23,880.96,878.95,883.6,876.37,-0.2,-1.79,3105737,4663806208.0,0.82,0.71
2021-11-24,888.22,889.07,898.86,885.26,1.15,10.12,4236825,5397751040.0,1.55,0.96
2021-11-25,886.93,887.46,891.22,882.07,-0.18,-1.61,3777766,5731085824.0,1.03,0.86
2021-11-26,885.02,886.99,897.8,881.11,-0.05,-0.47,3556199,6292877312.0,1.88,0.81
2021-11-29,863.53,874.9,875.9,856.45,-1.36,-12.09,3571437,5670939136.0,2.19,0.81
2021-11-30,876.72,875.12,889.67,872.37,0.03,0.22,3206338,4940674816.0,1.98,0.73
2021-12-01,872.56,895.65,896.45,872.04,2.35,20.53,4014338,4755130112.0,2.79,0.91
2021-12-02,894.05,884.4,898.4,883.33,-1.26,-11.25,3533977,4065748736.0,1.68,0.8
2021-12-03,888.0,890.04,892.96,879.37,0.64,5.64,3290686,3864580448.0,1.54,0.75
2021-12-06,890.57,886.39,896.5,884.35,-0.41,-3.65,3679550,3946333184.0,1.37,0.84
2021-12-07,892.53,879.97,893.93,867.11,-0.72,-6.42,3368552,4322054400.0,3.03,0.77
2021-12-08,882.95,888.17,892.9,877.21,0.93,8.2,2751152,3419455600.0,1.78,0.63
2021-12-09,889.58,885.57,891.24,883.89,-0.29,-2.6,3141879,3629672624.0,0.83,0.71
2021-12-10,881.02,882.32,886.36,879.32,-0.37,-3.25,3510669,5178392576.0,0.79,0.8
2021-12-13,884.01,889.03,891.71,883.38,0.76,6.71,2847791,3874122352.0,0.94,0.65
2021-12-14,890.97,890.14,891.19,885.15,0.12,1.11,2672942,4165468640.0,0.68,0.61
2021-12-15,894.33,896.62,901.93,892.39,0.73,6.48,3168149,3629621776.0,1.07,0.72
2021-12-16,904.09,913.34,913.71,900.43,1.86,16.72,4175929,3538459056.0,1.48,0.95
2021-12-17,920.4,926.13,939.96,918.95,1.4,12.79,6217778,4611276288.0,2.3,1.41
2021-12-20,925.57,931.52,937.62,921.67,0.58,5.39,5540978,4185443632.0,1.72,1.26
2021-12-21,933.14,944.75,945.39,932.56,1.42,13.23,5329016,3621418288.0,1.38,1.21
2021-12-22,960.61,954.06,984.06,953.43,0.99,9.31,7004796,4874764032.0,3.24,1.59
2021-12-23,954.83,960.64,969.3,954.23,0.69,6.58,6688569,4598904320.0,1.58,1.52
2021-12-24,962.01,942.84,968.85,940.25,-1.85,-17.8,6827804,5152868608.0,2.98,1.55
2021-12-27,942.81,944.35,951.87,934.71,0.16,1.51,4899075,3832819488.0,1.82,1.11
2021-12-28,950.82,957.99,958.31,938.52,1.44,13.64,5163852,5797461504.0,2.1,1.17
2021-12-29,954.92,954.33,956.47,945.53,-0.38,-3.66,5017569,5695755264.0,1.14,1.14
2021-12-30,959.61,967.08,982.31,959.61,1.34,12.75,5716131,5898895616.0,2.38,1.3
2021-12-31,971.43,974.69,985.08,967.17,0.79,7.61,7125871,7857582080.0,1.85,1.62
2022-01-04,973.27,981.99,982.91,968.44,0.75,7.3,7586344,9183886592.0,1.48,1.73
2022-01-05,978.68,966.25,983.59,958.2,-1.6,-15.74,5984704,6207969024.0,2.59,1.36
2022-01-06,958.08,970.05,975.21,956.75,0.39,3.8,5101229,6685880320.0,1.91,1.16
2022-01-07,974.4,980.51,999.24,971.62,1.08,10.46,8269756,8249303296.0,2.85,1.88
2022-01-10,969.49,966.9,971.01,956.43,-1.39,-13.61,5668876,6203912704.0,1.49,1.29
2022-01-11,966.58,955.45,968.33,952.14,-1.18,-11.45,4764493,5341032960.0,1.67,1.08
2022-01-12,968.99,975.25,983.85,968.99,2.07,19.8,5506202,6458244864.0,1.56,1.25
2022-01-13,978.44,968.43,984.94,968.43,-0.7,-6.82,5575204,5520518400.0,1.69,1.27
2022-01-14,960.88,939.89,961.17,939.63,-2.95,-28.54,5442206,4070575888.0,2.22,1.24
2022-01-17,942.43,959.14,960.25,941.94,2.05,19.25,4050203,4082040624.0,1.95,0.92
2022-01-18,963.13,956.74,963.13,949.03,-0.25,-2.4,4259166,3945350336.0,1.47,0.97
2022-01-19,962.87,949.11,966.37,941.84,-0.8,-7.63,3703284,3790559712.0,2.56,0.84
2022-01-20,939.04,919.24,943.0,918.35,-3.15,-29.87,3948665,4136641904.0,2.6,0.9
2022-01-21,912.68,905.32,920.87,899.15,-1.51,-13.92,3528481,3518056752.0,2.36,0.8
2022-01-24,900.7,908.05,911.32,885.72,0.3,2.73,2905999,3806287888.0,2.83,0.66
2022-01-25,903.74,866.98,903.89,866.98,-4.52,-41.07,3360509,3209232032.0,4.06,0.76
