日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-06-08,1051.02,1098.61,1101.95,1051.02,9.86,98.61,6108108,3837375984.0,5.09,0.38
2022-06-09,1120.17,1108.85,1160.23,1108.57,0.93,10.24,15309868,7119839744.0,4.7,0.95
2022-06-10,1092.81,1117.54,1128.92,1092.35,0.78,8.69,20626871,10716771840.0,3.3,1.28
2022-06-13,1090.78,1095.55,1104.04,1077.49,-1.97,-21.99,18086332,9237083136.0,2.38,1.12
2022-06-14,1081.52,1103.41,1103.41,1072.51,0.72,7.86,16216385,8303455232.0,2.82,1.0
2022-06-15,1100.69,1076.42,1100.69,1076.42,-2.45,-26.99,15370920,7699142400.0,2.2,0.95
2022-06-16,1071.84,1069.2,1079.66,1065.03,-0.67,-7.22,10948016,5713788160.0,1.36,0.68
2022-06-17,1060.13,1075.63,1078.4,1057.8,0.6,6.43,12985941,6124706210.0,1.93,0.8
2022-06-20,1071.41,1085.75,1096.99,1065.86,0.94,10.12,14842666,7420648291.0,2.89,0.92
2022-06-21,1088.06,1076.72,1092.35,1067.94,-0.83,-9.03,13200076,6717465753.0,2.25,0.82
2022-06-22,1073.5,1053.62,1075.22,1053.22,-2.15,-23.1,9851964,4804063725.0,2.04,0.61
2022-06-23,1051.47,1063.91,1063.91,1041.34,0.98,10.29,8577363,4129122587.0,2.14,0.53
2022-06-24,1065.64,1067.48,1071.62,1060.18,0.34,3.57,9050626,4502831362.0,1.08,0.56
2022-06-27,1070.24,1070.43,1074.53,1063.44,0.28,2.95,9295144,4901922669.0,1.04,0.58
2022-06-28,1071.3,1087.91,1088.85,1070.83,1.63,17.48,10189208,5018895392.0,1.68,0.63
2022-06-29,1086.66,1078.45,1090.73,1076.72,-0.87,-9.46,12572627,6071729389.0,1.29,0.78
2022-06-30,1078.46,1082.03,1093.06,1073.47,0.33,3.58,11714928,5722694189.0,1.82,0.73
2022-07-01,1082.5,1094.49,1104.4,1082.48,1.15,12.46,12143256,6345201979.0,2.03,0.75
2022-07-04,1095.25,1116.45,1121.15,1089.62,2.01,21.96,12371586,6526156379.0,2.88,0.77
2022-07-05,1119.94,1126.12,1134.95,1114.71,0.87,9.67,16477505,9392053249.0,1.81,1.02
2022-07-06,1122.37,1131.57,1144.13,1120.6,0.48,5.45,14198598,7554710365.0,2.09,0.88
2022-07-07,1131.82,1150.44,1158.67,1130.8,1.67,18.87,15751628,9349069789.0,2.46,0.98
2022-07-08,1154.7,1158.83,1167.07,1147.67,0.73,8.39,12617733,6867836726.0,1.69,0.78
2022-07-11,1159.28,1163.47,1176.3,1153.85,0.4,4.64,16502202,9986126700.0,1.94,1.02
2022-07-12,1159.53,1150.92,1173.79,1148.4,-1.08,-12.55,15091102,6912896346.0,2.18,0.93
2022-07-13,1148.97,1181.05,1181.05,1143.7,2.62,30.13,15611413,7044242817.0,3.25,0.97
2022-07-14,1177.64,1154.21,1177.64,1151.99,-2.27,-26.84,15634625,7651783221.0,2.17,0.97
2022-07-15,1146.36,1121.96,1151.14,1121.7,-2.79,-32.25,15168556,7031991545.0,2.55,0.94
2022-07-18,1122.33,1167.17,1167.87,1122.33,4.03,45.21,15170985,7359518999.0,4.06,0.94
2022-07-19,1178.01,1159.04,1178.3,1151.17,-0.7,-8.13,14704206,8919837037.0,2.32,0.91
2022-07-20,1161.71,1164.36,1164.37,1144.97,0.46,5.32,12047657,7295782106.0,1.67,0.75
2022-07-21,1162.94,1148.54,1163.03,1148.03,-1.36,-15.82,12783356,7509846392.0,1.29,0.79
2022-07-22,1151.21,1160.21,1168.14,1148.8,1.02,11.67,15170926,8547770951.0,1.68,0.94
2022-07-25,1157.34,1134.12,1157.42,1131.33,-2.25,-26.09,11468497,5703128762.0,2.25,0.71
2022-07-26,1129.46,1137.18,1137.21,1114.87,0.27,3.06,8434241,4051546658.0,1.97,0.52
2022-07-27,1130.89,1136.03,1136.08,1127.81,-0.1,-1.15,9827847,6039332992.0,0.73,0.61
2022-07-28,1139.85,1141.98,1149.26,1138.61,0.52,5.95,11251288,6323426854.0,0.94,0.7
2022-07-29,1143.09,1154.73,1161.52,1138.35,1.12,12.75,14190543,7639035207.0,2.03,0.88
2022-08-01,1157.38,1158.58,1158.58,1145.12,0.33,3.85,11117149,6567697025.0,1.17,0.69
2022-08-02,1151.03,1106.27,1151.03,1096.75,-4.52,-52.31,20327079,10506290812.0,4.69,1.26
2022-08-03,1105.17,1094.95,1129.56,1091.7,-1.02,-11.32,15265346,8337881744.0,3.42,0.95
2022-08-04,1101.96,1124.04,1124.04,1101.96,2.66,29.09,13983700,7944200887.0,2.02,0.87
2022-08-05,1123.82,1115.86,1124.32,1102.49,-0.73,-8.18,12331033,6396139292.0,1.94,0.76
2022-08-08,1106.96,1125.45,1129.11,1098.25,0.86,9.59,13035296,6801190383.0,2.77,0.81
2022-08-09,1124.99,1125.88,1130.65,1122.35,0.04,0.43,9986069,5666719151.0,0.74,0.62
2022-08-10,1126.19,1130.06,1130.53,1123.48,0.37,4.18,13167570,7305420898.0,0.63,0.82
2022-08-11,1134.06,1150.44,1151.87,1134.06,1.8,20.38,14344390,8049995242.0,1.58,0.89
2022-08-12,1155.54,1160.62,1167.5,1149.16,0.88,10.18,13642783,7961462856.0,1.59,0.85
2022-08-15,1163.65,1184.4,1184.7,1163.65,2.05,23.78,12517529,7132107642.0,1.81,0.78
2022-08-16,1196.25,1214.88,1216.53,1196.25,2.57,30.48,16797565,9719926275.0,1.71,1.04
2022-08-17,1225.48,1233.6,1239.13,1223.43,1.54,18.72,17851963,10584854606.0,1.29,1.11
2022-08-18,1238.63,1225.55,1242.19,1224.45,-0.65,-8.05,18643881,10096731065.0,1.44,1.15
2022-08-19,1227.77,1246.3,1256.93,1223.21,1.69,20.75,22369269,13211805312.0,2.75,1.39
2022-08-22,1241.76,1232.61,1249.73,1226.11,-1.1,-13.69,18502058,10678822275.0,1.9,1.15
2022-08-23,1220.58,1257.05,1257.66,1218.93,1.98,24.44,19115952,11856517729.0,3.14,1.18
2022-08-24,1260.69,1227.78,1263.18,1223.83,-2.33,-29.27,18293480,11103848818.0,3.13,1.13
2022-08-25,1235.69,1231.87,1237.32,1210.19,0.33,4.09,17975946,10558647699.0,2.21,1.11
2022-08-26,1232.05,1231.51,1252.92,1224.23,-0.03,-0.36,17349168,10392023367.0,2.33,1.07
2022-08-29,1210.63,1234.05,1237.07,1208.45,0.21,2.54,14724911,8338607466.0,2.32,0.91
2022-08-30,1232.48,1205.27,1238.53,1198.52,-2.33,-28.78,13371780,7610986969.0,3.24,0.83
2022-08-31,1201.77,1161.14,1205.44,1158.33,-3.66,-44.13,13675678,7212260501.0,3.91,0.85
2022-09-01,1161.81,1148.19,1170.5,1144.51,-1.12,-12.95,9559009,5146694633.0,2.24,0.59
2022-09-02,1152.33,1166.52,1173.77,1152.33,1.6,18.33,10307455,5722222675.0,1.87,0.64
