日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2026-06-08,955.68,968.12,996.67,955.68,-3.19,-31.88,157856105,512132297171.0,4.1,7.98
2026-06-09,981.08,1000.68,1000.82,964.68,3.36,32.56,133319945,324687672518.0,3.73,6.74
2026-06-10,987.0,983.96,998.0,970.49,-1.67,-16.72,137321938,416749527710.0,2.75,6.94
2026-06-11,973.01,974.54,982.45,964.82,-0.96,-9.42,99845311,309072852569.0,1.79,5.05
2026-06-12,986.3,958.84,996.19,954.01,-1.61,-15.7,76011569,292944567055.0,4.33,3.84
2026-06-15,968.73,1016.91,1016.91,964.37,6.06,58.07,57752464,209496756584.0,5.48,2.92
2026-06-16,1020.37,1053.72,1058.72,1020.37,3.62,36.81,92609709,387733497043.0,3.77,4.68
2026-06-17,1041.63,1078.17,1078.86,1041.63,2.32,24.45,110980068,483225859250.0,3.53,5.61
2026-06-18,1070.87,1096.0,1100.04,1070.87,1.65,17.83,139246700,497523782282.0,2.71,7.04
2026-06-22,1110.49,1121.61,1121.61,1088.95,2.34,25.61,145270163,622231881433.0,2.98,7.34
2026-06-23,1116.55,1081.76,1116.55,1073.63,-3.55,-39.85,139078054,593577414818.0,3.83,7.03
2026-06-24,1070.89,1108.94,1108.94,1067.4,2.51,27.18,147231388,565883030451.0,3.84,7.44
2026-06-25,1115.06,1130.21,1131.14,1104.12,1.92,21.27,157869324,710117784057.0,2.44,7.98
2026-06-26,1120.73,1113.69,1137.4,1098.14,-1.46,-16.52,178196514,776636227136.0,3.47,9.01
2026-06-30,1092.09,1120.51,1122.07,1080.34,1.78,0,137501944.0,457489979663.0,0,0
2026-07-01,1122.49,1127.23,1151.14,1114.90,0.60,0,194671312.0,730051059514.0,0,0
2026-07-02,1084.40,1082.52,1122.13,1068.38,-3.97,0,225892912.0,830033634675.0,0,0
2026-07-03,0.00,1053.12,0.00,0.00,-2.72,0,0,0,0,0
