日期,开盘,收盘,最高,最低,涨跌幅,涨跌额,成交量,成交额,振幅,换手率
2022-11-28,995.5,1004.26,1004.26,991.75,0.43,4.26,6412239,4094169900.0,1.25,0.48
2022-11-29,1009.85,1029.09,1029.4,1009.85,2.47,24.83,8267043,5675745604.0,1.95,0.63
2022-11-30,1031.92,1021.59,1031.92,1017.09,-0.73,-7.5,7588996,4857676219.0,1.44,0.57
2022-12-01,1030.73,1030.91,1037.79,1028.01,0.91,9.32,11477752,7268757838.0,0.96,0.87
2022-12-02,1025.81,1046.1,1046.97,1024.72,1.47,15.19,8439790,5505747900.0,2.16,0.64
2022-12-05,1045.68,1048.56,1050.97,1043.6,0.24,2.46,10319802,6457823341.0,0.7,0.78
2022-12-06,1044.56,1046.31,1050.1,1040.91,-0.21,-2.25,9336072,6164228127.0,0.88,0.71
2022-12-07,1045.41,1063.31,1065.76,1045.41,1.62,17.0,10487967,6897552693.0,1.94,0.79
2022-12-08,1063.03,1093.94,1096.52,1059.88,2.88,30.63,22732148,11410725508.0,3.45,1.72
2022-12-09,1094.98,1092.16,1097.03,1076.44,-0.16,-1.78,16463645,11872135374.0,1.88,1.24
2022-12-12,1085.98,1076.57,1085.98,1074.68,-1.43,-15.59,14172241,10380376334.0,1.03,1.07
2022-12-13,1072.13,1090.5,1092.08,1070.72,1.29,13.93,15650015,10320697031.0,1.98,1.18
2022-12-14,1081.75,1093.52,1098.96,1076.57,0.28,3.02,22775073,11517003678.0,2.05,1.72
2022-12-15,1094.7,1089.65,1107.32,1086.22,-0.35,-3.87,21695962,12620921519.0,1.93,1.64
2022-12-16,1083.0,1081.66,1087.51,1072.6,-0.73,-7.99,18371375,10576574006.0,1.37,1.39
2022-12-19,1081.4,1057.88,1088.43,1052.7,-2.2,-23.78,16442982,10016469723.0,3.3,1.24
2022-12-20,1050.38,1051.77,1054.68,1038.46,-0.58,-6.11,15392374,8091064039.0,1.53,1.16
2022-12-21,1045.94,1047.32,1057.49,1041.93,-0.42,-4.45,16369847,8910979711.0,1.48,1.24
2022-12-22,1049.77,1040.37,1063.42,1038.94,-0.66,-6.95,14625607,8808418836.0,2.34,1.11
